"",,,,,Central,,,,,Eastern,,,,Northern,,Western,
CommodityName,Weight,Pricetype,Kalerwe,Luwero,Masaka Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu Lira,Kabale,Kasese Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,550,1000 1000,800,1200,1500,270,500,1200,500,880,1500,1000,900 500,850
"",,Wholesale,800,500,800 800,500,1100,1000,250,400,1000,450,700,1200,800,850 350,800
Beef,Kg,Retail,5000,4500,5000 5000,5000,5000,4500,6000,5000,4500,4000,5000,5000 5000,4000,4200 4000,4200
"",,Wholesale,5000,4500,4500 4500,3800,4500,4000,5000,4000,4300,3800,5000,4500 5000,3800,4000 3500,4000
"Cassava, Dry Fermented",Kg,Retail,,,,,480,500,300,,700,550,750,1600 1000,,720,1000
"",,Wholesale,,,,,450,400,280,,600,450,680,1400 800,,680,800
"Cassava, Flour",Kg,Retail,700,1000,1200 1000,900,650,1000,800,1000,800,1000,750,2200 700,1200,900 1000,1000
"",,Wholesale,600,800,800 900,720,470,800,700,900,700,700,680,2000 600,1000,800 700,800
"Cassava, Fresh",Kg,Retail,450,1000,1300 600,360,500,900,230,500,140,400,700,1200 1200,1000,1000 500,750
"",,Wholesale,380,1000,800 500,300,480,700,200,400,130,380,600,1000 1000,900,900 370,600
"Cassava, Sun dried",Kg,Retail,,600,,900,480,450,700,,130,550,750,1400 600,,680 500,1100
"",,Wholesale,,500,,720,450,370,620,,125,450,700,1200 500,,650 400,1000
Cavendish (Bogoya),Kg,Retail,2000,1300,1100 1200,800,1600,2500,700,1000,2000,600,1000,2200 2000,3000,1500 500,1000
"",,Wholesale,1700,1200,800 1000,600,1500,1700,670,800,1500,450,800,1800 1700,2500,1400 300,850
"Chicken, Exotic",bird,Retail,5000,7000,7000 9000,6000,7000,6000,6500,,7000,10000,,9000 5000,8000,8000 9000,13000
"",,Wholesale,4500,6000,5000 8000,5000,5500,5000,6000,,6000,8000,,7000 4500,7000,7500 7000,10000
"Chicken, Local",bird,Retail,12000,8500,12000 15000,,15000,12000,14000,6000,6500,11000,13000,13000 9000,10000,18000 11000,15000
"",,Wholesale,10000,8000,10000 13500,11000,13000,9000,13000,4000,5000,8500,12000,11000 7000,9000,17500 9000,14000
Coffee (Unprocessed),Kg,Retail,,1000,1000,,,2100,1100,,3500,,,,,3300,
"",,Wholesale,,1000,800,,,1960,1000,,3300,,,,,3100,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,,,,,,900,
"",,Wholesale,,,,,,,,,,,,,,800,
Cow Peas,Kg,Retail,2000,2000,2500 2500,2400,2700,1800,2000,1800,1300,1600,2500,1800,,2100 2200,1300
"",,Wholesale,1800,1800,2300 2000,2000,2500,1600,1900,1700,1200,1300,,1600,,2000 2000,1100
"Dried Beans, Agwede",Kg,Retail,,,1400,1200,1100,1400,1000,,,,,1400,,,
"",,Wholesale,,,1200,1000,1000,1250,900,,,,,1300,,,
"Dried Beans, Nambale",Kg,Retail,1600,1200,1600 2000,1400,1100,1400,1400,1200,1250,1600,1300,1500 1400,1000,1450 1400,1500
"",,Wholesale,1400,1000,1400 1800,1200,1050,1250,1300,1000,1200,1350,1100,1400 1300,900,1400 1200,1400
"Dried Beans, Yellow",Kg,Retail,1600,1200,1000 2200,1700,1500,1450,1600,,1700,1600,1300,1700 1600,900,1600 1400,1650
"",,Wholesale,1400,1000,800 2000,1500,1400,1300,1550,,1500,1300,1100,1500 1400,800,1500 1250,1500
"Eggs, Exotic",tray,Retail,5000,4800,5600 5000,6000,5000,5500,5200,6000,5500,5800,7500,7200 6000,6000,5800 6500,7300
"",,Wholesale,4500,4500,4400 4700,5000,4500,5000,4800,5500,5300,5700,5600,5800 5500,5000,5500 5500,67000
"Eggs, Local",tray,Retail,8500,6000,9000 15000,9000,13000,8200,7000,,9000,9000,7500,6500,7500,8800 12000,8200
"",,Wholesale,7500,5500,7500 12000,7000,10000,6400,6500,,7500,8600,,6000,6000,8500 9000,6800
"Fish, Nile Perch",Kg,Retail,6000,7000,4500,7000,8000,5000,9000,,5000,5000,,3800 8000,6000,5500,7200
"",,Wholesale,5000,7000,3500,6000,7000,4000,8500,,4500,4600,,3500 6500,5000,4500,6700
"Fish, Tilapia",whole,Retail,3500,3800,3500 6500,4500,5500,6000,7000,1200,5000,7000,,4500 8000,6000,4000 4000,7300
"",,Wholesale,2500,3500,2500 5500,4000,5000,5000,6000,1000,4000,5000,,4300 6500,5000,3500 3500,7000
Goat Meat,Kg,Retail,6000,5000,5500 6000,6000,6000,5000,6000,5000,,5000,5500,6000 5000,5000,6000 5000,
"",,Wholesale,5000,5000,4500 5500,4800,4500,4500,5000,4500,,4800,5500,5700 5000,4800,5800 3800,
"Groundnuts, Unpounded",Kg,Retail,3000,3000,2300 3500,2800,2600,2800,2700,3000,2500,2500,2500,2300 2400,2400,2600 2600,2800
"",,Wholesale,2800,2800,2100 2800,2400,2250,2600,2500,2700,2300,2200,2000,2200 2300,2200,2500 2300,2500
"Honey, Processed",ltr,Retail,,3500,5500 8000,8000,,8600,6000,,,6400,3500,,9000,10000,5500
"",,Wholesale,,3000,4000 7500,7000,,7000,5000,,,6100,3000,,7500,8000,5200
"Honey, Unprocessed",ltr,Retail,,3000,5000,6000,,5000,4000,,,3500,2000,,7000,8000,7700
"",,Wholesale,,2500,4500,5000,,4000,3000,,,3300,,,6000,7000,5300
Irish Potatoes,Kg,Retail,560,800,1200 1100,560,600,800,700,250,500,800,1000,1400 1200,400,850 1000,1550
"",,Wholesale,450,800,1100 900,480,550,680,600,200,420,700,,1200 1000,350,800 800,1450
Maize Flour,Kg,Retail,1500,1500,900 1500,1200,1000,1000,800,1200,900,1400,1500,1400 1800,1200,1400 1600,1100
"",,Wholesale,1400,1200,800 1400,900,800,840,700,1000,800,1000,1280,1250 1000,1100,1300 1300,1000
"",,,,,Central,,,,,,Eastern,,,,Northern,,,Western,,
Maize Grain,Kg,Retail,1100,250,500,800,500,350,300,400,500,450,500,800,400,500,800,600 280,,950
"",,Wholesale,1000,200,350,700,400,320,240,380,400,400,420,600,380,450,750,500 260,,900
Matooke,Kg,Retail,350,350,375,1000,460,300,380,200,300,1500,600,400,1200,1000,,850 700,,1100
"",,Wholesale,280,300,325,800,410,280,300,160,200,1000,500,350,1000,800,,800 600,,900
Matooke (Bunch),Bunch,Retail,10000,13000,15000,15000,10000,11000,15000,10000,6000,12000,24000,10000,16500,14000,16000,18500 12000,,9500
"",,Wholesale,8000,10000,13000,12000,9000,9000,12500,8000,4000,10000,20000,9000,14500,6000,12000,18000 8500,,9000
Milk,Ltrs,Retail,1000,800,1000,900,1000,900,1000,800,550,900,800,1000,1200,1000,500,800 1000,,500
"",,Wholesale,800,750,500,800,900,800,900,700,400,800,750,1000,1000,800,400,750 800,,500
Millet Flour,Kg,Retail,1200,1600,1500,2200,2000,1800,1200,1600,1300,1800,,2000,2400,2000,2000,1400 1700,,1300
"",,Wholesale,900,1500,1300,1900,1600,1500,1050,1500,1700,1600,,1500,2200,1600,1800,1300 1500,,1000
Millet Grain,Kg,Retail,1200,1200,1500,1900,1200,950,1000,1200,1200,1250,,1000,1200,1000,1500,1200 1300,,1700
"",,Wholesale,900,1000,1300,1700,1000,850,900,1100,1100,1100,,900,900,900,1400,1000 1200,,1450
Pineapple,whole,Retail,1200,1800,800,2500,1000,1200,1000,1800,,2000,2500,1500,1700,,700,1700 1600,,700
"",,Wholesale,1000,1500,450,1500,700,800,900,1700,,1500,1800,1300,1400,,500,1600 1300,,500
Pork,Kg,Retail,5000,4000,4500,,5000,,,6000,4000,4000,2500,,5000,5000,6000,,,
"",,Wholesale,4500,4000,3500,,3500,,,5000,3600,3700,3700,,4500,3500,5000,,,6000
Rice (Kayiso),Kg,Retail,2000,2200,2200,,2000,1800,1500,1700,2200,1500,1800,2000,2000,2000,,2500,,2500
"",,Wholesale,1800,2000,1800,,1800,1650,1400,1550,2100,1470,1600,1600,1800,1800,,2300,,2500
Rice (Super),Kg,Retail,2400,2300,2100,2500,2600,2300,1950,2000,2300,2500,2100,2300,2600,2200,2000,2200 2700,,2450
"",,Wholesale,2100,2200,1800,2300,2200,2100,1850,1800,2200,2300,1900,1660,2400,1800,1800,2100 2400,,2400
Rice (Upland),Kg,Retail,1600,2300,2200,2500,2000,1900,1700,1700,2000,,,2000,1900,2000,,2300,,2500
"",,Wholesale,1500,2200,1700,2300,1800,1700,1450,1600,1800,,,1600,1750,1800,,2100,,2300
Simsim,Kg,Retail,3000,3000,2900,5000,2800,2500,2500,2800,2500,2500,2500,2400,2200,2300,,3000,,4000
"",,Wholesale,2800,2600,2700,4500,2400,2200,2200,2700,2400,2400,2000,2200,2000,2200,,2500,,3800
Sorghum Flour,Kg,Retail,1000,1600,,1800,1000,900,950,,1000,800,1000,1200,1600,1800,1300,1400,,1200
"",,Wholesale,700,1500,,1700,700,700,720,,900,700,700,1000,1400,1500,800,1300,,900
Sorghum Grain,Kg,Retail,700,1300,,1700,800,450,650,,,,370,800,420,400,900,1100 800,,850
"",,Wholesale,500,1200,,1500,500,400,520,,,,320,600,300,300,700,1000 700,,750
Soya Beans,Kg,Retail,2000,1800,1900,2000,1500,1100,1500,1600,1800,1800,1450,1500,,1000,2700,1600,,2800
"",,Wholesale,1800,1500,1800,1700,1300,1000,1250,1500,1700,1500,950,,,900,2500,1300,,1900
Sunflower,Kg,Retail,,,,,,400,,,,,450,,,,,,,
"",,Wholesale,,,,,,370,,,,,400,,,,,,,
Sweet Potatoes,Kg,Retail,350,1000,1500,350,300,480,1100,300,500,140,450,220,700,500,1000,1000 700,,750
"",,Wholesale,270,800,1000,300,250,450,900,290,400,130,400,180,500,400,800,800 500,,650
Turkey,bird,Retail,,35000,,35000,42000,43000,32000,50000,,20000,35000,,,,,30000,,
"",,Wholesale,,30000,,33000,35000,35000,28000,45000,,15000,33000,,,,,26000,,35000
Vanilla (Unprocessed),Kg,Retail,,,,,,3000,,,,,,,,,,3500,,
"",,Wholesale,,,,,,2400,,,,,,,,,,3000,,
