"",,,,,CENTRAL,,,,EASTERN,,,NORTHERN,,,WESTERN,,,
CommodityName,Unit,,KAL,KIB,LUW MSK,OWI,BUS,IGA,JJA MBA,SOR,ARU,GUL LRA,FTP,KAS,KLE KSR,MBR,Avg,Organic prices
Animal Products,,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,5500,5000,4500 5000,5000,5200,4500,6000 5000,4500,5500,6000 4750,,4400,5000 4500,4500,4991,
"",,Wholesale,5000,4500,4000 4500,4500,5100,4000,5000 4500,4100,5500,5500,4500,4300,4800 3700,4000,4559,
Goat Meat,Kg,Retail,6000,6000,7000 6500,6000,5000,4700,6000 5000,5000,6000,6500 6000,6000,6000,6000 6000,6000,5872,
"",,Wholesale,5500,5000,5500 5000,5000,4800,4200,5000 4500,4800,6000,6000,5500,5800,5800 4000,5500,5171,
"Honey, Processed",Kg,Retail,,7000,7500,,,8800,6000,7000,7000,,12000,,5000 10000,6150,7645,
"",,Wholesale,,6000,5500,,,7200,5000,6600,4300,,10000,,4800 8000,5500,6290,4000
"Honey, Unprocessed",Kg,Retail,,3500,,,,5400,4000,5500,,,,,4500 8000,5000,5129,
"",,Wholesale,,3100,,,,4600,3000,4800,,,,,4000 7000,4500,4429,
Milk,Ltrs,Retail,1200,,800 1000 1000,,1200,1000,800 1000,800,1000,1200 800,900,1000,500 1000,800,941,
"",,Wholesale,1000,,700 600 500,,800,,900 700 900,700,1000,1000,600,,950 450 600,600,750,
Pork,Kg,Retail,,5000,5000 5000,,4000,,6000 4200,4000,6000,6000,4000,4800,4000,6000,4923,
"",,Wholesale,,4500,4300 4000,,3800,,5000 3700,3700,6000,5500,3500,4500,3500,5500,4423,
Cereals,,,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,700,,900 1800 750,800,800,,750 700 600,1000,1200,900 800,1200,800,1500 1200,1200,978,
"",,Wholesale,400,,800 1500 650,600,700,,530 600 500,650,900,700,785,,750 1400 1000,1000,792,
Maize Grain,Kg,Retail,500,,400 1100 320,350,300,,280 250 270,350,350,300 300,500,280,1200 240,900,455,
"",,Wholesale,300,,350 800 230,270,295,,250 230 250,250,300,250,275,250,1000 200,800,371,
Millet Flour,Kg,Retail,2000,1300,1500 1400,1800,,1400,1500 1800,1500,2000,1800,3000,1600,1500 1700,1800,1725,
"",,Wholesale,1000,1200,1400 1100,1500,,1100,1400 1600,1350,1500,1500,2500,1500,1400 1500,1500,1441,
Millet Grain,Kg,Retail,1600,1100,1000 1500,850,1000,1100,1200 1000,800,1000,1000 1000,1500,1300,1000 1300,1200,1136,
"",,Wholesale,1400,1000,750 1400,800,886,,900 1000 900,780,650,800,975,1200,900 1200,1000,973,
Rice (Kayiso),Kg,Retail,1600,2400,1800 2100,1500,1350,1250,1800 1200,1400,1600,1800 1500,2300,,2500,2500,1788,
"",,Wholesale,1200,2200,1600 1700,1300,1200,1100,1700 1100,1300,1400,1600,1625,,2300,2200,1568,
Rice (Super),Kg,Retail,2000,2100,2000 2100,1800,1500,1800,2200 1800,1800,2000,2500 1500,2500,,2000 2600,2500,2041,
"",,Wholesale,1600,2000,1800 1700,1550,1350,1590,1800 1600,1500,1400,2300,1675,,1800 2300,2000,1748,
Rice (Upland),Kg,Retail,2000,1700,2600,1500,2200,1700,1700,,2000,1600 1400,2000,,2100,2800,1946,
"",,Wholesale,1600,1600,1950,1400,3047,1600,1600,,1400,1350,1425,,1800,2500,1773,
Simsim,Kg,Retail,3500,,3000 3200,4000,3047,2800,2800,2800,2400,2700 3000,4000,,2700,3700,3118,
"",,Wholesale,3000,,2600 2900,3000,2900,2630,2700,2500,2000,2500,2900,,2300,3500,2725,
Sorghum Flour,Kg,Retail,1800,,800,600,,,850 700 450,600,1000,1400,1500,1400,1500,1000,1046,
"",,Wholesale,1400,,700,500,,,550 600 400,450,800,1200,1000,1300,1400,850,858,
Sorghum Grain,Kg,Retail,1600,,750,450,345,,600 500 300,270,600,200 300,,1100,1000 800,850,644,
"",,Wholesale,1200,,650,400,308,,400 450 250,250,350,100,190,1000,700 700,700,510,
Fish,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,15000,,11000 5500,8000,,5500,7000 4500,5000,5000,4000 5000,,,,,6864,
"",,Wholesale,10000,,8000 4500,6500,,4500,6000 3500,4500,,3500,4500,,,,5550,
"Fish, Tilapia",whole,Retail,4000,7500,7750 4500,6000,4300,6800,8000 7000,6500,7000,5000 8000,5000,6000,4500,6500,6138,
"",,Wholesale,3500,6500,6000 3000,5000,4000,5500,7000 6000,4600,,4500,5750,5600,3500,6000,5097,
Fruits,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,2500,,600 400 1000,1300,1100,1400,170 1000,800,800,1500 1550,,1100,700 450,1300,1039,
"",,Wholesale,1500,,550 300 600,1200,1000,,900 150 800,750,650,1200,1250,1000,600 320,1200,822,2000
Cavendish (Bogoya),Kg,Retail,3500,,800 2200 1300,1900,1600,2500,700 2000,800,850,1500 2700,1500,1500,3000 500,2500,1742,
"",,Wholesale,2800,,700 1800 800,1600,1300,2000,550 1500,750,600,1000,1750,1400,2500 400,2000,1379,
Matooke,Kg,Retail,800,,200 1000 375,320,600,,350 240 1000,900,350,1200 1000,1000,480,400,900,654,
"",,Wholesale,500,,175 900 150,280,500,,300 200 800,750,300,1000,750,460,300,800,510,
