"",,,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,WESTERN,,,Organic
Commodity Name,Unit,,KAL,KIB,LUW,NAK,OWI,BUS,IGA,JJA MBA,SOR,ARU,GUL LRA,FTP,KAS KSR,MBR,Avg,prices
Animal Products,,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,5000,5000,4500,,5000,5200,4500,7000 4500,4500,5500,5000 5000,4500,4400 4500,4500,4912.5,
"",,Wholesale,4800,4500,4000,,4500,5100,4000,6000 4300,4100,5500,4500 4500,4500,4300 3700,4000,4518.8,
Goat Meat,Kg,Retail,6000,6000,,3000,7000,5000,4700,6000 6000,5000,6000,6000 6000,6000,6000 6000,6000,5668.8,
"",,Wholesale,5500,5000,,2600,5000,4800,4200,5000 5000,4700,6000,5500 5000,6000,5800 4000,5500,4975,
"Honey, Processed",Kg,Retail,,7000,,6500,,,8800,6000,7000,7000,,12000,10000,6150,7827.8,
"",,Wholesale,,6000,,6000,,,7200,5000,6500,4300,,10000,8000,5500,6500,
"Honey, Unprocessed",Kg,Retail,,3500,,720,,,5400,4000,5500,,,,8000,5000,4588.6,
"",,Wholesale,,3100,,640,,,4600,3000,4900,,,,7000,4500,3962.9,
Milk,Ltrs,Retail,,800,1000,2000,,1200,1000,800 1000,800,1000,1000 800,900,800 1000,800,993.33,
"",,Wholesale,,700,600,1600,,800,900,700 800,700,1000,800 700,500,750 600,600,783.33,
Pork,Kg,Retail,,5000,,1600,,4000,,5000 4400,4000,6000,5000,4000,4800 4000,6000,4483.3,
"",,Wholesale,,4500,,1400,,3800,,4500 3700,3800,6000,4500,3500,4500 3500,5500,4100,
Cereals,,,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,1000,900,1500,700,800,800,750,700 600,1000,1200,800 800,1200,800 1200,1000,926.47,
"",,Wholesale,750,800,1400,600,600,700,530,630 500,700,900,700 500,1000,750 1000,800,756.47,
Maize Grain,Kg,Retail,700,450,1000,470,350,300,280,270 270,350,400,350 300,500,220 240,700,420.59,
"",,Wholesale,400,400,750,380,270,286,250,260 250,250,300,200 230,300,200 200,600,325.06,
Millet Flour,Kg,Retail,2500,1300,1500,1200,1200,,1300,1500 1800,1500,2000,1800,3000,1600 1700,1800,1713.3,
"",,Wholesale,1800,1200,1400,1000,1000,,1000,1400 1500,1350,1500,1500,2500,1500 1500,1500,1443.3,
