Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakawa,Nakasero,Owino,Iganga,Kapchorwa,Jinja,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,900,500,550,1000,1000,1000,1300,1100,500,250,550,600,1500,,,700,650,600,750
"",,Wholesale,700,400,500,800,700,800,1200,700,400,220,500,500,1200,,,600,600,400,600
Beef,Kg,Retail,5000,5000,4500,5000,5000,5000,5000,5000,5000,6000,4000,5000,5000,5000,,4000,4200,4000,3500
"",,Wholesale,4500,4500,4500,4500,3800,4700,4500,4500,4800,5000,3800,5000,4500,5000,,3500,4000,3500,3300
"Cassava, Dry Fermented",Kg,Retail,,,,,,,620,510,,260,550,800,1500,1200,,,700,,1000
"",,Wholesale,,,,,,,600,410,,240,450,780,1200,1000,,,680,,800
"Cassava, Flour",Kg,Retail,800,1200,1300,1100,1000,1300,900,1050,900,1100,1000,800,2200,1000,1200,1200,900,1000,1300
"",,Wholesale,700,1000,1000,800,820,1000,780,820,700,1000,750,760,2000,900,900,1000,850,700,1220
"Cassava, Fresh",Kg,Retail,540,400,1000,1100,500,400,620,1050,500,200,450,550,1000,1000,400,1800,1000,650,800
"",,Wholesale,470,300,1000,800,450,300,570,900,400,170,400,450,800,800,250,1500,800,400,700
"Cassava, Sun dried",Kg,Retail,,,600,,1000,,650,520,,750,550,800,1400,1000,700,,750,500,1100
"",,Wholesale,,,500,,820,,620,420,,700,500,780,1200,800,650,,700,400,1000
Cavendish (Bogoya),Kg,Retail,1250,600,1500,900,1000,1300,1700,2200,600,750,600,600,2300,1900,,2500,1300,500,1300
"",,Wholesale,1150,500,1200,700,800,,1600,1500,500,720,550,550,2000,1700,,2300,1100,350,1000
"Chicken, Exotic",bird,Retail,7500,,7000,9000,7000,9000,8000,6000,,7500,9500,,8500,5000,7000,9000,8500,6000,12000
"",,Wholesale,7000,,6000,8500,6500,8500,6000,5000,,7000,7500,,7000,4000,6000,7000,7800,5500,10000
"Chicken, Local",bird,Retail,12000,16000,9000,18000,,15000,15000,14000,8000,15000,10500,13000,14500,9000,13000,12000,17500,10000,11000
"",,Wholesale,10000,14000,8500,16000,12500,13000,13000,12000,5500,13000,9000,12000,13500,7000,11000,9000,17000,9000,10000
Coffee (Unprocessed),Kg,Retail,,2100,,1000,,,,1950,,1000,,,,,,,3000,,
"",,Wholesale,,1700,,800,,,,1740,,900,,,,,,,2900,,
Cotton (Unprocessed),Kg,Retail,,,2000,,,,,,,800,,,,,,,,,
"",,Wholesale,,,1800,,,,,,,700,,,,,,,,,
Cow Peas,Kg,Retail,2000,1900,1600,2500,1800,2500,2800,1700,1800,1700,1500,2500,,1500,,,2000,2200,1400
"",,Wholesale,1800,1800,1500,2300,1400,2000,2500,1550,1700,1600,1200,,,1200,,,1800,2000,1200
"Dried Beans, Agwede",Kg,Retail,,,2000,1600,1200,,1100,1400,,1100,1350,,,1300,,,,,
"",,Wholesale,,,1800,1300,1000,,1000,1200,,1000,1200,,,1200,,,,,
"Dried Beans, Nambale",Kg,Retail,1800,,1800,2500,1400,2000,1100,1500,1000,1300,1400,1500,1550,1300,1200,1400,1300,,1500
"",,Wholesale,1600,,1700,2000,1000,1800,970,1300,800,1100,1300,1400,1500,1200,1000,1300,1250,,1400
"Dried Beans, Others",Kg,Retail,,1500,,1800,1400,2000,,1500,,,,,1300,1500,1100,,1250,1400,1400
"",,Wholesale,,1400,,1000,1100,1800,,1350,,,,,1000,1300,900,,1200,1130,1300
"Dried Beans, Yellow",Kg,Retail,1800,1200,2000,1000,1500,2000,1400,1400,,1500,1450,1600,1500,1500,1400,1500,1500,1600,1650
"",,Wholesale,1600,1000,1800,800,1300,1800,1200,1250,,1200,1250,1500,1450,1400,1100,1400,1400,1400,1500
"Eggs, Exotic",tray,Retail,5000,6500,6000,5700,6000,5000,5000,5800,6000,6000,5800,7500,7200,6000,5000,8000,5800,6000,5000
"",,Wholesale,4500,6000,5500,4500,5000,4700,4500,4800,5500,5000,5600,6000,5800,5700,4500,6500,5500,5500,4800
"Eggs, Local",tray,Retail,8000,7500,6500,9000,9000,12000,13000,8000,,6500,7200,,,6500,7500,9000,8800,10000,9000
"",,Wholesale,7000,6000,6000,7500,7000,11000,10000,6300,6500,6000,7000,,,6000,6000,7500,8500,9000,8000
"Fish, Nile Perch",Kg,Retail,6000,,7000,4500,7000,,8000,4800,,8000,4500,5000,4200,7000,,7500,,5500,7000
"",,Wholesale,5000,,7000,3500,6000,,7000,3800,,7500,4000,5000,3800,6000,,6000,,4500,6500
"Fish, Tilapia",whole,Retail,3500,5000,3500,3500,4500,5500,5500,5500,1200,7000,6000,,4600,8000,,8000,3400,4500,6000
"",,Wholesale,3000,3500,3000,2500,4000,5000,4500,4500,2100,6000,5500,,4000,6500,,7000,3000,3500,6000
Goat Meat,Kg,Retail,6000,6000,6000,5500,6000,6000,6000,5200,5000,6000,5000,5500,6000,5000,,5000,6000,4500,4000
"",,Wholesale,5000,5000,5500,4500,4800,5500,4500,4700,4500,5000,4800,5500,5700,5000,,4800,5800,3600,3800
"Groundnuts, Unpounded",Kg,Retail,2800,2500,3000,2200,3000,3500,2600,2800,3000,2800,2400,3000,2300,2400,2400,2800,2500,2750,2500
"",,Wholesale,2600,2300,2800,2100,2500,2800,2350,2700,2700,2600,2000,2500,2000,2300,2200,2700,2400,2400,2200
"Honey, Processed",ltr,Retail,,7000,3500,5500,8000,8000,,8500,,6000,6400,,,,,9000,,10000,5500
"",,Wholesale,,6000,3000,4000,7000,7500,,7200,,5000,6000,,,,,7500,,8000,5200
"Honey, Unprocessed",ltr,Retail,,3500,3000,,6000,5000,,5000,,4000,3200,,,,,7000,,7500,7600
"",,Wholesale,,3100,2500,,5000,4500,,4000,,3000,2900,,,,,6000,,6500,7300
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakawa,Nakasero,Owino,Iganga,Kapchorwa,Jinja,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara,
Irish Potatoes,Kg,Retail,520,291,1200,1900,600,1000,620,800,250,800,800,,1500,1200,800,500,750,1000,1000,
"",,Wholesale,430,250,1000,1700,500,800,570,690,200,700,700,,1300,1000,650,450,700,700,800,
Maize Flour,Kg,Retail,1500,1300,1500,1600,1400,1500,1300,1300,1200,1400,1400,1500,1500,1800,1400,2000,1400,1600,1500,
"",,Wholesale,1400,1100,1200,1400,1250,1400,1200,1150,1300,1300,1000,1300,1350,1000,1300,1800,1300,1300,1400,
Maize Grain,Kg,Retail,1100,800,1000,1000,900,1400,710,620,600,600,550,550,700,700,600,1500,,600,1100,
"",,Wholesale,1000,700,800,700,800,1300,680,570,700,530,500,500,680,650,550,1400,,500,1000,
Matooke,Kg,Retail,500,400,1200,425,730,800,370,480,400,360,550,300,1400,1200,,,750,800,1100,
"",,Wholesale,440,350,1000,375,640,700,350,400,300,300,500,280,1200,1000,,,600,600,1000,
Matooke (Bunch),Bunch,Retail,12500,16000,15000,17000,16000,17000,16000,16000,8000,18000,14000,9000,17000,14000,,21000,17000,13000,5000,
"",,Wholesale,10000,14000,12000,15000,14000,16000,14000,14000,6000,15000,12000,8000,15500,6000,,15000,16000,9200,5000,
Milk,Ltrs,Retail,1000,1000,800,1000,900,900,800,1000,400,800,800,1000,1000,1000,800,350,800,900,600,
"",,Wholesale,800,900,750,800,800,800,700,900,350,700,700,1000,800,900,700,300,750,600,500,
Millet Flour,Kg,Retail,1200,1900,1200,1500,2000,2200,2000,1400,1800,1500,1500,1800,2000,2000,,2000,1500,1700,1500,
"",,Wholesale,900,1800,1000,1300,1600,1900,1700,1200,1700,1400,1350,1600,1800,1800,,1800,1400,1450,1400,
Millet Grain,Kg,Retail,1200,1600,1000,1600,1000,1900,1150,1000,1300,1000,1100,1000,1100,1000,2000,1500,1100,1300,1100,
"",,Wholesale,900,1500,1000,1400,700,1700,1100,900,1200,900,1000,850,800,800,1000,1400,1000,1050,1000,
Pineapple,whole,Retail,1000,800,2000,700,1000,1500,1500,1500,,2000,1800,2000,1600,3000,,1000,1600,2600,800,
"",,Wholesale,800,500,1800,500,700,1300,1200,1000,1100,,1500,1500,1300,1000,,700,1500,1400,600,
Pork,Kg,Retail,5000,5000,4500,4500,5000,,5000,,4000,5000,4000,5000,5000,5000,,6000,,3600,,
"",,,,,,,,,,,,,,,,,,,,,,
Rice (Kayiso),Kg,Retail,1800,2800,2500,2200,2000,2000,2000,1650,2200,1600,2000,2000,1800,1800,,,,2500,2600,
"",,Wholesale,1600,2500,2400,1800,1800,1800,1700,1550,2100,1500,1800,1600,1680,1700,,,,2300,2600,
Rice (Super),Kg,Retail,2400,2300,2500,2100,2600,2500,2300,2100,2300,2400,2300,2500,2800,2000,1800,2500,2400,2500,2500,
"",,Wholesale,2100,2200,2400,1800,2200,2300,2100,2000,2400,1800,2000,2000,2750,1800,1500,2350,2300,2350,2500,
Rice (Upland),Kg,Retail,1600,2200,2000,2300,2000,2500,2000,1750,,1700,,2000,1600,1800,1600,,,2300,,
"",,Wholesale,1500,2000,2000,1800,1800,2300,1800,1680,1800,1600,,1800,1500,1700,1300,,,2100,,
Simsim,Kg,Retail,3000,,3000,2900,3000,5000,3000,2200,2500,3000,2100,1800,2800,2600,2000,,2000,2700,3500,
"",,Wholesale,2800,,2600,2800,2500,4500,2650,1900,2400,2800,1800,1500,2700,2400,1600,,1800,2000,3000,
Sorghum Flour,Kg,Retail,1000,900,1200,,1200,1800,1000,850,900,1000,1000,1500,1700,1800,,1300,1600,,900,
"",,Wholesale,700,800,1000,,900,1700,750,680,700,900,700,1300,1600,1500,,800,1500,,750,
Sorghum Grain,Kg,Retail,700,800,1000,,1000,1700,550,570,,900,450,800,800,400,1000,900,1100,800,1000,
