"",,,,,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,,WESTERN,,,
CommodityName,Unit,Pricetype,KAL,KIB,LUW,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,HOI,KAS,KLE KSR,MBR,Avg,Organic prices
Animal Products,,,,,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,5000,5000,4500,5000 5000,5000,5000,5000,4500,6000 4400,4400,4000,5000,5000 5000,4000,4200,4000 4000,4000,4666.7,
"",,Wholesale,4500,4500,4500,4500 3600,4500,4500,5000,4000,5000 4000,4300,3700,5000,4500 5000,,4000,3500 3600,3800,4300,
Goat Meat,Kg,Retail,6000,6000,6000,5500 6000,6000,7000,5000,5000,6000 5000,5000,5000,5500,7200 5000,5000,6200,5000 6000,5800,5676.2,
"",,Wholesale,5000,5000,6000,4500 4800,5500,4800,5000,4500,5000 4500,4500,4700,5500,6000 5000,,6000,4800 4000,5500,5030,
"Honey, Processed",Kg,Retail,,7000,4500,5500 8000,8000,,1500,8800,6000,,6400,3500,10000,,,9000 10000,5500,6692.9,
"",,,,,,,,,,,,,,,,,,,,,8000
"",,Wholesale,,6000,4000,4000 7000,7500,,1400,7200,5000,,6100,3200,8000,,,7500 8000,5000,5707.1,
"Honey, Unprocessed",Kg,Retail,,3500,3500,6500,5000,,,5400,4000,3000,4000,2700,7000,,,7000 8000,,4966.7,
"",,Wholesale,,3100,3000,6000,4500,,,4600,3000,2900,3800,,5000,,,6000 7000,,4445.5,
Milk,Ltrs,Retail,1000,1000,700,1000 800,800,1000,1200,1000,800 500,800,800,1000,1200 1000,800,800,500 800,600,861.9,
"",,Wholesale,700,900,600,600 700,700,700,1000,900,700 400,700,700,900,1000 950,500,750,400 600,500,709.52,
Pork,Kg,Retail,5000,5000,4500,4500 5000,,500,4000,,6500 4000,4400,4000,5000,5000 5000,5000,5000,6000 4000,,4577.8,
"",,Wholesale,4500,4500,4000,3500 3500,,4100,4000,,6000 3600,3400,3800,5000,4500 3500,,4800,5000 3500,6500,4316.7,
Cereals,,,,,,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,1300,900,1300,750 1200,1500,800,1000,1000,700 1200,800,1100,1500,1500 1500,1000,1400,1000 1400,1100,1140.5,
"",,Wholesale,1100,800,1200,650 800,1400,700,750,800,600 1000,600,850,1200,1350 1200,700,1300,900 1200,1000,957.14,
Maize Grain,Kg,Retail,1000,350,350,250 800,1200,350,400,300,310 500,380,400,700,480 500,300,600,500 280,700,507.14,
"",,Wholesale,700,300,330,200 500,1000,310,368,240,305 400,370,350,500,420 400,270,550,350 250,600,414.9,
Millet Flour,Kg,Retail,1200,1200,1400,1900 2000,2500,1800,,1250,1500 1800,1800,1600,2000,1900 2500,2000,1500,1500 1700,1300,1717.5,
"",,Wholesale,900,1100,1300,1300 1600,2200,1600,,1050,1400 1700,1600,1400,1500,1700 2000,,1400,1300 1500,1000,1450,
Millet Grain,Kg,Retail,1200,1100,1000,1500 1200,1900,1100,1200,1000,1200 1200,1200,1100,1000,1200 900,1200,1100,1200 1300,1450,1202.4,
"",,Wholesale,900,1000,800,1300 1000,1700,1050,1040,950,1100 1100,1100,1000,,1000 700,1000,1000,1000 1200,1350,1064.5,
Rice (Kayiso),Kg,Retail,2000,2800,2000,2200 2000,,1700,1600,1700,1600 2200,1600,1800,2000,2000 2000,,,2500,2300,2000,
"",,Wholesale,1800,2500,1800,1800 1700,,1550,1430,1500,1400 2100,1500,1600,1700,1800 1900,,,2300,2000,1787.1,
Rice (Super),Kg,Retail,2400,2300,2200,2100 2600,2500,2300,2400,2000,2000 2300,2500,2200,2500,2700 2200,2400,2400,2000 2700,2400,2338.1,
"",,Wholesale,2100,2200,2000,1800 2200,2300,2100,2230,1900,1800 2200,2300,1800,1700,2500 2000,,2300,1800 2400,2100,2086.5,
Rice (Upland),Kg,Retail,1700,2200,2200,2200 2000,2500,1900,,1750,1600 2000,,,2000,1900 2000,1600,,2300,2800,2040.6,
"",,Wholesale,1500,2000,2000,1700 1700,2300,1700,,1600,1500 1800,,,1700,1700 1900,1350,,2100,2500,1815.6,
Simsim,Kg,Retail,3000,,3000,3000 3000,4000,2500,3000,2400,3000 2500,2800,2500,2400,2400 2300,,2000,3000,4000,2822.2,
"",,Wholesale,2800,,2800,2700 2500,3500,2200,2802,2100,2850 2400,2600,2000,1900,2300 2000,,1800,2500,3800,2530.7,
Sorghum Flour,Kg,Retail,1000,900,1800,1000,1800,700,,950,1000 1000,500,900,1000,1600 1800,,1600,1300,1000,1167.6,
"",,Wholesale,700,800,1500,700,1700,600,,800,900 900,400,650,700,1400 1500,,1500,1100,750,976.47,
Sorghum Grain,Kg,Retail,700,800,2000,800,1700,350,400,680,1000,350,300,800,400 300,,1200,800,850,790,
"",,Wholesale,500,700,1800,500,1500,300,335,550,950,300,280,600,380 300,,1100,700,750,679.12,
Fish,,,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,6000,,6000,4500 7000,,8000,,5000,7000,5000,5000,5000,7000,,,10000 5500,7000,6285.7,
"",,Wholesale,5500,,6000,3500 6000,,6500,,4000,6000,4500,4500,,6000,,,8000 4500,6500,5500,
"Fish, Tilapia",whole,Retail,4000,4500,3500,3500 4000,7500,6000,4500,6000,8500 1200,4000,7500,8000,7000,8000,4500,8000 5000,7000,5610,
"",,Wholesale,3500,4000,3000,2500 3500,6000,5000,3900,5000,8000 1100,3700,5400,,6000,,4000,6000 4000,6500,4505.6,
Fruits,,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,500,800,1200 1000,800,1300,1200,1200,260 400,1000,450,800,1600,1500,900,700 600,950,908,
"",,,,,,,,,,,,,,,,,,,,,8000
"",,Wholesale,700,450,700,700 700,700,1200,700,800,240 300,800,,700,1400,1000,800,600 450,850,725.79,
Cavendish (Bogoya),Kg,Retail,1250,750,1200,1200 400,1200,1600,1200,2500,630 1000,2000,650,650,2400 2000,1500,1300,2500 600,1000,1311,
"",,Wholesale,1200,650,1000,800 350,1200,1500,1100,1800,550 800,1500,500,600,2000 1800,1000,1200,2000 500,800,1088.1,
Matooke,Kg,Retail,290,375,2000,375 590,550,350,1200,450,260 300,1200,650,400,1000,500,700,650,650,657.37,
"",,Wholesale,250,350,1800,300 500,500,320,1000,350,220 250,1000,500,350,800,,650,500,500,563.33,
Matooke (Bunch),Bunch,Retail,11000,15000,12000,10000 13000,16000,14000,18000,,13000 5000,10000,20000,10000,13000,8000,18000,15000 10000,6700,12511,
"",,Wholesale,9000,14000,10000,9000 11000,13000,11000,17000,,11000 4000,8000,18000,8500,6000,,17000,10000 8000,6000,10583,
Pineapple,whole,Retail,1000,1000,1200,1000 1500,1500,1200,1500,1500,,2050,2800,,1800 3000,,1800,1000 2300,1000,1597.1,
"",,,,,,,,,,,,,,,,,,,,,2500
"",,Wholesale,800,800,800,500 1000,1000,800,1200,1000,,1500,2100,,1500 500,,1700,700 1500,800,1070.6,
"",,,,,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,,WESTERN,,,
CommodityName,Unit,Pricetype,KAL,KIB,LUW,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,HOI,KAS,KLE KSR,MBR,Avg,Organic prices
Oil Seeds,,,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3000,2800,3000,2300 3000,4000,2700,3200,2800,3500 3200,2800,3000,3000,2400 3600,3000,2800,3000 3000,2600,2985.7,
"",,Wholesale,2800,2600,2700,2100 2500,3500,2400,2950,2650,3350 3000,2600,2700,2350,2200 3400,,2600,2800 2700,2400,2715,
Soya Beans,Kg,Retail,2000,1400,1800,1900 1500,2000,1300,1200,1500,1700,2000,1400,1500,800 1000,1200,,2400 1600,2800,1631.6,
"",,Wholesale,1800,1200,1500,1800 1300,1700,1100,1064,1300,1600,1800,900,800,600 900,800,,2250 1300,1900,1348.1,
Sunflower,Kg,Retail,,,,,3000,400,,,,,400,,,,,,3200,1750,
"",,Wholesale,,,,,2700,370,,,,,350,,,,,,3000,1605,
Poultry Products,,,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7500,,6500,7500 6000,7000,7000,6500,6000,5500,6500,10000,,9000 5000,8000,8500,9000 9000,14000,7694.4,
"",,Wholesale,7000,,6000,6500 5000,6500,5500,6000,5000,5000,5000,8000,,6800 4000,7000,8000,7000 7000,12000,6516.7,
"Chicken, Local",bird,Retail,10000,13000,15000,14500,13000,15000,9500,12000,13000 9000,7500,12000,14000,13500 9000,13000,16000,10000 11000,15000,12250,
"",,,,,,,,,,,,,,,,,,,,,15000
"",,Wholesale,9000,12000,13000,13500 11000,12000,13000,8500,10000,11000 7000,6000,8500,12000,12000 6500,11000,15500,9000 9000,14000,10643,
"Eggs, Exotic",tray,Retail,5000,6000,3800,4700 6000,5500,5000,7500,5300,6500 6000,5500,5800,7500,6500,6000,6000,6000 6500,7300,5920,
"",,Wholesale,4500,5500,3500,3500 5000,5000,4500,5400,4900,5500 5000,5300,5700,5700,6000,5000,5800,5000 5500,6700,5150,
"Eggs, Local",tray,Retail,8500,9000,4000,9000 12000,14000,13000,,8000,7000,9000,9000,7500,6500,9000,8500,9000 12000,8000,9055.6,
"",,Wholesale,7500,7500,3800,7500 10000,12000,10000,,6000,6500,7500,8500,,6000,7000,8000,7500 9000,6800,7711.8,
Turkey,bird,Retail,,,,42000,32000,46000,8000,33000,55000,30000,33000,,,,,30000,,34333,
"",,Wholesale,,,,35000,28000,35000,8000,30000,50000,25000,28000,,,,,26000,35000,30000,
Pulses,,,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1800,2500,2500 2400,3000,3000,2200,1800,2200 1800,2000,1500,2300,1400,,2300,2200,1500,2133.3,
"",,Wholesale,1800,1700,2300,2300 2100,2000,2700,1808,1600,2000 1700,1800,1300,1600,1200,,2200,2000,1300,1856,
"Dried Beans, Agwede",Kg,Retail,,,,1400 1500,,1300,,1250,1200,,1400,,1400,,,,,1350,
"",,Wholesale,,,,1200 1350,,1200,,1000,1100,,1300,,1200,,,,,1192.9,
"Dried Beans, Nambale",Kg,Retail,1800,,1500,1500 1700,2300,1600,,1300,1400 1200,1500,1600,1500,1800 1400,1400,1600,1200 1400,1300,1526.3,
"",,Wholesale,1600,,1300,1300 1500,2100,1450,1048,1180,1300 1000,1400,1350,1300,1600 1200,1200,1550,1100 1200,1200,1343.9,
"Dried Beans, Yellow",Kg,Retail,1800,900,1500,1000 2400,2300,2000,1500,5300,1700,1300,1600,1500,2000 1500,1600,1800,1100 1500,1650,1797.5,
"",,Wholesale,1600,800,1300,800 2000,2100,1700,1100,4900,1450,1200,1300,1400,1800 1400,1400,1700,1000 1300,1500,1587.5,
Root Crops,,,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,,480,,500,250,700,400,700,1600 1200,,780,,1000,761,
"",,Wholesale,,,,,,450,,410,220,600,300,450,1400 1000,,760,,800,639,
"Cassava, Flour",Kg,Retail,800,1300,800,1400 800,1000,700,800,900,900 1000,700,900,700,2200 1000,600,1100,1000 1000,800,971.43,
"",,Wholesale,700,1100,750,750 600,800,600,650,750,800 900,600,600,500,2000 800,500,1000,900 700,750,797.62,
"Cassava, Fresh",Kg,Retail,410,550,800,1200 400,350,520,800,800,220 500,150,400,500,1000 1000,400,1000,1000 400,1000,638.1,
"",,Wholesale,350,450,500,800 350,300,480,550,600,200 400,140,300,450,800 900,250,800,800 300,800,500.95,
"Cassava, Sun dried",Kg,Retail,,,500,800,,480,400,400,350,500,,700,1600 700,350,750,450,1400,670,
"",,Wholesale,,,400,800,,450,380,360,330,425,,450,1300 650,280,700,400,1200,580.36,
Irish Potatoes,Kg,Retail,550,416,800,1200 700,800,470,350,750,700 350,475,700,1000,1400 1200,700,700,450 1000,1400,767.19,
"",,,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,490,375,700,1000 600,700,420,282,650,600 300,400,600,,1200 1000,600,600,400 800,1200,645.85,
