"",,,,,CENTRAL,,,,EASTERN,,NORTHERN,SOUTH WESTERN,,
commodity,,,Kalerwe,Kiboga,Luwero Masaka,Nakawa,Owino,Iganga,Jinja Mbale,Soroti,Lira,Kabale Mbarara,Avg,Organic prices
Animal Products,,,,,,,,,,,,,,
Beef,1Kg,Retail,5500,5000,4800 6500,5500,6000,5000,8500 6000,5000,5000,5000 5000,5600,
"",,wholesale,5000,3800,4300 5000,4500,5000,4500,7500 6000,4800,4500,4900 5000,4985,
Goat Meat,1Kg,Retail,7000,6500,8000 6500,7500,9000,6800,8000 7000,6000,6000,6000 7000,7023,
"",,wholesale,6000,4500,5000 5500,6500,7000,5800,7000 6000,5800,5000,5800 7000,5915,
Milk,Ltrs,Retail,1000,800,1200 1000,1000,900,1000,800 1000,1000,1000,600 700,923,
"",,wholesale,800,600,1000 500,900,800,900,700 900,900,800,500 700,769,4000
Pork,1Kg,Retail,6000,5000,5400 5500,5500,,,6500 5000,4000,,6000 7000,5590,
"",,wholesale,5000,3800,4800 4500,3500,,,6000 4400,3800,,5800 7000,4860,
Processed Honey,1Kg,Retail,,10000,9500,8000,,8100,6000,7000,,8000 10000,8325,
"",,wholesale,,8000,7500,7000,,7500,5000,6800,,7500 10000,7413,
Unprocessed Honey,1Kg,Retail,,8000,,6500,,5600,5000,5500,,6000,6100,
"",,wholesale,,7000,,6000,,4900,4000,4900,,5500,5383,
Cereals,,,,,,,,,,,,,,
Kayiso Rice,1Kg,Retail,1600,2500,1600 2200,1800,1600,1600,1700 1800,1500,,2500,1855,
"",,wholesale,1200,2300,1400 2000,1600,1450,1500,1600 1600,1350,,2500,1682,
Maize Flour,1Kg,Retail,700,1200,1500 950,1200,1100,1000,1200 900,1000,900,1000 1200,1065,
"",,wholesale,400,1000,1200 850,950,900,850,1000 800,650,600,900 1200,869,
Maize Grain,1Kg,Retail,500,400,1200 470,600,600,470,620 550,500,500,1000,618,
"",,wholesale,300,300,800 430,500,450,420,600 530,450,470,700,496,
Millet Flour,1Kg,Retail,2000,1700,1750 1500,2000,1800,1450,1600 1800,1550,1400,1500 1800,1681,
"",,wholesale,1800,1500,1500 1300,1600,1500,1250,1500 1600,1350,1200,1400 1600,1469,
Millet Grain,1Kg,Retail,1600,1300,1600 1700,1200,850,1120,1200 1000,850,900,320 1000,1126,
"",,wholesale,1400,1200,1300 1500,1000,720,1000,1100 980,800,750,300 1000,1004,
Simsim,1Kg,Retail,3500,2700,3600 3300,2800,3000,3250,2400 3000,3000,2800,5000,3196,
"",,wholesale,3000,2300,3000 3000,2300,2500,3100,2200 2500,2800,2500,4500,2808,
Sorghum Flour,1Kg,Retail,1800,,,1000,700,1000,900 800,700,,1000 1500,1044,
"",,wholesale,1400,,,700,600,670,800 700,550,,900 1100,824,
Sorghum Grain,1Kg,Retail,1600,800,,800,500,650,800 600,450,400,800 1000,764,
"",,wholesale,1200,700,,500,420,500,700 500,390,330,700 700,604,
Super Rice,1Kg,Retail,2000,2500,2000 2100,2200,1800,2050,2000 2200,1800,1800,2200 2300,2073,
"",,wholesale,1600,2300,1700 1700,1900,1650,1830,1800 2000,1550,1600,2000 2200,1833,
Upland Rice,1Kg,Retail,2000,1900,2600,1800,1700,1850,1700,,1800,2000 2000,1935,
"",,wholesale,1600,1700,1950,1600,1500,1700,1600,,1500,1900 1800,1685,
Fish,,,,,,,,,,,,,,
Nile Perch,1Kg,Retail,7000,5500,17000 6500,8000,8500,6200,8000 4500,5500,5500,10000 7000,7631,
"",,wholesale,6000,4500,14000 5500,6500,6500,5200,7000 4000,5000,5000,8000 6000,6400,
Tilapia,whole,Retail,3000,4500,9000 8500,4500,7000,7000,8000 15000,4500,8500,6000 8000,7192,
"",,wholesale,2500,3600,7000 4000,4000,6000,5800,7500 13000,4000,7700,5000 7500,5969,
Fruits,,,,,,,,,,,,,,
Apple Bananas,1Kg,Retail,1500,350,800 1200,1000,1300,1400,150 1000,1000,3700,600 2300,1254,
"",,wholesale,1000,300,550 700,700,1200,1000,130 800,950,3400,500 1800,1002,2000
Cavendish (Bogoya),1Kg,Retail,2000,400,2500 900,1000,1700,3000,700 1500,1000,3700,2500 4000,1915,
"",,wholesale,1500,350,2000 500,800,1600,2400,500 1000,900,3300,2300 3500,1588,
Pineapple,whole,Retail,1500,2200,1800 2000,1000,900,1700,2200 1000,2600,4500,700 2000,1854,
"",,wholesale,1000,1500,1500 1000,700,800,1300,2000 800,2300,4000,600 1500,1462,2500
"",,,,,Central,,,,,Eastern,,Northern,Southwestern,,,
commodity,Unit,,Kalerwe,Kiboga,Luwero Masaka,Nakawa,Owino,Iganga,Jinja,Mbale,Soroti,Lira,Kabale Mbarara,Avg,,Organic prices
Oil Seeds,,,,,,,,,,,,,,,,
Groundnuts,1Kg,Retail,3000,3000,2500 2200,2800,2600,2950,,2400 2600,2500,2800,3000,2696,,
"",,wholesale,2500,2500,2200 2000,2400,2050,2600,,2200 2300,2250,2400,3000,2367,,
Sunflower,1Kg,Retail,,,1000,,850,,,,1100,1200,,1038,,
"",,wholesale,,,800,,750,,,,950,1000,,875,,
Plantains,,,,,,,,,,,,,,,,
Matooke,bunch,Retail,12000,12000,18000 16000,13000,15000,27000,14000,12000,22000,11500,14000 12000,15269,,
"",,wholesale,10000,8000,15000 15000,11000,13000,24000,13000,10000,19000,10000,10000 9000,12846,,
Poultry Products,,,,,,,,,,,,,,,,
Exotic Chicken,bird,Retail,7500,9000,10000 10500,8000,8000,6500,,8500 7000,10000,12000,9000 6000,8615,,
"",,wholesale,7000,7500,7000 8500,7000,6000,5800,,7500 6000,9500,11000,8000 5500,7408,,
Exotic Eggs,tray,Retail,6000,6500,5500,7500,5500,6700,,7500 6500,6500,7500,7000 6000,6558,,
"",,wholesale,5500,5800,4200,5800,5200,6200,,6000 6300,6500,6500,6800 6000,5900,,15000
Local Chicken,bird,Retail,15000,12000,17000 25000,,15000,15000,15000,10000,12000,17000,12000 15000,15000,,
"",,wholesale,13000,9000,15000 10500,11500,13000,12000,14000,8500,11000,15000,9000 13000,11885,,
Local Eggs,tray,Retail,15000,12000,6000 10100,12000,13000,9000,11000,12000,12000,10500,9000 10000,10892,,
"",,wholesale,10000,9000,5500 7500,8000,10000,7300,10000,10500,11500,8000,8500 9000,8831,,
Turkey,bird,Retail,,,35000,42000,3100,36000,36000,,37000,,60000,35586,,
"",,wholesale,,,25000,35000,3000,33000,34000,,35000,,50000,30714.2857,,
Pulses,,,,,,,,,,,,,,,,
Cow Peas,1Kg,Retail,3000,2400,3000 1400,2000,4000,2150,,1200 2500,1500,,3000,2377,,
"",,wholesale,2700,2000,2400 1200,1800,3500,1970,,1100 2400,1300,,2900,2115,,
Nambale Beans,1Kg,Retail,2000,1400,1800 1200,1700,1300,1600,,1600,1500,1700,1300 1700,1567,,
"",,wholesale,1800,1200,1700 1000,1400,1200,1450,,1500,1300,1500,1200 1500,1396,,
Soya Beans,1Kg,Retail,1600,1600,2600 2100,1500,1400,1350,,1500 1500,1200,1200,1500,1588,,
"",,wholesale,1200,1300,2000 2000,1200,1250,1200,,1400 1300,1000,1150,1300,1358,,
Yellow Beans,1Kg,Retail,2200,1500,2400 1050,2200,2000,1800,,2000 2200,1700,1900,2000,1913,,
"",,wholesale,2000,1200,1800 850,1800,1800,1600,,1700 2000,1500,1600,2000,1654,,
Root Crops,,,,,,,,,,,,,,,,
Cassava Flour,1Kg,Retail,700,900,1600 1300,800,500,450,,900 500,600,700,900 1000,835,,
"",,wholesale,500,550,1400 800,400,400,340,,800 400,500,500,800 850,634,,
Dry Fermented Cassava,1Kg,Retail,,,650,,350,280,,180,250,,,342,,
"",,wholesale,,,400,,300,240,,160,220,,,264,,
Fresh Cassava,1Kg,Retail,500,300,1500 1200,350,400,900,,150 220,250,330,1000 1200,638,,
"",,wholesale,300,200,1200 600,250,350,700,,130 200,210,280,900 1200,502,,
Irish Potatoes,1Kg,Retail,1000,800,2100 1700,500,550,800,,800 600,1000,1300,370 1200,978,,
"",,wholesale,500,600,1700 1200,400,450,750,,700 550,800,1200,350 1200,800,,
Orange Fleshed S.Potato,1kg,Retail,5000,,,,500,,,,250,340,1200,1458,,
"",,wholesale,4000,,,,400,,,,200,300,1200,1220,,
Sun Dried Cassava,1kg,Retail,,400,1500,800,350,290,,200 200,260,300,1000,530,,
"",,wholesale,,350,1000,400,300,245,,170 180,220,250,800,392,,1500
White fleshed s.Potato,1Kg,Retail,1000,500,2800 1000,500,400,1200,,280 380,250,340,1000 1200,835,,
"",,wholesale,500,400,2600 700,400,350,900,,270 300,200,300,900 1200,694,,1500
Traditional Cash Crops,,,,,,,,,,,,,,,,
Coffee (Arabica),1Kg,Retail,,1800,950,,,2495,,1000 6500,,,,2549,,
"",,wholesale,,1600,750,,,2385,,900 6400,,,,2407,,
Coffee (Robusta),1Kg,Retail,,,,,,,,2400,,,,2400,,
"",,wholesale,,,,,,,,2200,,,,2200,,
