"",,,,,CENTRAL,,,,EASTERN,,NORTHERN,,,WESTERN,,
Commodity,Weight,,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Kapch' Jinja,Soroti,Arua Lira,Hoima,Kabale,Kasese Kisoro,Mbarara,Avg
Irish Potatoes,Kg,Retail,530,800,700,560,500,650,400 700,900,1300 1400,500,350,220 375,1500,712
"",,Wholesale,450,600,550,480,450,530,300 600,750,1200 1200,450,320,200 350,1000,589
Maize Flour,Kg,Retail,1300,1400,1400,1400,1200,1250,1200 1300,1200,1500 1800,1200,1300,1000 1000,1300,1297
"",,Wholesale,1100,1200,1200,1200,1020,1050,1000 1200,1000,1400 1500,1100,1150,1000 700,1200,1126
Maize Grain,Kg,Retail,1000,450,1000,900,540,700,600 630,550,650 1200,450,800,600,1000,738
"",,Wholesale,850,350,700,700,520,600,500 580,500,600 1000,400,620,500,900,621
Matooke,Kg,Retail,400,450,212,410,330,420,300 280,350,450 1500,300,300,200 250,1800,497
"",,Wholesale,330,350,188,360,300,360,200 250,300,400 1150,,275,180 200,1000,390
Matooke (Bunch),Bunch,Retail,5500,6300,8500,,10000,15000,6000 14000,10000,7500 12500,5000,8000,6000 10000,10000,8953
"",,Wholesale,4500,4700,7500,,8000,13000,4000 12500,9000,7000 10000,,6500,5500 8000,9000,7800
Milk,Ltrs,Retail,800,700,800,900,700,700,500 800,800,1000 900,700,500,3000 700,500,875
"",,Wholesale,700,500,400,800,600,500,400 700,700,900 900,500,450,3000 500,400,747
Millet Flour,Kg,Retail,1600,1600,1400,1900,1800,1500,1500,1400,1500 1000,2000,1700,1200 1500,1800,1560
"",,Wholesale,1400,1400,1200,1500,1400,1300,1200,1350,1500 1000,,1350,1100 1400,1600,1336
Millet Grain,Kg,Retail,2000,1300,1900,1000,850,1250,1000 1100,850,1100 600,1000,1250,1100 1500,1400,1200
"",,Wholesale,1400,900,1400,850,800,1100,1000 1000,750,900 550,800,950,1000 1100,1300,988
Pineapple,whole,Retail,,2000,,,,1500,1800,,,,,,,1767
"",,Wholesale,,1800,,,,1200,1600,,,,,,,1533
Pork,Kg,Retail,,2000,,,,,2000,,,,,5000,,3000
"",,Wholesale,,2800,,,,,1800,,,,,4500,,3033
Rice (Kayiso),Kg,Retail,1700,2200,2400,1800,1600,1700,1700,1800,2000 2500,,,1800 2800,2500,2038
"",,Wholesale,1600,2000,2000,1600,1450,1500,1600,1700,1800 2200,,,1800 2500,2240,1845
Rice (Super),Kg,Retail,2000,3500,1800,2400,2500,2000,2000,1950,2200 2500,,2200,2000 2000,2200,2232
"",,Wholesale,1900,3000,1600,1950,1800,1800,1900,1800,1900 2200,2000,2000,2000 1800,1800,1963
Rice (Upland),Kg,Retail,1600,,2000,1800,1700,1600,700 1700,2000,1800 2200,,2000,1800 1800,2000,1764
"",,Wholesale,1500,,1800,1600,1500,1400,500 1600,1800,2000,,1850,1800 1700,1700,1596
Simsim,Kg,Retail,3000,700,,3000,2500,2200,1800,2100,2000 2000,2600,4000,2000,2550,2342
"",,Wholesale,2800,600,,2400,1800,1800,1700,2000,1700 1800,2000,,2000,2500,1925
Sorghum Flour,Kg,Retail,1200,1500,,1000,1000,1200,1500 800,650,1500 800,,,1200 1000,1450,1138
"",,Wholesale,900,1000,,700,800,1000,1350 700,600,1100 600,,,1100 900,1400,935
Sorghum Grain,Kg,Retail,1200,2100,,800,550,800,700,550,1000 600,,,1000 1000,2500,1067
"",,Wholesale,900,1900,,500,520,700,650,500,900 500,,,1000 900,2400,948
Soya Beans,Kg,Retail,2500,600,1500,1400,1100,1200,200 1700,1400,1200 1200,900,1200,1600,,1264
"",,Wholesale,2300,400,1400,1000,900,900,150 1600,1300,800 1000,800,900,1400,,1061
Sunflower,Kg,Retail,,,,,380,1000,,400,450,,,1800,,806
"",,Wholesale,,,,,350,850,,350,400,,,1700,,730
Sweet Potatoes,Kg,Retail,330,25000,1000,325,500,650,290,250,350 500,500,200,330 150,1500,2125
"",,Wholesale,260,20500,700,275,450,510,270,200,300 500,220,140,300 100,1000,1715
Tea (Unprocessed),Kg,Retail,,3000,,,400,,,,,,,,,1700
"",,Wholesale,,2500,,,350,,,,,,,,,1425
Turkey,bird,Retail,,,30000,35000,25000,28000,30000,29500,,,,,,29583
"",,Wholesale,,,25000,30000,23000,25000,27000,27500,,,,,,26250
Vanilla (Unprocessed),Kg,Retail,,,,2700,,,,,,,,4000,,3350
"",,Wholesale,,,,2300,,,,,,,,2000,,2150
