Commodity,,,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Maize Grain,Kg,Retail,1100,650,1500,1000,1300,1000,600,600,650,400,700,800,850,900,1000,620,700,1000,620,1200
"",,Wholesale,1000,600,1350,700,1000,900,580,500,570,300,650,750,750,850,800,600,620,900,550,1100
"",,,,,,,,,,,,,,,,,,,,,,
Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Matooke,Kg,Retail,320,150,750,200,450,360,280,400,180,400,1500,550,400,,1000,500,250,550,600,700
"",,Wholesale,240,100,700,150,400,320,260,350,150,350,1000,500,350,,800,,220,500,450,500
Matooke (Bunch),Bunch,Retail,6500,6000,10000,9000,9000,8000,8500,13000,9000,8000,10000,10000,10000,15000,14000,8000,7000,11000,9000,5500
"",,Wholesale,5500,4000,8000,7000,8500,7000,6000,10000,7500,6000,7000,9500,9500,13000,6000,,5000,10000,5500,5000
Milk,Ltrs,Retail,900,800,600,900,800,900,1000,1000,800,550,800,800,1000,1000,1000,700,750,750,800,600
"",,Wholesale,800,700,500,800,700,800,900,800,700,350,700,700,900,800,800,600,600,700,600,500
Millet Flour,Kg,Retail,1200,1400,1600,1500,2000,2000,2000,1200,1660,1800,1700,1450,1800,1400,2500,2400,1600,1400,1600,1700
"",,Wholesale,900,1300,1500,1300,1800,1600,1700,1000,1400,1700,1500,1300,1700,1200,2000,,1300,1350,1400,1400
Millet Grain,Kg,Retail,1200,1300,1000,1400,2000,1100,1150,1050,1300,1300,1200,1000,1450,1300,1200,1500,1200,1100,1250,1300
"",,Wholesale,900,1200,800,1200,1700,1000,1050,880,1200,1200,1150,900,1400,1100,1000,1000,1050,1000,850,1000
Pineapple,whole,Retail,1200,800,1200,800,1800,1000,1200,1600,2500,,1000,1550,1600,2800,2500,1500,,1600,2000,1000
"",,Wholesale,900,500,800,600,1500,700,800,1000,2300,,800,1450,1400,2000,2000,1000,,1400,1200,800
Pork,Kg,Retail,4500,5000,5000,4500,,5000,5000,,6000,4000,4000,4000,5000,4500,5000,5000,4500,4800,4000,6000
"",,Wholesale,4000,4500,4500,3500,,3500,4200,,5000,3600,3500,3800,5000,4300,4500,,3800,4500,3000,5000
Rice (Kayiso),Kg,Retail,2200,2800,2400,2400,,2000,2400,1600,1800,2200,1700,2200,,2400,2200,,2600,,2500,2500
"",,Wholesale,2000,2500,2300,2000,,1800,2200,1400,1600,2100,1600,2100,,2200,2000,,2200,,2400,2300
Rice (Super),Kg,Retail,2400,2500,2400,2300,2500,2400,2600,2100,2400,2500,2300,2400,2500,3000,2500,,2500,2400,2600,2500
"",,Wholesale,2200,2300,2300,1800,2300,2100,2400,1900,2100,2400,2100,2200,2000,2800,2300,,,,2500,2400
Rice (Upland),Kg,Retail,2000,2200,2400,2300,2500,2000,2300,1700,1800,,,,2400,2700,2200,2000,2400,,2300,2000
"",,Wholesale,1900,2000,2250,1800,2300,1800,2100,1450,1600,,,,2200,2500,2000,1800,1850,,2100,1800
Simsim,Kg,Retail,3000,,2100,3300,,2800,2300,2200,3000,,2500,2500,3000,2500,2500,,,,3000,
"",,Wholesale,2800,,1900,2900,,2400,2100,2000,2800,,2400,2300,,2300,2300,,,,2500,
Sorghum Flour,Kg,Retail,1000,900,,,1800,1200,1000,1100,1000,900,800,1000,1600,1200,700,,1500,1400,,
"",,Wholesale,700,800,,,1500,900,800,850,900,700,700,900,1500,1000,500,,1400,1300,,
Sorghum Grain,Kg,Retail,700,800,1200,,1600,1000,650,950,800,,700,800,1100,900,900,,1100,1100,800,
"",,Wholesale,500,700,1000,,1400,700,600,750,700,,650,700,1000,800,800,,1000,1000,600,
Soya Beans,Kg,Retail,2000,1400,1800,1400,1650,1600,1400,1250,1300,1800,1600,1200,1500,1700,1000,,1450,,1500,1500
"",,Wholesale,1800,1200,1500,1300,1500,1300,1100,1150,1000,1700,1300,1000,1200,1500,800,,1400,,1300,1400
Sunflower,Kg,Retail,,,,,,,400,,,,,,,,,,,,,
"",,Wholesale,,,,,,,370,,,,,,,,,,,,,
Sweet Potatoes,Kg,Retail,590,150,1000,1000,400,450,600,1000,330,300,150,450,750,1000,,700,200,1000,650,
"",,Wholesale,470,100,800,600,350,400,550,800,320,200,140,400,650,800,,450,170,900,450,
Turkey,bird,Retail,,,28000,,30000,35000,34000,35000,44000,,,34000,,,,,,,27000,30000
"",,Wholesale,,,25000,,27500,30000,28000,32000,42000,,,31000,,,,,,,26000,20000
Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,,,,,,3000,
"",,Wholesale,,,,,,,2300,,,,,,,,,,,,2500,
