""
"",Apple Bananas,Kg,Retail,1000,600,800,500,700,750,800,275,500,500,700,800,1200,650,700,400,600,675
"",,,Wholesale,800,400,500,450,400,700,700,250,400,450,600,650,1000,600,600,300,400,541
"",Beef,Kg,Retail,5000,4000,5000,5000,5000,5000,4500,6500,,5000,5000,6000,5000,4000,4200,5000,4000,4888
"",,,Wholesale,4500,3500,4500,4500,3800,4500,4000,6000,,4800,5000,5800,4500,3500,4000,4500,3800,4450
"","Cassava, Dry Fermented",Kg,Retail,,,,,,500,500,,,700,1000,650,400,,550,,,614
"",,,Wholesale,,,,,,480,380,,,650,1000,600,400,,500,,,573
"","Cassava, Flour",Kg,Retail,800,800,650,1000,1000,700,800,,,800,1200,800,800,1100,700,1000,650,853
"",,,Wholesale,700,600,400,800,850,620,650,,,750,1200,700,600,750,680,800,400,700
"","Cassava, Fresh",Kg,Retail,470,500,700,350,450,530,700,230,,450,850,900,500,600,800,400,800,577
"",,,Wholesale,400,300,500,300,400,500,600,220,,350,750,800,500,500,700,300,500,476
"","Cassava, Sun dried",Kg,Retail,,400,,,1000,530,480,,,760,1000,900,500,,600,,700,687
"",,,Wholesale,,300,,,850,500,360,,,650,1000,800,500,,500,,500,596
"",Cavendish (Bogoya),Kg,Retail,1300,500,1100,600,800,1000,1200,600,600,500,700,,1200,1100,1200,400,1500,894
"",,,Wholesale,950,300,800,550,600,900,1000,500,500,450,600,,1000,900,1000,300,1000,709
"","Chicken, Exotic",bird,Retail,8000,8000,9000,8000,6500,8000,6500,8000,,9500,,8500,6000,9500,6400,,6500,7743
"",,,Wholesale,7500,6500,7000,7500,5500,6000,5500,7000,,9000,,7500,5000,8000,6000,,5000,6643
"","Chicken, Local",bird,Retail,15000,10000,10000,14000,,15000,14000,13000,8000,10000,15000,16000,10000,14000,16000,15000,8500,12719
"",,,Wholesale,13000,9000,8000,12000,12000,13000,12000,11000,6000,9500,14500,15000,7000,11000,15000,13000,7500,11088
"",Coffee (Unprocessed),Kg,Retail,,,1000,,,,1700,1200,,,,,,,2500,2000,,1680
"",,,Wholesale,,,800,,,,1500,1100,,,,,,,2400,1600,,1480
"",Cotton (Unprocessed),Kg,Retail,,,,,,,,800,,,,,,,,,,800
"",,,Wholesale,,,,,,,,700,,,,,,,,,,700
"",Cow Peas,Kg,Retail,2000,2300,1600,2500,1400,2500,1800,2300,,1200,1600,1350,1600,1500,2200,1500,,1823
"",,,Wholesale,1800,2000,1400,2000,1200,2200,1650,2000,,1000,1200,1300,1400,1400,2100,1400,,1603
"","Dried Beans, Agwede",Kg,Retail,,,1400,,,800,1400,1200,,1200,1200,900,400,,,,,1063
"",,,Wholesale,,,1200,,,700,1300,1000,,1100,,850,400,,,,,936
"","Dried Beans, Nambale",Kg,Retail,1400,1000,1200,1900,1200,1300,1300,1500,1200,1500,1300,1450,800,1300,1200,,,1303
"",,,Wholesale,1300,800,1000,1600,1000,1150,1100,1350,1100,1400,1200,1350,600,900,1000,,,1123
"","Dried Beans, Others",Kg,Retail,1600,1200,1200,1900,1500,1050,1300,1300,1200,1200,1400,1350,,1000,1400,1100,900,1288
"",,,Wholesale,1400,1000,1000,1600,1150,1000,1200,1200,1100,1100,1300,1200,,850,1200,900,700,1119
"","Dried Beans, Yellow",Kg,Retail,1600,1300,1200,1900,1600,1700,1400,1600,,1500,,1500,1600,1200,1000,900,900,1393
"",,,Wholesale,1400,1100,1000,1600,1300,1550,1250,1500,,1450,,1450,1400,900,900,800,800,1227
"","Eggs, Exotic",tray,Retail,5300,6000,6500,6000,6000,4700,6300,5200,9000,5700,7500,6000,6000,5500,5500,6500,6000,6100
"",,,Wholesale,5000,5500,4700,5800,5000,4400,5300,5000,7000,5600,6000,5800,6000,4500,5000,5500,5000,5359
"","Eggs, Local",tray,Retail,11000,8500,7500,15000,9000,11000,8500,6500,,7000,7500,,6000,9000,7200,9900,9000,8840
"",,,Wholesale,9000,7000,6000,13000,7000,9000,6600,6000,,6900,,,6000,7500,7000,7500,8500,7643
"","Fish, Nile Perch",Kg,Retail,5500,6000,,,7000,7000,5500,7000,,4000,5000,5200,4500,8000,,,5000,5808
"",,,Wholesale,5000,4800,,,6000,6000,4500,6500,,3500,5000,4700,4000,6500,,,4500,5083
"","Fish, Tilapia",whole,Retail,3500,5000,4000,4500,4500,5500,6000,9000,2000,5000,5500,4600,6000,7000,3500,6000,5000,5094
"",,,Wholesale,3000,4200,3000,4000,3800,5000,5000,8000,1800,4500,5000,4300,5000,6500,3000,4000,4500,4388
"",Goat Meat,Kg,Retail,6000,5000,5500,6000,6000,6000,5000,,5000,5000,5500,6000,5000,5000,6000,6000,5000,5500
"",,,Wholesale,5000,3700,4500,,5000,4600,4500,,4800,4800,5500,5800,4500,4500,5800,5000,4000,4800
"","Groundnuts, Unpounded",Kg,Retail,2500,2400,2200,3000,2500,2500,2500,2400,2400,2000,2500,2700,2000,2400,2300,2500,2500,2429
"",,,Wholesale,2300,2100,2000,2500,2250,2100,2300,2300,2300,1900,2200,2500,1800,2250,2200,2300,2400,2218
"","Honey, Processed",Kg,Retail,7500,10000,,8000,8000,,7000,6000,,6400,,,,4000,,7000,10000,7390
"",,,Wholesale,7000,8000,,7000,7000,,6000,5000,,6100,,,,3400,,6000,9000,6450
"","Honey, Unprocessed",Kg,Retail,6500,7500,,4500,7500,,3000,4000,,3000,2500,4500,,7000,,,10000,5455
"",Irish Potatoes,Kg,Retail,480,1000,1000,800,600,600,700,800,,900,1000,1000,800,450,800,416,900,765
"",,,Wholesale,400,700,700,750,500,550,630,700,,800,800,900,600,420,700,400,500,628
"",Maize Flour,Kg,Retail,1400,1500,1300,1500,1400,1200,1300,1300,1500,1400,1500,1500,1500,1300,1200,1800,1100,1394
"",,,Wholesale,1200,1250,1100,1400,1200,1050,1100,1200,1300,1300,1360,1400,1200,1150,1100,800,1000,1183
"",Maize Grain,Kg,Retail,1000,500,1000,1200,800,700,700,700,800,750,800,580,1000,1000,1000,500,1000,825
"",,,Wholesale,900,460,700,1000,700,680,630,680,750,700,720,550,800,620,900,450,800,708
"",Matooke,Kg,Retail,370,600,212,450,450,350,500,320,400,500,450,,1200,450,800,250,800,50
"",,,Wholesale,300,450,188,400,410,320,400,300,300,450,400,,1000,400,700,225,600,428
"",Matooke (Bunch),Bunch,Retail,7000,10000,8500,9000,10000,10000,16000,16000,8000,10000,10000,16300,10000,13000,11000,10000,6000,1063
"",,,Wholesale,6000,5700,7500,8000,9000,8000,14000,15000,6000,9500,9300,15800,7000,10000,10000,9000,4500,907
"",Milk,Ltrs,Retail,800,800,700,800,800,800,1000,800,530,750,1000,1000,1200,600,750,600,500,790
"",,,Wholesale,700,600,400,700,700,700,800,700,500,700,800,800,1000,500,700,500,400,65
"",Millet Flour,Kg,Retail,1200,1600,1500,1800,1900,2000,1400,1500,1050,1450,1600,1100,1400,1500,1400,1300,1200,1465
"",,,Wholesale,900,1400,1300,1500,1500,1600,1100,1300,1000,1300,1500,900,1200,1200,1350,1200,1000,125
"",Millet Grain,Kg,Retail,1200,1200,1400,,1100,1100,1000,1200,,1100,1200,1300,800,1200,,1200,1000,1143
"",,,Wholesale,900,800,1200,,1000,1000,850,1100,,1000,1000,1100,600,950,,1100,800,957
"",Pineapple,whole,Retail,1000,1300,800,2200,1500,1200,2200,2000,,1550,3000,1900,2500,500,,800,1000,156
"",,,Wholesale,800,1200,700,2000,1200,800,1800,1800,,1400,,1700,2000,350,,500,800,1218
"",Pork,Kg,Retail,5000,4000,4000,,5000,5000,,6500,,4000,,4500,4500,4800,6000,5000,7000,502
"",,,Wholesale,4500,2900,3500,,3500,4500,,5500,,3800,,4300,4000,3800,5800,4500,6500,439
"",Rice (Kayiso),Kg,Retail,1900,2250,2400,2500,2500,2000,2200,2200,,2200,2400,1900,2200,2500,,2800,2300,228
"",,,Wholesale,1800,2100,2000,2200,1900,1800,1900,1950,,2100,2300,1840,2000,2200,,2500,2000,203
"",Rice (Super),Kg,Retail,2400,2600,2000,2500,2600,2300,2500,2500,2000,2400,2500,2400,2200,2800,2400,2200,2000,2371
"",,,Wholesale,2300,2400,1800,2200,2300,2100,2300,2300,1800,2200,2400,2300,2000,2600,2300,2000,1550,2168
"",Rice (Upland),Kg,Retail,1800,2200,2000,2500,2100,2000,2000,2200,,,2400,1730,2000,2300,1540,2000,1800,203
"",,,Wholesale,1700,2000,1800,2200,1900,1800,1800,2100,,,2000,1680,1800,1850,1530,1800,1500,1831
"",Simsim,Kg,Retail,3000,3000,,5000,2600,2500,2300,1800,,2500,2200,2780,2400,3800,2100,,2300,2734
"",,,Wholesale,2800,2500,,4500,2200,1900,2100,1600,,2300,1700,2700,2000,2800,2000,,2000,236
