"",,,,,,Central,,,,,,Eastern,,,,Northern,,,Western,,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale Kisoro,Mbarara,Avg
Apple Bananas,Kg,Retail,1000,700,950,1350,1000,1000,1200,1300,240,500,1000,550,600,1200,,1500,900 600,1300,938
"",,Wholesale,800,500,900,800,800,700,1100,900,220,400,800,500,500,1000,,1000,800 400,1200,740
Beef,Kg,Retail,5000,5000,5000,5000,5000,5000,5000,5000,6000,5000,4500,6000,5000,5000,5000,4000,4000 4000,3800,4858
"",,Wholesale,4500,4500,5000,4500,4500,3800,4500,4500,5000,4500,4300,5800,5000,4800,5000,,3500 3500,3500,4483
"Cassava, Dry Fermented",Kg,Retail,,,,,,,600,500,280,,,550,850,,,,,1000,630
"",,Wholesale,,,,,,,550,400,260,,,500,800,,,,,800,552
"Cassava, Flour",Kg,Retail,800,1200,1300,1050,1300,1000,750,1000,1200,1000,900,1000,850,1400,1000,1200,1200 1000,1350,1079
"",,Wholesale,700,1000,1200,800,1200,800,680,800,1000,900,800,700,800,1100,950,800,1000 700,1220,903
"Cassava, Fresh",Kg,Retail,450,400,1000,1100,500,400,620,1000,320,500,180,500,600,1300,1000,400,1500 600,1000,704
"",,Wholesale,400,300,1000,800,450,330,570,800,300,400,170,400,500,1000,800,300,1300 450,700,577
"Cassava, Sun dried",Kg,Retail,,,550,,,1000,600,500,650,,700,600,850,1300,1000,1000,500,1400,819
"",,Wholesale,,,450,,,800,550,400,630,,650,500,800,1100,900,700,400,1000,683
Cavendish (Bogoya),Kg,Retail,1300,,,1200,,1000,1700,2200,670,600,2000,550,600,,2000,1500,2800 700,1800,1375
"",,Wholesale,1200,,,900,,800,1000,1600,630,500,1500,500,500,,1800,1000,2400 350,1500,1079
"Chicken, Exotic",bird,Retail,7500,,8500,10000,9000,6500,8000,5500,7000,,7000,8500,7000,9000,5000,7500,10000 8000,12000,8000
"",,Wholesale,7000,,8000,8500,8500,5000,6000,4800,6500,,5500,8000,,7500,4000,6000,9000 6000,12000,7019
"Chicken, Local",bird,Retail,12000,13000,18000,15000,9000,,18000,12000,15000,10000,7500,9000,10000,13500,9000,12000,15000 10000,14000,12333
"",,Wholesale,10000,12000,15000,12000,8500,11500,15000,9000,14000,8000,6000,8500,9000,12800,6000,9000,12000 9000,12000,10489
Coffee (Unprocessed),Kg,Retail,,,1400,,,,,,1100,,,,,,,,1000,,1167
"",,Wholesale,,,1200,,,,,,1000,,,,,,,,850,,1017
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,800
"",,Wholesale,,,,,,,,,700,,,,,,,,,,700
