Cow Peas,Kg,Retail,2000,1900,2000,2600,2500,3000,2800,1800,2400,1800,2000,1800,2000,1400,1500,,2200,1400,2065
"",,Wholesale,1800,1800,1800,2400,2000,2500,2500,1600,2300,1700,1700,1400,,1200,1000,,2000,1200,1806
"Dried Beans, Agwede",Kg,Retail,,,2000,1600,,1200,1200,1650,1600,,,1500,,,1300,,,1600,1517
"",,Wholesale,,,1800,1300,,1000,1100,1480,1500,,,1300,,,1200,,,1500,1353
"Dried Beans, Nambale",Kg,Retail,2000,,2000,2800,2500,1600,1500,1700,1800,1200,1300,1600,1700,1700,1300,1600,1600 1800,1700,1744
"",,Wholesale,1800,,1800,2000,2200,1400,1400,1550,1700,1000,1200,1500,1450,1500,1200,1200,1400 1550,1300,1508
"Dried Beans, Yellow",Kg,Retail,2000,1300,2000,1500,1800,1800,1550,1700,2400,,2000,1600,1700,1600,1500,1600,1400 1900,1000,1686
"",,Wholesale,1800,1200,1800,1200,1700,1600,1400,1600,2200,,1800,1500,1600,1400,1300,1200,1200 1700,800,1500
"Eggs, Exotic",tray,Retail,5000,6500,6000,6500,5800,6000,5000,6400,7000,6000,5500,5800,7500,6000,6000,5500,8000 6000,7000,6184
"",,Wholesale,4500,6000,5500,4800,5500,5200,4500,5000,6000,5500,5300,5600,6000,5800,5700,5000,6500 5500,6500,5495
"Eggs, Local",tray,Retail,10000,9000,6500,9000,12000,9000,11000,8800,8500,7000,9000,7200,7500,,6500,9000,9000 10000,8000,8722
"",,Wholesale,9000,7500,6000,7500,1100,7000,9000,6800,8000,6500,7500,7100,6000,,6000,7500,7500 9000,5500,6917
"Fish, Nile Perch",Kg,Retail,5500,,7000,5500,,7000,7000,5000,7000,,5000,5000,5000,4200,7000,,10000 5500,6000,6113
"",,Wholesale,5000,,7000,4500,,6000,6000,4000,6000,,4500,4500,5000,3400,6000,,8000 4500,6000,5360
"Fish, Tilapia",whole,Retail,3500,5000,5000,5500,4500,4500,5500,5500,9000,,3500,5000,6800,4800,7000,6000,8000 4500,6500,5561
"",,Wholesale,3000,3500,4500,4500,4000,4000,4500,4400,8000,,3000,4500,,4300,6000,,7000 4000,5500,4669
Goat Meat,Kg,Retail,6000,6000,6000,5500,6000,6000,5000,5500,6000,5000,5000,5000,5500,6000,5000,5000,5000 4500,5000,5421
"",,Wholesale,5000,5000,6000,4500,5700,4800,4500,4500,5000,4500,4800,4800,5500,5800,5000,,4800 3600,4500,4906
"Groundnuts, Unpounded",Kg,Retail,2800,2400,3000,2200,3000,2800,2700,2800,2800,2800,2200,2300,3000,2700,2600,3000,2800 2700,2800,2705
"",,Wholesale,2600,2200,2800,2100,2500,2500,2450,2650,2700,2700,2000,2100,,2500,2400,2200,2700 2400,2500,2444
"Honey, Processed",ltr,Retail,7500,7000,3500,5500,8000,8000,,8300,4000,,,6400,,,,,8000 10000,8000,7017
"",,Wholesale,7000,6000,3500,4000,7500,7000,,7200,3000,,,6000,,,,,6500 8000,7500,6100
"Honey, Unprocessed",ltr,Retail,,3500,2500,,5000,6500,,5200,2500,,10000,3300,,,,,6000 7500,10000,5636
"",,Wholesale,,3100,2200,,4500,6000,,4200,2000,,8000,3100,,,,,5000 6500,9000,4873
Irish Potatoes,Kg,Retail,660,500,1200,1500,1000,700,600,700,900,400,600,700,1000,1400,1200,800,460,,842
"",,Wholesale,580,475,1000,1200,900,600,550,600,800,350,560,600,,1250,1000,700,458,,726
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Mbarara,Avg
Maize Flour,Kg,Retail,1500,1300,1500,1400,1600,1500,1300,1200,1500,1200,1000,1400,1600,1300,1800,1400,2000,1500,1500,1447
"",,Wholesale,1400,1100,1200,1200,1800,1300,1150,1050,1400,1000,800,1200,1400,1200,1000,1300,1800,1250,1400,1261
Maize Grain,Kg,Retail,1100,900,1200,1000,1400,1100,650,600,650,600,650,600,650,700,700,650,1500,600,1200,866
"",,Wholesale,1000,800,1000,700,1200,1000,630,550,630,500,600,500,550,580,650,600,1400,500,1100,763
Matooke,Kg,Retail,470,375,1500,300,500,690,400,450,260,400,1200,500,400,,1200,500,,800,700,626
"",,Wholesale,410,325,1200,250,400,590,370,400,220,300,1000,450,350,,1000,,,600,600,529
Matooke (Bunch),Bunch,Retail,12000,15000,16000,12000,12000,15000,18000,16000,13000,8000,13500,10000,10000,14500,,10000,22000,12000,9000,13222
"",,Wholesale,10000,13000,15000,9000,11000,13000,16000,13000,11000,6000,12000,8000,9500,13500,,,16000,8000,7000,11235
Milk,Ltrs,Retail,1000,1000,750,1000,1000,1000,1000,1000,800,550,900,800,1000,1000,800,800,500,900,600,863
"",,Wholesale,800,900,700,800,900,900,900,900,700,400,800,700,1000,800,600,600,450,600,500,734
Millet Flour,Kg,Retail,1200,1600,1500,1500,2000,2000,2000,1600,1500,1800,1800,1500,2000,1400,,2400,2000,1600,1700,1728
"",,Wholesale,900,1500,1200,1300,1800,1600,1800,1300,1400,1700,1700,1350,1800,1150,,,1800,1400,1500,1482
Millet Grain,Kg,Retail,1200,1500,1200,1600,1700,1200,1200,1200,1200,1300,1300,1100,1600,1200,,1200,1500,1250,1500,1331
"",,Wholesale,900,1400,100,1400,1600,1000,1150,1100,1100,1200,1250,1000,1500,1000,,1000,1400,950,1200,1125
Pineapple,whole,Retail,1300,,2000,,1700,2000,1500,2200,2400,,2500,1400,,2300,,,,2000,,1936
"",,Wholesale,1000,,1800,,1500,1500,1000,1600,2300,,2000,1100,,2000,,,,1400,,1564
Pork,Kg,Retail,5000,5000,5000,4500,,5000,4500,,5000,4000,3500,4000,5000,4500,5000,5000,6000,4000,,4688
"",,Wholesale,4500,4500,4500,3500,,3500,4000,,4500,3600,3000,3800,5000,4300,4500,,5000,3300,,4100
Rice (Kayiso),Kg,Retail,2000,2800,2500,2400,,2000,2200,1800,1800,2200,1700,2200,,2400,2000,,,2400,2600,2200
"",,Wholesale,1800,2500,2400,2000,,1800,2000,1680,1700,2100,1600,2000,,2200,1800,,,2300,2550,2029
Rice (Super),Kg,Retail,2400,2300,2500,2300,2600,2500,2500,2200,2400,2400,2400,2400,2200,2600,2500,2500,2500,2500,2350,2424
"",,Wholesale,2200,2200,2400,1800,2500,2300,2200,2050,2200,2300,2300,2200,2000,2400,2300,,2350,2350,2300,2242
Rice (Upland),Kg,Retail,2000,2000,2200,2300,2500,2000,2100,1850,1800,2000,,,2200,2300,2000,2200,2400,2300,,2134
"",,Wholesale,1800,1800,2000,1800,2300,1800,1900,1700,1700,1800,,,2000,2000,1800,1850,2200,2100,,1909
Simsim,Kg,Retail,3000,,2700,3300,5000,3000,3000,2500,3000,2500,3000,2500,2500,2700,2600,,,3000,4000,3019
"",,Wholesale,2800,,2500,2900,4000,2500,2400,2350,2800,2400,2800,2300,,2500,2400,,,2500,3800,2730
Sorghum Flour,Kg,Retail,1000,900,1400,,1800,1200,1000,1000,1200,1000,900,1000,1500,1350,,,900,,1000,1143
"",,Wholesale,700,800,1200,,1500,900,800,850,1100,900,850,700,1000,1200,,,800,,750,937
Sorghum Grain,Kg,Retail,700,800,1000,,,1000,700,750,1000,,600,600,1500,1200,,,,800,1200,912
"",,Wholesale,500,700,900,,,700,650,600,900,,550,500,750,900,,,,600,1100,719
Soya Beans,Kg,Retail,2000,1400,1800,1600,2300,1600,1000,1400,1700,1800,1900,1400,2000,,,2000,2700,1600,1400,1741
"",,Wholesale,1800,1200,1500,1400,2000,1400,800,1150,1600,1700,1500,1200,,,,1200,2500,1300,1000,1453
Sunflower,Kg,Retail,,,,,,,400,,,,,450,,,,,,,,425
"",,Wholesale,,,,,,,370,,,,,400,,,,,,,,385
Sweet Potatoes,Kg,Retail,470,333,1000,1500,400,400,620,1000,500,500,215,450,400,1200,500,300,1000,700,,638
"",,Wholesale,400,300,1000,1000,350,350,570,800,400,400,200,350,350,1000,400,200,800,500,,521
Turkey,bird,Retail,,,35000,,42000,45000,45000,33000,56000,,25000,35000,,,,,,30000,,38444
"",,Wholesale,,,30000,,35000,35000,35000,30000,53000,,20000,33000,,,,,,26000,30000,32700
Vanilla (Unprocessed),Kg,Retail,,,,,,,3700,,,,,,,,,,,3500,,3600
"",,Wholesale,,,,,,,3400,,,,,,,,,,,3000,,3200
