"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,1400,1200,1100,1300,1300,1200,1200,1200,1200,1500,1350,1600,1200,1300,1200,1000,1100,1000,1600,1256
"",,Wholesale,1200,1150,970,1000,1000,1050,1000,1000,1100,1300,1200,1400,1100,1150,1100,700,1000,700,1400,1084
Maize Grain,Kg,Retail,1000,1000,800,900,750,600,520,600,650,700,700,1200,450,1000,900,500,,450,1200,767
"",,Wholesale,900,800,600,800,600,500,500,500,550,600,615,1000,400,620,800,400,,400,1000,637
Matooke,Kg,Retail,350,800,200,600,360,420,250,400,350,500,,1000,300,We3i2g0,"t400",175,800,175,1000,452
"",,Wholesale,280,650,175,550,320,380,230,300,300,400,,800,,270,350,125,600,125,800,382
Matooke (Bunch),Bunch,Retail,7000,6300,8000,8000,8000,13000,12500,8000,9500,6800,14500,8000,6500,8500,7000,7000,6000,6000,14500,8506
"",,Wholesale,5500,5200,7000,7000,7000,11000,11500,6000,9000,6500,13500,6000,,6500,6500,5000,4000,4000,13500,7325
Milk,Ltrs,Retail,800,500,700,800,800,800,,500,800,1000,1000,1200,700,600,750,700,500,500,1200,759
"",,Wholesale,700,500,400,700,700,600,,400,700,900,800,1000,600,500,700,500,400,400,1000,631
Millet Flour,Kg,Retail,1200,1000,1900,1500,1900,1500,,,1500,1600,1250,800,2000,1600,1400,1200,,800,2000,1454
"",,Wholesale,900,850,1400,1300,1500,1200,,,1300,1500,1100,600,,K1a2le50r,e 1350,1100,,600,1500,1181
Millet Grain,Kg,Retail,1200,900,1400,1300,1000,1100,,1050,850,1000,,600,1000,1200,1300,1000,,600,1400,1064
"",,Wholesale,900,650,1200,1100,850,900,,1000,800,900,,400,800,950,1200,900,,400,1200,896
Pineapple,whole,Retail,1000,1300,1000,1300,,2500,1500,1200,1500,1500,1800,,1500,Luwe,"o1000",,1000,1000,2500,1392
"",,Wholesale,700,1000,700,1000,,1800,1000,1000,1300,1200,1400,,1000,,900,,500,500,1800,1038
Pork,Kg,Retail,5000,4200,4000,,5000,,5000,,4000,5000,4500,2000,5000,5000,5200,5000,6500,2000,6500,4671
"",,Wholesale,4500,3900,3500,,3800,,4500,,3800,5000,4200,1500,,3800,5000,4500,6000,1500,6000,4154
Rice (Kayiso),Kg,Retail,1700,1800,2400,2000,1900,1700,1700,1800,1800,2000,1900,2200,,2500,,2800,2500,1700,2800,2047
"",,Wholesale,1600,1600,2000,1800,1700,1500,1650,1600,1700,1800,1750,2000,,,,2500,2250,1500,2500,1818
Rice (Super),Kg,Retail,2200,2500,1800,2200,2400,2000,2300,2000,2000,2200,1900,2200,2000,2200,2200,2000,2200,1800,2500,2135
"",,Wholesale,2000,1950,1600,2000,2100,1800,2000,1800,1900,1900,1750,2000,,2000,2100,1800,1800,1600,2100,1906
Rice (Upland),Kg,Retail,1600,1700,2000,2200,1900,1700,1700,,,1800,1650,2000,1800,N2a0k0a0,a 1530,1800,2000,1530,2200,1825
"",,Wholesale,1600,1650,1800,2000,1700,1500,1650,,,,1500,1800,1600,1850,1500,1700,1700,1500,2000,1682
Simsim,Kg,Retail,3000,3000,,5000,3000,2200,2000,,2400,2000,2000,2000,2000,4000,2100,,2300,2000,5000,2643
"",,Wholesale,2800,2500,,4000,2400,2000,1700,,2300,1500,1900,1800,1500,Ig3a2n0g0,2000,,2000,1500,4000,2257
Sorghum Flour,Kg,Retail,1000,1800,,2000,1000,1100,700,700,650,1500,850,,,,1400,900,1300,650,2000,1146
"",,Wholesale,700,1600,,1800,700,900,600,500,550,1400,750,,,,1300,800,1200,500,1800,985
Sorghum Grain,Kg,Retail,700,1500,,1650,800,800,600,,500,1000,750,500,1000,Jinja,1100,1000,1000,500,1650,921
"",,Wholesale,500,1300,,1400,500,700,550,,380,900,650,400,600,,1000,700,800,380,1400,741
Soya Beans,Kg,Retail,,1600,1400,1600,1500,1350,1700,1500,1500,1700,,600,,K1a3p0c0,orwa950,1000,,600,1700,1362
"",,Wholesale,,1400,1300,1600,1000,1200,1300,1350,1300,1500,,500,,900,900,700,,500,1600,1150
Sunflower,Kg,Retail,,,,,,1000,,,400,,,600,,,,,,400,1000,667
"",,Wholesale,,,,,,800,,,350,,,500,,Sorot,,,,350,800,550
Sweet Potatoes,Kg,Retail,310,,700,450,350,900,240,300,250,500,700,800,600,250,,150,,150,900,464
"",,Wholesale,230,,500,400,300,750,200,200,200,450,450,600,300,150,,100,,100,750,345
Tea (Unprocessed),Kg,Retail,,,,4500,,,,,,,,,,Arua,,,,4500,4500,4500
"",,Wholesale,,,,4000,,,,,,,,,,,,,,4000,4000,4000
Turkey,bird,Retail,,,,22000,35000,24000,28000,,29000,,,32000,,,,,35000,22000,35000,29286
"",,Wholesale,,32000,,20000,30000,22000,24000,,27000,,,30000,,,,,,20000,32000,26429
Vanilla (Unprocessed),Kg,Retail,,,,5500,,,,,,,,,,,,,4000,4000,5500,4750
