"",,,,,,,,,,,,,,,,,,,,,,,,
"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,,,
"",,Wholesale,7000,8000,3500,6000,7000,7000,,5800,5500,,6000,2750,4200,4000,,3400,15000,6000,9000,6259,2750,15000
"Honey, Unprocessed",Kg,Retail,6500,7000,2600,,4500,7000,,2900,5000,,2800,2500,2100,4000,4000,7000,12000,3500,10000,5213,2100,12000
"",,Wholesale,6000,6000,2200,,4000,6000,,2600,4000,,2600,2100,1900,400L0i,a 2000,6500,10000,3100,9000,4500,1900,10000
Irish Potatoes,Kg,Retail,490,800,800,600,700,500,550,700,700,500,850,1000,1000,800,,390,600,375,800,675,375,1000
"",,Wholesale,420,700,800,450,650,400,520,550,600,400,800,900,900,800,1000,350,500,358,600,616,350,1000
Maize Flour,Kg,Retail,1400,1500,1200,1200,1300,1300,1100,1300,1300,1200,1200,1500,1300,150H0,im1a100,1300,1200,1000,1100,1263,1000,1500
"",,Wholesale,,,,,,,,,,,,,,,,,,,,,,
Commodity,,,,,,,,,,,,,,,,,,,,,,,,
Maize Grain,Kg,Retail,1000,500,1000,100,900,800,590,570,630,650,650,800,550,1500,600,1000,900,450,1200,757,100,1500
"",,Wholesale,900,450,800,700,800,700,570,520,620,600,600,700,520,1500,480,620,800,300,1000,694,300,1500
Matooke,Kg,Retail,360,500,1000,200,500,410,320,570,300,400,450,400,,900,500,500,350,200,800,481,200,1000
"",,Wholesale,300,400,700,175,450,360,280,380,260,300,350,350,,800,,400,300,150,600,386,150,800
Matooke (Bunch),Bun,hRetail,7000,8000,6500,8000,8000,9000,10000,14000,15000,8000,10000,7000,14800,10000,7000,12000,6500,9000,5000,9200,5000,15000
"",,Wholesale,5500,5000,5400,7000,7000,8000,7000,11000,13000,6000,9000,6500,14000,7000,,9500,6000,8000,4000,7717,4000,14000
Milk,Ltrs,Retail,800,700,500,700,800,900,1200,900,800,500,800,1000,1000,1200,700,500,750,700,500,787,500,1200
"",,Wholesale,700,500,500,400,700,800,700,700,700,400,700,800,800,1000,600,400,700,500,400,632,400,1000
Millet Flour,Kg,Retail,1200,1600,1000,1500,1700,1900,2000,1400,1500,,1400,1600,950,1500,2000,1500,1400,1200,800,1453,800,2000
"",,Wholesale,900,1400,850,1300,1500,1500,1600,1100,1300,,1300,1500,850,1400,,1200,1350,1100,700,1226,700,1600
Millet Grain,Kg,Retail,1200,1200,900,1400,1300,1100,950,1000,1200,1050,900,1000,900,1500,800,1200,1300,1100,850,1097,800,1500
"",,Wholesale,900,800,650,1200,1100,950,920,800,1100,1000,850,900,800,1500,700,950,1200,1000,750,951,650,1500
Pineapple,who,eRetail,1200,2500,1000,900,1000,1500,1200,2000,2500,,1500,1500,1700,2000,1500,500,1000,800,800,1394,500,2500
"",,Wholesale,1000,1200,600,700,1000,1200,700,1500,2000,,1400,1300,1500,1800,1000,350,800,500,500,1058,350,2000
Pork,Kg,Retail,5000,4000,4000,4000,,5000,5000,,6000,,4000,,4500,4500,5000,4800,5000,5000,7500,4887,4000,7500
"",,Wholesale,4500,2800,3800,3500,,3500,4000,,5000,,3800,,4200,4000,,3800,4800,4500,7000,4229,2800,7000
Rice (Kayiso),Kg,Retail,1900,2250,1600,2400,,2000,2000,1850,2000,1800,2000,2200,1650,2200,,2500,,2800,2500,2103,1600,2800
"",,Wholesale,1800,2100,1400,2000,,1800,1800,1700,1900,1600,1800,2000,1620,2200,,,,2500,2250,1898,1400,2500
Rice (Super),Kg,Retail,2500,2450,2200,1800,2500,2500,2300,2300,2500,2000,2200,2200,2000,2500,2200,2500,2200,2200,2200,2276,1800,2500
"",,Wholesale,2200,2300,2000,1600,2200,2300,2100,2000,2300,1800,2000,2000,1900,2200,,2200,2100,2000,1800,2056,1600,2300
Rice (Upland),Kg,Retail,1800,2200,1700,2000,2500,2000,2000,1700,2000,,2200,2000,1550,2000,1900,2000,1530,2000,1800,1938,1530,2500
"",,Wholesale,1600,2000,1500,1800,2200,1800,1800,1500,1900,,2000,1800,1490,1800,1800,1850,1500,1800,1500,1758,1490,2200
Simsim,Kg,Retail,,3000,2700,,5000,3000,2500,1800,2300,,2600,2000,2000,2400,,4000,2100,,2300,2693,1800,5000
"",,Wholesale,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
Sorghum Flour,Kg,Retail,,,1800,,1800,1000,900,950,800,700,700,1500,850,400,,1200,1400,800,1100,1060,400,1800
"",,Wholesale,,,1600,,1800,700,750,750,700,500,650,1400,800,400,,950,1300,700,1000,933,400,1800
Sorghum Grain,Kg,Retail,,700,1500,,1500,800,450,650,700,,500,1000,850,370,,1100,1100,750,900,858,370,1500
"",,Wholesale,,500,1300,,1400,500,400,550,600,,360,900,800,350,,,1000,650,700,715,350,1400
Soya Beans,Kg,Retail,2500,1500,1600,1400,1600,1500,1100,1200,2000,1500,1400,1500,,500,900,1400,,900,2400,1465,500,2500
"",,Wholesale,2300,1200,1400,1300,1400,1000,900,1050,1900,1350,1300,1000,,500,800,900,,800,2200,1253,500,2300
Sunflower,Kg,Retail,,1600,,,,,400,,,,400,,,500,,,,,,725,400,1600
"",,Wholesale,,1300,,,,,370,,,,350,,,400,Igan,a,,,,605,350,1300
Sweet Potatoes,Kg,Retail,470,600,1100,700,400,,450,1000,360,300,350,600,700,600,550,250,1000,200,,566,200,1100
"",,Wholesale,350,400,700,500,350,,420,700,320,200,300,550,600,500,350,150,900,150,,438,150,900
Tea (Unprocessed),Kg,Retail,,,,,,,,,,,,,,,Jinja,,,,,,,
"",,Wholesale,,,,,,,,,,,,,,,,,,,,,,
Turkey,bird,Retail,,27000,30000,,30000,35000,34000,27000,35000,,30000,,,30000,,,,,35000,31300,27000,35000
"",,Wholesale,,24000,25000,,25000,30000,25000,24000,32000,,28000,,,28000,Kapc,horwa,,,,26778,24000,32000
Vanilla (Unprocessed),Kg,Retail,,3000,,,,,2700,,,,,,,,,,,,3500,3067,2700,3500
