"",,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,WESTERN,,,,
Commodity,Weight,,Kalerwe,Nakawa Owino,Kiboga,Masaka,Iganga,Kapch',Jinja,Mbale,Soroti,Lira Arua,Hoima,Kasese,Kisoro Min,,Avg,Max
Apple Bananas,1Kg,Retail,,320,450,700,400,500,250,350,400,,,600,400 250,,437,700
"",,Wholesale,,280,300,500,300,400,200,300,350,,,600,300 200,,353,600
"Cassava, Dry farmented",1Kg,Retail,,420,,,350,,300,,400,400 600,,,300,,412,600
"",,Wholesale,,400,,,250,,250,,360,300 600,,,250,,360,600
"Cassava, Flour",1Kg,Retail,800,700 600,600,700,600,,600,900,600,"1,200 800",600,700,"1,000 600",,743,"1,200"
"",,Wholesale,650,540 530,400,500,500,,500,700,500,800 750,500,700,800 400,,598,800
"Cassava, Fresh",1Kg,Retail,500,440 450,300,"1,000",500,,250,700,300,"1,000 450",250,250,400 250,,485,"1,000"
"",,Wholesale,250,400 400,200,800,350,,200,600,250,500 350,165,200,300 165,,355,800
"Cassava, Sun dried",1Kg,Retail,,700 420,350,600,400,,400,700,400,350 600,450,,350,,488,700
"",,Wholesale,,540 380,250,450,300,,300,600,350,300 600,400,,250,,406,600
Cattle Steak,1Kg,Retail,"5,000","4,500 4,500","4,000","5,000","4,500","4,000","5,000","4,000","4,000","4,500 4,500","4,000","4,000","4,000 4,000",,"4,367","5,000"
"",,Wholesale,"4,500","3,800 3,800","3,200",,"4,300","3,800","4,500","3,800","3,800","4,500 4,500",,"4,000","3,700 3,200",,"4,015","4,500"
Cavendish (Bogoya),1Kg,Retail,"1,300","1,000 700",500,"1,200",,600,500,600,450,"1,000","1,000",800,450,,804,"1,300"
"",,Wholesale,"1,000",800 500,450,700,,500,450,500,400,900,400,800,400,,617,"1,000"
Chicken (Exotic),bird,Retail,"5,000","6,000 7,000","6,000","6,500","6,000","15,000","8,000","6,000","8,000","6,800","6,000","7,000","5,000",,"7,177","15,000"
"",,Wholesale,"4,500","5,000 5,500","5,000","5,500","4,500","10,000","7,000","6,000","7,500","6,200","5,500","6,500","4,500",,"6,054","10,000"
Chicken (Local),bird,Retail,"13,500","18,000","10,500","12,000","7,000","10,000","16,000","13,000","8,500","15,000 11,000","13,000","11,000","9,000 7,000",,"11,964","18,000"
"",,Wholesale,"12,000","10,000 14,000","8,500","8,000","5,000","8,000","14,000","10,000","8,000","7,500 10,000","10,000","10,000","6,500 5,000",,"9,433","14,000"
Coffee (Unprocessed),1Kg,Retail,,"1,200","1,100",,,,"1,200","3,040","3,000",,,,"1,000 1,000",,"1,757","3,040"
"",,Wholesale,,"1,100",800,,,,"1,100","2,600","2,700",,,,700 700,,"1,500","2,700"
Cotton (Unprocessed),1Kg,Retail,,"1,200",,,,,,,800,,,,800,,"1,000","1,200"
"",,Wholesale,,"1,100",,,,,,800,700,,,,700,,867,"1,100"
Cow Peas,1Kg,Retail,"1,800","1,400 2,600","2,000","1,800","1,700",,"2,000","1,600","1,000","2,500 1,800","3,000","2,200","2,000 1,000",,"1,957","3,000"
"",,Wholesale,"1,500","1,200 2,300","1,700","1,500","1,500",,"1,800","1,300",800,"2,000 1,700",,"2,200","1,900 800",,"1,646","2,300"
"Dried Beans, Agwede",1Kg,Retail,,"1,200 1,500",,,"1,350","1,200","1,400",,"1,100","900 1,200",,,900,,"1,231","1,500"
"",,Wholesale,,"1,000 1,400",,,"1,200","1,000","1,200",,"1,000","800 1,050",,,800,,"1,081","1,400"
"Dried Beans, Nambale",1Kg,Retail,"1,800","1,600 1,300","1,200","1,500","1,400",,"1,400","1,200","1,350","1,000 1,200","1,000","1,500","1,050 1,000",,"1,321","1,800"
"",,Wholesale,"1,700","1,400 1,200",900,"1,300","1,300",,"1,300","1,100","1,250","900 1,100",900,"1,500","1,000 900",,"1,204","1,700"
"Dried Beans, Others",1Kg,Retail,"1,700","1,100","1,400","1,400","1,400","1,200","1,200","1,200","1,250","900 1,200","1,000","1,500","1,400 900",,"1,275","1,700"
"",,Wholesale,"1,600",950,"1,200","1,200","1,250","1,000","1,100","1,100","1,150","800 1,000",900,"1,500","1,300 800",,"1,146","1,600"
"Dried Beans, Yellow",1Kg,Retail,"1,900","1,700 1,500","1,500","1,400","1,400",,"1,400","1,500","1,500","1,100 1,300","1,000","1,700","1,100 1,000",,"1,429","1,900"
"",,Wholesale,"1,800","1,400 1,300","1,300","1,200","1,250",,"1,200","1,200","1,400","1,000 1,100",900,"1,700","1,000 900",,"1,268","1,800"
"Eggs, Exotic",tray,Retail,"5,000","6,000 4,700","5,800","6,000","6,500","6,000","6,000","7,500","5,600","6,500 7,500","7,500","6,000","6,000 4,700",,"6,173","7,500"
"",,Wholesale,"4,000","5,000 4,200","5,000","4,500","5,000","5,000","5,000","5,200","5,400","6,000 5,700","6,000","6,000","5,400 4,000",,"5,160","6,000"
"Eggs, Local",tray,Retail,"11,000","9,000 12,000","8,000","7,500","7,500","7,000","7,000","10,500","7,400","10,000 9,000","9,000","7,500","7,500 7,000",,"8,660","12,000"
"",,Wholesale,"9,500","7,500 9,000","6,500","6,500","6,000","6,000","6,000","9,000","7,200","8,000","7,500","7,000","6,000 6,000",,"7,264","9,500"
