"",,,,Central,Eastern,NorthernWestern,,,,,,,,,,,,,,,
"",CommodityWeightKalerweKiboga LuweroMasakaNakaseroOwinoIgangaJinjaKapchor SorotiAruaGuluLiraHoimaKabaleKisoro Mbarara,Avg,,,,,,,,,,,,,,,,,,,
"",,,Wholesale,400,450,800,188,400,320,400,280,300,450,350,,1000,500,400,225,600,441
"",Matooke (Bunch),Bunch,Retail,10000,10000,10000,8500,10000,12000,16000,15000,8000,11000,9500,15500,10000,8000,13000,10000,6000,10735
"",,,Wholesale,8500,5700,8500,7500,9000,9000,14000,14000,6000,10000,9000,14800,7000,,10000,9000,4500,9156
"",Milk,Ltrs,Retail,800,800,600,700,800,1000,1000,800,550,800,1000,1000,1200,800,600,700,500,803
"",,,Wholesale,700,600,500,400,700,800,800,700,500,700,800,800,1000,,500,500,400,650
"",Millet Flour,Kg,Retail,1200,1600,1150,1500,1800,2000,1400,1500,,1450,1600,1300,1500,2500,1500,1300,700,1500
"",,,Wholesale,900,1400,850,1300,1500,1600,1100,1300,,1300,1500,1200,1400,1600,1200,1200,600,1247
"",Millet Grain,Kg,Retail,1200,1200,900,1400,,1100,1000,1000,1050,1000,1200,1200,600,1200,1200,1200,850,1081
"",,,Wholesale,900,800,700,1200,,1050,850,900,1000,950,1000,1000,600,,950,1100,600,907
"",Pineapple,whole,Retail,1200,1200,1500,800,2300,1200,2200,2000,,1600,2700,1600,2500,,,800,,1662
"",,,Wholesale,800,1200,1000,700,2000,800,1800,1900,,1400,,1500,1800,1000,,500,,1262
"",Pork,Kg,Retail,5000,4200,4300,4000,,5000,,7000,,4000,,4800,4500,5000,4800,5000,,4800
"",,,Wholesale,4500,2900,4000,3500,,4500,,6000,,3800,,4500,4000,,3800,4500,,4182
"",Rice (Kayiso),Kg,Retail,1900,2250,2000,2400,,2000,2200,2200,1800,2200,2400,1900,2200,,2500,2800,,2196
"",,,Wholesale,1800,2100,1800,2000,,1800,1900,2000,1600,2100,2300,1780,2000,,2200,2500,,1991
"",Rice (Super),Kg,Retail,2500,2600,2500,2000,2500,2300,2500,2500,2000,2400,2500,2500,2500,2200,2800,2200,,2406
