"",,,,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,,WESTERN,,,,
CommodityName,Unit,,KAL,KIB,LUW MSK,NAK,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,FTP,HOI,KAS KLE,KSR,MBR,Avg,Organic prices
Animal Products,,,,,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,5000,5000,5000 5500,5000,5500,5200,4500,7500 4800,5000,4500,5500,6000 5000,4500,5000,4400 5000,4500,4500,5090.5,
"",,Wholesale,4500,4500,4500 4500,3600,5000,5100,4000,6500 4500,4500,4300,5500,5000 4500,4500,4000,4300 4800,3700,4000,4561.9,
Goat Meat,Kg,Retail,7000,6000,7000 6500,6000,7000,5000,5000,7000 6000,6000,5000,6000,6500 6000,6000,6000,6000 6000,6000,6000,6095.2,
"",,Wholesale,6000,5000,6000 5000,4800,5000,4800,4500,6000 5500,5500,4700,6000,6000 5000,6000,5000,5800 5800,4000,5500,5328.6,
"Honey, Processed",Kg,Retail,,7000,7500,8000,,,9000,5000,,7000,6000,,12000,,5000,10000,5000,7409.1,
"",,Wholesale,,6000,5500,7000,,,7300,4000,,6800,4300,,10000,,4800,8000,4500,6200,4000
"Honey, Unprocessed",Kg,Retail,,3500,,6500,,,5600,3000,,5600,,,,,4500,8000,5000,5212.5,
"",,Wholesale,,3100,,6000,,,4800,2000,,4900,,,,,4000,7000,4500,4537.5,
Milk,Ltrs,Retail,1000,800,900 1000,1000,,1200,1000,800 550,1000,800,1000,1000 1000,900,1000,1000 500,800,800,903,
"",,Wholesale,800,700,700 500,900,,800,900,700 400,900,700,1000,800 800,500,800,950 400,600,600,723,
Pork,Kg,Retail,5000,5000,5500 5500,5000,,4600,,5000 4500,4000,4000,6000,6000,4000,5000,5000,4400,6000,4970.6,
"",,Wholesale,4600,4500,4800 4500,3500,,4400,,4000 4000,3700,3700,6000,5000,3500,4000,4800,3500,5500,4352.9,
Cereals,,,,,,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,700,1000,1800 950,1200,1000,900,800,800 800,850,1000,1000,900 800,1200,1200,800 1000,1200,1600,1023.8,
"",,Wholesale,400,900,1500 850,950,900,800,570,700 600,700,600,900,700 550,1000,1000,750 800,1000,1400,837,
Maize Grain,Kg,Retail,500,500,1100 460,700,500,450,410,380 300,350,370,400,500 400,800,500,1300 600,240,900,555,
"",,Wholesale,300,450,800 420,700,410,390,380,370 250,300,320,300,400 310,500,400,1200 500,200,800,461.9,
Millet Flour,Kg,Retail,2000,1300,2000 1400,2000,1800,,1400,1500 1600,1800,1500,2000,1700,2000,1400,1600 1500,1700,1500,1668.4,
"",,Wholesale,1800,1200,1500 1200,1600,1500,,1100,1400 1400,1600,1350,1500,1300,1800,1200,1500 1400,1500,1300,1428.9,
Millet Grain,Kg,Retail,1600,1100,1100 1700,1200,900,1000,1100,1200 1000,1000,800,1000,1200 1000,1500,1500,1300 1000,1300,1500,1190.5,
"",,Wholesale,1400,1000,800 1500,1000,830,890,900,1100 900,800,780,400,1000 700,1200,1200,1200 900,1200,1300,1000,
Rice (Kayiso),Kg,Retail,1600,2200,1400 2200,1800,1500,1400,1300,1800 1600,1500,1400,2400,1700 1500,2300,,1500,2400,2600,1794.7,
"",,Wholesale,1200,2000,1250 1800,1500,1250,1200,1150,1700 1400,1400,1300,2100,1300,2000,,1400,2300,2400,1591.7,
Rice (Super),Kg,Retail,2000,2000,2000 2100,2000,1800,1700,1800,2000 2000,2000,1600,2500,2400 1500,2500,2000,2000,2400,2500,2040,
"",,Wholesale,1600,1800,1700 1700,1700,1550,1400,1600,1500 1800,1700,1500,2100,1800 1300,2200,1500,1800,2300,2000,1727.5,
Rice (Upland),Kg,Retail,2000,1800,2000 2600,1800,1600,1500,1750,1700 1300,,,2400,1500 1500,1800,1400,,2100,2800,1855.9,
"",,Wholesale,1600,1600,1800 1950,1500,1450,1300,1620,1600 1100,,,2100,1200,1600,1200,,1800,2500,1620,
Simsim,Kg,Retail,3500,,3200 3200,3000,4000,,2800,2400 2500,3500,2800,2300,3000 3000,4000,,,2700,3500,3087.5,
"",,Wholesale,3000,,2800 2900,2500,3300,,2620,2300 2400,2800,2500,2000,2500 2600,3000,,,2300,3200,2670,
Sorghum Flour,Kg,Retail,1800,800,,1000,600,,870,700 1000,500,700,1000,1500,1500,,1400 1500,,1000,1058,
"",,Wholesale,1400,700,,700,500,,560,600 900,400,500,800,1300,1000,,1300 1400,,850,861,
Sorghum Grain,Kg,Retail,1600,750,,800,350,500,600,600,350,380,600,300 300,,,1100 1000,800,,669,
"",,Wholesale,1200,650,,500,300,487,420,500,300,320,300,200 280,,,1000 900,700,,537,
Fish,,,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,7000,,6500,7500,8000,,5500,7500,3500,5000,5000,6000 5000,,,12000,,,6541.7,
"",,Wholesale,6000,,5500,6000,6500,,4700,7000,3000,4500,,5000 4500,,,8000,,,5518.2,
"Fish, Tilapia",whole,Retail,4000,6500,9000 5500,4500,6500,4000,7000,9000,7000,5000,,7000 8200,4500,5000,6000 14000,4500,6500,6510.5,
"",,Wholesale,3500,5500,7000 2500,4000,5500,3800,5600,8000,6000,4400,,6000 7300,3000,3500,5500 11000,3600,6000,5352.6,
Fruits,,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1500,600,500 1100,1000,1300,1400,1300,210 400,1000,900,1000,1400 3200,500,4500,1000 600,450,1100,1188.6,
"",,Wholesale,1000,550,400 600,700,1200,1200,800,185 300,800,800,800,1000 2800,300,2500,900 500,320,1000,888,2000
Cavendish (Bogoya),Kg,Retail,3000,800,1700 900,1000,1700,1600,3000,850 1800,1500,1000,900,1500 3000,1500,800,1700 3000,500,2200,1616.7,
"",,Wholesale,2500,700,1500 500,800,1600,1300,2500,800 1500,1000,850,750,1200 2400,1000,500,1600 2500,400,1800,1319,
Matooke,Kg,Retail,800,250,1300 375,590,350,600,450,280 250,1000,1000,350,1000 1000,1200,1000,540,500,900,687,
"",,Wholesale,500,225,1000 150,500,300,500,380,270 200,800,800,300,800 800,800,500,470,400,800,525,
Matooke (Bunch),Bunch,Retail,9000,10000,13000 15000,13000,12000,9000,16000,14000 5000,12000,20000,9000,16000 8000,4500,7000,14000 22000,11500,8000,11810,
"",,Wholesale,8500,9000,10000 8000,11000,10000,8500,13000,1350 4000,10000,17000,8500,12000 7000,3000,5000,13500 12000,8000,7500,8897.6,
Pineapple,whole,Retail,,800,1500 1600,2500,1000,1400,2200,1800 1200,2000,2800,3300,4000,1000,1000,1800 600,2500,1000,1789.5,
"",,Wholesale,,700,1000 600,1700,800,1200,1800,1700 1000,1500,2400,,3700,800,800,1700 500,1800,700,1355.6,2500
"",,,,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,,WESTERN,,,,
CommodityName,Unit,,KAL,KIB,LUW MSK,NAK,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,FTP,HOI,KAS KLE,KSR,MBR,Avg,Organic prices
Oil Seeds,,,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3000,2500,2550 2200,3000,2700,2400,2600,2300 3000,2500,2500,3000,3000 2800,2500,2600,2500 2800,3200,2800,2688.1,
"",,Wholesale,2500,2400,2200 2000,2700,2400,2200,2490,2100 2800,2250,2100,2800,2700 2400,2200,2200,2400 2700,2800,2600,2425.7,
Soya Beans,Kg,Retail,1600,1400,2500 2200,1500,1150,1400,1200,1600 1800,1200,1100,1500,1200,1500,2500,,1600,2300,1625,
"",,Wholesale,1200,1300,2000 2000,1200,1050,1200,1100,1400 1700,1000,900,,950,1000,2000,,1300,2000,1370.6,
Sunflower,Kg,Retail,,,,,,,,,,,,,,,,,2900,2900,
"",,Wholesale,,,,,,,,,,,,,,,,,2700,2700,
Poultry Products,,,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,6000,,9000 7500,7000,8000,8000,5600,7000,7000,7000,8000,8000 10000,11000,7500,8500 10000,9800,10000,8152.6,
"",,Wholesale,5500,,8000 5000,6000,6000,,5000,6500,6000,6000,,6000 8000,8500,5000,8500 9000,7900,9000,6817.6,
"Chicken, Local",bird,Retail,12000,13000,18000 10500,11500,15000,8000,13000,14000 9000,10000,11000,11500,14000 14000,14000,13000,16500 15000,11000,14500,12786,
"",,Wholesale,10000,12000,15000 8500,,13000,8000,10000,13000 7000,8000,9000,10000,12000 12000,12000,9000,16000 13000,9000,13000,10975,15000
"Eggs, Exotic",tray,Retail,6000,6500,6500 5500,7500,5500,7500,6700,7500 6000,6500,6500,9000,7000 7500,6000,7000,6500,6500,9000,6835,
"",,Wholesale,5500,6300,4200,5800,5000,6300,6300,6500 5500,6300,6400,6500,6000 6500,5500,6000,6000,5800,8000,6021.1,
"Eggs, Local",tray,Retail,15000,10500,6000 10100,12000,13000,9000,8800,11000 7000,9000,9000,15000,10500,9000,8500,9000 10500,12000,8300,10160,
"",,Wholesale,10000,9000,5500 6500,8000,10000,7500,7000,10000 6500,7500,8600,,8000,7000,7000,8800 9000,9000,8000,8047.4,
