"",,,,,Central,,,,,,Eastern,,,,Northern,,,,Western,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,500,900 1000,1000,1000,1300,1000,275,500,1000,500,800,1000,,1500,900,700 600,1300
"",,Wholesale,800,400,800 600,900,700,1200,700,260,400,800,450,600,800,,1000,800,650 400,1200
Beef,Kg,Retail,5000,5000,5000 5000,5000,5000,5000,5000,6000,5000,4500,6000,5000,5000,5000,4000,4000,4200 4000,3800
"",,Wholesale,4500,4500,4500 4500,4500,3800,4500,4500,5000,4500,4300,5600,5000,4800,5000,,3500,4000 3500,3500
"Cassava, Dry Fermented",Kg,Retail,,,,,,600,500,260,,,550,800,1400,1200,,,650,1000
"",,Wholesale,,,,,,550,400,250,,,450,760,1200,1000,,,600,800
"Cassava, Flour",Kg,Retail,800,1200,1300 1100,1300,1000,750,1000,1100,1000,,1000,800,1400,1000,1200,1200,900 1000,1300
"",,Wholesale,700,1000,1000 800,1200,800,700,800,1000,900,,700,760,1200,900,1000,1000,800 700,1220
"Cassava, Fresh",Kg,Retail,,400,1000 1100,450,350,620,900,230,500,230,450,700,1200,1000,350,1500,750 550,800
"",,Wholesale,,300,1000 800,350,300,570,700,200,400,210,400,600,900,800,250,1300,700 400,700
"Cassava, Sun dried",Kg,Retail,,,600,,1000,600,500,640,,700,600,800,1200,1000,700,,750 500,1100
"",,Wholesale,,,500,,800,550,400,600,,600,450,750,1100,800,600,,700 400,1000
Cavendish (Bogoya),Kg,Retail,1300,600,2000 1000,1200,1000,1700,2200,630,600,1500,550,850,,2000,1500,2800,1200 500,1500
"",,Wholesale,1200,500,1500 800,1000,800,1600,1600,600,500,1000,500,700,,1800,1000,2400,1000 350,1350
"Chicken, Exotic",bird,Retail,7500,,8500 10000,9000,6000,8000,5800,7000,,7500,8000,,,5000,7500,8000,8000 8000,
"",,Wholesale,7000,,8000 8500,8500,5000,6000,5000,6500,,6000,7500,,,4500,6000,7000,7500 5000,
"Chicken, Local",bird,Retail,10000,13000,18000 15000,9000,,18000,13000,14000,10000,6500,8500,9000,14000,8000,9000,12000,16000 10000,14000
"",,Wholesale,8000,12000,15000 13000,8500,11500,15000,10000,13000,8000,4500,7500,7500,13000,6500,8000,9000,15500 9000,12000
Coffee (Unprocessed),Kg,Retail,,,1400 1000,,,,,1100,,,,,,,,,1000,
"",,Wholesale,,,1200 800,,,,,1050,,,,,,,,,850,
Cotton (Unprocessed),Kg,Retail,,,,,,,,800,,,,,,,,,,
"",,Wholesale,,,,,,,,700,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1900,2000 2600,,2800,2700,1800,1800,1800,3200,1500,2000,1400,1500,,,2000 2200,
"",,Wholesale,1800,1800,1800 2400,,2500,2500,1600,1700,1700,3000,1250,,1300,1000,,,1900 2000,
"Dried Beans, Agwede",Kg,Retail,,,1600 1600,,1200,1100,1600,1500,,,1500,,,1400,,,,1600
"",,Wholesale,,,1500 1300,,1000,1000,1450,1400,,,1250,,,1200,,,,1500
"Dried Beans, Nambale",Kg,Retail,2000,,2000 2700,2500,1500,1200,1600,1500,1200,1300,1500,1600,1600,1400,2200,1700,1200 1800,1500
"",,Wholesale,1800,,1800 2200,2200,1300,1000,1500,1400,1000,1200,1350,1450,1400,1200,1800,1500,1100 1600,1300
"Dried Beans, Yellow",Kg,Retail,2000,1400,2000 1500,2300,1700,1300,1650,1800,,2000,1600,1600,1650,1500,2000,1500,1800 1800,1600
"",,Wholesale,1800,1300,1800 1200,2200,1500,1200,1570,1700,,1700,1400,1500,1350,1300,1800,1400,1700 1700,1500
"Eggs, Exotic",tray,Retail,5000,6500,6000 6500,5800,6000,5000,6200,6000,6000,5700,5800,7500,,6000,6000,8000,6000 6000,7000
"",,Wholesale,4500,6000,5500 4700,5500,5000,4500,5000,5300,5500,5500,5600,6000,,5700,5000,6500,5800 5500,6500
"Eggs, Local",tray,Retail,8000,9000,6500 9000,12000,9000,11000,8600,7000,7000,9000,7200,7500,,6500,9000,9000,9000 10000,6000
"",,Wholesale,7000,7500,6000 7500,11000,7000,9000,6800,6000,6500,7500,7000,,,6000,7500,7500,8500 9000,5500
"Fish, Nile Perch",Kg,Retail,6000,,7000,,7000,7000,5000,7000,,4500,4500,5000,3800,8000,,8000,5500,7000
"",,Wholesale,5000,,7000,,6000,6000,4000,6000,,4000,4100,4000,3200,6500,,7000,4500,6500
"Fish, Tilapia",whole,Retail,3500,5000,3800 6000,5000,4000,6000,5500,8000,,4000,6000,6000,4800,8000,7000,7000,4000 4500,6000
"",,Wholesale,2500,3500,3500 5000,4500,3500,4500,4400,7000,,3500,4700,,4000,6500,,5000,3700 4000,5500
