Goat Meat,Kg,Retail,6000,6000,6000 5500,6000,5000,6000,5500,6000,5000,5000,5000,5500,6000,5000,5000,5000,6000 4500,4500
"",,Wholesale,5000,5000,6000 4500,5500,4800,4500,4500,5000,4500,4500,4800,5500,5700,5000,,4800,5800 3600,4000
"Groundnuts, Unpounded",Kg,Retail,2800,2400,3000 2200,3000,3000,2800,2800,3000,2800,2200,2400,3300,2600,2600,3750,2800,2800 2700,2800
"",,Wholesale,2600,2200,2800 2100,2500,2700,2500,2620,2800,2700,2000,2000,,2450,2400,3000,2700,2700 2400,2500
"Honey, Processed",ltr,Retail,7500,7000,3500 5500,8000,9000,,7800,4000,,,6400,,,,,9000,10000,7000
"",,Wholesale,7000,6000,3000 4000,7500,7000,,6700,3000,,,6100,,,,,7500,8000,6500
"Honey, Unprocessed",ltr,Retail,,3500,3500,5000,6500,,4900,2500,,10000,6400,,,,,7000,7500,10000
"",,Wholesale,,3100,3000,4500,6000,,3900,2000,,8000,6100,,,,,6000,6500,9000
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Irish Potatoes,Kg,Retail,660,416,1200 1500,900,600,620,700,800,1100,480,800,1100,1500,1200,800,500,600,,
"",,Wholesale,580,375,1000 1200,800,500,580,600,700,1000,450,600,900,1300,1000,,458,500,,
Maize Flour,Kg,Retail,1500,1300,1200 1300,1700,1500,1300,1300,1300,1200,1000,1400,1600,1300,1800,1400,1800,1200,1500,1500
"",,Wholesale,1400,1100,1200 1200,1500,1300,1100,1150,1200,1000,850,1000,1350,1200,1000,1300,1600,1100,1250,1400
Maize Grain,Kg,Retail,1100,900,1000 1300,1400,1000,630,620,650,600,560,600,650,650,700,580,1500,,600,1100
"",,Wholesale,1000,800,800,1000,900,620,570,630,500,520,500,550,600,650,550,1400,,550,1000
Matooke,Kg,Retail,470,250,1200 375,500,690,400,420,240,400,1000,500,400,,1200,400,,1000,800,1000
"",,Wholesale,400,200,1000 250,450,550,370,400,220,300,800,450,350,,1000,,,850,600,800
Matooke (Bunch),Bunch,Retail,14000,10000,10000 15000,13000,15000,18000,15000,12000,8000,12000,9500,13000,14800,,9000,20000,18000,12000,10000
"",,Wholesale,12000,8000,8000 10000,11000,13000,16000,13600,11000,6000,10000,8000,10000,13800,,,15000,17000,8000,9000
Milk,Ltrs,Retail,1000,1000,700 1000,900,1000,900,1000,800,550,800,800,1000,1000,1000,700,500,750,900,600
"",,Wholesale,800,900,700 800,800,900,800,900,700,400,700,700,1000,800,800,600,450,700,600,500
Millet Flour,Kg,Retail,1200,1600,1200 1500,2000,2000,2000,1600,1600,1800,1800,1500,2000,1400,,2400,2000,1400,1600,1800
"",,Wholesale,900,1500,1000 1300,1800,1600,1700,1300,1500,1700,1700,1350,1800,1200,,,1800,1350,1200,1500
Millet Grain,Kg,Retail,1200,1500,1000 1600,1700,1200,1150,1200,1100,1300,1500,1100,1600,1100,,1200,1500,1100,1600,1700
"",,Wholesale,900,1400,1000 1400,1600,1000,1100,1100,950,1200,1000,1000,1500,900,,1000,1400,1000,1200,1200
Pineapple,whole,Retail,1000,800,2000,1800,1500,1500,2000,1600,,1500,1500,3000,2400,,2000,1000,,2500,700
"",,Wholesale,700,500,1800,1300,1000,1200,1500,1400,,1000,1200,,2200,,1500,700,,,500
Pork,Kg,Retail,5000,5000,4500,,5000,5000,,5000,4000,4400,4000,5000,4500,5000,5000,6000,,4000,
"",,Wholesale,4500,4500,4500,,3500,4000,,4500,3600,3800,3700,5000,4300,4500,,5000,,3300,
Rice (Kayiso),Kg,Retail,1800,2800,2500 2400,,2000,2200,1700,1700,2200,1800,2000,2200,2200,2000,,,,2500,2600
"",,Wholesale,1600,2500,2400 2000,,1800,2000,1600,1600,2100,1700,1900,2000,1800,1800,,,,2300,2550
Rice (Super),Kg,Retail,2400,2300,2500 2300,2600,2600,2400,2050,2000,2400,1700,2300,2500,2000,2500,2400,2500,2400,2500,2500
"",,Wholesale,2100,2200,2400 1800,2500,2300,2200,1920,1700,2300,1600,2000,2000,1900,2300,,2350,2200,2350,2300
Rice (Upland),Kg,Retail,1600,2000,2000 2300,,2000,2100,1750,1800,2000,,,2000,2000,2000,2000,2400,,2300,
"",,Wholesale,1500,1800,2000 1800,,1800,1900,1670,1650,1800,,,1800,1800,1800,1800,2200,,2100,
Simsim,Kg,Retail,3000,,2800 3300,5000,3000,3000,2500,3000,2500,3000,2400,2600,2700,2600,,,2000,3000,
"",,Wholesale,2800,,2500 2900,4000,2500,2650,2350,2750,2400,2700,2000,,2500,2400,,,1800,2500,
Sorghum Flour,Kg,Retail,1000,900,1200,1800,1000,1000,950,1000,1000,900,1000,1500,1000,,,1000,1400,,1200
"",,Wholesale,700,800,1000,1500,700,850,750,900,900,700,700,1300,800,,,900,1300,,1000
Sorghum Grain,Kg,Retail,700,800,1000,1600,800,700,650,900,,600,500,850,1200,,,,1100,1000,1400
"",,Wholesale,500,700,900,1400,500,650,550,800,,500,450,750,900,,,,1000,750,1200
Soya Beans,Kg,Retail,2000,1400,1800 1900,2300,1600,1000,1450,1700,1800,1700,1200,,,1000,2000,2700,,1600,
"",,Wholesale,1800,1200,1500 1800,2000,1300,800,1250,1600,1700,1500,1000,,,900,,2500,,1300,
Sunflower,Kg,Retail,,,,,,400,,,,,500,,,,,,,,
"",,Wholesale,,,,,,370,,,,,450,,,,,,,,
Sweet Potatoes,Kg,Retail,540,333,1000 1500,400,400,600,1000,330,500,220,450,400,1200,500,200,1500,1000,650,1400
"",,Wholesale,470,300,1000 1000,350,350,550,800,300,400,200,400,350,1000,400,150,1000,800,450,1200
Turkey,bird,Retail,,,35000,32000,45000,44000,33000,53000,,,34000,,,,,,,30000,
"",,Wholesale,,,30000,25000,35000,38000,30000,50000,,,32000,,,,,,,26000,30000
Vanilla (Unprocessed),Kg,Retail,,,,,,2700,,,,,,,,,,,,3500,
"",,Wholesale,,,,,,2400,,,,,,,,,,,,3000,
