"",,,CENTRAL,,,,,,EASTERN,,,,,NORTHERN,,WESTERN,,,,,,Organic
CommodityName,Unit,,KAL KIB,LUW,MSK,NAK,NKS,OWI,BUS IGA,JJA,KAP,MBA,SOR,ARU GUL,LRA,FTP HOI,KAS,KLE,KSR,MBR,Avg,prices
Animal Products,,,,,,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,5000 5000,5000,5000,5000,5000,5000,5000 4500,6000,5000,4500,4000,5000 5000,4500,4500 4000,4200,4000,4000,3800,4682,
"",,Wholesale,4500 4500,4500,4500,3800,4500,4500,5000 4000,5000,4000,4300,3800,5000 4500,4500,4500,4000,3500,,3500,4320,
Goat Meat,Kg,Retail,6000 6000,6000,5500,6000,7500,6000,6000 5000,6000,5000,,5000,5500 6000,5000,6000 5000,5500,5000,6000,5500,5690,
"",,Wholesale,5000 5000,6000,4500,4800,6500,4500,5000 4500,5000,4500,,4800,5500 5500,5000,6000,5000,4800,4000,5000,5045,
"Honey, Processed",Kg,Retail,7000,4500,5500,8000,8000,,15000 8900,6000,,,6400,4000 9000,,12000,,9000,10000,5500,7920,
"",,,,,,,,,,,,,,,,,,,,,,4000
"",,Wholesale,6000,4000,4000,7000,7500,,14000 7300,5000,,,6100,3700 7000,,10000,,7500,8000,5000,6807,
"Honey, Unprocessed",Kg,Retail,3500,3500,,6500,5000,,5500,4000,,,4000,2700 7000,,,,7000,8000,4200,5075,
"",,Wholesale,3100,3000,,6000,4500,,4700,3000,,,3900,4500,,,,6000,7000,4000,4518,
Milk,Ltrs,Retail,1000 1000,700,800,900,800,800,1200 1000,800,550,900,800,1000 1200,1000,1000 800,800,600,800,600,866,
"",,Wholesale,700 900,600,600,800,700,700,1000 900,700,400,800,700,1000,950,500 600,750,500,600,500,710,
Pork,Kg,Retail,5000 5000,4500,4500,5000,,5000,4000,6500,4000,4400,4000,5000 5000,5000,4000 5000,4500,6000,4000,,4758,
"",,Wholesale,4500 4500,4000,3500,3500,,4000,3800,6000,3600,3700,3800,5000 4500,3500,3500,4200,5000,3500,6500,4242,
Cereals,,,,,,,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,1200 900,1300,850,1200,1500,800,1000 800,600,1200,700,1000,1500 1500,1600,1200 1000,1400,1000,1200,1100,1116,
"",,Wholesale,1000 800,1200,750,800,1400,680,800 720,550,1000,600,850,1200 1350,1000,900 700,1300,900,1050,1000,934,
Maize Grain,Kg,Retail,1000 350,320,350,800,1500,350,400 270,310,450,380,400,700 420,500,1000 270,700,360,280,760,540,
"",,Wholesale,800 300,300,250,500,1200,300,325 220,300,380,370,350,500 350,400,800 250,650,300,250,630,442,
Millet Flour,Kg,Retail,1200 1100,1500,1900,2000,2500,2000,1400,1600,1800,1800,1600,2000 1900,2000,3500 2000,1500,1500,1700,1450,1807,
"",,Wholesale,900 1000,1400,1300,1600,2200,1800,1200,1500,1700,1600,1400,1500 1700,1800,3000,1400,1300,1500,1350,1558,
Millet Grain,Kg,Retail,1200 1000,1800,1500,1200,1800,1050,1200 1000,1100,1200,1150,1100,1000 1200,1000,2000 1200,1100,1200,1300,1300,1255,
"",,Wholesale,900 900,1500,1300,1000,1500,1000,1000 950,1000,1100,900,1000,880 1000,800,2000 1000,1000,1000,1200,1000,1088,
Rice (Kayiso),Kg,Retail,1700 2800,2200,2200,2000,,1800,1500 1600,1700,2200,1800,1800,2000 2000,2000,2300,,,2500,2300,2022,
"",,Wholesale,1500 2500,2000,1800,1600,,1550,1350 1400,1600,2100,1500,1600,1800 1800,1800,2300,,,2300,2000,1806,
Rice (Super),Kg,Retail,2400 2300,2400,2200,2600,2500,2300,2400 2000,1600,2300,2500,2200,2500 2700,2200,2500 2400,2400,2000,2700,2400,2341,
"",,Wholesale,2100 2200,2200,1800,2100,2300,2100,2250 1900,1500,2200,2200,1800,1800 2500,2000,2500,2300,1800,2400,2100,2098,
Rice (Upland),Kg,Retail,1700 2200,2400,2200,2000,2500,1900,1800,1600,2000,,,2000 1900,1800,2000 1600,,,2300,2800,2041,
"",,Wholesale,1500 2000,2200,1700,1600,2300,1700,1630,1500,1800,,,1800 1700,1800,2000 1400,,,2100,2500,1837,
Simsim,Kg,Retail,3000,3500,3000,3000,5000,2500,3000 2400,,2500,2600,2500,2400 2400,2300,4000,2000,,3000,4000,2950,
"",,Wholesale,2800,3300,2700,2700,4500,2200,2816 2100,,2400,2400,2100,1900 2300,2000,3500,1800,,2500,3800,2656,
Sorghum Flour,Kg,Retail,1000 900,1500,,1000,1800,700,1150,1000,1000,700,900,1000 1800,,,1600,1000,,1000,1128,
"",,Wholesale,700 800,1300,,700,1700,550,870,900,900,600,600,700 1600,,,1500,900,,750,942,
Sorghum Grain,Kg,Retail,700 800,1500,,800,1700,350,350 750,900,,400,250,600 300,400,1500,1100,,800,850,781,
"",,Wholesale,500 700,1000,,500,1500,285,273 570,800,,350,220,400 280,300,1500,1000,,700,750,646,
Fish,,,,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,6000,6000,4500,7500,,7500,4500 5200,7000,,5000,5000,5000,8000,7000 5000,,8000,5500,7500,6129,
"",,Wholesale,5000,6000,3500,6500,,6000,4000 4200,6000,,4500,4500,,7500,6000,,7000,4500,6800,5467,
"Fish, Tilapia",whole,Retail,3500 4600,4000,3500,4000,8000,6000,4000 6500,9000,2000,,8000,,8000,4000 6500,4800,,5000,7000,5467,
"",,Wholesale,3000 4200,3800,2500,3500,7000,5000,3500 5200,7500,1500,,6000,,6000,3500,4500,,4500,6500,4571,
Fruits,,,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000 550,900,1100,1000,1100,1200,1400 1200,200,400,,500,650 1500,,800 1200,800,600,600,950,883,
"",,,,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,700 500,800,800,700,1000,1100,1200 800,140,300,,450,600 1300,,500 800,750,500,400,700,702,
Cavendish (Bogoya),Kg,Retail,1250 750,1200,1100,1000,900,1500,1400 2500,650,1000,2000,650,600 2000,2000,2000 1500,1500,2400,500,1200,1345,
"",,Wholesale,1200 650,1000,700,800,800,1400,1050 2000,630,800,1500,450,530 1700,1800,1500 1000,1300,1800,400,1000,1091,
Matooke,Kg,Retail,260 400,2000,375,500,550,300,1000 380,230,250,,600,400 1200,1000,1300 300,620,,500,650,641,
"",,Wholesale,230 375,1800,300,410,500,270,800 290,180,200,,500,350 1000,800,1000,580,,450,500,554,
Matooke (Bunch),Bunch,Retail,5000 16000,14000,17000,11000,12000,12000,16000 14000,11500,5000,10000,21000,13000 19000,13000,6000 7000,16800,10000,10000,7000,12105,
"",,Wholesale,4000 15000,11000,15000,9000,9000,8500,15000 11800,9000,4000,8000,18000,11500 16000,6000,5500,16500,8000,9000,6500,10300,
Pineapple,whole,Retail,1000 1000,1200,700,1500,3000,1200,1800 1800,,,1800,2900,2500 1800,3000,1000 2000,1700,700,2500,1000,1705,
"",,,,,,,,,,,,,,,,,,,,,,2500
"",,Wholesale,800 800,800,400,1200,2500,800,1600 1300,,,1500,2500,1500,1000,700,1600,500,1500,800,1211,
"",,,CENTRAL,,,,,,EASTERN,,,,,NORTHERN,,WESTERN,,,,,,
CommodityName Unit,,,KAL KIB,LUW,MSK,NAK,NKS,OWI,BUS IGA,JJA,KAP,MBA,SOR,ARU GUL,LRA,FTP HOI,KAS,KLE,KSR,MBR,Avg,
Oil Seeds,,,,,,,,,,,,,,,,,,,,,,
"Groundnuts, UnpoundedKg",,Retail,3000 2800,4000,2300,3000,4000,2700,3200 2700,2500,3200,2800,2800,3000 2500,4000,3300 3000,3200,3000,3100,2600,3032,
"",,Wholesale,2800 2600,3500,2100,2500,3500,2450,2953 2500,2400,3000,2650,2700,2300 2200,3500,3000 2800,3000,2800,2800,2400,2748,
Soya Beans Kg,,Retail,2000 1400,1800,1900,1500,2000,1200,1200 1500,1800,1800,1800,1400,1500 800,1000,2000 1200,1600,2400,1600,2300,1623,
"",,Wholesale,1800 1200,1500,1800,1300,1700,1000,1077 1300,1700,1700,1500,1100,800 600,900,1500 900,1500,2300,1300,2000,1385,
Sunflower Kg,,Retail,,,,,3000,400,,,,,450,,,,,,,3200,1763,
"",,Wholesale,,,,,2700,370,,,,,400,,,,,,,3000,1618,
Poultry Products,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,15000
"Chicken, Exotic bird",,Retail,7500,7500,8500,6000,8000,7000,6500 5800,6000,,7000,11000,9000,5000,10000 7000,8000,9000,10000,14000,8042,
"",,Wholesale,7000,7000,7000,5000,7500,5500,6000 4800,5000,,6000,8000,7000,4500,8000 6000,7800,7000,8000,12000,6795,
"Chicken, Local bird",,Retail,9000 15000,9000,15000,,14000,15000,9500 11800,14000,9500,8000,12000,10000 11500,9000,15000 1200,16500,12000,,13000,11500,
"",,Wholesale,8000 13000,8000,12000,11000,12000,13000,8500 8800,12000,8000,6000,8500,9500 11500,6000,13000 10000,16000,10000,,12500,10348,
"Eggs, Exotic tray",,Retail,5000 6000,3800,4700,6000,5500,5000,7500 5300,6000,6000,5500,5800,7500 7200,6000,6000 5500,6000,6000,6500,7300,5914,
"",,Wholesale,4500 5500,3500,3500,5000,5000,4500,5300 4900,5500,5500,5300,5600,5700 5700,5500,5000 5000,5800,5000,5500,6700,5159,
"Eggs, Local tray",,Retail,8500 10500,4000,9000,12000,13000,13000,9000 8000,7500,7000,9000,9000,7500,6500,9000 7500,8500,9000,12000,8000,8929,
"",,Wholesale,7500 9000,3800,7500,10000,12000,10000,7500 6000,6500,6500,7500,8500,,6000,7000 6500,8000,7500,9000,6800,7655,
Turkey bird,,Retail,,,,45000,32000,45000,8000 33000,55000,,,29000,,,,,,30000,,34625,
"",,Wholesale,,,,37000,28000,35000,8000 30000,52000,,,26000,,,,,,26000,35000,30778,
Pulses,,,,,,,,,,,,,,,,,,,,,,
Cow Peas Kg,,Retail,2000 1800,2500,2400,2400,2500,3000,2200 1800,2200,1800,2000,1600,2300,1600,2200 3000,2100,,2200,1300,2145,
"",,Wholesale,1800 1700,2300,2100,2000,2000,2800,1826 1600,2000,1700,1800,1300,1600,1400,2000,2000,,2000,1100,1843,
"Dried Beans, Agwede Kg",,Retail,,,1400,1400,,,1300,1200,,,1400,,1500,,,,,,1367,
"",,Wholesale,,,1200,1200,,,1100,1100,,,1300,,1400,,,,,,1217,
"Dried Beans, Nambale Kg",,Retail,2600,1800,1600,2000,2300,1550,1500 1400,1400,1200,1500,1700,1500 2000,1500,1400 1400,1700,1200,1400,1100,1607,
"",,Wholesale,2300,1500,1400,1700,2100,1400,1200 1250,1300,1000,1500,1400,1300 1800,1400,1400 1200,1650,1100,1200,1000,1433,
"Dried Beans, Yellow Kg",,Retail,2600 1000,1800,1000,2600,3000,2000,1600 1500,1500,,2000,1700,1500 2000,1700,2000 1600,1900,1000,1500,1650,1769,
"",,Wholesale,2300 900,1500,800,2200,2500,1900,1200 1300,1400,,1800,1400,1400 1800,1500,1800 1400,1800,1000,1300,1500,1557,
Root Crops,,,,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermente Kg",,Retail,,,,,,400,400,200,,,400,600 1600,1300,,590,,,1000,721,
"",,Wholesale,,,,,,350,310,180,,,280,350 1400,1000,,560,,,800,581,
"Cassava, Flour Kg",,Retail,800 1300,800,1200,800,1000,550,800 750,1000,1000,700,800,700 2000,1000,800 600,820,800,1000,800,910,
"",,Wholesale,700 1100,700,700,600,800,480,600 650,900,900,600,600,500 1700,800,800 500,800,700,700,750,754,
"Cassava, Fresh Kg",,Retail,340 550,800,1100,350,350,400,1000 800,230,500,110,350,500 1000,900,1000 250,1000,1000,400,1000,633,
"",,Wholesale,280 450,500,700,250,300,350,600 600,200,400,100,300,450 800,800,500 200,800,800,300,800,476,
"",,,,,,,,,,,,,,,,,,,,,,1500
"Cassava, Sun dried Kg",,Retail,,500,,800,,380,400 400,450,,450,,600 1500,700,310,600,,500,1400,642,
"",,Wholesale,,400,,600,,350,370 310,410,,400,,350 1200,600,250,580,,400,1200,530,
"",,,,,,,,,,,,,,,,,,,,,,1200
Irish Potatoes Kg,,Retail,680 416,1000,1200,760,1000,720,350 800,700,350,400,700,1500 1400,1200,2000 550,800,500,1000,1400,883,
"",,Wholesale,600 375,800,1000,680,950,670,293 670,600,300,350,600,1200 1200,1000,1500 500,750,450,800,1200,749,
Sweet Potatoes Kg,,Retail,250 260,800,700,400,350,400,800 950,220,400,120,400,350 1000,1000,500 200,800,1000,500,850,557,
"",,Wholesale,220 240,500,500,300,300,350,600 730,200,300,110,300,240 800,800,500 150,750,800,400,700,445,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed) Kg,,Retail,2500,2500,1000,,,,,1200,,,,,,,3200,,1060,,1910,
"",,Wholesale,1900,2300,800,,,,,1100,,,,,,,3100,,950,,1692,
Tea (Unprocessed) Kg,,Retail,,2800,,,,,,,,,,,,,,,,,2800,
"",,Wholesale,,2500,,,,,,,,,,,,,,,,,2500,
Vanilla (Unprocessed) Kg,,Retail,,3500,,,,3000,,,,,,,,,,,,3000,3167,
"",,Wholesale,,3500,,,,2500,,,,,,,,,,,,2800,2933,
