Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Maize Flour,Kg,Retail,1500,1400,1500,1200,2000,1500,1300,1300,1200,1200,1000,1400,1600,1300,1700,1400,1600,1200,1000,1600
"",,Wholesale,1400,1200,1200,1025,1800,1300,1150,1100,1000,1000,900,1300,1360,1150,1000,1300,1400,1100,1300,1400
Maize Grain,Kg,Retail,1100,900,1000,1000,1100,1100,650,650,580,600,,700,550,800,600,600,900,1100,600,1200
"",,Wholesale,1000,800,800,700,1000,1000,570,580,570,500,,600,500,700,500,550,800,1000,500,1100
Matooke,Kg,Retail,470,300,1000,250,850,650,400,400,260,400,570,500,450,,1200,700,,,700,700
"",,Wholesale,382,250,1000,225,750,550,370,330,240,300,550,450,400,,1000,,,,500,600
Matooke (Bunch),Bunch,Retail,13000,12000,10000,10000,15000,14000,18000,15000,13000,8000,13000,10000,11000,13500,7000,13000,17000,750,10000,6000
"",,Wholesale,10000,10000,9000,9000,12000,12000,15000,11000,12000,6000,11000,8500,9500,12000,5000,,13000,700,7000,5000
Milk,Ltrs,Retail,1200,1000,750,1200,1200,1200,1300,1000,800,550,900,800,1000,1000,800,1000,700,800,900,1000
"",,Wholesale,1000,900,700,1000,1000,1000,1200,900,700,250,800,700,1000,800,600,800,600,750,650,1000
Millet Flour,Kg,Retail,1200,1600,1300,1500,1800,2000,2000,1250,1600,1800,1800,1500,1850,1300,,2000,1800,1700,1600,1800
"",,Wholesale,900,1500,1200,1300,1700,1600,1600,1000,1500,1700,1600,1400,1650,1200,,,1500,1650,1400,1600
Millet Grain,Kg,Retail,1200,1500,1000,1400,1950,1200,,1000,1600,1300,1100,1000,1650,1300,,1200,1600,1100,1250,1500
"",,Wholesale,900,1400,800,1200,1700,1000,1000,800,1500,1200,980,900,1500,1100,,1000,1450,1000,,1300
Pineapple,whole,Retail,1500,800,1500,800,2000,1500,1150,2000,2500,1200,2500,1600,1700,2000,3000,,500,1600,2000,800
"",,Wholesale,1200,500,1000,600,1500,1200,,1500,2000,1100,2000,1450,1500,1400,1000,,450,1500,1200,500
Pork,Kg,Retail,4700,,5000,4500,,5000,5000,,6000,4000,3500,4000,5000,4500,4000,,6000,4800,4000,
"",,Wholesale,4000,,4500,3500,,3500,4200,,5000,3600,2700,3800,5000,4300,3500,,5000,4500,3000,
Rice (Kayiso),Kg,Retail,2000,2800,2400,2400,,2000,2400,1850,2200,2200,1900,2200,2300,2500,2200,,,,2500,2500
"",,Wholesale,1800,2500,2300,2000,,1800,2000,1700,1800,2100,1800,2000,,2400,2000,,,,2400,2400
Rice (Super),Kg,Retail,2500,2300,2400,2300,2500,2500,2500,2300,2500,2400,2400,2400,2300,2700,2500,2500,2500,2500,2500,2500
"",,Wholesale,2200,2200,2300,1800,2200,2150,2200,2100,2300,2300,2200,2300,2100,2500,2300,,2350,2400,2400,2400
Rice (Upland),Kg,Retail,2000,2000,2000,2300,2700,2000,2300,1900,2200,2000,,,2300,2500,2200,2200,2600,1700,2300,
"",,Wholesale,1800,1800,1900,1800,2400,1800,2000,1700,2000,1800,,,2100,2300,2000,1950,2400,1600,2100,
Simsim,Kg,Retail,3000,,2700,3300,4500,3000,3000,2400,3000,2500,2600,2500,2400,2500,2500,,,,3000,3800
"",,Wholesale,2800,,2500,2900,4000,2500,2300,2200,2800,2400,2400,2300,,2300,2000,,,,2500,3500
Sorghum Flour,Kg,Retail,1000,900,1400,,1800,1200,1000,950,1100,900,800,1000,1600,1300,,,700,1400,,1100
"",,Wholesale,700,800,1200,,1500,900,850,800,1000,700,700,800,1500,1100,,,600,1300,,1000
Sorghum Grain,Kg,Retail,700,800,800,,1600,1200,700,750,800,,600,600,1000,1100,,,,1100,800,850
"",,Wholesale,500,700,800,,1400,900,650,570,700,,550,500,850,900,,,,1000,600,500
