"",Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Mbarara
"",Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Mbarar
"",Maize Flour,Kg,Retail,1500,1500,1600,1300,1500,,1400,1400,1300,1400,1500,1500,1600,1300,1300,1500,1200,1400,1100
"",,,Wholesale,1400,1250,1400,1100,1500,,1300,1250,1400,1300,1300,1300,1500,1200,1000,1300,1150,1000,1000
"",Maize Grain,Kg,Retail,1000,700,1150,1000,1100,1100,800,800,830,800,1200,800,850,900,1200,,1000,800,1000
"",,,Wholesale,900,630,950,700,1100,950,770,680,780,770,1100,750,750,850,1000,,620,700,800
"",Matooke,Kg,Retail,390,500,1200,,500,420,350,450,240,400,,500,400,,1200,500,440,250,
"",,,Wholesale,330,400,700,,450,360,320,380,240,300,,450,300,,1000,,400,225,
"",Matooke (Bunch),Bunch,Retail,10000,8000,15000,7000,13000,9000,10000,15000,,8000,12000,10000,9500,14000,9000,7000,,10000,6000
"",,,Wholesale,8500,4600,10000,6000,12000,8000,8500,12500,,6000,10000,9000,9000,13500,7000,,8500,9000,5000
"",Milk,Ltrs,Retail,800,800,600,700,800,800,800,1000,800,400,800,800,1000,1000,,700,600,700,500
"",,,Wholesale,700,600,500,400,800,700,700,800,700,350,630,700,900,800,,600,500,500,400
"",Millet Flour,Kg,Retail,1200,1600,1600,1500,1800,2000,2000,1500,1600,1800,1700,1450,1600,1250,1500,2500,1500,1500,1800
"",,,Wholesale,900,1400,1500,1300,1800,1600,1700,1200,1500,1700,1500,1350,1500,1200,1300,,1200,1400,1500
"",Millet Grain,Kg,Retail,1200,1200,900,1400,1300,1100,1150,1100,1300,1300,1200,1100,1400,1200,900,1200,1200,1400,1500
"",,,Wholesale,900,800,700,1200,1300,1000,1070,1000,1200,1200,1100,950,1200,1100,800,1100,950,1300,1000
"",Pineapple,whole,Retail,1200,2300,1200,800,2500,1200,1200,2200,2000,,1500,1600,1500,1800,2500,1500,500,800,
"",,,Wholesale,1000,1200,900,700,2300,900,800,1800,1800,,1000,1400,1300,1600,2000,800,350,500,
"",Pork,Kg,Retail,5000,4000,4000,4000,,5000,5000,,6000,4000,4000,4000,5000,4500,4500,5000,4800,5000,5500
"",,,Wholesale,4500,3000,3800,3500,,3500,4000,,5000,3600,3500,3800,,4200,4000,,3800,4500,4000
"",Rice (Kayiso),Kg,Retail,2400,2500,2400,2400,,2400,2300,2200,2300,2200,2200,2200,2400,2300,2200,2800,2700,2800,2500
"",,,Wholesale,2200,2300,2300,2000,,2200,2100,1900,2000,2100,2100,2000,2300,2200,2000,,2200,2500,2300
