CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka Nakawa Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara,Avg
CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka Nakawa Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara,Avg
Maize Flour,Kg,Retail,1500,1300,1200,1600 1500 1300,1300,1400,1200,1000,1400,1600,1500,1600,2000,1400,1600,1500,1439
"",,Wholesale,1400,1100,1200,1400 1250 1200,1150,1300,1000,950,1000,1350,1300,1000,1800,1300,1300,1400,1244
Maize Grain,Kg,Retail,1100,800,1000,1000 900 700,620,600,600,680,600,650,720,600,1500,700,600,1100,804
"",,Wholesale,1000,700,1000,700 800 680,570,580,550,630,550,550,700,500,1400,650,500,1000,726
Matooke,Kg,Retail,470,200,1200,450 550 370,480,,400,1000,550,350,1400,1200,,900,800,1100,714
"",,Wholesale,400,175,1200,425 460 350,400,,300,800,450,300,1200,1000,,850,600,1000,619
Matooke (Bunch),Bunch,Retail,12000,9000,13000,19000 12000 15000,16500,,8000,13000,13000,7000,16000,13000,15000,18000,13000,5500,12824
"",,Wholesale,10000,8000,10000,17000 10000 13000,14500,,6000,11000,11000,6000,15000,6000,12000,17000,8500,5000,10588
Milk,Ltrs,Retail,1000,1000,700,1000 900 800,1000,,550,800,800,1000,1000,1000,500,800,900,600,844
"",,Wholesale,800,900,700,800 800 700,900,,400,700,700,1000,800,800,450,750,600,500,724
Millet Flour,Kg,Retail,1200,1700,1200,1500 2000 2000,1500,,1800,1800,1500,2000,2000,2000,2000,1500,1600,2200,1735
"",,Wholesale,900,1600,1200,1300 1600 1700,1250,,1700,1600,1400,1600,1800,1600,1800,1400,1400,2000,1521
Millet Grain,Kg,Retail,1200,1600,1000,1600 1300 1150,1100,,1300,1200,1800,1000,1100,1000,1500,1100,1250,2000,1306
"",,Wholesale,900,1500,1000,1400 1100 1100,1000,,1200,1100,1000,900,800,800,1400,1000,800,1800,1106
Pineapple,whole,Retail,1000,800,2500,800 800 1500,1700,2500,1200,1500,1800,,2000,3000,1000,1600,2300,800,1576
