"",,,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,WESTERN,,Organic
Commodity Name,,Pricetype,KAL,KIB,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,GUL LRA,KAS,KLE MBR,Avg,prices
"",,Wholesale,5000,4000,8500 6000,9000,6500,7000,9500,7000 4000,8000,17000,15250 5000,7400,5000 4000,7538.2,
Pineapple,whole,Retail,1000,1100,1000 1500,1500,1000,600,1500,2000 1200,1500,2700,1550 3000,2000,700 700,1444.1,
"",,Wholesale,700,900,500 1200,1300,700,500,1000,1800 1000,1000,2350,1350 1000,1800,600 600,1076.5,2500
"",,,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,WESTERN,,Organic
Commodity Name,,Pricetype,KAL,KIB,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,GUL LRA,KAS,KLE MBR,Avg,prices
Oil Seeds,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,2800,2800,2100 2600,3000,2400,2400,2550,2200 3200,2000,2200,2400 2500,2400,2500 2400,2497.1,
"",,Wholesale,2500,2600,2000 2200,2500,2050,2200,2400,2000 3000,1700,2000,2050 2300,2300,2400 2150,2255.9,
Soya Beans,Kg,Retail,2000,1300,1800 1500,1600,1200,900,1470,1600 1800,,1400,800,,2500 2300,1583.6,
"",,Wholesale,1800,1100,1700 1200,1400,900,850,1220,1500 1700,,1000,600,,2300 2000,1376.4,
Sunflower,Kg,Retail,,,,3000,,,,,,600,,,2900,2166.7,
"",,Wholesale,,,,2500,,,,,,450,,,2700,1883.3,
Poultry Products,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7500,,10000 6000,7000,8000,7000,5500,6000,7000,7500,9000 5000,8500,10000 11500,7700,
"",,Wholesale,7000,,8500 5000,6000,6000,6500,4500,5000,6000,5500,7500 4000,8000,8000 11000,6566.7,
"Chicken, Local",bird,Retail,9000,14000,15500,12000,15000,8000,11500,15000 8000,7500,11000,12800 8000,19000,13000 14000,12081,
"",,Wholesale,8000,12000,10000 11500,10500,13000,7000,8500,14000 7000,6250,8500,10000 6000,18000,11000 13000,10250,15000
"Eggs, Exotic",tray,Retail,5000,6000,5500 6000,5500,5000,7500,5400,5500 6000,,5800,6000,5500,6000 7300,5866.7,
"",,Wholesale,4500,5500,4500 5000,5000,4500,5500,5000,5000 5500,,5700,5500,5200,5500 6700,5240,
"Eggs, Local",tray,Retail,,9000,10000 12000,14000,13000,9000,8200,11000 7000,9000,9000,6000,8800,9000 7500,9500,
"",,Wholesale,,7500,9500 10000,12000,10000,7500,6200,10000 6500,7500,8500,5800,8500,8500 6800,8320,
Turkey,bird,Retail,,,42000,30000,37000,7500,32500,43000,,25000,,,,31000,
"",,Wholesale,,,35000,25000,30000,6500,29500,40000,,23000,,,,27000,
Pulses,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3200,1700,2800 2000,4500,3200,,1800,2200 1800,1500,1000,2500,2300,1000,2250,
"",,Wholesale,3000,1600,2400 1800,4000,3000,,1680,2000 1700,1000,800,2300,2200,900,2027.1,
"Dried Beans, Agwede",Kg,Retail,,,1400 1400,,1300,,1250,1200,,,1500,,,1341.7,
"",,Wholesale,,,1200 1200,,1200,,1100,1100,,,1400,,,1200,
"Dried Beans, Nambale",Kg,Retail,220,,1200 1750,2200,1500,1700,1350,1500 1000,1400,1500,1650 1700,2000,1300 1700,1479.4,
"",,Wholesale,2000,,1100 1450,2000,1300,1516,1250,1400 800,1300,1300,1450 1500,1900,1200 1450,1432.3,
"Dried Beans, Yellow",Kg,Retail,2300,1000,1000 2400,2500,1800,1800,1450,1600,,1550,1725 1700,2200,1200 1550,1718.3,
"",,Wholesale,2100,900,800 2000,2300,1600,1671,1300,1450,,1300,1350 1500,2100,1100 1400,1524.7,
Root Crops,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,280,,380,130,,330,1550 400,480,1000,568.75,
"",,Wholesale,,,,,250,,290,110,,210,1200 300,450,800,451.25,
"Cassava, Flour",Kg,Retail,600,1200,1100 700,,500,500,650,600 1000,500,600,1750 600,800,1500 750,834.38,
"",,Wholesale,500,1000,600 450,,400,400,520,500 900,500,450,1400 500,750,1000 650,657.5,
"Cassava, Fresh",Kg,Retail,,550,1000 350,450,350,550,800,170 500,250,250,600 900,900,1500 1000,632.5,
"",,Wholesale,,450,500 250,400,300,450,600,150 400,200,200,400 800,800,1000 800,481.25,
"Cassava, Sun dried",Kg,Retail,,,700,,300,300,380,160,140,350,1500 300,450,1100,516.36,
"",,Wholesale,,,450,,250,250,290,140,120,220,1250 300,420,1000,426.36,
Irish Potatoes,Kg,Retail,680,541,1200 780,1000,800,500,800,600 300,600,700,1500 1200,700,600 1800,841.24,
"",,Wholesale,600,500,700 720,950,700,450,680,800 250,570,600,1250 1000,650,550 1550,736.47,1500
Sweet Potatoes,Kg,Retail,200,170,1000 350,400,300,600,800,270 400,110,300,650 1000,900,1000 1400,579.41,
"",,Wholesale,150,150,500 250,350,250,500,600,250 300,100,250,450 800,800,900 1200,458.82,1500
Traditional Cash Crops,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,1000,,,,,900 4500,4300,,,4000,,2866.7,
"",,Wholesale,,1900,800,,,,,800 4300,4200,,,3800,,2633.3,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,,5000,
"",,Wholesale,4500,,,,,,,,,,,,,4500,
Vanilla (Unprocessed),Kg,Retail,,,,,3500,,,,,,,,3200,3350,
"",,Wholesale,,,,,2700,,,,,,,,3000,2850,
