"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,
Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakaser,Nakawa,Owino,Iganga,Jinja,Kapchor,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,400,900,800,600,600,700,1200,300,500,1000,550,800,900,,1000,750,500,500,1000
"",,Wholesale,850,300,800,500,550,300,650,900,200,400,700,450,700,850,,,600,450,300,800
Beef,Kg,Retail,5000,5000,4500,5000,5000,5000,5000,4500,5000,5000,4500,5000,5000,6000,4500,4000,4200,4200,4000,4000
"",,Wholesale,4500,4500,4500,4500,4500,3800,4500,4000,4500,4000,4300,4800,5000,5800,4000,,3500,4000,3500,3800
"Cassava, Dry Fermented",Kg,Retail,,,,,,,,,280,,,800,1000,900,900,,,720,,
"",,Wholesale,,,,,,,,,250,,,700,950,700,600,,,680,,
"Cassava, Flour",Kg,Retail,800,1000,1300,550,1100,1100,1000,1000,1000,800,1000,1000,1100,1000,1200,1000,1100,850,1100,1300
"",,Wholesale,700,800,1000,450,1000,900,900,900,800,700,900,900,950,900,1000,,750,750,700,1100
"Cassava, Fresh",Kg,Retail,500,400,800,700,400,400,550,900,240,500,200,450,900,1200,1000,500,600,1000,550,1000
"",,Wholesale,440,300,500,500,350,350,500,700,220,400,190,400,800,1000,800,250,450,800,400,700
"Cassava, Sun dried",Kg,Retail,,,,,,1100,720,,2700,,900,800,1000,,,750,,650,500,700
"",,Wholesale,,,,,,900,700,,260,,800,750,950,,,700,,600,350,500
Cavendish (Bogoya),Kg,Retail,1250,400,1200,1000,650,800,1300,2200,550,600,1500,550,800,,900,1000,1300,800,500,800
"",,Wholesale,1100,300,1100,800,600,600,1200,1500,500,500,1000,500,700,,800,500,1000,750,300,700
"Chicken, Exotic",bird,Retail,8000,,6500,7500,8500,6000,7000,6500,8000,,6000,9000,,10000,6000,7000,8500,6500,8000,
"",,Wholesale,7000,,6000,6000,8000,5000,5000,5000,7000,,5000,8000,,9500,5000,6000,8000,5800,6000,
"Chicken, Local",bird,Retail,13500,15000,11000,16000,14500,,15000,15000,14000,6000,7000,9500,9500,14000,12000,13000,9500,14500,9000,6500
"",,Wholesale,12000,13000,10000,13000,13500,11000,13000,10000,13000,5000,5500,8500,9000,13000,10000,11000,8500,13000,8000,5500
Coffee (Unprocessed),Kg,Retail,,2000,,,,,,,1200,,,,,,,,,2600,970,
"",,Wholesale,,1600,,,,,,,1100,,,,,,,,,2500,900,
"",,,,,,,,,,,,,,,,,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1700,2500,2500,3000,1800,2500,1800,2500,1800,1500,1900,2000,,2300,3000,1700,2000,2200,1400
"",,Wholesale,1800,1600,2100,2300,2500,1500,2200,1600,2400,1700,1300,1800,1600,,1800,,1500,1800,2000,1200
"Dried Beans, Agwede",Kg,Retail,,,,,,,900,1500,1200,,,,,,1200,,,,,
"",,Wholesale,,,,,,,800,1300,1100,,,,,,1000,,,,,
"Dried Beans, Nambale",Kg,Retail,1600,,2000,1200,2200,1700,1100,1400,1400,1200,1400,1400,1550,,1200,1300,1200,1300,1250,1300
"",,Wholesale,1400,,1800,1000,2000,1300,1000,1300,1300,1100,1200,1325,1400,,1000,1100,900,1200,1050,1000
