"",CentralEasternNorthernWestern,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,
Commodity,weight,,,,,,,,,,,,,,,,,,,Avg,Max,Min,
Apple Bananas,Kg,Retail,1000,550,800,500,700,700,700,260,500,500,900,650,1200,1000,650,700,400,600,683.89,1200,260
"",,Wholesale,600,400,600,300,400,600,600,240,400,450,800,550,1000,700,600,600,300,400,530,1000,240
Beef,Kg,Retail,5000,4000,4500,5000,5000,5000,4500,6000,,5000,5000,6000,5000,4500,4000,4400,5000,4000,4817.6,6000,4000
"",,Wholesale,4500,3400,4500,4500,3800,4500,4000,5500,,4800,5000,5800,4500,,3500,4200,4500,3500,4406.3,5800,3400
"Cassava, Dry Fermented",Kg,Retail,,,,,,520,500,270,,400,700,700,500,,,550,,,517.5,700,270
"",,Wholesale,,,,,,500,400,250,,350,650,600,400,,,500,,,456.25,650,250
"Cassava, Flour",Kg,Retail,800,800,700,650,800,700,750,1000,,700,800,700,1200,550,900,700,1000,800,797.06,1200,550
"",,Wholesale,700,600,500,400,630,620,620,800,,650,750,600,800,500,750,680,800,600,647.06,800,400
"Cassava, Fresh",Kg,Retail,400,800,1000,700,450,500,700,260,,400,750,1000,700,500,600,1000,400,600,632.94,1000,260
"",,Wholesale,320,600,650,500,400,480,600,230,,350,700,800,500,300,500,800,300,400,495.88,800,230
"Cassava, Sun dried",Kg,Retail,,400,500,,800,500,500,250,,450,700,800,500,aler5w00e,,600,,700,553.85,800,250
"",,Wholesale,,300,450,,630,480,400,220,,400,650,700,500,450,,500,,500,475.38,700,220
Cavendish (Bogoya),Kg,Retail,1200,450,1200,1000,800,1000,1200,500,600,500,800,4500,1200,1000,1200,1000,400,1800,1130.6,4500,400
"",,Wholesale,900,350,1000,700,600,900,1000,460,500,450,700,4300,1000,500,900,900,300,1300,931.11,4300,300
"Chicken, Exotic",bird,Retail,8000,8000,7000,10000,7000,8000,6500,7500,,9500,,9500,6000,8000,10000,14000,,6500,8366.7,14000,6000
"",,Wholesale,7000,6000,6500,8000,6000,6000,5500,6500,,9000,,8000,6000,uw7e0r0o0,9000,12000,,5500,7200,12000,5500
"Chicken, Local",bird,Retail,15000,10000,13500,13000,,15000,14000,11000,8000,10000,14000,15000,9000,13000,13000,14000,15000,8500,12412,15000,8000
"",,Wholesale,13000,8500,12000,10000,11000,13000,11000,10000,6000,9500,13000,14000,8000,10000,10000,12000,13000,7000,10611,14000,6000
Coffee (Unprocessed),Kg,Retail,,1100,1100,1000,,,1700,1200,,,,,,,,2500,2000,,1514.3,2500,1000
"",,Wholesale,,1000,1000,800,,,1500,1100,,,,,,,,2400,1600,,1342.9,2400,800
Cotton (Unprocessed),Kg,Retail,,,,,,,,800,,,,,400,akawa,,,,,600,800,400
"",,Wholesale,,,,,,,,700,,,,,400,,,,,,550,700,400
Cow Peas,Kg,Retail,2000,2300,,1600,1400,2500,1800,2000,,1200,1600,1400,1800,3000,1500,2200,1400,1000,1793.8,3000,1000
"",,Wholesale,1800,2000,,1400,1200,2200,1650,1800,,900,1500,1300,1600,wino,1400,2100,1300,800,1530,2200,800
"Dried Beans, Agwede",Kg,Retail,,,1500,1400,1200,800,1400,1100,,1200,1200,900,500,,,,,,1120,1500,500
"",,Wholesale,,,1400,1200,1000,700,1250,1000,,1100,,800,500,,,,,,994.44,1400,500
"Dried Beans, Nambale",Kg,Retail,1400,1000,1300,1200,1500,1150,1300,1500,1200,1400,1300,1400,1000,800,1300,1200,,700,1214.7,1500,700
"",,Wholesale,1300,800,1200,1000,1200,1100,1100,1400,1000,1300,1200,1250,800,700,900,1000,,500,1044.1,1400,500
"Dried Beans, Others",Kg,Retail,1600,1300,1300,1200,1500,1100,1300,1300,1200,1200,1400,1300,1200,800inja,1000,1400,1100,900,1227.8,1600,800
"",,Wholesale,1400,1100,1300,1000,1150,1050,1200,1200,1000,1100,1300,1200,1000,700,850,1200,900,700,1075,1400,700
"Dried Beans, Yellow",Kg,Retail,1500,1300,1500,1200,1600,1450,1400,1500,,1500,1500,1300,1500,1000,1300,1000,900,1000,1320.6,1600,900
"",,Wholesale,1400,1100,1400,1000,1300,1400,1250,1400,,1400,1400,1200,1300,800,900,900,800,900,1167.6,1400,800
"Eggs, Exotic",tray,Retail,5500,6000,5000,6000,6000,4700,6400,5000,9000,5800,7500,6000,6000,5500,5500,5500,6000,5000,5911.1,9000,4700
"",,Wholesale,5000,5500,4800,4500,5000,4400,5400,4800,7000,5600,6000,5800,6000,5000,4500,5000,5500,4500,5238.9,7000,4400
"Eggs, Local",tray,Retail,10000,8500,5500,7500,9000,11000,8000,6500,,7000,7500,,6500,9000,9000,7200,9000,9000,8137.5,11000,5500
"",,Wholesale,9000,7000,5200,6000,7000,9000,6500,6000,,6800,,,6000,7000,7500,7000,7500,8500,7066.7,9000,5200
"Fish, Nile Perch",Kg,Retail,6000,4500,3500,,7000,7000,5500,7000,,4000,5000,4800,5000,rua,7500,,,5000,5523.1,7500,3500
"",,Wholesale,5500,4000,3200,,5000,6000,4500,6000,,3600,5000,4500,4500,,6500,,,4500,4830.8,6500,3200
"Fish, Tilapia",whole,Retail,3000,5000,3800,4500,4000,5000,6000,9000,2000,5000,5500,4500,6000,7000,7000,4000,5000,5500,5100,9000,2000
