CentralEasternNorthernWestern,,,,,,,,,,,,,,,,,,,,,,
Commodity,,,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorw,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarar
"",,Wholesale,1400,1200,1350,1200,1500,1300,1200,1000,1100,1300,1000,1300,1440,1300,1000,1400,1150,1300,1300,800
Maize Grain,Kg,Retail,1100,650,750,1000,1300,1000,600,600,600,400,800,800,1000,930,900,600,700,1400,650,
"",,Wholesale,1000,600,700,700,1000,900,580,500,550,300,700,700,900,870,800,550,620,1300,600,
Matooke,Kg,Retail,300,150,800,200,450,390,280,400,150,400,1500,550,400,2800,1200,500,250,600,600,800
"",,Wholesale,230,100,600,150,400,345,260,350,140,350,1200,450,350,2000,1000,,220,550,450,600
Matooke (Bunch),Bunch,Retail,6000,6000,10000,9000,9000,8500,9000,13000,7500,8000,12000,10000,9000,14500,14000,10000,7000,12000,9000,4500
"",,Wholesale,5500,4000,8000,7000,8000,7500,6500,10000,7000,6000,8000,9000,8500,12800,7000,,5000,11500,5500,4000
Milk,Ltrs,Retail,900,800,600,900,800,900,1000,1000,800,550,800,1000,900,1000,1000,700,750,750,800,600
"",,Wholesale,800,700,500,800,700,800,900,800,700,350,700,700,800,800,800,600,600,700,600,500
Millet Flour,Kg,Retail,1200,1400,1600,1500,2000,2000,2000,1400,1600,1800,1700,1450,1800,1450,1200,2400,1600,1400,1600,1700
"",,Wholesale,900,1300,1500,1300,1800,1600,1700,1100,1500,1700,1500,1350,1700,1300,1000,,1300,1350,1400,1400
Millet Grain,Kg,Retail,1200,1300,1000,1400,1700,1100,1150,1000,1300,1300,1200,1000,1400,1350,,1200,1200,1100,1250,1300
"",,Wholesale,900,1200,800,1200,1600,900,1070,880,1200,1200,1000,900,1300,1200,1000,1050,1000,850,1000,
Pineapple,whole,Retail,1500,800,1000,800,1800,1000,1200,1600,2500,,1200,1500,1500,2500,2000,1500,,1500,2000,1000
"",,Wholesale,1200,500,900,600,1400,700,800,1000,2200,,1000,1400,1300,2000,1500,1000,,1300,1200,800
Pork,Kg,Retail,4500,5000,5000,4500,,5000,4500,,6000,4000,4500,4000,5000,4500,,5000,4500,4800,4000,6000
"",,Wholesale,4000,4500,4500,3500,,3500,3800,,5000,3600,4000,3800,5000,4300,,,3800,4500,3000,5000
Rice (Kayiso),Kg,Retail,2200,2800,2400,2400,,2000,2400,1700,1800,2200,1800,2200,,2500,2400,,2600,,2500,2500
"",,Wholesale,2000,2500,2300,2000,,1800,2200,1500,1550,2100,1600,2100,,2400,2200,,2200,,2400,2300
Rice (Super),Kg,Retail,2500,2500,2400,2300,2500,2400,2600,2100,2400,2500,2200,2400,2500,2650,2500,2800,2500,2500,2600,2500
"",,Wholesale,2400,2300,2250,1800,2200,2100,2400,1900,2200,2400,2000,2300,2000,2550,2300,,,2400,2500,2400
Rice (Upland),Kg,Retail,2000,2200,2100,2300,2500,2000,2300,1700,1800,,,,2400,2350,2200,2000,2400,,2300,2000
"",,Wholesale,1900,2000,1900,1800,2300,1800,2100,1450,1600,,,,2200,2250,2000,1750,1850,,2100,1800
Simsim,Kg,Retail,3000,,2700,3300,4500,2800,2500,2200,2800,,2500,2500,3000,2500,2500,,,,3000,4000
"",,Wholesale,2800,,2500,2900,4000,2500,2000,2000,2600,,2400,2350,,2400,2300,,,,2500,3800
Sorghum Flour,Kg,Retail,1000,900,1400,,1800,1200,1000,1100,1000,900,900,1000,1600,1300,500,,,1400,,1000
"",,Wholesale,700,800,1300,,1500,900,800,850,900,700,800,850,1500,1150,400,,,1300,,800
Sorghum Grain,Kg,Retail,700,800,1200,,1600,1000,650,950,800,,800,700,1100,1300,800,,1100,1100,800,1200
"",,Wholesale,500,700,1000,,1400,700,600,750,700,,700,600,1000,1200,700,,1000,1000,600,1000
Soya Beans,Kg,Retail,2000,1400,1800,1400,1600,1600,1400,1250,1500,1800,1600,1200,1500,,1000,,1450,,1500,1250
"",,Wholesale,1800,1200,1500,1300,1500,1200,1100,1150,1300,1700,1300,1000,1200,,800,,1400,,1300,1100
Sunflower,Kg,Retail,,,,,,,400,,,,,,,,,,,,,
"",,Wholesale,,,,,,,370,,,,,,,,,,,,,
Sweet Potatoes,Kg,Retail,590,150,1000,1000,400,400,570,1000,200,300,150,450,700,1200,2000,700,200,,,
"",,Wholesale,470,100,800,600,350,350,520,800,300,200,140,400,650,1100,1500,320,170,,,
Turkey,bird,Retail,,,28000,,40000,35000,34000,35000,44000,,25000,33000,,,30000,,,,29000,
"",,Wholesale,,,25000,,35000,30000,27000,32000,40000,,20000,32000,,,27000,,,,26000,
Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,,,,,,3000,
