"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,
Commodity,,,Masaka,Kalerwe,Nakawa,Owino,Iganga,Mbale,Jinja,Kapch',Soroti,Arua,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara,Avg
Apple Bananas,Kg,Retail,600,"1,000",800,600,600,350,200,500,250,,,800,900,700,400,,592
"",,Wholesale,500,800,800,500,400,300,180,400,200,,,400,750,650,300,,475
"Cassava, Dry Fermented",Kg,Retail,,,,380,400,,350,,350,650,350,,,,,,413
"",,Wholesale,,,,350,300,,350,,300,600,300,,,,,,367
"Cassava, Flour",Kg,Retail,650,800,800,750,600,900,700,,600,750,900,550,650,600,"1,000",800,737
"",,Wholesale,400,700,640,680,500,700,600,,550,650,700,500,550,550,800,700,615
"Cassava, Fresh",Kg,Retail,600,500,750,400,450,700,220,,250,700,500,250,800,230,800,"1,000",543
"",,Wholesale,450,400,700,360,350,600,200,,200,600,400,180,550,200,600,400,413
"Cassava, Sun dried",Kg,Retail,,,800,380,400,700,400,,350,650,400,400,,,,,498
"",,Wholesale,,,640,350,300,600,350,,300,600,350,350,,,,,427
Cattle Steak,Kg,Retail,"5,500","4,000","4,500","4,500","4,500","4,000","5,000","4,000","4,000","4,500","5,000","4,000","3,500","4,000","4,000","4,500","4,344"
"",,Wholesale,,"3,500","4,200","3,800","4,300","3,800","4,500","3,500","3,800","4,500","5,000",,"3,000","4,000","3,700","4,000","3,971"
Cavendish (Bogoya),Kg,Retail,"1,000",,800,500,700,600,480,600,400,900,,800,700,800,400,,668
"",,Wholesale,800,,600,455,500,500,450,500,300,800,,400,500,800,300,,531
Chicken (Exotic),bird,Retail,"7,000","6,000","5,500","8,000","6,000","6,000","7,000","10,000","7,400",,"7,000",,"7,000","7,500",,"6,500","6,992"
"",,Wholesale,"6,000","5,500","4,700","6,000","4,500","6,000","6,500","8,000","7,000",,"6,800",,"5,000","7,000",,"6,000","6,077"
Chicken (Local),bird,Retail,"12,000","15,000",,"18,000","8,000","13,000","10,000","8,000","7,500","7,500","18,000",,"7,000","11,000","15,000","15,000","11,786"
"",,Wholesale,"9,000","12,000",,"13,000","6,000","10,000","9,000","6,000","7,000",,"15,000",,"6,500","10,500","12,500","13,000","9,962"
Coffee (Unprocessed),Kg,Retail,,,,"1,100","1,600","2,800",,,,,,,,,"1,600","1,000","1,620"
"",,Wholesale,,,,"1,000","1,450","2,300",,,,,,,,,"1,400",500,"1,330"
Cotton (Unprocessed),Kg,Retail,,,,"1,200",,,,,,,400,,,,,"2,500","1,367"
"",,Wholesale,,,,"1,100",,,,,,,400,,,,,"2,200","1,233"
Cow Peas,Kg,Retail,"1,800","1,800","1,250","2,700","1,700","1,600","2,000",,"1,000","1,700","2,500","3,000","1,800","2,000","2,000","2,500","1,957"
"",,Wholesale,"1,500","1,500","1,000","2,500","1,500","1,300","1,800",,800,"1,500","2,000",,"1,600","2,000","1,900","2,300","1,657"
"Dried Beans, Agwede",Kg,Retail,,,"1,000",750,"1,400","1,100","1,000",,"1,100","1,200",650,,,,,,"1,025"
"",,Wholesale,,,900,720,"1,300","1,000",900,,"1,000","1,050",600,,,,,,934
"Dried Beans, Nambale",Kg,Retail,"1,300","1,500","1,400",900,"1,250","1,000","1,100","1,200","1,400","1,200",850,750,"1,400","1,100","1,200","1,200","1,172"
"",,Wholesale,"1,100","1,300","1,000",850,"1,100",800,"1,100","1,000","1,250","1,100",800,700,"1,250","1,000","1,100","1,100","1,034"
"Dried Beans, Others",Kg,Retail,"1,300","1,500","1,400",900,"1,300","1,200","1,000","1,200",,"1,100",750,700,"1,300","1,000","1,200","1,500","1,157"
"",,Wholesale,"1,100","1,300",900,800,"1,200","1,100",900,"1,000",,"1,000",700,650,"1,100","1,000","1,100","1,300","1,010"
"Dried Beans, Yellow",Kg,Retail,"1,300","1,600","1,500","1,200","1,300","1,100","1,300",,"1,500","1,300",900,900,"1,500","1,200","1,200",,"1,271"
"",,Wholesale,"1,100","1,400","1,200","1,050","1,200","1,000","1,200",,"1,350","1,200",900,800,"1,200","1,100","1,100",,"1,129"
"Eggs, Exotic",tray,Retail,"6,000","5,000","6,000","4,800","6,000","7,500","5,000","7,000","5,600","6,000","6,800","5,500","6,000","6,000","6,000","5,000","5,888"
"",,Wholesale,"4,500","4,500","5,000","4,200","4,800","5,200","4,800","6,000","5,300","5,800","6,500","5,000","5,500","5,500","5,500","4,800","5,181"
"Eggs, Local",tray,Retail,"7,500",,"7,000","11,000","7,000","10,500","6,500","9,000","7,400","7,500","9,000","9,000","7,000","7,500","9,000","9,000","8,260"
"",,Wholesale,"6,000",,"7,000","8,500","5,800","9,000","6,000","7,000","7,200",,"8,000","7,000","5,800","7,000","7,500","8,000","7,129"
Fish ‐ Nile Perch,Kg,Retail,,"5,000","6,000","6,000","4,800","2,500","5,000",,"6,500","4,500","4,500",,,,,"10,000","5,480"
"",,Wholesale,,"4,500","5,000","4,500","4,500","2,300","4,500",,"5,500","4,500","4,000",,,,,"8,000","4,730"
Fish ‐ Tilapia,whole,Retail,"4,000","4,000","4,000","15,000","4,800","5,000","7,000",,"5,000","5,000","5,500",,"5,000","3,000","7,000","3,500","5,557"
"",,Wholesale,"3,500","3,500","3,500","13,000","4,000","4,700","6,000",,"4,500","4,000","5,000",,"3,500","3,000","4,000","3,000","4,657"
Goat Meat,Kg,Retail,"5,000","6,000","6,000","6,000","5,000","5,000","6,000","5,000","4,500","5,000","6,000","4,500","5,000","5,000","5,000","6,000","5,313"
"",,Wholesale,"4,500","5,000","5,000","4,500","4,600","4,800","5,000","4,500","4,300","5,000","6,000",,"4,000","5,000","3,800","5,000","4,733"
"Groundnuts, unpounded",Kg,Retail,"2,200","2,500",,"2,200","1,300","1,900","2,000","2,000","1,800","2,500","1,500","1,700","2,300","2,300","2,500","2,300","2,067"
"",Wholesale,"1,950","2,300",,"1,900","1,000","1,500","1,800","1,800","1,700","2,200","1,300","1,600","1,900","2,200","2,300","2,100","1,837",
Kg,Retail,"8,000","8,000","7,000","7,000","6,000","9,000","11,000",,"6,000","4,000","4,000",,"7,500",,"7,000","4,000","6,808",
Commodity,,,Masaka,Kalerwe,Nakawa,Owino,Iganga,Mbale,Jinja,Kapch',Soroti,Arua,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara,Avg
Honey (Unprocessed),Kg,Retail,,"7,500",,,"2,500","3,600","9,000",,"2,500",,"4,500",,"5,000","11,000","3,500","7,000","5,610"
"",,Wholesale,,"7,000",,,"2,300","2,900","7,000",,"2,300",,"4,500",,"4,000","10,000","3,100","6,500","4,960"
Irish Potatoes,Kg,Retail,"1,000",500,480,450,600,400,700,400,600,"1,000","1,000",500,350,260,291,,569
"",,Wholesale,550,380,400,420,520,350,600,300,500,800,800,380,280,200,266,,450
Maize Flour,Kg,Retail,"1,300","1,300","1,400","1,300","1,200","1,200","1,200","1,200","1,200","1,700","1,500","1,200",900,"1,100","1,300","2,000","1,313"
"",,Wholesale,"1,200","1,100","1,250","1,150","1,000","1,000","1,000","1,000","1,000","1,400","1,200","1,000",700,"1,000","1,000","1,800","1,113"
Maize Grain,Kg,Retail,550,"1,000","1,000",730,650,600,750,600,600,"1,000",700,600,600,,900,"1,200",765
"",,Wholesale,350,850,750,670,550,500,700,500,450,700,650,550,550,,800,"1,000","6384353738,6507,6836975731,5971,3541,1591,0161,8531,6802,0531,8672,4002,064"
Matooke,Kg,Retail,200,350,410,300,400,400,300,400,300,500,"1,800",300,370,240,250,,
"",,Wholesale,175,307,365,265,300,300,280,350,200,450,"1,500",,320,205,200,,
Matooke (Bunch),Bunch,Retail,"8,000","6,500","9,000","8,250",,"8,000","15,000","8,000","10,000","9,000","8,500","4,000","8,000","7,500","10,000","10,000",
"",,Wholesale,"7,000","6,000","8,000","6,750",,"7,000","14,000","7,000","9,500","8,500","8,000","3,500","7,000","7,000","8,000","8,000",
Milk (One Litre),Ltrs,Retail,800,800,900,700,500,800,800,500,700,"1,000",650,700,500,700,600,500,
"",,Wholesale,400,700,800,650,400,600,700,400,650,800,600,500,450,700,425,400,
Millet Flour,Kg,Retail,"1,900","1,600","1,800","1,800","1,550","1,500","1,500",,"1,400","1,600",900,"2,000","1,500","1,300","1,600","2,000",
"",,Wholesale,"1,400","1,400","1,400","1,500","1,350","1,200","1,200",,"1,250","1,500",850,,"1,400","1,200","1,500","1,800",
Millet Grain,Kg,Retail,"1,400","2,000",950,"1,000","1,100","1,200","1,000","1,050",800,"1,100",850,700,"1,200","1,100","1,400","1,700",
"",,Wholesale,"1,200","1,400",750,900,"1,000",900,900,"1,000",750,900,800,650,"1,100","1,100","1,300","1,600",
Rice (Kayiso),Kg,Retail,"2,400","1,600","1,800","1,700","1,600","1,700","1,500","1,800","1,700","2,000","2,000",,"1,900","1,800","1,800","2,500",
"",,Wholesale,"2,000","1,500","1,600","1,500","1,400","1,500","1,400","1,600","1,600","1,800","1,900",,"1,600","1,800","1,700","2,300",
Rice (Super),Kg,Retail,"1,800","2,000","2,250","2,000","2,000","2,000","1,900","2,000","1,800","2,200","2,100","2,000","2,000","2,000","2,800","2,000",
"",,Wholesale,"1,600","1,900","1,850","1,700","1,800","1,800","1,700","1,800","1,700","1,900","1,900",,"1,850","2,000","2,500","2,000",
Simsim,Kg,Retail,,"3,000","3,000","2,500","2,300","3,000","2,200",,"2,000","2,400","2,300","1,700",,"2,000",,,
"",,Wholesale,,"2,800","2,400","1,700","2,000","2,700","2,000",,"1,700","2,200","2,000","1,200",,"2,000",,,
Sorghum Flour,Kg,Retail,,"1,200","1,000","1,050","1,000",700,800,700,600,"1,500",800,"1,300",950,"1,300",800,"1,300",
"",,Wholesale,,900,700,800,900,600,700,500,500,"1,400",800,"1,200",850,"1,200",700,"1,200",
Sorghum Grain,Kg,Retail,,"1,200",800,730,800,600,700,,500,800,850,"1,500",900,"1,100",800,"1,000",
"",,Wholesale,,900,500,680,700,400,600,,450,700,800,,650,"1,100",700,700,
Soya Beans,Kg,Retail,"1,500","2,500","1,400","1,100","1,200","1,700","1,000","1,500","1,200","1,500","1,200","1,000","1,700","2,000","1,600","1,800",
"",,Wholesale,"1,400","2,300","1,000",900,"1,000","1,400",900,"1,350","1,000","1,200","1,000",,"1,640","2,000","1,400","1,500",
Sunflower,Kg,Retail,,,,550,600,,,,400,,500,,,,,"2,500",
"",,Wholesale,,,,450,500,,,,350,,400,,,,,"2,300",
Sweet Potatoes,Kg,Retail,800,500,300,390,600,500,200,200,200,550,800,500,130,350,150,"1,000",
"",,Wholesale,700,300,250,325,520,300,180,150,150,500,500,280,90,320,100,500,
Tea (Unprocessed),Kg,Retail,,,,400,,,,,,,,,,,,"3,000",
"",,Wholesale,,,,350,,,,,,,,,,,,"2,500",
Turkey (Bird),bird,Retail,,,"35,000","45,000","25,000","30,000","25,000",,"22,000",,"25,000",,,,,"10,000",
"",,Wholesale,,,"30,000","35,000","22,000","20,000","22,000",,"20,000",,"20,000",,,,,"8,000",
Upland Rice,Kg,Retail,"2,000","1,500",,"1,600","1,400",,"1,400",,,"1,600","2,000","1,400","1,800","1,800","1,800","2,000",
"",Wholesale,"1,800","1,400",,"1,400","1,250",,"1,300",,,,"1,800","1,300","1,700","1,700","1,700","1,800",,
Kg,Retail,,,,"2,500",,,,,,,,,"5,000",,,,,
