"",,,,Central,,Eastern,,Northern,,,Western,,,
Commodity,,,Kalerwe Kiboga,Luwero Masaka Nakawa Owino,Iganga,Jinja Mbale,Soroti,Arua Gulu,Lira,Hoima,Kabale Kasese Mbarara Kisoro,Min,Max,Avg
Apple Bananas,Kg,Retail,1000 500,600 500 800 600,700,240 450,350,800 600,1200,1000,900 520 400,240,1200,656
Apple Bananas,Kg Retail,,1000,500,600,500,800,600,700,240 450,,350,800 600,1200,1000,,900 520,,,400,240,1200,656
"",Wholesale,,800,400,500,300,500,550,500,230 350,,300,800 400,1000,500,,500 500,,,300,230,1000,496
Beef,Kg Retail,,5000,4000,4500,5000,5000,5000,5000,7000 4500,,5000,5000,,4000,,4000 4100,,4000,5000,4000,7000,4756
"",Wholesale,,4500,3400,4500,4500,3800,4500,4500,6500 4300,,4800,5000,,,,4000,,3500,4500,3400,6500,4450
"Cassava, Dry Fermented",Kg Retail,,,,,,,500,450,350,,350,650 450,600,,,480,,,,350,650,479
"",Wholesale,,,,,,,450,390,330,,300,630 350,500,,,450,,,,300,630,425
"Cassava, Flour",Kg Retail,,800,800,800,650,800,700,800,800 1000,,650,750 650,1200,550,,950 480,,900,1000,480,1200,793
"",Wholesale,,700,600,750,400,640,650,600,700 800,,550,700 450,1000,500,,700 450,,850,800,400,1000,658
"Cassava, Fresh",Kg Retail,,450,500,1000,700,400,550,600,250 600,,250,500 600,800,500,,650 1000,,1500,400,250,1500,625
"",Wholesale,,370,350,600,500,330,500,400,240 400,,200,450 450,500,250,,500 800,,1200,300,200,1200,463
"Cassava, Sun dried",Kg Retail,,,400,,,800,500,450,350 700,,350,700 500,400,450,,450 500,,900,,350,900,532
"",Wholesale,,,300,,,640,450,350,340 500,,300,650 400,350,400,,460,,700,,300,700,449
Cavendish (Bogoya),Kg Retail,,1000,500,1300,1000,1000,900,1000,550 600,,450,700,1100,1000,,800 650,,,400,400,1300,809
"",Wholesale,,700,350,1000,700,800,700,800,540 500,,400,600,1000,500,,600 600,,,300,300,1000,631
"Chicken, Exotic",bird Retail,,,7500,6500,8500,6000,8000,7500,6500 6000,,8000,8000,8000,7000,,7500 5500,,7000,,5500,8500,7167
"",Wholesale,,,5500,7500,7000,5000,6000,6000,6000 6000,,7500,7000,6500,6000,,6000 5100,,6000,,5000,7500,6207
"Chicken, Local",bird Retail,,,10000,14500,15000,,16000,12000,8500 12000,,9000,14000 14000 16000 15000,,,,8000 15000,,10000 12000,,8000,16000,12563
"",Wholesale,,,8000,12500,12000,8500,13000,8500,8000 10000,,8000,12000 12500 14000,,13000,,6800 14800,,8000 10000,,6800,14800,10565
Coffee (Unprocessed),Kg Retail,,,1200,1150,1000,,1300,1890,1300,,,,,,,,,,1600,1000,1890,1349
"",Wholesale,,,1100,1000,800,,1200,1700,1200,,,,,1000,,,,,1400,800,1700,1175
