"",,,,Central,,,,Eastern,,,Northern,,,,,Western,,
Commodity,Weight,,Kalerwe,Kiboga Masaka Nakasero Nakawa,Owino,Iganga,Jinja,Kapch',Soroti,Arua,Gulu,Lira,,Hoima,Kabale,Kasese,Kisoro,Avg
Apple Bananas,1Kg,Retail,"1,000","400 600 1,000",,600,,230 500,300,"1,000",700,,,"1,000","1,000",550,400,799
"",,Wholesale,800,300 500 700,430,400,,190 400,250,900,500,,,500,800,500,300,606
"Cassava, Dry farmented",1Kg,Retail,,,,400,,350,400,700,400,450,,,,,,443
"",,Wholesale,,,460,300,,300,350,650,350,400,,,,,,402
"Cassava, Flour",1Kg,Retail,800,"700 650 1,000 800",,600,,600,600,800,900,"1,000",,500,650,800,"1,000",769
"",,Wholesale,650,500 400 800 650,650,500,,500,550,750,800,800,,400,550,750,800,639
"Cassava, Fresh",1Kg,Retail,500,400 600 700 460,,450,,170,200,500,600,"1,000",,250,800,230,800,511
"",,Wholesale,366,250 450 500 430,400,350,,150,150,450,500,"1,000",,170,550,200,600,407
"Cassava, Sun dried",1Kg,Retail,,350 800,,400,,350,400,700,600,500,,600,,800,,555
"",,Wholesale,,250 650,465,300,,300,350,630,500,450,,500,,750,,470
Cattle Steak,1Kg,Retail,"4,500","5,000 5,000 4,500",,"4,500","6,000","4,000","4,000","5,000","5,500","4,500",,"4,000","3,500","4,000","4,000","4,500"
"",,Wholesale,"4,000","4,000 3,800","3,800","4,300","5,000","3,500","3,800","5,000","4,500","4,500",,,"3,000","3,600","3,700","3,994"
Cavendish (Bogoya),1Kg,Retail,"1,800","500 1,000 2,000 1,000",,700,,470,400,900,"3,500","2,000",,"1,000",700,550,400,"1,128"
"",,Wholesale,"1,300","400 800 1,500 800",425,500,,450,350,700,"3,000","1,800",,500,500,500,300,838
Chicken (Exotic),bird,Retail,"6,000","6,500 7,000 6,000",,"6,000","10,000","10,000","8,000",,"6,000","7,500",,"6,000","7,000","6,750",,"7,107"
"",,Wholesale,"5,500","5,500 6,000 5,000","6,000","4,500","9,000","8,000","7,500",,"6,000","7,000",,"5,000","5,000","6,000",,"6,125"
Chicken (Local),bird,Retail,"14,000","10,000 10,000",,"8,000",,"8,000","8,500","12,000","13,000","15,000",,"10,000","8,000","10,000","9,000","11,367"
"",,Wholesale,"12,000","9,000 8,000 9,000","13,000","6,000",,"6,000","8,000","9,000","12,500","13,000",,"9,000","6,500","8,750","6,500","9,889"
Coffee (Unprocessed),1Kg,Retail,,,,"1,550",,,,"2,300",,,,,,"1,200","1,600","1,663"
"",,Wholesale,,,"1,000","1,400",,,,,,,,700,,"1,000","1,200","1,050"
Cotton (Unprocessed),1Kg,Retail,,,,,,,,,,,,,,,,
"",,Wholesale,,,"1,100",,,,,,,,,,,,,"1,100"
Cow Peas,1Kg,Retail,"1,800","2,200 1,800 4,000 1,200",,"1,700","2,000",,900,"1,800",850,"3,000",,"3,000","1,800","2,000","2,000","2,003"
"",,Wholesale,"1,500","2,000 1,500 2,500 1,000","2,500","1,500","1,800",,700,"1,700",800,"2,800",,,"1,600","2,000","1,900","1,769"
"Dried Beans, Agwede",1Kg,Retail,,"1,800 1,000",,"1,350","1,000",,"1,000","1,200",650,"1,000",,,,,,"1,125"
"",,Wholesale,,"1,400 900",720,"1,200",,900,900,"1,100",550,"1,000",,,,,,939
"Dried Beans, Nambale",1Kg,Retail,"1,600","1,000 1,300 1,400",,"1,200","1,200","1,200","1,400","1,200",850,"1,500",,800,"1,400","1,200","1,200","1,230"
"",,Wholesale,"1,400","800 1,100 1,000",900,"1,000","1,150","1,000","1,250","1,100",700,"1,400",,700,"1,250","1,100","1,100","1,050"
"Dried Beans, Others",1Kg,Retail,"1,500","1,300 1,300 1,800 1,400",,"1,300","1,100","1,200",,"1,100",650,"1,000",,700,"1,300","1,200","1,300","1,210"
"",,Wholesale,"1,300","1,100 1,100 1,400 1,000",800,"1,200","1,000","1,000",,"1,000",650,"1,000",,600,"1,100","1,100","1,100","1,015"
"Dried Beans, Yellow",1Kg,Retail,"1,600","1,200 1,300 1,700 1,500",,"1,300","1,500",,"1,500","1,300",950,"1,600",,750,"1,400","1,300","1,200","1,340"
"",,Wholesale,"1,400","1,000 1,100 1,300 1,200","1,200","1,150","1,300",,"1,350","1,150",900,"1,400",,700,"1,200","1,250","1,100","1,171"
"Eggs, Exotic",tray,Retail,"4,800","6,000 5,000 6,000",,"6,000","5,300","7,000","5,600","7,500","6,300","6,800",,"5,500","6,000","6,000","5,800","5,975"
"",,Wholesale,"4,500","4,500 4,800 5,000","4,200","4,800","4,800","6,000","5,300","6,000","5,500","6,500",,"5,000","5,500","5,500","5,000","5,144"
"Eggs, Local",tray,Retail,,"10,000 9,000",,"7,000","7,000","9,000","7,500","7,500",,"10,000",,"9,000","7,500","7,750","7,500","8,192"
"",,Wholesale,,"9,000 7,000","9,000","5,800","6,500","7,000","7,200",,,"8,500",,"7,500","6,000","6,750","6,000","7,286"
Fish ‐ Nile Perch,1Kg,Retail,"5,000","7,000 6,000",,"4,500","6,000",,"6,500","4,500","2,500","5,000",,"4,000",,"4,500",,"5,045"
"",,Wholesale,"4,500","6,000 5,000","4,500","4,000","5,000",,"6,000","4,500","2,500","5,000",,,,"4,000",,"4,625"
Fish ‐ Tilapia,whole,Retail,"4,000","4,500 8,000 4,000",,"4,500",,,"7,500","4,000","1,800","6,500",,"6,000","5,000","3,150","8,000","5,007"
"",,Wholesale,"3,500","3,500 6,000 3,500","12,500","3,500",,,"7,000","3,500","1,800","6,000",,,"3,500","2,750","4,500","5,120"
Goat Meat,1Kg,Retail,"6,000","5,000 6,000 5,500",,"5,000","5,000","5,000","4,500","5,500","5,500","5,000",,"4,500",,"4,500","5,000","5,100"
"",,Wholesale,"5,000","4,500 5,500 4,700","4,500","4,600","4,500","4,500","4,300","5,500","5,500","5,000",,,,"4,150","3,800","4,669"
"Groundnuts, unpounded",1Kg,Retail,"2,500","2,300 2,200 3,000 2,500",,950,"2,000","2,200","1,700","2,500","1,300","2,800",,"2,150","2,300","2,300","2,500","2,200"
"",,Wholesale,"2,300","2,000 2,000 2,500 2,100","2,050",800,"1,800","2,000","1,650","2,400","1,200","2,500",,"2,000","1,900","2,200","2,300","1,986"
"",,,,Central,,,,Eastern,,,Northern,,,,Western,,
Commodity,Weight,,Kalerwe,Kiboga Masaka Nakasero Nakawa,Owino,Iganga,Jinja,Kapch',Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Avg
