"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,
CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakawa,Owino,Iganga,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
"",,Wholesale,5500,,7000,,6000,6000,4000,,4500,4000,4500,3500,7000,,8000,,4500,6000
"Fish, Tilapia",whole,Retail,3500,5000,3500,5500,4500,5500,5500,,3800,6000,7000,4200,8000,7000,8000,3500,4500,6000
"",,Wholesale,3000,3500,3000,4500,4000,4500,4400,,3500,4500,,3500,7000,,7000,3000,4000,5500
Goat Meat,Kg,Retail,6000,6000,6000,5500,6000,6000,5500,5000,4800,5000,5500,6000,5000,5000,5000,6000,4500,5000
"",,Wholesale,5000,5000,6000,4500,4800,4500,4500,4500,4500,4600,5500,5800,5000,,4800,5800,3600,4500
"Groundnuts, Unpounded",Kg,Retail,2800,2400,3000,2200,2900,2800,2750,2800,2200,2400,3300,2400,2600,3500,2800,2800,2700,2800
"",,Wholesale,2600,2200,2800,2100,2500,2500,2600,2700,2000,2000,,2300,2400,2800,2700,2700,2400,2500
"Honey, Processed",ltr,Retail,7500,7000,3500,5500,8000,,8000,,,6400,,,,,9000,,10000,8000
"",,Wholesale,7000,6000,3000,4000,7000,,7000,,,6100,,,,,7500,,8000,7500
"Honey, Unprocessed",ltr,Retail,,3500,3000,,6500,,5000,,10000,6400,,,,,7000,,7500,10000
"",,Wholesale,,3100,2500,,6000,,4000,,8000,6100,,,,,6000,,6500,9000
Irish Potatoes,Kg,Retail,700,500,1200,1500,600,620,700,400,600,700,1000,1300,1200,750,500,600,,
"",,Wholesale,600,475,1000,1200,500,500,600,350,500,600,,1200,1000,600,480,500,,
"",,,,,,,,,,,,,,,,,,,,
CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakawa,Owino,Iganga,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Maize Flour,Kg,Retail,1500,1300,1200,1300,1500,620,1300,1200,1000,1300,1600,1300,1800,1400,2000,1200,1500,1600
"",,Wholesale,1400,1100,1200,1200,1300,500,1150,1000,900,1000,1400,1150,1000,1300,1800,1100,1250,1400
Maize Grain,Kg,Retail,1100,900,1000,1000,1100,670,620,600,580,600,700,650,700,600,1500,,600,1200
"",,Wholesale,1000,800,800,700,1000,660,570,500,560,500,600,580,650,580,1400,,550,1000
Matooke,Kg,Retail,540,250,1200,300,780,400,430,400,1500,500,400,,1200,300,,900,800,600
"",,Wholesale,470,200,1200,225,690,370,400,300,1250,450,350,,1000,,,800,600,500
Matooke (Bunch),Bunch,Retail,13000,10000,15000,18000,17000,18000,15000,8000,14000,10000,12000,14000,,9000,25000,17000,12000,9000
"",,Wholesale,11000,8000,10000,14000,15000,16000,13500,6000,12000,8000,11000,13000,,,18000,16000,8000,7000
Milk,Ltrs,Retail,1000,1000,700,1000,1000,1000,1000,550,800,800,1000,1000,1000,700,500,750,900,550
"",,Wholesale,800,900,700,800,900,900,900,400,700,700,1000,800,800,600,450,700,600,450
Millet Flour,Kg,Retail,1200,1600,1200,1500,2000,2000,1600,1800,1800,1500,2000,1450,,2000,2000,1400,1600,1700
"",,Wholesale,900,1500,1000,1300,1600,1800,1300,1700,1600,1350,1800,1200,,,1800,1350,1200,1500
Millet Grain,Kg,Retail,1200,1500,1000,1600,1200,1150,1200,1300,1300,1100,1600,1200,,1200,1500,1100,1600,1500
"",,Wholesale,900,1400,1000,1400,1000,1100,1100,1200,1250,1000,1500,950,,1000,1400,1000,1200,1200
Pineapple,whole,Retail,1200,800,2000,650,1500,1500,2000,,1500,1500,2200,2800,,,1000,,1250,800
"",,Wholesale,1000,500,1800,450,1200,1000,1500,,1000,1100,,2200,,,700,,950,500
Pork,Kg,Retail,5000,5000,4500,,5000,5000,,4000,4000,4000,5000,5000,5000,5000,6000,,4000,
"",,Wholesale,4500,4500,4500,,3500,4000,,3600,3500,3800,5000,4500,4500,,5000,,3300,
Rice (Kayiso),Kg,Retail,1800,2800,2500,,2000,2200,1700,2200,1800,2000,2000,2400,2000,,,,2500,2600
"",,Wholesale,1600,2500,2400,,1800,2000,1600,2100,1700,1800,,2200,1800,,,,2300,2500
Rice (Super),Kg,Retail,2400,2300,2500,2300,2500,2400,2100,2400,2400,2400,2000,2600,2500,2500,2500,2500,2500,2500
"",,Wholesale,2100,2200,2400,1800,2300,2200,1950,2300,2250,2100,1800,2400,2300,,2350,2400,2350,2300
Rice (Upland),Kg,Retail,1600,2000,2000,2300,2000,2100,1750,2000,,,2000,2200,2000,2000,2400,,2300,
"",,Wholesale,1500,1800,2000,1800,1800,1900,1670,1800,,,1800,2000,1800,1800,2200,,2100,
Simsim,Kg,Retail,3000,,2800,3300,3000,3000,2500,2500,3000,2500,2500,2600,2600,,,2000,3000,4000
"",,Wholesale,2800,,2500,2900,2500,2650,2350,2400,2800,2000,,2450,2400,,,1800,2500,3800
Sorghum Flour,Kg,Retail,1000,900,1200,,1200,1000,950,1000,900,1000,1400,1300,,,900,1400,,1000
"",,Wholesale,700,800,1000,,900,800,750,900,700,700,1000,1200,,,800,1300,,750
Sorghum Grain,Kg,Retail,700,800,1000,,1000,700,650,,650,600,850,1100,,,,1100,1000,1200
"",,Wholesale,500,700,900,,700,650,550,,600,500,750,900,,,,1000,750,1100
Soya Beans,Kg,Retail,2000,1400,1800,1900,1600,1000,1450,1800,1750,1300,,,1000,2000,2700,,1600,1400
"",,Wholesale,1800,1200,1500,1800,1400,800,1250,1700,1550,1000,,,950,,2500,,1300,1000
Sunflower,Kg,Retail,,,,,,400,,,,500,,,,,,,,
"",,Wholesale,,,,,,370,,,,450,,,,,,,,
Sweet Potatoes,Kg,Retail,560,333,1000,1500,500,620,900,500,240,400,400,1200,500,200,1000,1200,650,1300
"",,Wholesale,470,300,1000,1000,400,570,700,400,220,350,350,1000,400,150,800,1000,450,1000
Turkey,bird,Retail,,,35000,,,45000,33000,,,33000,,,,,,,30000,
"",,Wholesale,,,30000,,35000,35000,30000,,,31000,,,,,,,26000,30000
Vanilla (Unprocessed),Kg,Retail,,,,,,2700,,,,,,,,,,,3500,
"",,Wholesale,,,,,,2400,,,,,,,,,,,3000,
