"",,,CENTRAL,,,,,EASTERN,,,,,NORTHERN,,WESTERN,,,,,Organic
Commodity Name,Unit,Pricetype,KAL KIB,LUW,MSK,NKS,OWI,BUS IGA,JJA,KAP,MBA,SOR,ARU GUL,LRA,FTP KAS,KLE,KSR,MBR,Avg,pices
Animal Products,,,,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,5000 5000,5000,5000,5000,5000,5000 4500,7000,4400,4400,4000,5000 5000,4500,4500 4200,4000,4000,3800,4715,
"",,Wholesale,4500 4500,4500,4500,4500,4500,5000 4000,6000,4000,4200,3700,5000 4500,4500,4500 4000,3500,3600,3500,4350,
Goat Meat,Kg,Retail,6000 6000,6000,5500,6000,6000,5000 5000,6000,5000,4800,5000,5500 6000,5000,6000 6200,5000,6000,5500,5575,
"",,Wholesale,5000 5000,6000,4500,5500,4500,4800 4500,5000,4500,4500,4700,5500 5500,5000,6000 6000,4800,4000,5000,5015,
"Honey, Processed",Kg,Retail,7000,4500,5500,8000,,15000 8900,6000,,,6400,4500 9000,,14000,10000,10000,5500,8164,
"",,,,,,,,,,,,,,,,,,,,4000
"",,Wholesale,6000,4000,4000,7500,,14000 7300,5000,,,6100,4000 7000,,12000,8500,8000,5000,7029,
"Honey, Unprocessed",Kg,Retail,3500,3500,,5000,,5500,4000,,,4200,2700 7000,,,7000,8000,4200,4964,
"",,Wholesale,3100,3000,,4500,,4700,3000,,,3900,4500,,,6000,7000,4000,4370,
Milk,Ltrs,Retail,1000 1000,700,800,800,1000,1200 1000,800,550,900,800,1000 1200,1000,1000 800,600,800,600,878,
"",,Wholesale,700 900,600,600,700,800,1000 900,700,400,800,700,1000,950,500 750,500,600,500,716,
Pork,Kg,Retail,5000 5000,4500,4500,,5000,4000,6000,4000,4400,4000,5000 5000,5000,4000 4500,6000,4000,,4700,
"",,Wholesale,4500 4500,4000,3500,,4000,3800,5500,3600,3700,3800,5000 4500,3500,3500 4200,5000,3500,6500,4256,
Cereals,,,,,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,1200 900,1300,850,1500,800,800 850,700,1000,600,1200,1200 1500,1600,1500 1300,1000,1200,1100,1105,
"",,Wholesale,1000 800,1200,750,1400,700,600 720,600,900,500,900,960 1300,1000,1200 1200,900,1050,1000,934,
Maize Grain,Kg,Retail,1000 350,330,350,1200,350,350 310,300,450,320,400,600 400,500,700 700,360,280,600,493,
"",,Wholesale,800 300,320,250,1000,300,310 280,290,380,300,350,400 350,400,500 650,300,250,500,412,
Millet Flour,Kg,Retail,1200 1100,1600,1900,2500,2000,1400,1600,1800,1800,1600,2000 1800,2000,2500 1500,1500,1700,1450,1734,
"",,Wholesale,900 1000,1400,1300,2200,1800,1200,1500,1700,1600,1400,1500 1700,1800,1700 1400,1300,1500,1350,1487,
Millet Grain,Kg,Retail,1200 1000,1500,1500,1900,1050,1200 1000,1300,1200,1150,1100,1000 1200,1000,1500 1100,1200,1300,1300,1235,
"",,Wholesale,900 900,1400,1300,1700,1000,1000 950,1200,1100,900,1000,900 1000,800,1100 1000,1000,1200,1100,1073,
Rice (Kayiso),Kg,Retail,2000 2800,2200,2200,,1800,1700 1600,1700,2200,1500,1800,2000 1900,2000,2300,,2500,2300,2029,
"",,Wholesale,1800 2500,2000,1800,,1550,1350 1400,1500,2100,1350,1600,1800 1700,1800,2000,,2300,2000,1797,
Rice (Super),Kg,Retail,2400 2300,2400,2200,2500,2300,2400 2000,2200,2300,2500,2200,2500 2700,2200,2500 2400,2200,2700,2400,2365,
"",,Wholesale,2100 2200,2200,1800,2300,2100,2200 1900,2000,2200,2200,1800,1800 2500,2000,2100 2300,2000,2400,2100,2110,
Rice (Upland),Kg,Retail,1700 2200,2400,2200,2500,1900,1800,1700,2000,,,2000 2000,1800,2000,,2300,2800,2087,
"",,Wholesale,1500 2000,2200,1700,2300,1700,1630,1500,1800,,,1800 1800,1800,1600,,2100,2500,1862,
Simsim,Kg,Retail,3000,3500,3000,5000,2500,3000 2700,,2500,2600,2500,2100 2400,2300,4000 2000,,3000,4000,2947,
"",,Wholesale,2800,3300,2700,4000,2200,2650 2400,,2400,2400,2100,1900 2300,2000,3000 1800,,2500,3800,2603,
Sorghum Flour,Kg,Retail,1000 900,1500,,1800,700,1150,1000,1000,600,900,800 2500,,1600,1000,,1000,1163,
"",,Wholesale,700 800,1300,,1700,600,870,900,900,500,600,700 2300,,1500,900,,750,1001,
Sorghum Grain,Kg,Retail,700 800,1200,,1700,350,350 750,900,,400,250,500 300,400,1000 1100,,800,850,726,
"",,Wholesale,500 700,1000,,1500,300,265 570,800,,300,220,350 250,300,700 1000,,700,750,600,
Fish,,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,6000,6000,4500,,7000,5200,6500,,5000,5000,5000,8000,7500,10000,5500,7500,6336,
"",,Wholesale,5000,6000,3500,,6000,4200,6000,,4500,4500,,7500,6500,9000,4500,6800,5692,
"Fish, Tilapia",whole,Retail,3500 4600,3000,3700,5500,6000,4000 6500,8000,4500,4000,8000,7000,8000,3500 4000,9000,5000,7000,5516,
"",,Wholesale,3000 4200,2800,2800,5000,5000,3700 5200,7000,3000,3600,6000,,6000,3000 3800,8000,3700,6500,4572,
Fruits,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000 550,900,1100,900,1200,1500 1200,260,400,1200,550,650 1500,,800 700,600,600,750,861,
"",,,,,,,,,,,,,,,,,,,,4000
"",,Wholesale,700 500,1000,800,850,1100,1300 800,240,300,800,450,600 1400,,500 650,500,400,600,710,
Cavendish (Bogoya),Kg,Retail,1250 750,1300,1100,1000,1600,1600 2500,650,1000,2000,600,600 1900,2000,2000 1500,2400,500,1200,1373,
"",,Wholesale,1200 650,1200,600,900,1500,1300 2000,600,800,1500,450,530 1700,1800,1500 1400,1800,400,1000,1142,
Matooke,Kg,Retail,250 375,1800,375,500,300,1000 400,240,250,1000,600,400 1300,1000,1300 680,,460,650,678,
"",,Wholesale,200 325,1500,300,400,250,800 300,200,200,800,500,350 1000,800,1000 650,,400,500,551,
Matooke (Bunch),Bunch,Retail,10000 15000,13000,16000,13000,10000,18500 15000,12000,5000,10000,21000,13000 17500,8000,6000 16500,12000,9300,7000,12390,
"",,Wholesale,8000 13000,11000,14000,12000,8000,17000 12500,10000,4000,8000,18000,12000 15000,3000,5500 16000,10000,8000,6500,10575,
Pineapple,whole,Retail,1000 1000,1200,900,3500,1200,1800 1800,,,2000,2900,1800,3000,1000 1500,1000,2500,1200,1724,
"",,,,,,,,,,,,,,,,,,,,2500
"",,Wholesale,800 800,1000,600,2700,800,1600 1300,,,1500,2500,1600,1000,700 1400,700,1500,1000,1265,
"",,,CENTRAL,,,,,EASTERN,,,,,NORTHERN,,WESTERN,,,,,Organic
Commodity Name,Unit,Pricetype,KAL KIB,LUW,MSK,NKS,OWI,BUS IGA,JJA,KAP,MBA,SOR,ARU GUL,LRA,FTP KAS,KLE,KSR,MBR,Avg,pices
Oil Seeds,,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3400 2800,3800,2300,4000,2700,3000 2700,2700,3200,2700,2800,3000 2400,4000,3000 3200,3000,3100,2600,3020,
"",,Wholesale,3100 2600,3500,2100,3500,2550,2805 2500,2500,3000,2500,2700,2500 2200,3500,2800 3000,2800,2800,2400,2768,
Soya Beans,Kg,Retail,2000 1400,1800,1900,2000,1200,1200 1450,1800,1800,1800,1400,2000,1000,1500 1600,2400,1600,2300,1692,
"",,Wholesale,1800 1200,1500,1800,1700,1000,1050 1200,1700,1700,1500,1100,1500,900,1000 1500,2300,1300,2000,1461,
Sunflower,Kg,Retail,,,,3000,400,,,,,600,,,,,,3200,1800,
"",,Wholesale,,,,2700,370,,,,,450,,,,,,3000,1630,
Poultry Products,,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7500,6500,8500,7000,8000,7000 5800,7000,,6500,10500,9000,4500,10000 8000,9000,9500,15000,8194,
"",,Wholesale,6500,6000,7000,6500,6000,6500 4800,6500,,5500,7500,6500,4000,8000 7800,7000,7750,13000,6874,
"Chicken, Local",bird,Retail,9000 15000,13000,15000,15000,15000,9000 11800,15000,8000,7000,11000,11000 13000,9000,15000 17000,10000,,13000,12200,
"",,,,,,,,,,,,,,,,,,,,15000
"",,Wholesale,8000 13000,10000,12000,13000,13000,8000 8800,14000,6000,5000,8000,10000 11000,6000,13000 16500,9000,,12500,10358,
"Eggs, Exotic",tray,Retail,4800 6000,4500,4700,5800,5000,7500 5300,5400,6000,5500,5800,7500 7200,6000,6000 5800,6500,6500,7300,5955,
"",,Wholesale,4300 5500,4000,3500,5400,4500,5400 4900,5000,5500,5300,5600,5700 5700,5500,5000 5500,5500,5500,6700,5200,
