"Eggs, Local",tray,Retail,8500 10500,4800,9000,13000,13000,9000 8000,7000,7000,9000,9000,7500,6500,9000 8500,9000,12000,8000,8858,
"",,Wholesale,7500 9000,4500,7500,12000,10000,7500 6000,6500,6500,7500,8500,,6000,7000 8000,7500,9000,6800,7628,
Turkey,bird,Retail,,,,31000,48000,8000 34000,53000,,,29000,,,,,30000,,33286,
"",,Wholesale,,,,25000,38000,8000 31000,50000,,,26000,,,,,26000,35000,29875,
Pulses,,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,2000 1800,2500,2400,3500,3000,2200 1800,2000,1800,2000,1500,2300,1500,2000 2200,,2200,1300,2111,
"",,Wholesale,1800 1700,2300,2100,3000,2800,1850 1600,1800,1700,1800,1250,1600,1300,1800 2100,,2000,1100,1867,
"Dried Beans, Agwede",Kg,Retail,,,1400,,,1300,1100,,,1400,,1400,,,,,1320,
"",,Wholesale,,,1200,,,1100,1000,,,1300,,1300,,,,,1180,
"Dried Beans, Nambale",Kg,Retail,2600,1300,1600,2300,1300,1600 1350,1400,1500,1400,1600,1500 1900,1400,1400 1600,1200,1300,1100,1545,
"",,Wholesale,2300,1200,1400,2200,1200,1370 1200,1300,1200,1300,1400,1300 1700,1300,1400 1550,1100,1000,1000,1391,
"Dried Beans, Yellow",Kg,Retail,2600 1100,1300,1000,2300,2000,1500 1500,1500,,2000,1600,1700 2000,1700,2000 1800,1000,1400,1650,1666,
"",,Wholesale,2300 1000,1200,800,2200,1600,1250 1300,1400,,1800,1400,1400 1800,1500,1800 1700,1000,1200,1500,1482,
Root Crops,,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,400,400,260,,,400,600 1700,1300,580,,,1000,738,
"",,Wholesale,,,,,350,310,250,,,280,350 1500,1000,550,,,800,599,
"Cassava, Flour",Kg,Retail,800 1300,800,1200,1000,550,600 750,1100,1000,700,800,700 1900,1000,800 800,800,1000,800,920,
"",,Wholesale,700 1100,700,700,800,480,400 650,1000,900,600,600,500 1700,800,500 750,700,700,750,752,
"Cassava, Fresh",Kg,Retail,550,800,1100,350,400,800 800,250,500,110,350,500 1000,900,1000 1200,1000,400,1000,685,
"",,Wholesale,450,500,700,300,350,600 600,230,400,100,300,450 800,800,500 1000,800,300,800,525,
"Cassava, Sun dried",Kg,Retail,,500,,,380,350 400,230,,450,,600 1400,600,560,,500,1100,589,
"",,Wholesale,,400,,,350,325 310,200,,400,,350 1200,500,500,,400,1000,495,
Irish Potatoes,Kg,Retail,650 500,1000,1200,950,650,350 800,600,350,350,700,1000 1500,1200,2000 600,580,1000,1400,869,
"",,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,580 458,800,1000,800,580,290 670,500,300,300,600,1300,1000,1500 550,550,800,1200,725,
Sweet Potatoes,Kg,Retail,220 260,800,800,350,400,800 950,240,400,130,400,400 700,1000,500 750,1000,500,900,575,
"",,,,,,,,,,,,,,,,,,,,1200
"",,Wholesale,170 240,500,600,300,350,650 730,220,300,120,300,250 500,900,500 700,800,400,730,463,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,2500,2500,1000,,,,1100,,2500,,,,3300,,1060,,1994,
"",,Wholesale,1900,2300,800,,,,1000,,2000,,,,3200,,950,,1736,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,,,,,950,,,,950,
"",,Wholesale,,,,,,,,,,,,,900,,,,900,
Vanilla (Unprocessed),Kg,Retail,,,,,3000,,,,,,,,,,,3000,3000,
"",,Wholesale,,,,,2500,,,,,,,,,,,2800,2650,
