Months,,Central,Eastern,Northern,Western,Average
Jan,Retail,810,653,831,638,733
"",Wholesale,661,562,692,526,610
Dec,Retail,828,599,707,678,703
"",Wholesale,656,512,606,602,594
"",,,,Central,,,Eastern,,,Northern,,Western,,,
Commodity,,,Kalerwe Kiboga,Masaka Nakawa Owino,Iganga,Jinja,Kapch Mbale,Soroti,Arua,Gulu Lira,Hoima Kabale,Kasese Kisoro,MbararaMin,Max,Avg
Apple Bananas Kg,,Retail,1000 550,500 800 650,800,,500 450,400,1000,,1000 900,550 400,400,1000,679
"",,Wholesale,800 400,300 500 600,600,,400 350,300,800,,500 550,500 300,300,800,493
Beef Kg,,Retail,5000 4000,5000 5000 5000,5000,7000,4500,5000,5000,,5000 4000,4000 5000,4000 4000,7000,4833
"",,Wholesale,4300 3400,4500 3800 4500,4500,6500,4500,4800,5000,,,4000 4500,3500 3400,6500,4446
"Cassava, Dry Fermented Kg",,Retail,,450,500,340,,400,650,650 500,,,340,650,499
"",,Wholesale,,420,400,320,,350,630,500 500,,,320,630,446
"Cassava, Flour Kg",,Retail,800 800,650 800 700,800,800,900,650,700,650 1400,550 950,600 1000,900 550,1400,803
"",,Wholesale,700 600,400 640 580,600,700,700,550,690,500 1200,500 700,600 800,850 400,1200,665
"Cassava, Fresh Kg",,Retail,360 500,700 400 600,600,230,600,250,500,600 800,500 650,350 400,230,800,503
"",,Wholesale,300 350,400 340 550,400,200,400,200,450,500 500,250 500,330 300,200,550,373
"Cassava, Sun dried Kg",,Retail,400,800 450,450,330,700,400,650,700 500,450 450,,330,800,523
"",,Wholesale,300,640 420,350,310,600,350,630,500 500,400,,300,640,455
Cavendish (Bogoya) Kg,,Retail,900 450,1000 1000 800,1000,540,600 600,450,800,1500,1000 800,900 400,400,1500,796
"",,Wholesale,750 300,700 800 700,800,530,500 500,400,700,1200,500 600,800 300,300,1200,630
"Chicken, Exotic bird",,Retail,8500 7000,7000 6000 8000,7500,6500,6000,8000,,8000 10000,8000 7500,7000,7000 6000,10000,7467
"",,Wholesale,7500 5500,6000 5000 6000,6000,6000,6000,7500,,6500 8000,7000 6000,6500,6000 5000,8000,6367
"Chicken, Local bird",,Retail,18000 16000,15000 16000,11000,8500,12000,9000,12000,14000 20000,16000 8000,13000 15000,10000 8000,20000,13344
"",,Wholesale,15000 13000,10000 9000 13000,8000,7500,10000,8500,10000,12500 17000,14000 6800,12000 13000,8000 6800,17000,11018
Coffee (Unprocessed) Kg,,Retail,1200,1000 1200,1890,1300,,,,,,1200 1600,1000,1890,1341
"",,Wholesale,1100,800 1100,1700,1200,,,,,1000,1200 1400,800,1700,1188
Cotton (Unprocessed) Kg,,Retail,,1200,,800,800,,,,,650,650,1200,863
"",,Wholesale,,1100,,700,600,,,,600,600,600,1100,720
Cow Peas Kg,,Retail,1800 2200,1400 2500,1800,2000,1800,1000,1700,2000,1800,2000 1300,1000,2500,1792
"",,Wholesale,1500 2000,1200 2000,1600,1800,1500,900,1400,1800,1650,2000 1200,900,2000,1581
"Dried Beans, Agwede Kg",,Retail,,1200 800,1400,1100,,1200,1400,800 800,,,800,1400,1088
"",,Wholesale,,1000 750,1250,1000,,1000,1300,700 750,,,700,1300,969
"Dried Beans, Nambale Kg",,Retail,1400 1200,1100 1500 1100,1300,1400,1200 1300,1500,1300,1400 1000,1200 1000,1200,1000 1000,1500,1241
"",,Wholesale,1300 1000,900 1000 1000,1150,1250,1000 1000,1400,1200,1200 950,1100 700,1100,900 700,1400,1068
"Dried Beans, Others Kg",,Retail,1400 1600,1100 1500 1150,1250,1400,1200 1200,1200,1300,900 900,1200 1000,1100 900,1200 900,1600,1194
"",,Wholesale,1300 1300,900 1000 1050,1100,1200,1000 1000,1000,1200,800 850,1100 700,1000 800,1000 700,1300,1017
"Dried Beans, Yellow Kg",,Retail,1500 1300,1100 1600 1300,1400,1500,1500,1600,1400,1200 1000,,1400 700,1200 700,1600,1313
"",,Wholesale,1400 1100,900 1250 1200,1250,1350,1200,1450,1300,1000 1000,,1300 600,1100 600,1450,1160
"Eggs, Exotic tray",,Retail,5500 6000,6000 6000 4800,6000,5000,7000 7500,5700,7500,6000 7000,6000 6000,5500 6000,6000 4800,7500,6083
"",,Wholesale,5000 5500,4500 5200 4400,5000,4800,6000 5700,5400,6000,5700 7000,5500 5000,5000 5500,5000 4400,7000,5344
"Eggs, Local tray",,Retail,10000 8000,7500 9000 11000,7500,6500,10500,7000,7500,4500 9000,9000 7500,7500 6000,9500 4500,11000,8088
"",,Wholesale,8000 6500,6000 7000 9000,6000,6000,9000,6900,,8500,7500 6500,7000 5500,9000 5500,9000,7227
"Fish, Nile Perch Kg",,Retail,5500 5000,6000 6000,6000,5000,2800,4000,5000,4500 8000,,,8000 2800,8000,5483
"",,Wholesale,5000 4500,5000 4500,4500,4500,2500,3500,5000,4000 6500,,,5000 2500,6500,4542
"Fish, Tilapia whole",,Retail,4000 4500,4000 4500 4000,6500,8500,6000,6000,3000,4500 6000,6000,3500 5000,7000 3000,8500,5188
"",,Wholesale,3500 4000,3500 4000 3500,5200,7500,5000,5000,2500,4000 5000,,3000 3000,6000 2500,7500,4313
Goat Meat Kg,,Retail,6000 4500,5500 6000 6000,5500,6000,5000 5000,5000,5500,6000,5000 5000,6000 6000,5500 4500,6000,5500
"",,Wholesale,5000 3500,4500 5000 4500,5000,5200,4800 5000,4800,5500,5700,4000,6000 5000,5000 3500,6000,4906
"Groundnuts, Unpounded Kg",,Retail,2500 2300,1800 2500 2500,2400,2200,2000 2000,1900,2500,2200 2000,2200 2400,2000 2500,2500 1800,2500,2244
