"",,,,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,,WESTERN,,,Organic
CommodityName,Unit,,KAL,KIB,LUW MSK,NAK,NKS,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,FTP,KAS,KLE KSR,MBR,Avg,Prices
Animal Products,,,,,,,,,,,,,,,,,,,,
Beef,Kg Retail,,5000,5000,5000 5000,5000,5000,5000,4500,6000 4400,4400,4000,5000,5000 4500,4500,4200,4000 4000,3800,4665,
"",Wholesale,,4500,4500,4500 4500,3600,4500,5000,4000,5000 4000,4400,3700,5000,4500 4500,4500,4000,3500 3600,3500,4265,
Goat Meat,Kg Retail,,6000,6000,6000 5500,6000,7500,5000,5000,6000 5000,5000,5000,5500,7200 5000,6000,6200,5000 6000,5500,5720,
"",Wholesale,,5000,5000,6000 4500,4800,6500,5000,4500,5000 4500,4800,4800,5500,5700 5000,6000,6000,4800 4000,5000,5120,
"Honey, Processed",Kg Retail,,,7000,4500 5500,8000,8000,16000,8700,6000,,7000,4500,,14000,,12000 10000,5500,8335.7,
"",,,,,,,,,,,,,,,,,,,,4000
"",Wholesale,,,6000,4000 4000,7000,7500,15000,7150,5000,,6500,4000,,12000,,9000 8000,5000,7153.6,
"Honey, Unprocessed",Kg Retail,,,3500,3500,6500,5000,,5300,4000,,4200,2300,,,,9000 8000,4200,5045.5,
"",Wholesale,,,3100,3000,6000,4500,,4500,3000,,3800,,,,,8000 7000,4000,4690,
Milk,Ltrs Retail,,1000,1000,700 800,1000,800,1200,1000,800 550,900,800,1000,1200 1000,1000,800,600 800,500,872.5,
"",Wholesale,,700,900,600 600,900,700,800,900,700 400,800,700,,1000 950,500,750,500 600,400,705.26,
Pork,Kg Retail,,5000,5000,4500 4500,5000,,4000,,7000 4000,4400,4000,5000,5000 5000,4000,4500,6000 4000,,4758.8,
"",Wholesale,,4500,4500,4000 3500,3500,,3800,,6500 3600,3700,3800,5000,4500 3500,3500,4200,5000 3500,6500,4283.3,
Cereals,,,,,,,,,,,,,,,,,,,,
Maize Flour,Kg Retail,,1200,900,1300 850,1200,1500,1000,800,700 1000,600,1100,1200,1400 1600,1500,1300,1000 1200,1100,1122.5,
"",Wholesale,,1000,800,1200 750,800,1400,800,700,600 800,520,900,1000,1200 1000,1200,1200,900 1050,1000,941,
Maize Grain,Kg Retail,,1000,350,400 350,800,1500,400,300,300 400,320,400,600,300 400,700,700,350 245,760,528.75,
"",Wholesale,,800,300,350 250,500,1200,344,270,280 350,300,350,400,250 300,500,650,300 210,500,420.2,
Millet Flour,Kg Retail,,1200,1100,1600 1900,2000,2500,,1400,1500 1800,1800,1600,2000,1800 2000,2500,1500,1500 1700,1450,1728.9,
"",Wholesale,,900,1000,1400 1300,1600,2200,,1200,1400 1700,1600,1400,1500,1600 1500,1700,1400,1300 1500,1350,1450,
Millet Grain,Kg Retail,,1200,1000,1300 1500,1200,1800,1200,1000,1200 1200,1100,1100,1000,1200 1000,1500,1100,1200 1300,1300,1220,
"",Wholesale,,900,900,1200 1300,1000,1500,966,950,1100 1100,900,1000,900,1000 900,1100,1000,1000 1200,1100,1050.8,
Rice (Kayiso),Kg Retail,,2000,2800,2200 2200,1800,,1400,1600,1700 2200,1400,1800,2000,1900 2000,2300,,2500,2500,2017.6,
"",Wholesale,,1800,2500,2000 1800,1400,,1300,1400,1600 2100,1300,1600,1800,1800 1700,2000,,2300,2300,1805.9,
Rice (Super),Kg Retail,,2400,2300,2400 2200,2200,2500,2200,2100,2300 2300,2400,2200,2700,2600 2200,2500,2400,2200 2700,2400,2360,
"",Wholesale,,2100,2200,2200 1800,1800,2300,2000,1950,2200 2200,2300,1800,,2500 2000,2100,2300,2000 2400,2100,2118.4,
Rice (Upland),Kg Retail,,1700,2200,2400 2500,1800,2500,,1800,1700 2000,,,2000,1800 1800,2000,,2300,2800,2086.7,
"",Wholesale,,1500,2000,2200 1800,1400,2300,,1630,1600 1800,,,1800,1700 1600,1600,,2100,2500,1835.3,
Simsim,Kg Retail,,3000,,3800 3000,3000,5000,2500,2800,2400 2500,2600,2600,2500,2400 2500,4000,2000,3000,4000,2977.8,
"",Wholesale,,2800,,3500 2700,2700,4500,2330,2500,2200 2400,2400,2200,2000,2300 2200,3000,1800,2000,3800,2629.4,
Sorghum Flour,Kg Retail,,1000,900,1300,1000,1800,,1150,1100 1000,500,900,800,1500 2000,,2000,1200,800,1184.4,
"",Wholesale,,700,800,1200,700,1700,,790,800 900,400,600,700,1300 1800,,1800,1000,750,996.25,
Sorghum Grain,Kg Retail,,700,800,1200,800,1700,300,750,800,300,230,600,250 400,1000,1100,800,850,740,
"",Wholesale,,500,700,1000,500,1500,270,570,650,250,200,350,150 300,700,1000,700,750,593.53,
Fish,,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg Retail,,6000,,6500 6500,7500,,,5300,6000,5000,5000,5000,3500 7000,7000,,9000 5500,7500,6153.3,
"",Wholesale,,5000,,6000 5000,6500,,,4300,5000,4500,4500,,3000 6000,6500,,8000 4500,6800,5400,
"Fish, Tilapia",whole Retail,,3500,4600,3500 4500,4500,8000,4000,6600,9500 4000,5000,6500,7300,4600 8000,5000,4800,8000 4000,7000,5645,
"",Wholesale,,3000,4200,3000 3000,4000,7000,3800,5300,8500 3000,4800,4500,,4000 7000,3500,4500,7500 3700,6500,4778.9,
Fruits,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg Retail,,1000,550,900 800,1000,1100,1000,1400,220 400,,550,650,1400,1000,900,600 600,750,823.33,
"",,,,,,,,,,,,,,,,,,,,1500
"",Wholesale,,700,500,800 600,700,1000,800,900,200 300,,450,600,1200,700,850,450,600,667.65,
Cavendish (Bogoya),Kg Retail,,1250,750,1200 1100,1000,1400,1600,3000,600 1000,,600,550,2000 2000,2000,1650,2500 500,1200,1363.2,
"",Wholesale,,1200,650,1000 600,800,1200,1300,2200,580 800,,450,500,1800 1800,1500,1600,2000 400,1000,1125.3,
Matooke,Kg Retail,,220,375,1500 375,410,550,800,400,160 250,1000,600,400,1300 1000,1500,800,460,500,663.16,
"",Wholesale,,170,325,1200 150,320,500,600,300,150 200,800,500,350,1000 800,1300,750,400,500,542.89,
Matooke (Bunch),Bunch Retail,,7000,13000,9000 12500,9000,12000,16500,15000,8000 5000,10000,21000,10000,18000 8000,6000,17500,10000 10000,6000,11175,
"",Wholesale,,5000,12000,8000 10000,7000,10000,16000,12500,7500 4000,8000,18000,9500,16000 4000,4500,17000,8000 9000,4000,9500,
Pineapple,whole Retail,,1000,1000,1500 900,1000,2000,800,2000,2000,2000,2900,2500,1600 3000,1500,1600,1000 2500,1200,1684.2,
"",,,,,,,,,,,,,,,,,,,,2500
"",Wholesale,,800,800,1200 600,700,1500,600,1400,1800,1500,2500,,1400 1000,1000,1500,700 1500,1000,1194.4,
"",,,,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,,WESTERN,,
CommodityName,Unit,,KAL,KIB,LUW MSK,NAK,NKS,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,FTP,KAS,KLE KSR,MBR,
Oil Seeds,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3400,2800,3800 2300,3300,4000,3000,2700,2400 3200,2800,2800,3000,2400 4000,3000,3000,3000 3100,2600,3030
"",,Wholesale,3100,2600,3500 2100,2800,3500,2800,2500,2200 3000,2600,2700,2700,2250 3500,2800,2800,2800 2800,2400,2772.5
Soya Beans,Kg,Retail,2000,1400,1800 1900,1500,2000,1200,1450,1600 1800,1800,1400,1500,700 1000,1500,1600,3000 1600,2300,1652.5
"",,Wholesale,1800,1200,1500 1800,1300,1700,1048,1200,1400 1700,1500,1100,,500 900,1000,1500,2750 1300,2000,1431.5
