Apple Bananas,Retail,Kg,1000,450,850,800,550,600,800,1000,,500,1000,500,1000,,1000,1200,700,400,100
"",Wholesale,Kg,760,300,750,500,500,300,700,700,,400,800,450,800,,500,700,550,300,800
Beef,Retail,Kg,5000,4000,4500,5000,5500,5000,5000,5000,,5000,4500,5000,5000,5000,4000,4000,4200,5000,400
"",Wholesale,Kg,4500,3500,4500,4500,4500,3800,4500,4500,,4500,4300,4800,5000,4500,,3500,4000,4500,380
"Cassava, Dry Fermented",Retail,Kg,,,,,,,720,500,260,,1000,800,1100,700,,,,,
"",Wholesale,Kg,,,,,,,700,420,250,,800,750,1000,500,,,,,
"Cassava, Flour",Retail,Kg,800,1000,1250,650,1000,1100,1000,1000,1000,800,900,1000,1200,1500,1200,1200,800,1000,120
"",Wholesale,Kg,700,650,1000,400,900,900,900,900,800,700,800,950,1000,1200,1000,750,750,800,100
"Cassava, Fresh",Retail,Kg,,500,850,700,400,450,650,800,240,,1000,450,800,1500,500,600,800,400,100
"",Wholesale,Kg,,300,600,500,350,375,550,600,200,,,400,700,1200,300,450,700,300,500
"Cassava, Sun dried",Retail,Kg,,400,900,,,1150,720,500,800,,800,800,1100,700,800,,600,,700
"",Wholesale,Kg,,300,750,,,900,700,400,700,,700,700,1000,500,700,,500,,500
Cavendish (Bogoya),Retail,Kg,1300,500,1100,1000,600,800,1300,,,600,,500,800,,1000,1300,,,200
"",Wholesale,Kg,1000,300,1000,800,550,600,1200,,,500,,450,600,,500,900,,,1800
"Chicken, Exotic",Retail,bird,8000,8000,6500,7000,9000,6000,8000,6500,8000,,7000,9000,,8000,7000,9500,6400,,650
"",Wholesale,bird,7500,6000,6000,6000,8500,5000,6000,5000,7000,,6000,8000,,7000,6500,8000,6000,,500
"Chicken, Local",Retail,bird,10000,10000,12000,10000,14000,,15000,12000,15000,8000,10000,9000,10000,8000,12000,13000,12000,15000,650
"",Wholesale,bird,8000,9000,11500,8000,12000,11500,13000,9000,13500,5000,8000,8500,9500,7000,8000,9000,11000,13000,550
Coffee (Unprocessed),Retail,Kg,,1100,1250,1000,5000,,,1900,1300,,,,,,,,2600,2000,
"",Wholesale,Kg,,1000,1150,800,4500,,,1700,1200,,,,,,,,2500,1600,
Cotton (Unprocessed),Retail,Kg,,,,,,,,,800,,,,,,,,,,
"",Wholesale,Kg,,,,,,,,,700,,,,,,,,,,
Cow Peas,Retail,Kg,2000,2300,2000,2500,2500,1500,2500,1800,2400,1800,,1400,1800,2300,,1850,2200,1700,130
"",Wholesale,Kg,1800,2000,1800,2300,2000,1300,2200,1700,2200,1700,,1300,1600,2000,,1500,2100,1600,100
"Dried Beans, Agwede",Retail,Kg,,,1300,1200,,1200,900,1500,1200,,,1300,,1200,,,,,
"",Wholesale,Kg,,,1200,1000,,1000,800,1200,1100,,,1200,,1000,,,,,
"Dried Beans, Nambale",Retail,Kg,1600,1000,1900,1200,2000,1700,1300,1300,1400,1200,1300,1500,1700,1200,1400,1400,1400,,130
"",Wholesale,Kg,1400,800,1800,1000,1800,1400,1200,1150,1300,1100,1200,1400,1600,1000,1300,900,1200,,100
"Dried Beans, Others",Retail,Kg,1600,1200,1400,1200,2000,1800,1200,1300,1100,1200,1200,1300,1700,1500,1400,,1400,1100,1300
"",Wholesale,Kg,1400,1000,1300,1000,1800,1500,1100,1150,1000,1100,1100,1200,1600,1300,1300,850,1200,1000,100
"Dried Beans, Yellow",Retail,Kg,1600,1250,1850,1200,2000,2000,1800,1300,1600,,,1550,2000,1500,1600,1400,1000,900,900
"",Wholesale,Kg,1400,1000,1750,1000,1800,1700,1700,1200,1500,,,1400,1900,1300,1400,900,900,800,800
"Eggs, Exotic",Retail,tray,5000,6000,5000,6500,6000,6000,4800,6800,5300,,,5700,7500,6000,6000,6500,5500,6500,650
"",Wholesale,tray,4500,5500,4800,4700,5500,5000,4500,5500,5000,,,5600,5900,5800,5500,5500,5000,6000,600
"Eggs, Local",Retail,tray,10000,8500,5500,9000,15000,9000,11000,8500,7000,,9000,7000,7500,6200,9000,9000,7200,9000,7500
"",Wholesale,tray,9000,7000,5200,7500,14000,7000,9000,6600,6500,,6000,6800,,6000,7000,7500,7000,7500,700
"Fish, Nile Perch",Retail,Kg,6000,5500,4800,,,7000,7000,5500,6000,,3000,4000,5000,5000,,,,,550
"",Wholesale,Kg,5500,4500,4000,,,6000,6000,4200,5000,,2500,3500,,4500,,,,,500
"Fish, Tilapia",Retail,whole,3500,4500,3500,3000,5500,4000,5000,6000,8000,2200,,5000,,4500,6000,7500,3500,6000,600
"",Wholesale,whole,3000,4000,3000,2500,5000,3400,4000,4500,7000,2100,,4500,,4000,,6500,3000,4500,500
Goat Meat,Retail,Kg,6000,4500,5000,5500,6000,6000,6000,5200,6500,5000,4800,5000,5500,6000,5000,5000,6000,6000,500
"",Wholesale,Kg,5500,3600,4800,4500,5500,5000,4500,4800,5000,4500,4500,4800,5500,5500,,4500,5800,5000,450
"Groundnuts, Unpounded",Retail,Kg,2800,2400,3000,2300,3000,2600,2600,2400,2700,2800,2200,2100,2500,3000,3500,2400,2300,2500,250
"",Wholesale,Kg,2700,2100,2700,2100,2500,2300,2300,2200,2600,2700,2000,2000,2200,2800,2500,2200,2200,2300,240
"Honey, Processed",Retail,ltr,7500,10000,3500,8800,8000,8000,,7300,5000,,,6400,3000,4000,8000,4000,,7000,
"",Wholesale,ltr,7000,8000,3500,6800,7500,7000,,6300,4000,,,6100,2700,3500,,3400,,6000,
"Honey, Unprocessed",Retail,ltr,6500,7500,2500,,5000,6000,,4000,3500,,,3000,2500,4000,,7000,,,
"",Wholesale,ltr,6000,6500,2200,,4500,5500,,3500,3000,,,2800,2100,3500,,6500,,,
Irish Potatoes,Retail,Kg,750,900,1200,1000,900,700,650,800,1000,,800,1000,1000,1000,700,700,800,541,
"",Wholesale,Kg,600,700,900,700,800,600,580,680,900,,650,950,900,800,600,570,700,516,
Kg,,300,750,,,900,700,400,700,,700,700,1000,500,700,,500,,500
Kg,1000,300,1000,800,550,600,1200,,,500,,450,600,,500,900,,,1800
Kg,1400,1000,1300,1000,1800,1500,1100,1150,1000,1100,1100,1200,1600,1300,1300,850,1200,1000,1000
Kg,2700,2100,2700,2100,2500,2300,2300,2200,2600,2700,2000,2000,2200,2800,2500,2200,2200,2300,2400
ltr,6000,6500,2200,,4500,5500,,3500,3000,,,2800,2100,3500,,6500,,,
Kg,600,700,900,700,800,600,580,680,900,,650,950,900,800,600,570,700,516,
Commodity,Pricetype,,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorw,Mbale,Soroti,Arua,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
