"",,,,,CENTRAL,,,,EASTERN,,,NORTHERN,,,WESTERN,,,Organic
CommodityName,Unit,,KAL,KIB,MSK NAK,NKS,BUS,IGA,JJA KAP,MBA,SOR,ARU LRA,FTP,KAS,KLE KSR,MBR,Avg,prices
"",,Wholesale,5000,7000,10500 6500,9000,,10000,9000 4000,7000,18500,9000 10000,2500,8000,5000 5000,5500,7735,
Pineapple,whole,Retail,800,600,1500 1000,2000,900,1700,2000 1200,1500,2700,2900,1500,1800,600 1600,1400,1512,
"",,Wholesale,500,500,700 700,1500,,1200,1800 1000,1000,2300,2600,1000,1700,500 900,1200,1194,2500
"",,,,,CENTRAL,,,,EASTERN,,,NORTHERN,,,WESTERN,,,Organic
CommodityName,Unit,,KAL,KIB,MSK NAK,NKS,BUS,IGA,JJA KAP,MBA,SOR,ARU LRA,FTP,KAS,KLE KSR,MBR,Avg,prices
Animal Products,,,,,,,,,,,,,,,,,,
Oil Seeds,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,2800,2500,2100 2600,3500,2400,2500,2500 2800,2400,2200,3000 2500,2500,2400,2500 3100,2700,2611,
"",,Wholesale,2500,2400,2000 2200,3000,,2400,2200 2500,2100,2000,2800 1800,2200,2200,2400 2800,2500,2353,
Soya Beans,Kg,Retail,1500,1400,1900 1500,1600,1300,1200,1500 1800,,1000,1500 1000,1500,,2500 1600,2300,1569,
"",,Wholesale,1300,1300,1800 1200,1400,,1000,1300 1700,,850,800,1000,,2300 1300,2000,1375,
Sunflower,Kg,Retail,,,,3000,,,,,600,900,,,,2900,1850,
"",,Wholesale,,,,2500,,,,,450,800,,,,2700,1613,
Poultry Products,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,6000,,9500 6500,8500,7500,6700,7000,8500,8000,8000 10000,10000,8500,10000 10000,10000,8419,
"",,Wholesale,5500,,8000 5500,7000,6500,5400,6000,6500,6500,9000,8000,8300,8000 7500,9000,7113,
"Chicken, Local",bird,Retail,12000,12000,15500,1600,12000,14000,15000 10000,8500,11000,15000 14000,15000,17000,13000 11000,14000,12388,
"",,Wholesale,10000,10000,10000 12000,13500,8000,11000,14000 8000,6500,8500,14000 12500,13000,16000,10000 9000,12500,11028,15000
"Eggs, Exotic",tray,Retail,,6300,5500 6000,5500,7500,5600,6000 6000,,5800,7500 7500,6500,5800,6000 6200,7300,6313,
"",,Wholesale,,6000,4500 5000,5000,6300,5200,5000 5500,,5700,6300 6200,5500,5500,5500 5000,6800,5563,
"Eggs, Local",tray,Retail,,9000,10000 12000,14000,9000,8200,10000 7000,9000,9000,7500 10500,9000,9000,10000 12000,9000,9659,
"",,Wholesale,,7500,9500 10000,12000,7500,6200,9000 6500,7500,8500,8000,7000,8800,9000 9000,8000,8375,
Turkey,bird,Retail,,,42000,30000,8000,35000,45000,,25000,,,,30000,,30714,
"",,Wholesale,,,35000,25000,,32000,43000,,23500,,,,26000,,30750,
Pulses,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3200,2100,2800 2000,3500,,1850,2500 1800,1500,1300,2500,2500,2200,2200,1400,2223,
"",,Wholesale,3000,2000,2400 1800,3000,,1700,2300 1700,1300,1000,1600,2200,2100,2000,1200,1953,
"Dried Beans, Agwede",Kg,Retail,,,1400 1400,,,1400,1200,,,1300,,,,,1340,
"",,Wholesale,,,1200 1200,,,1200,1100,,,1150,,,,,1170,
"Dried Beans, Nambale",Kg,Retail,,,1200 1800,2200,1800,1600,1500 1300,1600,1550,1600 1500,1800,2000,1100,1700,1617,
"",,Wholesale,,,1100 1500,2000,1550,1400,1400 1200,1500,1350,1450 1400,1600,1800,1000,1600,1457,
"Dried Beans, Yellow",Kg,Retail,,1400,1050 2400,2500,2000,1800,1500,,1700,1700 1500,2500,2500,1700,2000,1875,
"",,Wholesale,,1300,850 2200,2200,1800,1650,1300,,1500,1600 1400,2100,2300,1500,1800,1679,
Root Crops,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,,250,100,,330,300,,500,,1000,413,
"",,Wholesale,,,,,,210,90,,220,250,,480,,800,342,
"Cassava, Flour",Kg,Retail,240,1000,1200 700,900,500,650,500 1000,500,600,400 1000,800,700,1500 1000,800,777,
"",,Wholesale,200,800,700 450,800,450,400,400 900,400,450,360 800,500,680,1000 700,600,588,
"Cassava, Fresh",Kg,Retail,,550,1000 350,450,700,700,150 500,110,250,500 350,1000,800,1500 300,900,595,
"",,Wholesale,,450,500 250,400,600,500,130 400,100,200,400 250,500,700,1000 200,700,428,
"Cassava, Sun dried",Kg,Retail,,,700,,300,250,130,110,300,300 700,,450,500,1200,449,
"",,Wholesale,,,450,,250,200,110,100,220,250 650,,430,400,1100,378,
Irish Potatoes,Kg,Retail,700,625,1200 800,1500,500,800,1000 500,800,800,900 1200,1500,800,580 800,1700,928,
"",,Wholesale,580,583,700 750,1200,,650,800 400,700,700,700 1000,1000,700,560 600,1500,772,1500
Sweet Potatoes,Kg,Retail,,166,1000 400,400,650,800,180 500,120,300,550 350,1000,900,1000 500,1100,583,
"",,Wholesale,,150,500 300,350,,600,150 400,100,200,500 250,500,800,900 400,900,438,1500
Traditional Cash Crops,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,1000,,,,900,4700,,,,4500,,,2720,
"",,Wholesale,,1900,800,,,,800,4500,,,,4300,,,2460,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,,,5000,
"",,Wholesale,4500,,,,,,,,,,,,,,4500,
Vanilla (Unprocessed),Kg,Retail,,,,,,,,,,,,,4300,3200,3750,
"",,Wholesale,,,,,,,,,,,,,3500,3000,3250,
