"",,,,,,Central,,,,,,Eastern,,,,Northern,,,Western,
CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka Nakasero,Nakawa,Owino,Iganga,Jinja,,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,500,600,1100 1000,1000,1200,1500,260,,600,700,500,1000,1500,,600,1000 500,900
"",,Wholesale,800,400,500,800 800,700,1100,1000,240,,500,600,450,,800 1300,,500,900 320,800
Beef,Kg,Retail,5000,4500,4500,5000 5000,5000,5000,4500,6000,,4400,4500,4500,5000,5000,5000,4000,4200 4000,4200
"",,Wholesale,4500,4500,4500,4500 4500,3800,4500,4000,5000,,4000,4300,390,5000,4500,5000,3500,4000 3500,4000
"Cassava, Dry Fermented",Kg,Retail,,,,,,520,510,800,,,700,550,,750 1600,1000,,700,1000
"",,Wholesale,,,,,,500,410,650,,,600,450,,680 1400,800,,680,800
"Cassava, Flour",Kg,Retail,800,1200,1300,1200 1000,1000,700,1050,800,,1000,900,1000,,900 2500,900,1200,900 1000,1000
"",,Wholesale,700,1000,1000,800 900,750,600,810,700,,900,700,700,,730 2200,700,1000,800 700,800
"Cassava, Fresh",Kg,Retail,460,400,1000,1300 400,350,600,1000,250,,500,120,400,,700 1300,1200,1000,1200 500,800
"",,Wholesale,440,300,1000,800 350,300,550,800,230,,400,100,380,,600 1200,1000,900,1000 370,700
"Cassava, Sun dried",Kg,Retail,,,600,,1000,550,500,700,,,,550,,750 1500,600,,750 500,1100
"",,Wholesale,,,500,,750,500,400,670,,,,450,,700 1200,500,,700 400,1000
Cavendish (Bogoya),Kg,Retail,1300,700,1500,1000 1200,1000,1700,2500,800,,1000,2000,600,,700 2500,2000,2500,1500 500,900
"",,Wholesale,1200,600,1300,700 1000,800,1600,1700,750,,800,1500,450,,600 2000,1800,2000,1400 300,800
"Chicken, Exotic",bird,Retail,7500,,7500,10000 7500,6000,7000,6500,7500,,,6500,8000,,9000,5000,8000,8000 9000,13000
"",,Wholesale,6500,,7000,8500 6500,5000,5500,5500,7000,,,5500,7000,,7500,4500,7000,7800 7000,10000
"Chicken, Local",bird,Retail,11000,13000,10000,16000 15000,,15000,13000,15000,,8000,6500,9000,12000,13000,8000,10000,17500 11500,15000
"",,Wholesale,9000,12000,8000,14000 13500,11000,13000,10000,13000,,6000,5000,7500,10000,12000,7500,9000,17000 9000,14000
Coffee (Unprocessed),Kg,Retail,,2400,1400,1000,,,2050,1200,,,3300,,,,,,3000,
"",,Wholesale,,1800,1200,800,,,1930,1100,,,3100,,,,,,2900,
Cotton (Unprocessed),Kg,Retail,,,400,,,,,,,,,,,,,,,
"",,Wholesale,,,400,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,2400,1600,2500 2500,2500,2700,1750,1800,,1800,1300,1500,2500,,2200,,2000 2200,1300
"",,Wholesale,1800,1800,1500,2300 2000,2000,2500,1580,1700,,1700,1200,1300,,,2000,,1800 2000,1100
"Dried Beans, Agwede",Kg,Retail,,,2000,1400,1200,1100,1380,1100,,,,1400,,,1400,,,
"",,Wholesale,,,1800,1200,1000,1000,1230,1000,,,,1250,,,1200,,,
"Dried Beans, Nambale",Kg,Retail,1600,,1800,1600 2000,1300,1100,1350,1500,,1200,1250,1650,1300,1600,1400,1000,1400 1200,1500
"",,Wholesale,1400,,1700,1400 1800,1100,1000,1220,1400,,1000,1200,1350,1100,1500,1200,900,1300 900,1400
"Dried Beans, Yellow",Kg,Retail,1600,600,2000,1000 2200,1500,1500,1400,1500,,,1800,1650,1400,1500,1600,900,1500 1400,1650
"",,Wholesale,1400,500,1800,800 2000,1350,1400,1280,1400,,,1500,1300,1100,1500,1400,800,1400 1250,1500
"Eggs, Exotic",tray,Retail,5000,6500,6000,5600 5000,6000,5000,5500,5200,,6000,5500,5800,7500,7200,6000,6000,5800 6500,7300
"",,Wholesale,4500,6000,5500,4400 4700,5000,4500,5000,4800,,5500,5300,5600,5800,5700,5500,5500,5500 5500,7000
"Eggs, Local",tray,Retail,8500,9000,5000,9000 12000,9000,13000,8200,7000,,7000,9000,7300,7500,,6500,7500,8800 12000,8200
"",,Wholesale,7500,7500,5500,7500 11000,7000,10000,6400,6500,,6500,7500,7100,,,6000,6000,8500 9000,6800
"Fish, Nile Perch",Kg,Retail,6000,,7000,4500,7000,,4800,8000,,,4800,4500,5000,3800,8000,6000,5500,7200
"",,Wholesale,5500,,7000,3500,6000,,3800,7000,,,4500,4000,,3200,7000,5000,4500,6700
"Fish, Tilapia",whole,Retail,3500,6500,4200,3500 7000,5000,,5500,7000,,1200,4200,7000,8700,4800,8000,6000,4800 4200,7300
"",,Wholesale,3000,4500,3700,2500 5500,4500,,4500,6000,,1000,3700,5500,,4200,7000,5000,4500 3600,7000
Goat Meat,Kg,Retail,6000,6000,5000,5500 6000,6000,6000,5000,6000,,5000,,5000,5500,6000,5000,5000,6000 5000,5700
"",,Wholesale,5000,5000,4800,4500 5500,4800,4500,4500,5000,,4500,,4700,5500,5700,5000,4800,5800 3800,5300
"Groundnuts, Unpounded",Kg,Retail,3000,2700,3000,2200 3000,2700,2600,2500,2500,,3000,2500,2500,2500,2000,2600,2400,2800 2600,2800
"",,Wholesale,2800,2500,2800,2100 2800,2300,2200,2200,2400,,2700,2300,2200,1800,1800,2500,2200,2600 2300,2500
"Honey, Processed",ltr,Retail,,7000,3500,5500 8000,8000,,8600,6000,,,,6400,3500,,,9000,10000,5500
"",,Wholesale,,6000,3000,4000 7500,7000,,7000,5000,,,,6100,3300,,,7500,8000,5200
"Honey, Unprocessed",ltr,Retail,,3500,3000,5000,6000,,5200,4000,,,,3300,2000,,,7000,7500,7700
"",,Wholesale,,3100,2500,4500,5000,,4000,3000,,,,3000,,,,6000,6500,5300
Irish Potatoes,Kg,Retail,570,291,1000,1900 1100,500,600,850,700,,300,350,800,2000,1400,1200,450,900 1000,1200
"",,Wholesale,500,250,800,1700 900,400,550,700,600,,200,300,700,,1200,1000,400,850 750,1100
Maize Flour,Kg,Retail,1500,1100,1300,1600 1500,1200,900,1000,1000,,1200,900,1400,1500,1500,1600,1200,1400 1600,1100
"",,Wholesale,1400,1000,1000,1400 1400,1000,800,840,900,,1000,750,1000,1280,1300,1000,1100,1300 1300,1000
"",,,,,,Central,,,,,,Eastern,,,Northern,,,Western,,
Maize Grain,Kg,Retail,1100,450,250,800,800,600,360,270,400,550,450,550,700 550,700,800,400 310,,950
"",,Wholesale,1000,400,200,500,700,500,330,230,390,500,400,450,500 480,600,750,300 280,,900
Matooke,Kg,Retail,330,375,2000,400,1000,590,340,450,220,400,1200,600,350 1300,1000,,850 750,,1100
"",,Wholesale,280,350,1500,350,800,500,320,400,160,300,1000,500,300 1100,800,,800 600,,900
Matooke (Bunch),Bunch,Retail,9000,15000,9000,15000,16000,13000,14000,17000,11000,8000,12000,24000,9000 17500,15000,12000,18000 13000,,7000
"",,Wholesale,7500,14000,8000,12000,15000,11000,12000,14000,8000,6000,10000,20000,8500 14800,5000,9000,17500 8500,,6500
Milk,Ltrs,Retail,1000,1000,800,1000,900,1000,800,1000,800,550,800,800,1000 1200,1000,500,800 800,,600
"",,Wholesale,800,900,750,500,800,900,700,900,700,400,700,700,1000 1000,800,400,750 600,,500
