Commodity Name,Weight Pricetype,Kalerwe Kiboga Masaka Nakawa Owino Iganga Jinja,Kapchorwa Mbale,Soroti,Arua,Gulu,Lira,Hoima Kasese Kisoro,Mbarara
"",Wholesale,900 1300 1300 1600 1700 1100 1400,1700 1600,1400,1700,1100,,1350 1400,1600
Millet Grain,Kg Retail,1200 1300 1400 1200 660 1050 1200,1300 1000,1100,1400,1150,1000,1300 1100 1250,1500
"",Wholesale,900 1200 1200 1000 650 880 1100,1200 800,1000,1350,900,800,1200 1000 900,1300
Pineapple,whole Retail,1000 800 800 1200 1500 1700 2500,1200,1500,1500,2300,3000,2000 1400 2200,800
"",Wholesale,850 500 600 900 1000 1300 2300,900,1400,1200,1800,1000,1000 1300 1200,500
Pork,Kg Retail,4700 5000 5000 5000 6000,4000 4000,4000,5000,4500,4000,5000 2000 4000,7000
"",Wholesale,4000 4500 3500 4000 5000,3600 3500,3800,5000,4000,3500,1800 3000,6000
Rice (Kayiso),Kg Retail,2000 2800 2400 2000 2400 1600 1700,2200 1700,2200,2300,2500,2400,2500,2500
"",Wholesale,1800 2500 2000 1800 2200 1400 1600,2100 1600,2100,,2300,2100,2400,2300
Rice (Super),Kg Retail,2400 2500 2300 2400 2600 2100 2000,2600 2400,2400,2400,2800,2500,2500 2500 2600,2500
"",Wholesale,2200 2300 1800 2100 2400 1900 1800,2300 2200,2300,2120,2600,2300,2400 2450,2400
Rice (Upland),Kg Retail,2000 2200 2300 2000 2300 1700 1800,,,2300,2600,2200,2000 1700 2300,2200
"",Wholesale,1800 2000 1800 1800 2100 1450 1700,,,2120,2400,2100,1850 1600 2100,2000
Simsim,Kg Retail,3000 3300 2800 2700 2000 3000,2500 2600,2600,3200,2600,2500,3000,3800
"",Wholesale,2800 2900 2400 2200 1800 2800,2400 2400,2400,2500,2400,2100,2500,3500
Sorghum Flour,Kg Retail,1000 900 1200 1000 1000 1000,900 900,1000,1600,1300,2000,1400,850
"",Wholesale,700 800 900 800 800 900,700 800,850,1500,1100,1500,1300,500
Sorghum Grain,Kg Retail,700 800 1000 700 850 700,600,800,1200,1300,800,1100 800,1100
"",Wholesale,500 700 700 650 680 600,550,700,1000,1200,500,1000 600,1000
Soya Beans,Kg Retail,2000 1400 1400 1700 1400 1250 1400,1800 1100,1100,2000,1700,800,1000 1500,1500
"",Wholesale,1800 1200 1300 1400 1100 1150 1250,1700 1000,1000,,1500,600,1300,1400
Sunflower,Kg Retail,400,,,,,,,
"",Wholesale,370,,,,,,,
Sweet Potatoes,Kg Retail,660 150 1000 600 400 1000 360,300 170,450,500,1750,1000,1000 1000 650,700
"",Wholesale,550 100 600 500 370 850 350,200 160,400,430,700,800,600 900 450,500
Turkey,bird Retail,42000 37000 34000 47000,25000,34000,,,,29000,32000
"",Wholesale,35000 28000 31000 46000,2000,32000,,,,26000,30000
Vanilla (Unprocessed),Kg Retail,2700,,,,,,3500,3000
"",Wholesale,2300,,,,,,3000,2000
