"",Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,
CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara
"",,Wholesale,340,450,1500,1000,460,350,380,200,300,1000,500,300,1000,1000,,800,700,900
Matooke (Bunch),Bunch,Retail,10000,20000,15000,18000,12000,16000,16000,12000,8000,10000,37000,9000,16000,15000,20000,17500,15000,7000
"",,Wholesale,7500,18000,12000,15000,10000,14000,13000,10000,6000,8000,18000,8000,14000,5000,16000,17000,10000,6500
Milk,Ltrs,Retail,1000,1000,800,900,1000,800,1000,800,550,1000,800,1000,1200,1000,500,800,800,500
"",,Wholesale,800,900,750,800,600,700,900,700,400,900,700,1000,1000,800,400,750,600,400
Millet Flour,Kg,Retail,1200,1500,1200,2200,2000,1800,1400,1500,1800,1800,1600,2000,2000,2000,2000,1500,1700,1550
"",,Wholesale,900,1400,1000,1900,1600,1600,1200,1400,1700,1600,1450,1500,1800,1600,1800,1400,1500,1400
Millet Grain,Kg,Retail,1200,1400,1000,1900,1000,1100,1000,1100,1300,1250,1100,1000,1200,950,1500,1100,1300,1850
"",,Wholesale,900,1300,1000,1700,800,950,900,1000,1200,1100,1000,800,1000,800,1400,1000,1150,1600
Pineapple,whole,Retail,800,800,1500,1000,1000,1200,1500,1800,1200,1200,2000,1700,2000,3000,1000,1700,2500,800
"",,Wholesale,500,500,1300,500,700,800,1000,1600,1000,800,1500,1300,1600,1000,700,1600,1400,600
Pork,Kg,Retail,5000,5000,4000,,5000,5000,,6000,4000,4400,4000,5000,5000,5000,6000,,,
"",,Wholesale,4500,4500,4000,,3500,4000,,5000,3600,3700,3800,5000,4500,3500,5000,,,6000
Rice (Kayiso),Kg,Retail,2000,2800,2200,2000,2000,1800,1600,1600,2200,1550,1900,2000,1550,2000,,,2500,2600
"",,Wholesale,1800,2500,2000,1800,1800,1650,1500,1500,2100,1450,1700,1600,1450,1800,,,2300,2500
Rice (Super),Kg,Retail,2400,2300,2300,2500,2600,2300,2000,2000,2300,2500,2200,2500,2700,2400,2500,2400,2700,2450
"",,Wholesale,2100,2200,2200,2400,2200,2100,1900,1800,2200,2200,1900,2000,2500,2000,2350,2300,2300,2400
Rice (Upland),Kg,Retail,1600,2200,2200,2500,2000,1900,1800,1800,2000,,,2000,1450,2000,,,2300,
"",,Wholesale,1500,2000,2000,2300,1800,1700,1600,1600,1800,,,1800,1350,1800,,,2100,
Simsim,Kg,Retail,3000,,3000,4500,2800,2500,2500,2800,2800,2800,2000,2000,2500,2400,,2000,2700,4000
"",,Wholesale,2800,,2600,4000,2400,2100,2250,2700,2400,2400,1700,1800,2300,2200,,1800,2200,3800
Sorghum Flour,Kg,Retail,1000,900,1200,1800,1000,1000,900,1000,1000,800,1000,1200,1600,1800,1300,1600,,900
"",,Wholesale,700,800,1000,1700,700,700,700,900,900,700,700,1000,1400,1500,800,1500,,750
Sorghum Grain,Kg,Retail,700,800,1000,1700,800,450,600,900,,650,450,800,900,500,900,1100,800,850
"",,Wholesale,500,700,900,1500,500,380,500,800,,550,400,600,800,400,700,1000,700,750
Soya Beans,Kg,Retail,2000,1400,1800,2000,1500,1000,1200,1500,1800,2000,1200,,,1200,2700,1700,1600,3000
"",,Wholesale,1800,1200,1500,1700,1200,850,1000,1400,1700,1800,850,,,1000,2500,1600,1300,2000
Sunflower,Kg,Retail,,,,3000,,400,,,,,450,,,,,,,3200
"",,Wholesale,,,,2700,,370,,,,,400,,,,,,,3000
Sweet Potatoes,Kg,Retail,400,208,1000,400,400,550,1150,270,500,140,500,200,800,500,1000,1000,700,800
"",,Wholesale,350,166,1000,350,350,520,1000,250,400,130,400,180,600,400,800,800,500,700
Turkey,bird,Retail,,,35000,40000,45000,48000,34000,48000,,,37000,,,,,,30000,
"",,Wholesale,,,30000,35000,35000,37000,30000,45000,,,33000,,,,,,26000,38000
Vanilla (Unprocessed),Kg,Retail,,,,3500,,2700,,,,,,,,,,,3500,
"",,Wholesale,,,,3000,,2400,,,,,,,,,,,3000,
