"",,,,,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,,WESTERN,,,,Organic
CommodityName,Unit,Pricetype,KAL,KIB,LUW,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,FTP,HOI,KAS KLE,KSR,MBR,Avg,prices
Animal Products,,,,,,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,5000,4000,5000,5000 5000,5000,5000,5000,4500,6000 4400,4400,4000,5000,5000 5000,4500,4000,4200 4000,5000,3800,4672.7,
"",,Wholesale,4500,4500,4500,4500 3600,4500,4500,5000,4000,5000 4000,4300,3700,5000,4500 5000,4500,,4000 3500,4500,3500,4338.1,
Goat Meat,Kg,Retail,6000,6000,6000,5500 6000,7500,6000,5000,5000,6000 5000,5000,5000,5500,7200 5000,6000,5000,5500 5000,6000,5500,5668.2,
"",,Wholesale,5000,5000,6000,4500 4800,6500,4500,5000,4500,5000 4500,5000,4700,5500,6000 5000,6000,,5000 4800,5000,5000,5109.5,
"Honey, Processed",Kg,Retail,,10000,4500,5500 8000,8000,,1500,8800,6000,,6400,3800,8000,12000,,9000,7000,5500,6933.3,
"",,,,,,,,,,,,,,,,,,,,,,8000
"",,Wholesale,,8000,4000,4000 7000,7500,,1400,7200,5000,,6100,3540,600,10000,,7500,6000,5000,5522.7,
"Honey, Unprocessed",Kg,Retail,,2700,3500,6500,5000,,,5400,4000,3000,4000,,7000,,,7000,3500,,4690.9,
"",,Wholesale,,3000,3000,6000,4500,800,,4600,3000,2900,3700,,4500,,,6000,3100,,3758.3,
Milk,Ltrs,Retail,1000,800,700,800 800,800,800,1200,1000,800 550,800,800,1000,1200 1000,1000,800,800 600,1000,600,856.82,
"",,Wholesale,700,900,600,600 700,700,700,1000,900,700 400,700,700,900,1000 950,500,500,750 500,900,500,718.18,
Pork,Kg,Retail,5000,4000,4500,4500 5000,,5000,4000,,15000 4000,4400,4000,5000,5000 5000,4000,5000,4500 6000,5000,,5205.3,
"",,Wholesale,4500,4500,4000,3500 3500,,4000,4000,,6000 3600,3400,3800,5000,4500 3500,3500,,4200 5000,4500,6500,4289.5,
Cereals,,,,,,,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,1400,1300,1300,850 1200,1500,800,1000,850,700 1200,800,1000,1500,1500 1600,1200,1000,1400 1000,900,1100,1140.9,
"",,Wholesale,1100,800,1200,750 800,1400,700,750,720,600 1000,600,850,1200,1400 1000,900,700,1300 900,800,1000,930.45,
Maize Grain,Kg,Retail,900,280,350,250 800,1200,350,400,270,310 450,370,400,700,450 500,1000,300,700 500,350,700,524.09,
"",,Wholesale,700,300,330,200 500,1000,320,368,220,305 400,350,350,500,400 400,800,275,650 350,300,600,437.18,
Millet Flour,Kg,Retail,1200,1700,1400,1900 1200,2500,2000,1000,1200,1600 1800,1800,1600,2000,2000 2500,3500,2000,1500 1500,1300,1300,1750,
"",,Wholesale,900,1200,1300,1300 800,2200,1600,750,1000,1500 1700,1600,1400,1500,1800 2000,3000,,1400 1300,1200,1000,1450,
Millet Grain,Kg,Retail,1200,1300,1000,1500 1200,1900,1100,1200,980,1000 1200,1200,1100,1000,1250 900,2000,1200,1100 1200,1200,1450,1235.5,
"",,Wholesale,900,1100,1000,1300 1000,1700,1050,1040,920,900 1100,1100,1000,900,1100 700,2000,1000,1000 1000,1100,1350,1102.7,
Rice (Kayiso),Kg,Retail,2000,2500,2000,2200 2000,,1800,1600,1600,1500 2200,1600,1800,2000,1900 2000,2300,,,2800,2300,2005.6,
"",,Wholesale,1800,2500,1800,1800 1700,,1550,1430,1400,1300 2100,1500,1600,1800,1750 1800,2300,,,2500,2000,1812.8,
Rice (Super),Kg,Retail,2400,2700,2200,2200 2600,2500,2300,2400,2000,2000 2300,2500,2200,2500,2750 2200,2500,2400,2400 2000,2300,2400,2352.3,
"",,Wholesale,2100,2200,2000,1800 2200,2300,2100,2230,1900,1750 2200,2300,1800,1800,2550 2000,2500,,2300 1800,2200,2100,2101.4,
Rice (Upland),Kg,Retail,1700,2300,2200,2200 2000,2500,1900,,1750,1500 1800,,,2000,1800 2000,2700,1600,,2200,2800,2055.9,
"",,Wholesale,1500,2000,2000,1700 1700,2300,1700,,1600,1400 1800,,,1800,1650 1800,2700,1400,,2000,2500,1855.9,
Simsim,Kg,Retail,3000,3000,3500,3000 3000,4000,2500,3000,2400,3100 2500,2600,2500,2400,2400 2300,4000,,2000,,4000,2905.3,
"",,Wholesale,2800,2500,3300,2700 2700,3500,2200,2802,2100,2900 2400,2400,2100,1900,2200 2000,3500,,1800,,3800,2610.6,
Sorghum Flour,Kg,Retail,1000,,1800,1000,1800,800,,950,1100 1000,500,900,1000,1600 1800,,,1600 1300,900,1000,1179.4,
"",,Wholesale,700,,1500,700,1700,600,,700,1000 900,400,650,700,1400 1500,,,1500 1100,800,750,976.47,
Sorghum Grain,Kg,Retail,700,800,1500,800,1700,350,400,650,1000,350,300,600,400 300,1500,,1100,800,850,783.33,
"",,Wholesale,500,700,1400,500,1500,300,335,500,900,300,280,350,250 300,1500,,1000,700,750,670.28,
Fish,,,,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,6000,5500,6000,4500 8000,,8000,,5000,7000,5000,5000,,4500 8000,7500,5000,10000,,7500,6406.3,
"",,Wholesale,5000,5500,6000,3500 6500,,6500,,4000,6000,4500,4500,,4000 7500,6500,,8000,,6800,5653.3,
"Fish, Tilapia",whole,Retail,3500,5000,3500,3500 4000,8000,6000,4500,6000,7000,4000,7500,,4800 8000,5500,6500,8000,4600,7000,5626.3,
"",,Wholesale,3000,4200,3000,2500 3500,7000,5000,3900,5000,6000 1100,3700,5800,,4200 7500,4000,,4200 6000,4200,6500,4515,
Fruits,,,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,600,700,1000 1100,1100,1300,1200,1200,180 400,1000,500,600,1500,1000,1500,900 1000,500,950,915.71,
"",,,,,,,,,,,,,,,,,,,,,,1500
"",,Wholesale,700,450,650,700 1000,1000,1200,1000,800,160 300,800,450,500,1300,600,800,800 900,450,850,733.81,
Cavendish (Bogoya),Kg,Retail,1200,500,1200,1200 1400,1400,1600,1200,2500,620 1000,2000,600,650,2200 2000,2000,1500,1500 2500,750,1000,1387.3,
"",,Wholesale,1100,650,1000,800 1200,1200,1500,1100,1800,580 800,1550,450,600,1800 1800,1500,,1300 2000,650,800,1151.4,
Matooke,Kg,Retail,300,600,2000,375 550,550,320,1200,400,240 250,1200,600,400,1200 1000,1500,500,700,375,650,710,
"",,Wholesale,250,350,1800,300 500,500,280,1000,320,200 200,1000,500,350,1000 800,1300,,650,350,500,607.5,
Matooke (Bunch),Bunch,Retail,10000,10000,12000,15000 14000,14000,11000,18000,14500,12000 5000,12000,20000,8500,17500 13000,10000,7000,16500 12000,15000,7000,12455,
"",,Wholesale,8000,14000,10000,12000 13000,13000,8000,17000,12500,10000 4000,10000,17500,8000,14000 6000,7000,,16000 8000,14000,6500,10881,
Pineapple,whole,Retail,1000,2300,1200,800 1500,3000,1200,1500,1700,1700 1200,1800,2900,,1700 3000,700,1500,2000 1000,1000,1000,1604.8,
"",,,,,,,,,,,,,,,,,,,,,,2500
"",,Wholesale,800,800,500,500 1200,2500,800,1200,1200,1600 1100,1500,2400,,1400 1000,500,800,1800 700,800,800,1138.1,
"",,,,,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,,WESTERN,,,,Organic
CommodityName,Unit,Pricetype,KAL,KIB,LUW,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,FTP,HOI,KAS KLE,KSR,MBR,Avg,prices
Oil Seeds,,,,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3000,3000,3800,2300 3000,4000,2700,3200,2800,3100 3200,2800,2800,3000,2400 3400,3300,3200,3200 3000,2800,2600,3027.3,
"",,Wholesale,2800,2600,3200,2100 2500,3500,2450,2950,2600,2800 3000,2600,2700,2350,2200 3200,3000,2800,3000 2800,2600,2400,2734.1,
Soya Beans,Kg,Retail,2000,1600,1800,1900 1500,2000,1300,1200,1500,1700 1800,2000,1400,1500,800 1000,2000,1200,1600 2400,1400,2800,1654.5,
"",,Wholesale,1800,1200,1500,1800 1300,1700,1100,1064,1300,1600 1700,1800,900,800,600 900,1500,1000,1500 2250,1200,1900,1382.5,
Sunflower,Kg,Retail,,,,,3000,400,,,,,450,,,,,,,3200,1762.5,
"",,Wholesale,,,,,2700,370,,,,,400,,,,,,,3000,1617.5,
Poultry Products,,,,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7500,9000,6000,7500 6000,7000,7000,7500,6000,6000,6500,5800,,8500 5000,10000,8000,8000 8000,,14000,7542.1,
"",,Wholesale,7000,7000,5500,6500 5000,6500,5500,6000,5000,5500,5500,8000,,6500 4500,8000,7000,7800 6000,,12000,6568.4,
"Chicken, Local",bird,Retail,9000,11000,9000,15000,13000,15000,9500,12000,14000 9000,7500,12000,,13800 9000,20000,13000,17000 10000,13000,15000,12340,
"",,,,,,,,,,,,,,,,,,,,,,15000
"",,Wholesale,8000,12000,8000,12000 11000,12000,13000,8500,9000,12000 7000,6000,8500,9700,11500 6000,18000,10000,16500 9000,12000,14000,10623,
"Eggs, Exotic",tray,Retail,5000,6500,3800,4700 6000,5500,5000,7500,5300,5000 6000,5500,5800,7500,7200 6000,6000,5500,6000 6000,6000,7300,5868.2,
"",,Wholesale,4500,5500,3500,3500 4800,5000,4500,5400,4900,5000 5500,5300,5700,5700,5800 5500,5000,5000,5800 5000,5500,6700,5140.9,
"Eggs, Local",tray,Retail,8500,12000,4000,9000 12000,14000,13000,9000,8000,6500 7000,9000,9000,7500,6500,9000,9000,8500 9000,9000,8000,8928.6,
"",,Wholesale,7500,7500,3800,7500 10000,12000,10000,7400,6000,6000 6500,7500,8500,,6000,7000,6500,8000 7500,7500,6800,7475,
