"",,,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,,WESTERN,,,Organic
CommodityName,Unit,,KAL,KIB,MSK,NAK,OWI,BUS,IGA,JJA MBA,SOR,ARU,GUL LRA,FTP,KAS,KLE KSR,MBR,Avg,prices
Animal Products,,,,,,,,,,,,,,,,,,,
Beef,Kg Retail,,4500,5000,5000,5000,5000,5000,4400,6000 4500,4500,5000,5000 5000,4500,4400,5000 4000,4200,4777.8,
"",Wholesale,,4500,4500,4500,3800,4500,5000,3800,5000 4300,4200,5000,4500 4500,4500,4200,4800 3700,4000,4405.6,
Goat Meat,Kg Retail,,6000,6000,6500,6000,6000,5000,4800,6000,5000,5500,6000 6000,6000,6000,6000 6000,6000,5811.8,
"",Wholesale,,5000,5000,5000,4800,4500,4800,4300,5000,4800,5500,5000 5000,6000,5800,5700 4000,5500,5041.2,
"Honey, Processed",Kg Retail,,,7000,5500,6500,,16000,8800,6000,7000,5000,,12000,,8000 10000,6000,8150,
"",Wholesale,,,6000,4500,6000,,14500,7200,5000,6500,4670,,10000,,7500 8000,5500,7114.2,4000
"Honey, Unprocessed",Kg Retail,,,3500,,8000,,,5400,4000,5000,,,,,6000 8000,5000,5612.5,
"",Wholesale,,,3100,,7000,,,4600,3000,4500,,,,,5000 7000,4500,4837.5,
Milk,Ltrs Retail,,1200,1100,1200,1200,,1200,1000,800 800,800,1000,1200 1000,800,,850 800 1000,1000,997.06,
"",Wholesale,,800,1000,600,1000,,800,900,700 700,700,,1000 900,500,,800 700 600,800,781.25,
Pork,Kg Retail,,5000,6500,5000,5000,,4000,,6500 4400,4000,6000,,4000,4500,6000 4000,6000,5064.3,
"",Wholesale,,4500,6000,4000,3500,,3800,,5500 3700,3700,6000,,3500,4400,5000 3500,5500,4471.4,
Cereals,,,,,,,,,,,,,,,,,,,
Maize Flour,Kg Retail,,1000,800,850,1200,800,800,700,700 500,1000,1200,1200 800,1200,,800 1000 1200,1000,930.56,
"",Wholesale,,800,700,750,800,600,600,500,600 400,750,900,1000 500,1000,,750 900 1000,820,742.78,
Maize Grain,Kg Retail,,1000,400,350,600,300,300,350,270 250,350,800,350 250,700,,220 450 240,950,451.67,
"",Wholesale,,800,350,250,400,250,275,300,240 230,250,600,300 200,300,,200 400 200,820,353.61,
Millet Flour,Kg Retail,,2000,1300,1400,2000,1800,,1300,1600 1800,1500,2000,1600,2500,1500,1800 1700,1800,1725,
"",Wholesale,,1800,1200,1100,1600,1500,,1000,1450 1600,1300,1500,1300,1700,1400,1600 1500,1500,1440.6,
Millet Grain,Kg Retail,,2000,1100,1500,1200,700,900,900,900 1000,700,1000,800 700,1500,1100,1200 1300,1000,1083.3,
"",Wholesale,,1700,1000,1300,1000,650,693,800,850 900,620,700,600 600,1200,1000,1000 1200,700,917.39,
Rice (Kayiso),Kg Retail,,1600,2600,2100,1600,1600,1250,1300,1600 1500,1400,2000,1400 1300,2300,,2500,2500,1784.4,
"",Wholesale,,1400,2400,1700,1400,1300,1150,1100,1400 1000,1300,1800,1200 1100,2000,,2300,2300,1553.1,
Rice (Super),Kg Retail,,2000,2200,2100,1800,1800,1600,1800,1800 1800,1800,2500,2500 1300,2500,,2000 2600,2800,2052.9,
"",Wholesale,,1800,2100,1700,1600,1550,1300,1590,1700 1500,1500,1800,2200 1100,2100,,1800 2300,2000,1743.5,
Rice (Upland),Kg Retail,,1700,2000,2600,1600,1500,1200,1700,1500,,2000,1400 1300,2000,,2100,2800,1814.3,
"",Wholesale,,1500,1800,1950,1400,1400,1100,1600,1400,,1800,1200 1100,1600,,1800,2500,1582.1,
Simsim,Kg Retail,,4000,,3200,2800,4000,2400,2850,2700 3000,2800,2100,2500 3000,4000,2800,2700,3700,3034.4,
"",Wholesale,,3500,,2900,2500,3000,2200,2650,2500 2800,2400,1800,2200 2800,3000,2700,2300,3500,2671.9,
Sorghum Flour,Kg Retail,,2200,700,,1000,600,,900,600 400,600,1000,1400,,1200,675,950,940.38,
"",Wholesale,,2000,600,,700,550,,570,500 350,450,800,1000,,1100,550,900,774.62,
Sorghum Grain,Kg Retail,,2000,750,,800,350,300,650,500 250,230,600,250 200,1000,1300,450 800,950,669.41,
"",Wholesale,,1800,650,,500,300,280,470,350 200,200,500,200 130,700,1100,300 700,900,545.88,
Fish,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg Retail,,,,5500,7500,8000,4800,5300,6500 4500,5000,5000,5500,,,,,5760,
"",Wholesale,,,,4500,6500,6500,4500,4300,6000 3500,4500,,5000,,,,,5033.3,
"Fish, Tilapia",whole Retail,,,6500,3500,4500,6000,4600,6600,9500 7000,6000,6500,4800 8000,3500,4800,4700,7800,5893.8,
"",Wholesale,,,5500,2000,4000,5000,4300,5200,8000 6000,4600,,4000 7000,3000,4500,3800,7300,4946.7,
Fruits,,,,,,,,,,,,,,,,,,,
