Apple Bananas,Kg Retail,,1000,600,,1000,1300,1200,1700,200 1500,800,600,1500 1900,500,,800 800 450,1200,1002.9,
"",Wholesale,,800,550,,700,1200,1000,1100,180 1000,750,500,1300 1400,300,,750 700 320,1000,797.06,2000
Cavendish (Bogoya),Kg Retail,,1250,800,920,1000,1700,1600,2800,800 2000,800,650,1600 3500,1500,1600,2500 650,2500,1565,
"",Wholesale,,1100,700,600,800,1600,1300,2300,700 1500,700,550,1400 3000,1000,1500,2000 400,2000,1286.1,
Matooke,Kg Retail,,250,200,375,410,320,800,350,200 1000,800,350,1200 1000,800,,420 450,800,572.06,
"",Wholesale,,170,175,150,320,270,600,300,170 800,700,300,1000 800,500,,400 330,700,452.06,
Matooke (Bunch),Bunch Retail,,5000,8000,11500,9000,10000,8500,12000,10000 8500,20000,9300,17000 10000,3000,12000,6500 800,5000,9227.8,
"",Wholesale,,4000,7000,9500,7000,8500,7500,10000,8500 7500,18000,8500,15000 9000,2500,10000,5000 6000,4500,8222.2,
Pineapple,whole Retail,,1500,600,1000,800,1000,900,1700,1800 1500,2700,,1600 2700,4000,1600,700 1600,1200,1582.4,
"",Wholesale,,1000,500,500,500,700,700,1200,1700 1000,2300,,1300 2500,3500,1500,600 900,1000,1258.8,2500
"",,,,,CENTRAL,,,,,,EASTERN,,,NORTHERN,,WESTERN,,,Organic
CommodityName,Unit,,KAL,KIB,MSK,NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU LRA,FTP,KAS KLE,MBR,Avg,prices
Oil Seeds,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,2800,2500,2100,2600,2800,2400,2500,2500,2200 2200,3000,2400,2500 2500,2500,2500 3100,2700,2544.4,
"",,Wholesale,2500,2400,2000,2200,2400,2100,2400,2300,1950 2000,2500,2100,1800 2200,2400,2400 2800,2500,2275,
Soya Beans,Kg,Retail,1500,1400,1900,1500,1100,1000,1200,1400,1400,1500,,1000 1500,,2500 1600,2300,1520,
"",,Wholesale,1300,1300,1800,1200,850,861,1000,1200,1000,,,750 1000,,2300 1300,2000,1275.8,
Sunflower,Kg,Retail,,,,,,,,,600,,,900,,,2900,1466.7,
"",,Wholesale,,,,,,,,,450,,,800,,,2700,1316.7,
Poultry Products,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7500,,10000,6000,8000,7500,5700,7500,7000 7500,8000,,9000 10000,8500,10000 9000,10000,8200,
"",,Wholesale,7000,,8500,5000,6000,6500,4700,7000,6000 5500,,,8000 8000,8200,8000 7000,9000,6960,
"Chicken, Local",bird,Retail,9000,13000,15500,,15000,8500,12500,14000,8000 11000,11000,12800,12000 15000,18000,13000 11000,13000,12488,
"",,Wholesale,8000,11000,10000,11500,13000,7500,9000,13000,6000 8000,10000,9000,11000 13000,17500,10000 9000,12000,10472,15000
"Eggs, Exotic",tray,Retail,,6000,5500,6000,5300,7500,5400,6000,5800,7500,,7500 7000,5800,6000 6200,7300,6320,
"",,Wholesale,,5500,4500,5000,4900,6200,5000,5500,5600,6000,,6200 5000,5500,5500 5000,6800,5480,
"Eggs, Local",tray,Retail,,7500,10000,12000,13000,9000,8200,11000,9000 9000,7500,,9000 9000,8800,9500 12000,9000,9593.8,
"",,Wholesale,,6000,9500,10000,10000,7500,6200,10000,7000 8500,,,7500 7000,8500,8750 9000,8000,8230,
Turkey,bird,Retail,,,,42000,37000,8000,33000,45000,25000,,,,,30000,,31429,
"",,Wholesale,,,,35000,30000,8000,31000,43000,24000,,,,,26000,,28143,
Pulses,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3200,2000,2800,2000,3500,,1850,2500,1500 1300,2500,,2500,2200,2200,1400,2246.4,
"",,Wholesale,3000,1900,2400,1800,2700,,1700,2300,1300 1000,1600,,2200,2000,2000,1200,1935.7,
"Dried Beans, Agwede",Kg,Retail,,,1400,1400,1200,,1250,1300,,,,1400,,,,1325,
"",,Wholesale,,,1200,1200,1100,,1100,1200,,,,1300,,,,1183.3,
"Dried Beans, Nambale",Kg,Retail,,,1200,1800,1300,1700,1500,1300,1500 1550,1600,1500,1500 1800,2000,1300,1700,1550,
"",,Wholesale,,,1100,1500,1200,1500,1330,1200,1400 1350,1450,1200,1400 1600,1900,1200,1600,1395.3,
"Dried Beans, Yellow",Kg,Retail,,1400,1050,2400,1800,1800,1500,1500,1600,1700,1500,1700 2500,2400,1200 1800,2000,1740.6,
"",,Wholesale,,1300,850,2000,1650,1600,1400,1400,1350,1600,1100,1500 2100,2300,1100 1550,1800,1537.5,
Root Crops,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,300,,250,95,330,400,1500,,500,,1000,546.88,
"",,Wholesale,,,,,250,,210,80,210,300,1300,,480,,800,453.75,
"Cassava, Flour",Kg,Retail,800,1000,1200,700,600,700,650,500,500 600,500,1500,1000 800,750,1500 1000,1000,850,
"",,Wholesale,500,,800 700,450,450,500,400,400,400 450,370,1300,800 500,720,1000 700,800,624.44,
"Cassava, Fresh",Kg,Retail,,,550 1000,400,350,800,700,150,140 250,500,600,580 1000,1000,1500 300,900,630.59,
"",,Wholesale,,,450 500,300,300,700,500,140,130 200,450,400,500 500,900,1000 200,700,462.94,
"Cassava, Sun dried",Kg,Retail,,,,700,300,300,250,120,140 300,330,1600,650,450,450,1200,522.31,
"",,Wholesale,,,,450,250,271,200,110,130 220,300,1400,600,420,350,1100,446.23,
Irish Potatoes,Kg,Retail,670,,625 1200,760,700,500,800,1000,600 800,1000,1500,1200 1000,800,575 800,1700,901.67,
"",,Wholesale,580,,608 700,680,650,450,650,800,500 700,800,1200,1000 500,700,560 600,1500,732.11,1500
Sweet Potatoes,Kg,Retail,,,166 1000,400,350,900,800,160,120 300,550,600,800 1000,1000,1000 500,1400,649.76,
"",,Wholesale,,,150 500,300,300,700,600,140,100 200,500,400,500 500,900,900 400,1200,487.65,1500
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,1000,,,,,900,4700,,,,4000,1150,,2375,
"",,Wholesale,,1900,800,,,,,800,4500,,,,3800,1000,,2133.3,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,,,,5000,
"",,Wholesale,4500,,,,,,,,,,,,,,,4500,
Vanilla (Unprocessed),Kg,Retail,,,,,3500,,,,,,,,,4300,3200,3666.7,
"",,Wholesale,,,,,2500,,,,,,,,,3500,3000,3000,
