"",,,CENTRAL,EASTERN,NORTHERN,WESTERN,,,,,,,,,,,
Commodity,Wet.,,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Mbale,Jinja,Soroti,Arua,Lira,Hoima,Kabale,Kisoro,Avg
"",,Wholesale,1500,2000,1500,1000,2000,1500,1300,2000,900,1600,1800,,1750,1000,"1,527"
"Dried Beans, Agwede",Kg,Retail,,,,1200,800,1350,,1000,1200,,800,,,1000,"1,050"
"",,Wholesale,,,,1000,700,1250,,900,1100,,750,,,900,943
"Dried Beans, Nambale",Kg,Retail,1400,1000,1400,1500,1100,1300,1000,1200,1450,1200,1000,1200,1500,1000,"1,232"
"",,Wholesale,1200,900,1100,1000,750,1200,800,1100,1300,,950,1000,1250,900,"1,035"
"Dried Beans, Others",Kg,Retail,,1300,1400,1500,1100,1400,1000,1100,1200,1000,900,1200,1400,1000,"1,192"
"",,Wholesale,,1100,1100,1000,1000,1250,750,950,1100,900,850,1000,1100,900,"1,000"
"Dried Beans, Yellow",Kg,Retail,1600,1300,1400,1600,1150,1400,1400,1300,1500,1300,1000,1300,1500,,"1,365"
"",,Wholesale,1400,1100,1100,1250,1025,1200,1200,1150,1400,1100,1000,1100,1200,,"1,171"
"Eggs, Exotic",tray,Retail,5000,6300,6000,6000,4700,6000,7500,5200,6000,7500,7000,6000,6500,6000,"6,121"
"",,Wholesale,4800,5800,4500,5000,4300,4800,5600,5800,5700,6000,7000,5500,6000,5500,"5,450"
"Eggs, Local",tray,Retail,8000,8000,7000,9000,11000,7200,10500,7500,7000,7500,9000,9000,8000,9000,"8,407"
"",,Wholesale,7000,6500,6000,7000,9000,6000,9000,6000,5800,,8500,7500,7000,7500,"7,138"
Fish ‐ Nile Perch,Kg,Retail,5200,5000,,6000,6000,5500,,5000,5000,5000,5000,7000,,,"5,470"
"",,Wholesale,4700,4500,,5000,4500,4500,,4500,4700,5000,5000,,,,"4,711"
Fish ‐ Tilapia,whole,Retail,4500,4300,5000,4500,,6000,5000,7000,5500,4000,4500,6000,5000,5000,"5,100"
"",,Wholesale,4000,3700,4000,4000,,5000,4700,6000,5000,3500,4000,,3500,3000,"4,200"
Goat Meat,Kg,Retail,6000,4500,6000,6000,6000,5500,5500,6000,5000,6000,,5000,5000,6000,"5,577"
"",,Wholesale,5000,3500,5000,5000,4500,5000,5500,5000,4800,6000,,,4200,5000,"4,875"
"Groundnuts, unpounded",Kg,Retail,2500,2300,1800,2500,2400,2000,1900,2300,1900,2000,2000,2200,2500,2500,"2,200"
"",,Wholesale,2300,2100,1700,2100,1930,1700,1500,1950,1750,1600,1800,1900,2100,2300,"1,909"
Honey (Processed),Kg,Retail,8000,,8000,8000,7000,6700,9000,9000,6000,5000,3800,,7000,3500,"6,750"
"",,Wholesale,7500,,6000,7000,6000,6000,7000,8000,5700,4000,3800,,6000,3100,"5,842"
Honey (Unprocessed),Kg,Retail,7500,7000,,,,,,8000,,,4500,,4500,,"6,300"
"",,,CENTRAL,EASTERN,NORTHERN,WESTERN,,,,,,,,,,,
Commodity,Wet.,,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Mbale,Jinja,Soroti,Arua,Lira,Hoima,Kabale,Kisoro,Avg
Irish Potatoes,Kg,Retail,540,800,,500,550,600,600,800,900,1300,1400,500,330,375,707
"",,Wholesale,460,600,,400,520,530,500,700,800,1000,1200,450,330,350,603
Maize Flour,Kg,Retail,1300,1400,1400,1300,1200,1250,1200,1300,1200,1500,1800,1200,1500,1000,"1,325"
"",,Wholesale,1100,1200,1200,1100,1050,1050,1000,1200,1000,1400,1500,1100,1200,700,"1,129"
Maize Grain,Kg,Retail,1000,600,1000,950,540,700,600,630,550,550,1200,550,1100,600,755
"",,Wholesale,850,500,600,750,520,600,500,520,500,500,1000,500,950,500,628
Matooke,Kg,Retail,390,500,212,,350,450,450,190,400,400,,300,400,250,358
"",,Wholesale,300,400,188,,320,380,350,170,350,350,,,320,200,303
Matooke (Bunch),Bunch,Retail,6000,6500,8500,9000,10000,,12000,9500,11000,9000,,7000,8000,10000,"8,875"
"",,Wholesale,5000,5000,7500,8000,8000,,10000,8500,10000,8500,,,7000,8000,"7,773"
Milk (One Litre),Ltrs,Retail,800,700,800,900,700,600,800,800,800,1000,800,700,500,700,757
"",,Wholesale,700,500,400,800,600,450,600,700,700,800,800,500,450,500,607
Millet Flour,Kg,Retail,1600,1600,1900,1900,1800,1500,1500,1500,1400,1500,1000,2000,1600,1500,"1,593"
"",,Wholesale,1400,1400,1400,1400,1400,1300,1200,1200,1300,1400,1000,,1400,1400,"1,323"
Millet Grain,Kg,Retail,,1300,1400,950,900,1250,1200,1200,850,1000,600,1000,1200,1500,"1,104"
"",,Wholesale,,900,1200,750,800,1100,900,1100,750,700,600,850,1100,1100,912
Rice (Kayiso),Kg,Retail,1700,2000,2400,1800,1700,1700,1700,1700,1800,2000,2500,2000,,2800,"1,985"
"",,Wholesale,1600,1800,2000,1600,1500,1500,1400,1600,1700,1600,2200,,,2500,"1,750"
Rice (Super),Kg,Retail,2000,2300,1800,2400,2200,2000,2200,2000,2000,2200,2500,2000,2000,2000,"2,114"
"",,Wholesale,1900,2000,1600,1950,1800,1800,2000,1850,1800,1900,2200,,1850,1800,"1,881"
Simsim,Kg,Retail,3000,3500,,3000,2500,2000,3000,1800,2300,2000,2000,2600,,,"2,518"
"",,Wholesale,2800,3000,,2500,1800,1700,2700,1700,2100,1450,1800,2000,,,"2,141"
Sorghum Flour,Kg,Retail,1200,,,1000,1000,1200,700,1000,700,1500,800,1500,1500,1000,"1,092"
"",,Wholesale,900,,,700,800,1000,600,900,650,1100,600,,1200,900,850
Sorghum Grain,Kg,Retail,1200,700,,800,600,800,600,800,650,900,600,600,1200,1000,804
"",,Wholesale,900,500,,500,550,700,400,700,550,800,500,500,1050,900,658
Soya Beans,Kg,Retail,2500,1500,1500,1400,1100,1200,1700,1200,1500,1200,1200,900,1600,1600,"1,436"
"",,Wholesale,2300,1000,1400,1000,900,900,1400,950,1350,1000,1000,800,1450,1400,"1,204"
Sunflower,Kg,Retail,,2100,,,400,900,600,,400,,450,,1800,1800,"1,056"
"",,Wholesale,,1900,,,370,800,500,,350,,400,,1600,1700,953
Sweet Potatoes,Kg,Retail,350,600,1000,300,450,600,500,180,250,400,500,500,200,150,427
"",,Wholesale,230,450,700,250,420,500,300,170,200,300,500,300,140,100,326
Tea (Unprocessed),Kg,Retail,,,,,400,,,,,,,,,,400
"",,Wholesale,,,,,350,,,,,,,,,,350
Turkey (Bird),bird,Retail,,24000,,40000,40000,27000,35000,35000,35000,,27000,,,,"32,875"
"",,Wholesale,,20000,,35000,30000,25000,25000,28000,32000,,25000,,,,"27,500"
Upland Rice,Kg,Retail,1600,2000,2000,1800,1600,1600,,1700,2000,1500,2200,1600,1800,1800,"1,785"
"",,Wholesale,1500,1800,1800,1600,1450,1400,,1600,1800,1300,2000,1450,1700,1700,"1,623"
Vanilla (Unprocessed),Kg,Retail,,3000,,,2700,,,,,,,,,,"2,850"
