CommodityName,Pricetyp Kalerwe Kiboga,,Luwero Masaka Nakaser Nakawa Owino,Iganga,Jinja,Kapchor Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Mbarara
"",Wholesa 10000,13000,10000 12000 14000 12000 13000,9000,14500,6000 6500,9000,9500,12000,7000,9000,9000,9000,12000
Coffee (Unprocessed) Kg,Retail,2000,1400 1000,1700,1200,2500,,,,,,,950,
"",Wholesale,1600,1200 800,1550,1100,2350,,,,,,1000,850,
Cotton (Unprocessed) Kg,Retail,,,,800,,,,,,,,,
"",Wholesale,,,,700,,,,,,,,,
Cow Peas Kg,Retail,2000 1600,2300 2500 2500 1800 2700,1700,2600,1800 1700,1500,2500,1400,1600,3000,1700,2100,1400
"",Wholesa,1800 1500,2000 2300 2000 1400 2400,1500,2400,1700 1600,1400,,1300,1400,,1550,2000,1200
"Dried Beans, Agwede Kg",Retail,,1800 1400 1200,1300,1400,,1300,1400,,1200,,,,
"",Wholesale,,1650 1200 1000,1150,1300,,1250,,,1000,,,,
"Dried Beans, Nambale Kg",Retail,1600,2000 1200 2000 1600 1200,1250,1600,1000 1500,1500,1400,2200,1200,1200,1000,1200,1200
"",Wholesa,1400,1800 1000 1800 1350 1100,1100,1500,800 1300,1350,1300,2000,1000,1000,900,1050,1100
"Dried Beans, Others Kg",Retail,1000,1400 1200 1800 1700 1200,1300,1400,1300,,,1700,1200,1400,,,1100
"",Wholesale,900,1300 1000 1700 1400 150,1200,1300,1200,,,1500,1000,1100,,,900
"Dried Beans, Yellow Kg",Retail,1800 700,2200 1200 2000 1800 1500,1500,1500,1600,1500,1600,2000,1500,1400,1000,1400,1000
"",Wholesa,1600 600,2000 1000 1900 1500 1400,1250,1400,,1400,1450,1800,1300,1100,900,1100,800
"Eggs, Exotic tray",Retail,5000 6500,5500 6500 6500 6000 4800,6800,5200,6000 5500,5900,7500,6000,6500,6000,6000,6000,6500
"",Wholesa,4500 6000,5000 4700 6000 5000 4500,5400,5000,5500 5300,5700,5800,5800,6000,5000,5500,5500,6000
"Eggs, Local tray",Retail 10000,9000,6000 9000 15000 7500 11000,8800,8000,12000,7200,7500,,6200,9000,9000,8500,7000
"",Wholesa,9000 7500,5500 7500 13500 5500 9000,6800,7500,9000,7100,,,6000,,7500,7000,6500
"Fish, Nile Perch Kg",Retail,5500,4500 5500 7000 7000,5000,6000,5000,4500,5000,4600,4500,,,5500,6000
"",Wholesa,5000,4000 5000 6000 6000,3800,5000,4800,4000,5000,4200,4000,,,4500,5500
"Fish, Tilapia wholeRetail",,4000 6000,4200 3500 4500 4500 5500,6000,8000,2800 6000,6000,4500,4000,5000,6000,,4500,5500
"",Wholesa,3500 4500,4000 3000 4000 4000 4500,4500,7000,2100 5000,5500,,3500,4500,,,4000,5000
Goat Meat Kg,Retail,6000 6000,5000 5500 6000 6000 6000,5500,6000,5000 4800,5000,5500,6000,6000,5000,5000,4500,6000
"",Wholesa,5500 5000,4800 4500 5500 4800 4500,4500,5000,4500 4500,4800,5500,5800,5500,,4500,3600,5500
"Groundnuts, UnpoundeKg",Retail,2800 2400,2700 2300 3000 2600 2400,2100,2000,2800 2300,2100,3200,2600,3000,2500,2500,2400,2500
"",Wholesa,2600 2200,2300 2100 2500 2300 2100,1950,1700,2100 2000,1900,3000,2400,2500,1800,2200,2200,2400
"Honey, Processed ltr",Retail,7500 7000,3500 9300 8000 8000,8200,4000,,6400,3600,,,12000,7000,10000,10000
"",Wholesa,7000 6000,3500 7300 7500 7000,6900,3000,,6200,3300,,,,6500,8000,8000
"Honey, Unprocessed ltr",Retail,3500,2500 5000 6500,4500,3000,,3000,,4800,,,4500,7500,
"",Wholesale,3100,2200 4500 6000,4000,2000,,2800,,4500,,,3000,6500,
Irish Potatoes Kg,Retail,650 500,1200 1000 1000 700 570,800,800,250 300,600,800,1500,1400,750,360,900,
"",Wholesa,560 458,1000 700 900 600 520,700,700,200 250,550,700,1300,1200,580,365,700,
CommodityName,,Pricetyp Kalerwe Kiboga,Luwero Masaka Nakaser Nakawa Owino,Iganga,Jinja,Kapchor Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Mbarara
"",,Wholesa 1400 1200,1350 1200 1500 1400 1100,1000,1200,1300 900,1350,1440,1200,1000,1300,1150,1300,1400
Maize Grain,Kg,Retail 1100 650,750 1000 1300 1100 650,600,600,800 700,800,850,950,900,620,700,620,1200
"",,Wholesa 1000 600,700 700 1000 1000 620,500,570,700 650,750,750,800,800,600,620,530,1000
Matooke,Kg,Retail 325 150,800 200 450 390 350,350,160,400 1000,550,450,,1200,500,240,600,700
"",,Wholesa 260 100,600 150 400 340 300,300,130,300 800,500,400,,1000,,220,450,600
Matooke (Bunch),Bunc Retail,6500 6000,10000 9000 9000 8500 12000,12000,8000,400 10000,10000,14000,14000,,12000,6500,9000,5500
"",,Wholesa 5500 4000,8000 7000 8000 7500 8500,9000,6500,300 7500,9000,13000,12500,,,6000,5500,5000
Milk,Ltrs,Retail 1000 800,600 900 800 900 1000,1000,800,500,800,1000,1000,1000,700,750,800,600
"",,Wholesa 900 700,500 800 700 800 900,800,700,300 700,700,900,800,800,600,600,600,500
Millet Flour,Kg,Retail 1200 1400,1600 1500 2000 2000 2000,1400,1600,1800 1800,1500,1800,1300,700,2400,1600,1600,1800
"",,Wholesa 900 1300,1500 1300 1800 1600 1700,1100,1500,1700 1600,1350,1700,1200,500,,1300,1400,1600
Millet Grain,Kg,Retail 1200 1300,1000 1400 1700 1200 1250,1050,1250,1300 1100,1000,1450,1350,1200,1200,1200,1250,1300
"",,Wholesa 900 1200,800 1200 1600 1000 1150,880,1150,1200 1000,950,1400,1200,1000,,1050,850,1000
Pineapple,wholeRetail,1000 800,1300 800 1800 1500 1400,1600,2000,1800,1500,1700,2600,2500,1500,500,2000,800
"",,Wholesa 800 500,900 600 1400 1200 1000,1000,1700,1200,1400,1600,2000,2000,1000,350,1200,500
Pork,Kg,Retail 4500 5000,5000 4500 5000 5000,,6000,4000 4000,4000,5000,4500,4000,3250,4500,4000,6000
"",,Wholesa 4000 4500,4500 3500 3500 4200,,5000,3600 3500,3800,5000,4300,3500,,3800,3000,5000
Rice (Kayiso),Kg,Retail 2000 2800,2400 2400 2000 2400,1600,1800,2200 1800,2200,,2500,2400,,2400,2500,2500
"",,Wholesa 1800 2500,2300 2000 1800 2200,1400,1550,2100 1600,2100,,2300,2200,,2200,2400,2300
Rice (Super),Kg,Retail 2000 2500,2400 2300 2500 2400 2600,2100,2000,2400 2200,2400,2500,2900,2500,2500,2300,2600,2500
"",,Wholesa 1800 2300,2250 1800 2200 2000 2400,1900,1800,2300 1900,2300,2000,2800,2300,,,2500,2400
Rice (Upland),Kg,Retail 2000 2200,2100 2300 2500 2000 2300,1700,1800,,,2400,2500,2200,2000,2400,2300,2200
"",,Wholesa 1800 2000,1900 1800 2300 1800 2100,1450,1600,,,2200,2400,2000,1800,1850,2100,2000
Simsim,Kg,Retail 3000,2700 3300 4500 2800 2500,2050,3000,2500 2500,2500,3000,2500,2500,3000,,3000,4000
"",,Wholesa 2800,2500 2900 4000 2400 2000,1900,2800,2400 2400,2350,,2400,2300,,,2500,3800
Sorghum Flour,Kg,Retail 700 900,1400 1800 1200 1000,1100,1000,900 900,1000,1600,1400,1800,,1600,,1200
"",,Wholesa 500 800,1300 1500 900 800,850,900,700 800,850,1500,1250,1400,,1400,,1000
Sorghum Grain,Kg,Retail 700 800,1200 1600 1000 650,950,800,700,800,1100,1300,900,,1100,800,1000
"",,Wholesa 500 700,1000 1400 700 600,750,700,650,750,1000,1100,700,,1000,600,800
Soya Beans,Kg,Retail 2000 1400,1800 1400 1600 1600 1400,1250,1300,1800 1200,1200,1800,1600,1000,900,14500,1600,1500
"",,Wholesa 1800 1200,1500 1300 1500 1300 1100,1150,1200,1700 1000,1000,1500,1400,800,,1400,1300,1400
Sunflower,Kg,Retail,400,,,,,,,,,,,
"",,Wholesale,370,,,,,,,,,,,
Sweet Potatoes,Kg,Retail 640 150,1000 450 550 550,1000,350,300 190,500,650,1000,,800,200,650,
"",,Wholesa 500 100,600 400 460 520,800,320,200 170,400,600,900,,550,170,450,
Turkey,bird,Retail,28000 35000 42000 35500,36000,44000,25000,33000,,,,,,29000,35000
"",,Wholesale,25000 28000 35000 28000,32500,43000,20000,31000,,,,,,26000,30000
Vanilla (Unprocessed),Kg,Retail,2700,,,,,,,,,,3000,
"",,Wholesale,2300,,,,,,,,,,2500,700
