"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,,
"",,,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Mbale,Kapch,Soroti,Arua,Lira,Kabale,Kasese,Kisoro,Mbra,Min,Max,Avg
"",,Wholesale,1300,1000,1300,900,1500,1000,1000,1150,1300,1000,1000,1350,,800,800,1000,,900,800,1500,1081
"Dried Beans, Others",Kg,Retail,1400,1400,1500,1100,1800,1500,1100,1300,1200,1200,1200,1200,1300,1000,1000,1250,,1200,1000,1800,1274
"",,Wholesale,1300,1200,1200,900,1500,1000,1050,1100,1100,1000,1000,1100,1200,800,700,1200,,1000,700,1500,1079
"Dried Beans, Yellow",Kg,Retail,1500,1300,1500,1100,1800,1600,1250,1400,1500,1500,,1600,1400,1600,,1000,800,1200,800,1800,1378
"",,Wholesale,1400,1100,1300,900,1500,1200,1150,1200,1400,1200,,1450,1300,1400,,900,700,1100,700,1500,1200
"Eggs, Exotic",tray,Retail,5000,6000,5000,6000,7000,6000,4800,6000,5200,7500,7000,5600,7500,6500,6500,5200,6000,6000,4800,7500,6044
"",,Wholesale,4500,5500,4800,4500,6500,5000,4400,5000,5000,5800,6000,5400,6000,6000,5000,5000,5500,5000,4400,6500,5272
"Eggs, Local",tray,Retail,10000,8000,6000,7500,10000,9000,11000,6000,7000,10500,,7000,9000,7000,9000,4800,7500,9500,4800,11000,8165
"",,Wholesale,8000,6500,5600,6000,9000,7000,9000,5000,6500,9000,,6800,,6000,7500,4500,6000,9000,4500,9000,6963
"Fish, Nile Perch",Kg,Retail,5500,5000,3100,,7000,6000,6000,5000,5000,,,4000,5000,,,,,8000,3100,8000,5418
"",,Wholesale,5000,4500,2900,,6000,5000,5000,4000,4500,,,3700,5000,,,,,5000,2900,6000,4600
"Fish, Tilapia",whle,Retail,4000,4500,3300,4000,7500,3500,4000,6500,10000,6000,,5500,,8000,,4000,5000,7000,3300,10000,5520
"",,Wholesale,3500,4000,3000,3000,6000,3000,3500,5200,9000,5000,,5000,,7500,,3500,3000,6000,3000,9000,4680
Goat Meat,Kg,Retail,6000,4500,5000,5500,6000,6000,6000,5500,7000,5000,5000,5000,5500,,5000,5200,6000,5500,4500,7000,5512
"",,Wholesale,5000,3500,5000,4500,5000,5000,4800,5000,6500,4800,4800,4800,5500,,4000,5000,5000,5000,3500,6500,4894
"Groundnuts, Unpounded",Kg,Retail,2500,2300,2800,1900,2500,2500,2400,2400,2000,2000,2000,1900,2500,1600,2400,2100,2500,2500,1600,2800,2267
