"",,,,Central,,,,,Eastern,,,,,,Northern,,,,,Western,,,
Commodity Name,Weigh Pricetype,Kalerwe,Luwero,Masaka Nakasero,Nakawa,Owino,Jinja,,Kapchorwa Mbale,,Soroti,,Arua,,Gulu,Lira,,Hoima,Kabale,Kasese,Kisoro,,Mbarara
Apple Bananas,Kg Retail,1000,700,1200 1000,1000,1300,,260,600 800,,500,,550,,1500,,,2000,700,650,600,,800
"",Wholesale,700,600,900 800,700,1200,,240,500 600,,550,,500,,1200,,,,600,600,400,,700
Beef,Kg Retail,6000,5500,5000 6000,5000,6000,,6000,5000 4500,,3800,,5000,,5000,5000,,4000,4000,4200,5000,,4000
"",Wholesale,5000,5000,4500 5500,3800,5000,,5000,4500 4300,,4000,,5000,,4500,5000,,,3500,4000,3900,,3800
"Cassava, Dry Fermented",Kg Retail,,,,,620,,260,,,500,,800,,1500,1200,,,,700,,,1000
"",Wholesale,,,,,600,,240,,,550,,780,,1300,1000,,,,680,,,800
"Cassava, Flour",Kg Retail,800,1300,1100 1300,1000,900,,1000,1000 800,,750,,800,,2200,1000,,1200,1200,900,1000,,1300
"",Wholesale,700,1000,800 1000,840,800,,800,900 700,,1000,,750,,2000,900,,900,1000,850,700,,1220
"Cassava, Fresh",Kg Retail,670,1000,1100 400,400,700,,250,500 140,,350,,550,,1200,1000,,400,1800,1000,450,,800
"",Wholesale,590,1000,800 300,320,650,,230,400 120,,450,,450,,1000,800,,300,1500,800,300,,700
"Cassava, Sun dried",Kg Retail,,600,,1000,650,,730,1500,,500,,800,,1500,1000,,700,,750,500,,1100
"",Wholesale,,500,,840,600,,700,1000,,550,,780,,1300,800,,600,,700,400,,1000
Cavendish (Bogoya),Kg Retail,1300,1600,900 1300,,1700,,750,1000 2000,,500,,600,,2600,2000,,2000,2500,1400,500,,1300
"",Wholesale,1200,1400,700 1200,,1600,,730,800 1500,,600,,550,,2000,1800,,,2300,1100,300,,1000
"Chicken, Exotic",bird Retail,9000,15000,9000 9000,1000,8000,,7500,8500,,9500,,,,9000,5000,,7500,10000,8500,10000,,15000
"",Wholesale,7500,13000,8500 8500,800,6000,,7000,7000,,10000,,,,7500,4500,,6500,9000,7800,7500,,13000
"Chicken, Local",bird Retail,15000,20000,18000 15000,,15000,,18000,10000 10000,,11000,,19000,,14500,10000,,18000,13000,18000,16000,,18000
"",Wholesale,10000,18000,16000 13000,13000,13000,,16000,8000 8000,,11000,,17000,,13000,8000,,15000,10000,17500,12000,,15000
Coffee (Unprocessed),Kg Retail,,1400,,,,,1100,3500 3500,,,,,,,,,,,3000,1000,,
"",Wholesale,,1200,,,,,1000,3300 3400,,,,,,,,,,,2900,800,,
Cotton (Unprocessed),Kg Retail,,1800,,,,,800,,,,,,,,,,,,,,,
"",Wholesale,,1600,,,,,700,,,,,,,,,,,,,,,
Cow Peas,Kg Retail,2000,1600,2500 2500,8000,2700,,1800,1800 2000,,1500,,2500,,,1500,,,,2000,2200,,1400
"",Wholesale,1800,1500,2300 2000,7000,2200,,1700,1700 1600,,1250,,,,,1200,,,,1800,2000,,1200
"Dried Beans, Agwede",Kg Retail,,2000,1600,1200,1100,,1200,,,,,,,,1300,,,,,,,
"",Wholesale,,1800,1300,1000,1000,,1000,,,,,,,,1200,,,,,,,
"Dried Beans, Nambale",Kg Retail,1600,1800,2500 2000,1400,1100,,1500,1200 1200,,1400,,1500,,1600,1500,,1100,1400,1300,,,1500
"",Wholesale,1400,1700,2000 1800,1200,1000,,1300,1000 1000,,1250,,1200,,1500,1200,,1000,1300,1250,,,1400
"Dried Beans, Others",Kg Retail,,,2000,,,,,,,,,,,,1500,,,,1250,,,1400
"",Wholesale,,,1800,,,,,,,,,,,,1300,,,,1200,,,1300
"Dried Beans, Yellow",Kg Retail,1600,2000,900 2000,1400,1500,,1500,2000,,1450,,1200,,1600,1500,,1100,1500,1500,1400,,1650
"",Wholesale,1400,1800,700 1800,1200,1350,,1300,1600,,1300,,1600,,1500,1400,,900,1400,1400,1250,,1500
"Eggs, Exotic",tray Retail,5000,6000,5700 5000,6000,5000,,6000,6000 5500,,5800,,7500,,7200,6000,,1400,8000,5800,6000,,7000
"",Wholesale,4500,5500,4500 4700,5300,4500,,5000,5500 5300,,5700,,6000,,5800,5800,,1200,6500,5500,5500,,6500
"Eggs, Local",tray Retail,8000,6500,9000 12000,9000,13000,,7000,7000 9000,,7200,,7500,,,6500,,5500,9000,8800,10000,,10000
"",Wholesale,7000,6000,7500 11000,7000,10000,,6500,6500 7500,,7000,,,,,6000,,5000,7500,8500,9000,,9000
"Fish, Nile Perch",Kg Retail,6000,7000,4500,7000,8000,,9000,5000,,4500,,5000,,4500,8000,,,7500,,5500,,7000
"",Wholesale,5000,7000,3500,6000,7000,,8000,4700,,4200,,5000,,4000,7000,,,6000,,4500,,6500
"Fish, Tilapia",whole Retail,4000,4000,4000 7000,5000,6000,,7000,1200 4500,,6000,,7500,,5000,8000,,,8000,3400,5000,,7000
"",Wholesale,3500,3800,3000 5500,4500,5000,,6000,1100 4000,,5000,,,,4300,7000,,,7000,3000,4500,,6500
Goat Meat,Kg Retail,7000,6000,5500 6000,6000,7000,,7000,1200 5000,,5000,,5500,,6000,6000,,5000,5000,6500,6000,,7300
"",Wholesale,5500,6000,4500 5500,5000,6000,,6000,1100 4500,,4700,,5500,,5700,5000,,,4800,5800,4000,,7000
"Groundnuts, Unpounded",Kg Retail,2800,3000,2200 3500,3000,2600,,2600,3000 2600,,2400,,3000,,2400,2600,,2600,2800,2500,5500,,5500
"",Wholesale,2600,2800,2100 2800,2500,2250,,2300,2800 2400,,2000,,2500,,2200,2400,,2300,2700,2400,4500,,5000
"Honey, Processed",ltr Retail,,3500,5500 8000,8000,,,6000,,,6400,,,,,,,,9000,,10000,,2800
"",Wholesale,,3000,4000 7500,7000,,,5000,,,6000,,,,,,,,7500,,8000,,2500
"Honey, Unprocessed",ltr Retail,,3000,5000,6000,,,4000,,,3200,,,,,,,,7000,,7500,,5500
"",Wholesale,,2500,4500,5000,,,3000,,,2900,,,,,,,,6000,,6500,,5200
Irish Potatoes,Kg Retail,500,1200,1900 1100,600,650,,900,400 500,,800,,,,1500,1200,,600,500,750,1200,,7700
"",Wholesale,420,1000,1700 900,490,600,,800,300 450,,700,,,,1200,1000,,550,450,700,850,,5300
Commodity Name,Weigh Pricetype,Kalerwe,Luwero,Masaka Nakasero,Nakawa,Owino,Jinja,,Kapchorwa Mbale,,Soroti,,Arua,,Gulu,Lira,,Hoima,Kabale,Kasese,Kisoro,,Mbarara
Maize Flour,Kg Retail,1500,1500,1600 1500,1400,1300,,1400,1200 900,,1400,,1500,,1500,1800,,1400,1400,1400,1600,,1100
"",,Wholesale,1400,1200,1400,1400,1250,1100,1300,1000,800,1000,1300,1300,1200,1300,1300,1300,1300,1000
Maize Grain,Kg,Retail,1100,1000,1000,1400,900,480,600,600,550,550,550,720,700,400,1100,,600,1100
"",,Wholesale,1000,800,700,1300,800,450,530,550,500,480,500,700,650,370,1000,,500,1000
Matooke,Kg,Retail,500,1500,475,1000,800,370,600,500,1500,550,300,1500,1000,400,,750,,1200
"",,Wholesale,430,1300,425,800,700,350,400,400,1000,500,280,1300,800,,,600,,1100
Matooke (Bunch),Bunch Retail,,12500,20000,19000,25000,17000,15000,25000,10000,18000,18000,12000,17500,18000,15000,26000,17000,1500,8500
"",,Wholesale,12000,18000,17000,23000,15000,13000,20000,8000,14000,14000,10000,16000,7000,,17000,16000,900,8000
Milk,Ltrs,Retail,1000,800,800,900,900,900,800,550,800,800,1000,1200,1000,800,500,800,18000,600
"",,Wholesale,800,750,500,800,800,800,700,400,700,750,1000,1000,900,700,400,750,11000,500
Millet Flour,Kg,Retail,1200,1200,1500,2200,2000,2000,1500,1800,1800,1500,1800,2200,2000,2000,2000,1500,800,1700
"",,Wholesale,900,1000,1300,1900,1600,1700,1400,1700,1600,1400,1600,2000,1800,,800,1400,600,1600
Millet Grain,Kg,Retail,1200,1000,1600,1900,1400,1100,1200,1300,1200,1100,1000,1200,1000,1200,2000,1100,1300,2000
"",,Wholesale,900,1000,1400,1700,1200,1000,1100,1200,1100,1000,800,1000,800,1000,1800,1000,1050,1800
Pineapple,whole Retail,,1500,1800,700,1500,1000,1500,2500,1200,1500,1800,2000,1800,3000,,1000,1600,2500,800
"",,Wholesale,1000,1500,500,1300,700,1000,2000,1100,1000,1400,1600,1600,1000,,700,1500,1400,600
Pork,Kg,Retail,5000,4500,4500,,5000,5000,6000,4000,4400,4000,5000,5000,5000,,7000,,4500,
"",,Wholesale,4500,4500,3500,,3500,4500,5000,3600,4000,3700,5000,4500,5000,,6000,,3500,6000
Rice (Kayiso),Kg,Retail,1800,2200,2200,2000,2000,1800,1800,2200,1800,1900,2000,1800,2000,,,,2500,2600
"",,Wholesale,1600,2000,1800,1800,1800,1650,1700,2100,1700,1700,1600,1600,1800,,,,2300,2600
Rice (Super),Kg,Retail,2400,2400,2100,2500,2600,2300,2500,2300,2500,2300,2500,2800,2200,1800,2400,2400,2700,2500
"",,Wholesale,2100,2300,1800,2300,2200,2100,2200,2200,2300,1900,2000,2600,2000,1500,2200,2300,2350,2500
Rice (Upland),Kg,Retail,1600,2000,2300,2500,2000,1900,1700,2000,,,2000,1700,2000,1600,,,2300,
"",,Wholesale,1500,2000,1800,2300,1800,1700,1600,1800,,,1800,1600,1800,1300,,,2100,
Simsim,Kg,Retail,3000,3000,3000,5000,2800,2700,2800,2500,2600,2000,1750,2700,2600,2000,,2000,3000,2500
"",,Wholesale,2800,2600,2800,4500,2400,2200,2600,2400,2400,1700,1400,2500,2400,1600,,1800,2500,2300
Sorghum Flour,Kg,Retail,1000,1200,,1800,1200,1000,1000,1000,650,1000,1500,,1800,,900,1600,,3500
"",,Wholesale,700,1000,,1700,900,800,900,900,600,700,1300,,1500,,700,1500,,3000
Sorghum Grain,Kg,Retail,700,1000,,1700,1000,530,900,,550,450,600,1600,400,800,2700,1100,800,900
"",,Wholesale,500,900,,1500,700,500,870,,530,400,800,1400,300,700,2500,1000,700,750
Soya Beans,Kg,Retail,2000,1800,1900,2000,1600,1000,1500,1800,1500,1000,,,1200,1200,2700,1700,1600,1000
"",,Wholesale,1800,1500,1800,1700,1300,830,1400,1700,1200,800,,,1000,800,2500,1600,1300,900
Sunflower,Kg,Retail,,,,3000,,400,,,,450,,,,,,,,3000
"",,Wholesale,,,,2700,,370,,,,400,,,,,,,,2000
Sweet Potatoes,Kg,Retail,570,1000,1500,350,600,580,360,500,200,500,230,700,700,300,1500,1200,500,3200
"",,Wholesale,500,1000,1000,300,500,550,330,400,180,400,200,500,500,200,1000,1000,400,3000
Turkey,bird,Retail,,38000,,65000,55000,50000,65000,,4000,40000,,28000,,,,,32000,
"",,Wholesale,,33000,,50000,45000,40000,60000,,35000,37000,,25000,,,,,26500,30000
Vanilla (Unprocessed),Kg,Retail,,,,35000,,2700,,,,,,,,,,,3500,
"",,Wholesale,,,,30000,,2400,,,,,,,,,,,3000,
