Commodity,,Arua,Fort Portal,Iganga,Jinja,Kabale,Kalerwe,Kapchorwa,Kasese,Kiboga,Lira,Masaka,Mbale,Mbarara,Nakawa,Owino,Soroti,Avg
"",wholesale,13500,15000,12000,15000,12000,13000,8000,16000,9000,15000,10500,8000,13500,11500,13000,11000,12250
Local Eggs,retail,,9000,9000,10000,9000,15000,7500,9500,12000,10500,10100,12000,9000,12000,13000,11500,10607
"",wholesale,,7500,7300,9000,8500,10000,7000,9000,9000,8000,7500,9000,8000,8000,10000,10500,8553
Maize Flour,retail,1200,800,1000,1200,1000,700,800,3000,1200,900,950,900,1200,1200,1100,1000,1134
"",wholesale,1000,500,850,1000,900,400,600,800,1000,600,850,800,1100,950,900,650,806
Maize Grain,retail,500,800,470,600,,500,400,3800,400,500,470,550,800,600,600,480,765
"",wholesale,300,500,420,550,,300,350,600,300,470,430,500,700,500,450,440,454
Matooke,retail,11000,7500,27000,15000,15000,12000,6000,19500,12000,13700,16000,13000,12000,13000,15000,23000,14419
"",wholesale,10000,5000,24000,13000,13000,9000,5000,18000,8000,12500,15000,10000,10000,11000,13000,20000,12281
Matooke (kg),retail,400,1500,500,300,,500,250,4000,650,,375,1000,500,590,350,1000,851
"",wholesale,300,1000,420,260,,300,200,1200,520,,150,800,500,500,320,950,530
Milk,retail,1000,900,1000,800,600,1000,550,900,900,1000,1000,1000,700,1000,900,1000,891
"",wholesale,1000,500,900,700,500,800,400,1000,700,800,500,900,700,900,800,900,750
Millet Flour,retail,1800,3500,1450,1500,1500,2000,1600,650,1700,,1500,1800,2000,2000,1800,1500,1753
"",wholesale,1500,3000,1250,1400,1400,1800,1400,1300,1500,,1300,1600,1800,1600,1500,1300,1577
Commodity,,Arua,Fort Portal,Iganga,Jinja,Kabale,Kalerwe,Kapchorwa,Kasese,Kiboga,Lira,Masaka,Mbale,Mbarara,Nakawa,Owino,Soroti,Avg
Millet Grain,retail,1000,1500,1120,1300,900,1600,900,1400,1300,900,1700,1000,1500,1200,880,850,1191
"",wholesale,700,1200,1000,1200,800,1400,850,600,1200,750,1500,900,1400,1000,820,800,1008
Nambale Beans,retail,1500,1800,1600,,1300,2000,1200,1600,1400,1700,1200,1500,1600,1700,1200,1500,1520
"",wholesale,,1600,1450,,1200,1800,1000,1500,1200,1500,1000,1450,1500,1400,1150,1300,1361
Nile Perch,retail,6500,,6200,7000,15000,7000,,7000,5500,5500,6500,,6500,8000,,5000,7142
"",wholesale,,,5200,6500,13000,6000,,7000,4500,5000,5500,,5500,6500,,4500,6291
Orange Fleshed S.Potato,retail,,,,,,,500,1500,,350,,340,1000,,500,250,634
"",wholesale,,,,,,,400,1000,,320,,330,1000,,400,200,521
Pineapple,retail,2000,1500,1800,1800,700,1000,1300,1400,2500,4500,2000,1500,2000,1500,1000,2600,1819
"",wholesale,,1000,1450,1700,600,800,1200,800,1800,4000,1000,1000,1700,1200,800,2300,1423
Pork,retail,6000,4000,,6000,6000,6000,4500,1000,5000,,5500,4500,7000,5000,,4000,4962
"",wholesale,6000,3500,,5000,5800,5000,4000,6000,3800,,4500,4000,7000,4000,,3800,4800
Processed Honey,retail,6000,14000,8100,6500,8000,,,7000,10000,,9500,,10000,8000,,7000,8555
"",wholesale,4650,12500,7500,5500,7500,,,3500,8000,,7500,,9500,7000,,6800,7268
Simsim,retail,2500,4000,3250,2600,,3500,3000,6000,2700,2800,3300,3000,2500,2800,3000,3000,3197
"",wholesale,2300,3000,3100,2500,,3000,2800,,2300,2450,3000,2500,2500,2400,2500,2800,2654
Sorghum Flour,retail,1000,1500,950,900,1000,1800,1000,1000,,,,800,1200,1000,700,700,1042
"",wholesale,600,1000,650,800,900,1400,900,2000,,,,700,1100,700,600,550,915
Sorghum Grain,retail,450,,630,800,800,1600,,1800,800,400,,600,800,800,500,450,802
"",wholesale,250,,470,700,700,1200,,1350,700,330,,500,600,500,430,380,624
Soya Beans,retail,2000,1500,1350,1700,,1600,1800,1200,1600,1200,2100,1300,1500,1500,1150,1200,1513
"",wholesale,1500,1000,1200,1600,,1200,1700,1300,1300,1150,2000,1100,1400,1200,1050,1000,1313
Sun Dried Cassava,retail,350,,290,170,,,,220,400,300,,250,700,800,350,260,372
"",wholesale,320,,245,150,,,,200,350,250,,200,600,450,300,210,298
Sunflower,retail,,,,,,,,,,1100,,,,,850,1100,1017
"",wholesale,,,,,,,,,,1000,,,,,750,950,900
Super Rice,retail,2200,2500,2100,2000,2200,2000,2000,650,2500,1700,2100,2000,2200,2200,1800,1800,1997
"",wholesale,1500,2300,1850,1800,2000,1600,1800,1750,2300,1500,1700,1800,2200,1900,1600,1550,1822
Tilapia,retail,10000,5000,7500,9000,6000,3500,,5500,4500,8500,8500,13000,8000,6000,7000,4500,7100
"",wholesale,,3500,6000,8000,5000,3000,,5500,4000,7700,3500,10000,7500,5000,5500,4000,5586
Turkey,retail,,,36000,38000,,,,,,,25000,,60000,,4500,37000,33417
"",wholesale,,,33000,36000,,,,,,,,,50000,,30000,35000,36800
Unprocessed Cotton,retail,,,,2000,,,,1700,,1700,2800,,,,,,2050
"",wholesale,,,,1800,,,,1000,,1650,2400,,,,,,1713
Unprocessed Honey,retail,2500,,5600,5000,6000,,,5500,8000,,,,,6500,,5500,5575
"",wholesale,,,4900,4000,5500,,,2000,7000,,,,,6000,,4800,4886
Unprocessed Tea,retail,,,,,,,,,,,,,,,400,,400
"",wholesale,,,,,,,,,,,,,,,350,,350
Unprocessed Vanilla,retail,,,,,,,,,,,,,2500,,3500,,3000
"",wholesale,,,,,,,,,,,,,2000,,2800,,2400
Upland Rice,retail,2000,1800,1850,1700,2000,2000,1300,1000,1800,1600,2600,,2000,1800,1700,,1796
"",wholesale,1400,1600,1700,1600,1900,1600,1200,1000,1700,1400,1950,,2000,1600,1500,,1582
White fleshed s.Potato,retail,200,1000,1200,270,1000,500,400,2000,500,350,1000,290,1000,500,350,250,676
"",wholesale,180,500,900,240,900,300,300,900,400,320,700,280,900,400,300,200,483
Yellow Beans,retail,1700,2000,1800,2000,,2200,,1800,1500,1900,1050,2000,2000,2200,2000,1700,1846
"",wholesale,1500,1800,1600,1800,,2000,,1700,1200,1600,850,1700,1800,1800,1800,1500,1618
