"",,,,CENTRAL,,,,EASTERN,,,,NORTHERN,,WESTERN,,
Commodity,,,Kalerwe,Masaka Kiboga,Nakawa Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu Lira,Hoima,Kabale,Kisoro,AVG
"",,Wholesale,700,500 500,800 700,250,600,400,,700,"1,000",700,400,450,425,580
Millet Flour,1Kg,Retail,"1,600","1,700 1,600","1,800 2,000","1,550","1,500",,,"1,400","1,600","1,400 1,800","2,000","1,500","1,600","1,646"
"",,Wholesale,"1,400","1,300 1,400","1,400 1,500","1,350","1,300",,,"1,300","1,500","1,200 1,500",,"1,400","1,500","1,388"
Millet Grain,1Kg,Retail,"2,000","1,300 1,200","950 1,000","1,100",900,"1,050",,800,"1,300","1,000 700","1,100","1,200","1,000","1,107"
"",,Wholesale,"1,400","1,050 800",750 950,"1,000",850,"1,000",,700,"1,000",800 600,"1,000","1,100",900,927
Rice (Kayiso),1Kg,Retail,"1,600","2,000 2,000","1,800 1,700","1,500","1,500","2,000",,"1,700","1,900","1,800",,"1,900","1,800","1,785"
"",,Wholesale,"1,500","1,700 1,800","1,500 1,600","1,300","1,400","1,800",,"1,600","1,600","1,600",,"1,600","1,700","1,592"
Rice (Super),1Kg,Retail,"2,000","1,900 2,200","2,200 2,000","1,800","2,000","2,200",,"1,750","2,200","2,200 2,000",,"2,000","2,800","2,089"
"",,Wholesale,"1,900","1,700 2,000","1,950 1,750","1,600","1,850","2,000",,"1,650","2,000","1,800 1,900",,"1,850","2,500","1,889"
Simsim,1Kg,Retail,"3,500","3,000 3,500","3,000 2,500","2,200","2,000",,,"2,000","2,800","2,500 2,000",,,,"2,636"
"",,Wholesale,"3,300","2,700 3,000","2,400 1,700","2,000","1,700",,,"1,900","2,600","2,000 1,800",,,,"2,282"
Sorghum Flour,1Kg,Retail,"1,200",800,"1,000 1,000","1,000",800,700,,600,"1,500","900 1,200",,950,900,965
"",,Wholesale,900,700,700 850,900,700,500,,500,"1,400","800 1,000",,850,800,815
Sorghum Grain,1Kg,Retail,"1,200",600 700,800 700,800,800,,,500,"1,000",800 450,,900,750,769
"",,Wholesale,900,500 600,500 670,700,700,,,450,"1,000",600 400,,650,700,644
Soya Beans,1Kg,Retail,"2,500","1,600 1,500","1,400 1,100","1,200","1,200","1,500",,"1,200","1,400","1,200 1,000","1,400","1,700","1,800","1,447"
"",,Wholesale,"2,300","1,400 1,000","1,000 900","1,000","1,100","1,300",,"1,000","1,000","1,000 800",,"1,640","1,600","1,217"
Sunflower,1Kg,Retail,,"2,000",550,600,,,,450,,550,,"1,800",,992
"",,Wholesale,,"1,800",470,500,,,,400,,500,,"1,600",,878
Sweet Potatoes,1Kg,Retail,500,"1,000 600",300 400,600,200,200,500,300,450,"1,200 500",400,130,150,464
"",,Wholesale,294,800 400,250 380,520,180,150,300,250,400,"1,000 500",250,90,100,367
Tea (Unprocessed),1Kg,Retail,,,400,,,,,,,,,,,400
"",,Wholesale,,,350,,,,,,,,,,,350
Turkey (Bird),bird,Retail,,"30,000 25,000","35,000 25,000","25,000",,,"20,000",,,"25,000",,,,"26,429"
"",,Wholesale,,"20,000 20,500","30,000 22,000","22,000",,,"19,000",,,"25,000",,,,"22,643"
Upland Rice,1Kg,Retail,"1,600","2,000 1,800","1,700 1,400","1,400",,,,,"1,800","1,800 1,800",,,,"1,700"
"",,Wholesale,"1,500","1,800 1,600","1,550 1,250","1,300",,,,,"1,500","1,700 1,700",,,,"1,544"
Vanilla (Unprocessed),1Kg,Retail,,,"2,500",,,,,,,,,,,"2,500"
"",,Wholesale,,,"2,000",,,,,,,,,,,"2,000"
