"",,,,,Central,,,,,Eastern,,,,Northern,,Western,
Commodity,,Price,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Jinja,Mbale,Kapch,Soroti,Arua,Gulu,Lira,Kasese Kisoro,Avg
Apple Bananas,1Kg,Retail,,400,600,900,330,400,200,350,500,300,850,,,550 400,482
"",,Wholesale,,300,500,600,300,300,150,300,400,250,800,,,500 300,392
"Cassava, Dry farmented",1Kg,Retail,,,,,550,400,300,,,450,700,300,400,,443
"",,Wholesale,,,,,450,300,250,,,400,650,300,300,,379
"Cassava, Flour",1Kg,Retail,800,700,650,800,650,600,150,900,,600,800,600,"1,200","700 1,000",725
"",,Wholesale,700,500,400,650,560,500,140,700,,500,750,500,800,650 800,582
"Cassava, Fresh",1Kg,Retail,500,400,800,460,450,450,500,700,,250,550,500,"1,000",230 800,542
"",,Wholesale,350,300,450,420,400,350,450,600,,200,500,400,500,200 600,409
"Cassava, Sun dried",1Kg,Retail,,350,,800,450,400,600,700,,450,700,400,350,,520
"",,Wholesale,,250,,650,420,300,500,600,,400,650,300,300,,437
Cattle Steak,1Kg,Retail,"4,500","4,000","5,000","4,500","4,500","4,500","4,500","4,000","4,000","4,000","5,000","8,000",,"4,000 4,000","4,607"
"",,Wholesale,"4,000","3,300",,"3,800","3,800","4,300","4,000","3,800","3,500","3,800","5,000","8,000",,"4,000 3,700","4,231"
Cavendish (Bogoya),1Kg,Retail,"2,000",500,"1,000",900,380,350,450,600,600,400,900,"2,500","2,000",650 400,909
"",,Wholesale,"1,500",400,800,700,350,250,400,500,500,350,800,"2,300","1,500",600 300,750
Chicken (Exotic),bird,Retail,"6,000","6,000","6,500","6,000","8,000","6,000","6,500","6,000","10,000","7,500",,"10,000","6,800","6,500","7,062"
"",,Wholesale,"5,000","5,000","5,500","5,000","6,000","4,500","6,000","6,000","8,000","7,000",,"7,500","6,200","6,000","5,977"
Chicken (Local),bird,Retail,"14,000","15,000","10,000",,"18,000","8,000","10,000","13,000","8,000","8,000","11,500","15,000",,"11,000 9,000","11,577"
"",,Wholesale,"1,200","12,000","8,500","10,000","13,000","6,000","9,000","10,000","6,000","7,500","1,000","13,500",,"10,000 6,500","8,157"
Coffee (Unprocessed),1Kg,Retail,,,,,"1,100",,"1,200",,,,,,,"1,000","1,100"
"",,Wholesale,,,,,"1,000",,"1,100",,,,,,,700,933
Cotton (Unprocessed),1Kg,Retail,,,,,"1,200",,,,,,,,,,"1,200"
"",,Wholesale,,,,,"1,100",,,,,,,,,,"1,100"
Cow Peas,1Kg,Retail,"1,800","2,200","1,800","1,200","2,700","1,700","2,000","1,600",,900,"1,800","4,000","2,500","2,000 2,000","2,014"
"",,Wholesale,"1,500","2,000","1,500","1,000","2,500","1,500","1,800","1,300",,750,"1,700","3,500","2,000","2,000 1,900","1,782"
"Dried Beans, Agwede",1Kg,Retail,,,,"1,200",750,"1,350","1,100",,,"1,000","1,200",500,900,"1,400","1,044"
"",,Wholesale,,,,"1,000",720,"1,200",950,,,900,"1,100",400,800,"1,300",930
"Dried Beans, Nambale",1Kg,Retail,"1,600","1,000","1,300","1,400","1,000","1,200","1,300",,"1,200","1,350","1,200","1,500","1,000","1,000 1,400","1,246"
"",,Wholesale,"1,400",800,"1,100","1,000",900,"1,000","1,200",,"1,000","1,200",,700,900,"1,000 1,300","1,038"
"Dried Beans, Others",1Kg,Retail,"1,500","1,400","1,300","1,400",900,"1,300","1,150","1,200","1,200",,"1,150",700,900,"1,100 1,000","1,157"
"",,Wholesale,"1,300","1,200","1,100","1,000",750,"1,200","1,000","1,100","1,000",,"1,000",500,800,"1,000 900",989
"Dried Beans, Yellow",1Kg,Retail,"1,600","1,300","1,300","1,500","1,300","1,300","1,400","1,500",,"1,500","1,300","1,800","1,100","1,400 1,000","1,379"
"",,Wholesale,"1,400","1,100","1,100","1,200","1,200","1,150","1,200","1,200",,"1,400","1,150","1,300","1,000","1,300 900","1,186"
"Eggs, Exotic",tray,Retail,"5,000","6,000","6,000","6,000","7,500","6,500","5,000","7,500","7,500","5,500","7,500","5,500","3,800","6,000 5,800","6,073"
"",,Wholesale,"4,500","5,200","4,500","5,000","4,200","5,000","4,500","5,200","6,000","5,300","6,000","5,200","3,500","5,500 5,000","4,973"
"Eggs, Local",tray,Retail,"10,000","8,000","7,500","9,000","12,000","7,500","7,000","10,500","9,000","7,500","7,500",,"10,000","7,500 7,500","8,607"
"",,Wholesale,"9,000","6,500","6,000","7,000","9,000","6,000","6,000","9,000","7,500","7,200",,,"8,000","7,000 6,000","7,246"
Fish ‐ Nile Perch,1Kg,Retail,"5,000","5,000",,"6,000","6,000","4,500","5,000","2,500",,"6,500","4,500","10,000",,,"5,500"
"",,Wholesale,"4,500","4,000",,"5,000","4,500","4,000","4,500","2,500",,"6,000","4,500","6,000",,,"4,550"
Fish ‐ Tilapia,whole,Retail,"4,000","3,500","4,000","4,500",,"4,500","6,000","4,600",,"7,500","5,000","6,000",,"3,000 8,000","5,050"
"",,Wholesale,"3,500","3,000","3,500","4,000",,"3,500","5,000","4,200",,"7,000","3,700","4,500",,"3,000 4,500","4,117"
Goat Meat,1Kg,Retail,"5,500","4,000","5,000","5,500","6,000","5,000","6,000","4,800","5,000","4,500","5,000","6,000",,"5,000 5,000","5,164"
"",,Wholesale,"5,000","3,400","4,500","4,700","4,500","4,600","5,000","4,400","4,500","4,300","5,000","5,500",,"5,000 3,800","4,586"
"Groundnuts, unpounded",1Kg,Retail,"2,500","2,300","2,100","2,500","2,300","1,200","2,000","1,900","2,200",,"2,500","2,500","2,500","2,300 2,500","2,236"
"",,Wholesale,"2,300","2,000","1,900","2,100","2,000",800,"1,900","1,500","2,000",,"2,400","2,300","2,000","2,200 2,300","1,979"
Central,Eastern,Northern,Western
Honey (Processed),1Kg,Retail,"8,000",,"8,000","7,000","7,500","6,000",,"9,000",,,"4,500","4,500",,,"7,000","6,833"
"",,Wholesale,"7,500",,"6,000","6,000","6,500","5,600",,"7,000",,,"4,000","3,500",,,"6,000","5,789"
Honey [Unprocessed],1Kg,Retail,"7,500","6,500",,,,"2,500",,"3,629",,"2,500",,,"4,000","11,000","3,500","5,141"
