Commodity,Units,Values,Average,Arua,Busia,Fort PortGulu,Hoima,Iganga,Jinja,Kabale,Kalerwe Kasese,Kisoro,Lira,Luwero,Masaka Mbale,Mbarara NakaseroNakawa Owino,Soroti
Agwedde Beans,Kg,R.P,1552,1400,,850,,1650,1800,1350,2000,,1067,2450,1300,2000 1200,
"",,W.P,1405,,,675,,1450,1675,1250,2000,,900,2167,1200,1833 1000 1300,
Apple Bananas,Kg,R.P,1325,1133,1600,700 2050,1320,755,363,720,2000 908,740,2353,1533,850 766,1433 4170 840 1267,1000
"",,W.P,1072,967,1193,578 1375,1010,645,330,620,1500 833,630,2172,1362,650 616,1142 3138 686 1133,850
Beef,Kg,R.P,6009,7167,6083,5667 6125,5400,5800,7250,5633,8000 5860,5750,6083,5500,5250 6000,5133 6083 6400 6000,5000
"",,W.P,5563,7167,5800,5400 5550,4820,5367,6650,5600,6500 5520,5200,5883,5033,4600 5760,5100 5383 5700 5450,4767
Cassava Flour,Kg,R.P,1017,767,1008,1058 1533,950,775,513,1025,1500 1040,920,867,1125,875 1117,1067 1174 980 1050,1000
"",,W.P,828,667,817,763 1217,720,633,430,863,1400 810,770,713,1037,650 903,917 866 720 863,810
Cavendish (Bogoya),Kg,R.P,1635,1167,1658,1578 1767,890,1833,738,2167,4000 1480,810,2508,1933,950 1340,2683 1420 1170 1500,1100
"",,W.P,1349,950,1308,1347 1200,600,1450,625,1883,3000 1450,700,2275,1725,650 1044,2408 1060 960 1400,950
Coffee (Arabica),Kg,R.P,2867,,1267,1100 1000,1000,2250,3004,3040,7810,4767,1200,1100,9000 6025,1175 3000 1000,1000
"",,W.P,2408,,1067,1000 700,700,2050,2600,2600,5300,5500,1100,1000,6500 5725,1000 2700 700,700
Coffee (Robusta),Kg,R.P,4633,,,,,,1900,,7500,4500,,,,,
"",,W.P,4233,,,,,,1700,,7000,4000,,,,,
Cow Peas,Kg,R.P,2316,2333,2467,2300 1667,2540,1950,1975,1567,3500 2380,1960,3075,2533,1800 2540,2450 2667 1700 3075,1833
"",,W.P,2032,1500,2300,2050 1533,1910,1725,1750,1400,3200 2320,1800,2983,2300,1600 2160,2133 2283 1400 2700,1600
