"",,,,,,Central,,,,,,Eastern,,,,Northern,,,Western,,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,400,850,800,500,1000,900,1500,150,500,1000,600,670,750,1500,1200,550,600,1000
"",,Wholesale,900,300,800,500,450,700,800,1000,125,400,700,550,600,600,,800,500,350,800
Beef,Kg,Retail,4500,5000,4500,5000,5000,5000,5000,4500,6000,5000,4500,6000,5000,5000 5000,4000,4000,4200,4000,3800
"",,Wholesale,4000,4500,4500,4500,4500,3800,4500,4000,5000,4500,4200,5800,5000,4800 5000,,3600,4000,3500,3500
"Cassava, Dry Fermented",Kg,Retail,,,,,,,650,520,330,,,700,950,850 1200,,,700,,
"",,Wholesale,,,,,,,600,430,320,,,650,850,700 1000,,,650,,
"Cassava, Flour",Kg,Retail,900,1200,1300,1000,1000,1100,1000,950,1100,900,900,450,900,1200 1000,1200,900,900,1200,1350
"",,Wholesale,700,1000,1200,850,800,850,850,780,1000,700,850,400,800,1000 700,1000,750,800,800,1220
"Cassava, Fresh",Kg,Retail,670,400,1000,1000,550,500,650,850,280,500,200,450,600,1000 900,500,600,1000,700,1000
"",,Wholesale,556,300,1000,700,500,430,600,650,270,400,190,400,550,800 700,300,450,700,500,700
"Cassava, Sun dried",Kg,Retail,,,650,,,1100,650,520,530,,800,700,1000,900 800,700,,750,500,1000
"",,Wholesale,,,450,,,850,600,420,520,,700,600,870,700 600,600,,700,400,700
Cavendish (Bogoya),Kg,Retail,1300,500,1500,1100,750,1000,1500,2500,550,600,2500,550,750,1200,1500,1100,800,500,2000
"",,Wholesale,1250,400,1200,800,700,800,1400,1600,520,500,2000,500,650,1000,,850,750,300,1500
"Chicken, Exotic",bird,Retail,7500,,6500,7500,9000,6000,8000,6200,7500,,5600,9000,7500,8000 5500,7500,8500,7500,8000,9000
"",,Wholesale,7000,,6000,6000,8500,5000,6000,4800,7000,,5500,8000,6500,6500 5000,6000,7500,6500,6000,7000
"Chicken, Local",bird,Retail,12000,15000,13000,14000,15000,,18000,13000,15000,1000,8000,9500,9000,13700 7000,14000,11500,11000,10000,14000
"",,Wholesale,10000,13000,10000,12000,14000,12000,15000,9500,14000,8000,7000,9000,8000,12500 6000,10000,9000,10000,9000,9000
Coffee (Unprocessed),Kg,Retail,,2000,1400,1000,,,,1800,1200,,2450,,,,,,2700,900,
"",,Wholesale,,1600,1200,800,,,,1600,1100,,2400,,,,,,2500,800,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1700,2300,2500,2500,1900,2700,1800,2300,1800,2000,1600,2500,1550 1200,3000,1500,2200,2100,1400
"",,Wholesale,1800,1600,2000,2300,2000,1500,2400,1600,2000,1700,1900,1400,,1350 1000,,1500,2100,2000,1200
"Dried Beans, Agwede",Kg,Retail,,,1700,1400,,1200,1300,1400,1400,,,,,1500,,,,,
"",,Wholesale,,,1600,1200,,1000,1100,1200,1350,,,,,1300,,,,,
"Dried Beans, Nambale",Kg,Retail,1600,,2000,1300,2000,1800,1500,1400,1500,1200,1500,1500,1500,1800 1500,1600,1000,1400,1300,1200
"",,Wholesale,1400,,1800,1100,1800,1500,1400,1200,1400,1000,1450,1450,,1700 1300,1400,900,1300,1100,1100
"Dried Beans, Others",Kg,Retail,,,1400,,,,,,,,,,,,,,,,1100
"",,Wholesale,,,1300,,,,,,,,,,,,,,,,900
"Dried Beans, Yellow",Kg,Retail,1800,900,2000,1200,2200,2000,2000,1500,1500,,,1500,1700,1800 1600,1600,1000,1500,1400,1000
"",,Wholesale,1600,800,1800,1000,2000,1750,1700,1300,1400,,,1450,1500,1600 1400,1500,900,1400,1200,800
"Eggs, Exotic",tray,Retail,5000,6500,5500,6500,6500,6000,5000,6800,5000,6000,5500,7200,7500,6000 6000,6000,6000,6000,6000,6500
"",,Wholesale,4500,6000,5000,4700,6000,5000,4600,5400,4800,5500,5300,7000,5800,5800 5700,5500,5500,5800,5500,6000
"Eggs, Local",tray,Retail,10000,9000,6000,9000,15000,7500,11000,8000,7000,,9000,7200,,6500,9000,8500,9000,8500,8000
"",,Wholesale,9000,7500,5500,7500,14500,5500,9000,6800,6000,,7500,7000,,6000,7500,7500,8500,7000,7000
"Fish, Nile Perch",Kg,Retail,5500,,5000,5000,,7000,7000,5000,6000,,5000,,,4000 8000,,,,5500,6000
"",,Wholesale,5000,,5000,4500,,6000,6000,4000,5000,,4800,,,3000 6500,,,,4500,5500
"Fish, Tilapia",whole,Retail,4000,5000,3500,5500,4500,4500,5500,6500,8500,,4500,5000,7000,4800 7000,,,4000,4500,5500
