Commodity Name,,Pricetype,Kalerwe Kiboga Luwero MasakaNakasero Nakawa Owino,Iganga,Jinja,Kapchorwa Mbale,Soroti,Arua,Lira,Hoima Kabale Kasese Kisoro,Mbarara
"",,Wholesale,1600 900 1800 1000 2000 2000 1800,1400,1450,,1400,1500,1300,1500 1000 1600 1400,800
"Eggs, Exotic",tray,Retail,5000 6500 5500 6500 9000 6000 5500,6600,5000,6000 5500,5800,7500,6000,6000 6000 6000 6000,6500
"",,Wholesale,4500 6000 5000 4700 8000 5000 4600,5200,4800,5500 5300,5600,5800,5500,5500 5500 5800 5500,6000
"Eggs, Local",tray,Retail,10000 9000 6000 9000 15000 7500 11000,8800,7000,9000,5800,,6500,9000 7000 9000 8500,8000
"",,Wholesale,9000 7500 5500 7500 14500 5500 9000,6800,6500,7500,5600,,6000,7500 6000 8500 7000,7000
"Fish, Nile Perch",Kg,Retail,6000 6000 6000 7000 7000,5000,6000,5000,,,8500,5500,6000
"",,Wholesale,5500 5000 5000 6000 6000,4000,5000,4800,,,6000,4500,5500
"Fish, Tilapia",whole,Retail,3500 5500 4500 5500 4500 4500 5500,6500,8000,4000,5500,5500,8000,4000 4500,5500
"",,Wholesale,3000 4500 4000 4000 4000 4000 4600,4800,7000,3500,5000,,6000,3600 4000,5000
Goat Meat,Kg,Retail,6000 6000 5000 5500 6000 6000 6000,5600,6000,5000 5500,5000,5500,5000,5000 5000 6000 4500,7000
"",,Wholesale,5500 5000 5000 4500 5500 4800 4500,4700,5000,4500 4800,4800,5500,5000,4800 5800 3600,5500
"Groundnuts, Unpounded",Kg,Retail,2700 2400 2800 2100 3000 2600 2600,2250,2500,2300,2000,2500,3000,3000 2200 2600 2600,2600
"",,Wholesale,2600 2200 2300 2000 2500 2200 2200,2050,2000,2000,1800,2400,2500,2400 2000 2500 2400,2450
"Honey, Processed",ltr,Retail,7500 7000 3500 6500 8000 8000,8500,4000,,6400,4000,,13000 6000 10000,6000
"",,Wholesale,7000 6000 3500 4500 7500 7000,7000,3000,,6000,3500,,5500 8000,5000
"Honey, Unprocessed",ltr,Retail,3500 2500 5000 6500,4700,2200,,4850,,,4500 7500,
"",,Wholesale,3100 2200 4500 6000,4200,2000,,4550,,,4000 6500,
Irish Potatoes,Kg,Retail,650 500 1000 1300 1000 700 600,700,800,250 450,550,1100,1400,700 550 800 1000,1600
"",,Wholesale,590 458 800 1000 900 600 570,600,700,210 400,500,1000,1200,600 450 700 800,1400
Maize Flour,Kg,Retail,1500 1400 1500 1400 1700 1000 1300,1300,1200,1300 1000,1400,1600,1200,1400 1500 1400 1600,1600
"",,Wholesale,1400 1200 1200 1200 1500 900 1100,1150,1000,1100 900,1350,1360,1000,1300 1300 1300 1300,1400
Commodity Name,,Pricetype,Kalerwe Kiboga Luwero MasakaNakasero Nakawa Owino,Iganga,Jinja,Kapchorwa Mbale,Soroti,Arua,Lira,Hoima Kabale Kasese Kisoro,Mbarara
Maize Grain,Kg,Retail,1100 800 800 1000 1000 600,680,570,600 550,750,670,800,500 700 1000 680,
"",,Wholesale,1000 700 750 700 950 585,600,560,500 520,600,650,650,470 650 900 550,
Matooke,Kg,Retail,340 175 1000 225 450 460 350,300,240,400 1500,550,450,1200,500 650 700,700
"",,Wholesale,280 125 1000 175 400 410 320,270,200,300 1000,500,400,1000,600 500,500
Matooke (Bunch),Bunch,Retail,7500 7000 10000 9000 12000 10000 12000,11000,12000,8000 14000,10000,11000,13000,13000 9000 13000 10000,8000
"",,Wholesale,7000 5000 9500 7000 10000 9000 10000,8000,10000,6000 13000,8500,10000,6000,7500 12000 6000,6000
Milk,Ltrs,Retail,1200 900 750 1200 1200 1200 1200,1100,800,400 450,800,1000,800,1000 700 800 900,1000
"",,Wholesale,1000 800 700 800 900 1000 1100,900,700,300 400,700,1000,600,800 600 750 650,850
Millet Flour,Kg,Retail,1200 1400 1500 1500 1200 2000 2000,1300,1400,1800 1800,1500,1800,,3000 1800 1400 1600,1800
"",,Wholesale,900 1300 1400 1300 1000 1600 1700,1050,1300,1700 1700,1400,1700,,1500 1350 1400,1600
Millet Grain,Kg,Retail,1200 1300 1000 1400 1700 1200 1300,1000,1000,1300 1300,1000,1500,,1000 1800 1100 1250,1500
"",,Wholesale,900 1200 800 1200 1600 1000 1150,850,950,1200 1200,900,1300,,1000 1450 1000 900,1300
Pineapple,whole,Retail,1000 800 1500 800 1800 800 1200,1800,2500,1500,1500,2200,1300,500 1400 2000,800
"",,Wholesale,800 500 1000 600 1400 500 900,1200,2000,1300,1450,,1000,400 1300 1100,500
Pork,Kg,Retail,4700 5000 5000 4500 5000 5000,,6000,4000 3500,4000,5000,4000,6000 4800 4000,
"",,Wholesale,4000 4500 4500 3500 3500 4200,,5000,3600 3000,3800,5000,3000,5000 4500 3000,
Rice (Kayiso),Kg,Retail,2000 2800 2400 2400 2000 2400,1700,1600,2200 2400,,2300,2400,2500,2500
"",,Wholesale,1800 2500 2300 2000 1800 2000,1500,1500,2100 2200,,,2200,2400,2300
Rice (Super),Kg,Retail,2500 2500 2400 2300 2500 2400 2600,2200,2000,2400 2400,2000,2300,2500,2500 2500 2500 2600,2500
"",,Wholesale,2200 2300 2300 1800 2200 2100 2200,2000,1800,2300 2200,1900,2100,2200,2350 2400 2400,2400
Rice (Upland),Kg,Retail,2000 2200 2000 2300 2700 2000 2200,1800,1600,,,2300,2200,2200 2600 1700 2300,2200
"",,Wholesale,1800 2000 1900 1800 2400 1800 2000,1500,1500,,,2100,2200,2000 2400 1600 2100,2000
Simsim,Kg,Retail,3000 2700 3300 4500 3000 3000,2100,2700,2500 2500,2500,3200,2500,3000,3800
"",,Wholesale,2800 2500 2900 4000 2500 2300,1900,2500,2400 2300,2400,,2200,2500,3500
Sorghum Flour,Kg,Retail,1000 900 1400 1800 1200 1000,950,1000,900 800,1000,1600,,700 1400,1100
"",,Wholesale,700 800 1300 1500 900 800,750,900,700 700,800,1500,,600 1300,1000
Sorghum Grain,Kg,Retail,700 800 1000 1600 1000 700,800,700,600,700,1000,,700 1100 800,850
"",,Wholesale,500 700 800 1400 700 650,600,650,550,600,850,,600 1000 600,500
Soya Beans,Kg,Retail,200 1400 2000 1400 1600 1800 1100,1400,1200,1800 1400,,2000,,1500 2700 1500,1500
"",,Wholesale,1800 1200 1500 1300 1500 1400 950,1250,1000,1700 1300,,,,1200 2500 1300,1400
Sunflower,Kg,Retail,400,,,,,,,,
"",,Wholesale,370,,,,,,,,
Sweet Potatoes,Kg,Retail,590 150 1000 1000 900 500 600,1200,330,300 210,500,450,1000,1000 450 1200 700,700
"",,Wholesale,500 100 1000 600 800 400 550,950,300,200 200,450,400,800,600 300 1000 500,500
Tea (Unprocessed),Kg,Retail,,,,,,,3000,,
"",,Wholesale,,,,,,,3000,,
Turkey,bird,Retail,28000 40000 40000 40000,35000,45000,,34000,,,29000,32000
"",,Wholesale,25000 30000 32000 35000,32000,43000,,32000,,,26000,30000
Vanilla (Unprocessed),Kg,Retail,2700,,,,,,,3500,3000
"",,Wholesale,2300,,,,,,,3000,2000
