"",11/26/2008,11/24/2008
150,,
050,,
950,11/29/2008,1M1a/i2z6e/ G20ra0i8n ‐ Retail
850,,
"",,Maize Grain ‐Wholesale
750,,11/29/2008
650,12/1/2008,Millet Grain ‐ Retail
550,,M1i2ll/e1t/ G2r0a0i8n ‐Wholesale
450,,
"",12/3/2008,
Table 1: Chicken price by region,,,,,,,,
Commodity,Type,Central,,Eastern,,Northern,,Western
"",,Wholesale,"3,500","3,500","3,500","3,500",,"4,000","6,000",,"4,700","4,800","4,300","5,000","3,500",,"3,500","3,000","3,000","5,000","4,053"
Goat Meat,Kg,Retail,,"4,000","5,000","6,000","6,000","5,500","6,000","5,000","5,000","4,500","5,000","6,000","6,000","4,500","5,000","5,000","6,000","6,000","5,324"
"",,Wholesale,,"3,300","4,500","5,000","4,500","5,000","5,000","4,500","4,800","4,300","5,000","5,500","6,000",,"4,000","5,000","5,000","5,500","4,806"
"Groundnuts, unpounded",Kg,Retail,"2,500","2,300","2,000","2,500","2,300","1,500","2,000","2,000","1,900","1,800","2,500","2,000","1,500","1,900","2,400","2,000","2,500",,"2,094"
"",,Wholesale,"2,300","2,100","1,850","2,100","1,900","1,200","1,700","1,800","1,500","1,650","1,700","1,900","1,400","1,850","1,900","2,000","2,300",,"1,832"
Honey (Processed),Kg,Retail,"8,000",,"8,000","7,000",,"6,000","11,000",,"9,000","6,000","4,000","5,500","4,000",,"7,500",,"3,500","4,000","6,423"
"",,Wholesale,"7,500",,"6,000","6,000",,"5,600","10,000",,"7,000","5,700","3,800","4,500","3,800",,"6,300",,"3,100","2,000","5,485"
"",,,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Jinja,Kapch',Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara,Avg
Honey (Unprocessed),Kg,Retail,"7,500","7,000",,,,,"8,000",,"3,600",,,"3,500","4,500",,"5,000",,,,"5,586"
"",,Wholesale,"7,000","6,000",,,,,"7,000",,"2,900",,,"3,500","4,000",,"4,000",,,,"4,914"
Irish Potatoes,Kg,Retail,500,600,"1,000",400,400,600,700,400,400,700,"1,000","1,100",,500,350,200,291,"1,000",597
"",,Wholesale,390,450,550,320,380,550,600,300,350,550,800,"1,000",,450,280,180,266,800,483
Maize Flour,Kg,Retail,"1,300","1,400","1,400","1,300","1,300","1,200","1,200","1,200","1,200","1,200","1,500","1,400","1,500","1,200","1,400","1,100","1,300","1,400","1,306"
"",,Wholesale,"1,100","1,200","1,200","1,200","1,100","1,000","1,100","1,100","1,000","1,000","1,400","1,200","1,200","1,100","1,100","1,000","1,000","1,200","1,122"
Maize Grain,Kg,Retail,"1,000",750,550,950,680,650,720,600,600,500,800,750,600,650,600,,900,500,694
"",,Wholesale,850,550,350,750,650,550,670,500,500,450,700,700,500,600,550,,800,400,592
Matooke,Kg,Retail,400,500,200,430,330,500,300,500,400,350,450,,"1,500",,370,200,250,"1,000",480
"",,Wholesale,325,400,175,380,300,400,280,400,300,300,400,,"1,300",300,320,170,200,800,397
Matooke (Bunch),Bunch,Retail,"7,500","7,500","8,000","9,500","9,000","17,000","15,000","10,000","8,000","10,500","9,000","20,000","7,500","6,000","8,500","6,500","10,000",,"9,971"
