"",,,,,,CENTRAL,,,,,,EASTERN,,,,NORTHERN,,,,WESTERN,,,,Organic
Commodity,Unit,,KAL,KIB,LUW,MSK,NAK,NKS,OWI,IGA,JJA,KAP,MBA,SOR,ARU,GUL,LRA,HOI,KAS,KLE,KSR,MBR,Avg,Prices
Simsim,Kg,Retail,3000,,3500,2900,3000,5000,2500,2400,2800,2500,2800,2500,2500,2400,2300,,2000,,2100,4000,2835,
"",,Wholesale,2800,,3000,2700,2500,4500,2200,2100,2700,2400,2600,2000,2400,2300,2200,,1800,,3000,3800,2647,
Sorghum Flour,Kg,Retail,1000,900,1600,,1000,1800,900,970,900,1000,500,1000,1000,1600,1800,,1600,1300,2500,1000,1243,
"",,Wholesale,700,800,1500,,700,1700,700,730,800,900,400,700,950,1500,1600,,1500,1100,,750,1002,
Sorghum Grain,Kg,Retail,700,800,1300,,800,1700,450,700,900,,,350,800,350,350,,1100,,800,850,797,
"",,Wholesale,500,700,1200,,500,1500,380,540,800,,,300,600,250,300,,1000,,700,750,668,
Fish,,,,,,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,6500,,7000,3500,7000,,8000,5000,7000,,5000,5000,5000,3800,8000,5000,,10000,5500,7000,6144,
"",,Wholesale,6000,,7000,2500,6000,,6500,4000,6000,,4500,4500,,3000,7000,,,8000,4500,6500,5429,
"Fish, Tilapia",whole,Retail,3500,4500,3200,3500,4000,6500,5800,6800,7500,1200,,7500,8000,5000,8000,8000,3500,8000,4250,7500,5592,
"",,Wholesalle,3000,4000,3000,2500,3500,5500,5000,5800,6000,1000,,5500,,4300,7000,,3200,6000,3700,7000,4471,
Fruits,,,,,,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,500,800,1300,1000,1000,1200,1400,250,400,1000,550,,1500,,2000,800,1000,500,900,950,
"",,Wholesale,500,400,700,900,700,800,1100,900,220,300,800,450,,1300,,,750,900,350,800,698.2,
Cavendish (Bogoya),Kg,Retail,1200,750,1200,1200,1000,1200,1600,2200,600,1000,2000,600,800,2500,2000,2000,1500,2500,500,1200,1378,
"",,Wholesale,1100,650,1000,800,800,1000,1500,1600,520,800,1500,450,600,2000,1800,,1450,2000,300,1000,1098,
Matooke,Kg,Retail,330,325,1800,375,600,1000,300,500,280,200,1500,600,400,1300,1000,500,800,,600,600,685,
"",,Wholesale,280,300,1500,325,500,800,280,400,240,150,1000,450,350,1000,800,,700,,480,500,559,
Matooke (Bunch),Bunch,Retail,10000,14000,12000,14000,13000,15000,12000,16000,14000,4000,10000,24000,11000,18000,12000,8000,18500,15000,12000,5000,12875,
"",,Wholesale,7500,13000,10000,10000,11000,12000,9500,13500,12000,3000,8500,19000,9000,16500,5000,,18000,10000,8500,4500,10553,
Pineapple,whole,Retail,700,900,1200,550,1500,2500,1200,1600,,1200,1500,2900,1700,2000,3000,1500,1800,1000,1600,1200,1555,
"",,Wholesale,500,600,800,350,1200,1700,800,1100,,1100,1000,2200,1500,1700,500,800,1700,700,1300,1000,1082,
"",,,,,,CENTRAL,,,,,,EASTERN,,,,NORTHERN,,,,WESTERN,,,,Organic
Commodity,Unit,,KAL,KIB,LUW,MSK,NAK,NKS,OWI,IGA,JJA,KAP,MBA,SOR,ARU,GUL,LRA,HOI,KAS,KLE,KSR,MBR,Avg,Prices
Oil Seeds,,,,,,,,,,,,,,,,,,,,,,,,
