"",,,,,,Central,,,,,,Eastern,,,,Northern,,,,Western,,
CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga Jinja,,Kapchorwa,Mbale,Soroti,Arua,Gulu Lira,,Hoima,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,500,550,1200,750,1000,1200,1500 260,,500,1200,500,1000,1400,,2000,1000,900,500,850
"",,Wholesale,800,400,500,900,700,700,1100,1000 240,,400,1000,400,800,1300,,1500,800,800,320,800
Beef,Kg,Retail,5000,4500,4500,5000,5000,5000,5000,4500 6000,,5000,4500,4000,5000,5000 5000,,4000,4000,4200,4000,4200
"",,Wholesale,4500,4500,4500,4500,4700,3800,4500,4000 5000,,4000,4300,3800,5000,4800 5000,,,3500,4000,3500,4000
"Cassava, Dry Fermented",Kg,Retail,,,,,,,480,510 360,,,700,550,750,1500 1000,,,,720,,1000
"",,Wholesale,,,,,,,450,410 330,,,600,450,680,1300 800,,,,680,,800
"Cassava, Flour",Kg,Retail,800,1200,1000,1200,1000,900,650,1050 800,,1000,700,1000,750,1900 900,,1000,1200,900,1000,1000
"",,Wholesale,700,1000,800,800,900,700,570,810 700,,900,600,700,680,1700 700,,800,1000,800,700,800
"Cassava, Fresh",Kg,Retail,470,400,1000,1300,350,400,500,1000 250,,500,800,400,700,1000 1200,,500,1000,1000,500,800
"",,Wholesale,400,300,1000,800,300,325,480,800 220,,450,700,380,600,800 1000,,400,900,900,350,700
"Cassava, Sun dried",Kg,Retail,,,600,,,900,480,500 730,,,130,550,750,1600 600,,700,,680,500,1100
"",,Wholesale,,,500,,,700,450,400 710,,,125,450,700,1400 500,,600,,650,400,1000
Cavendish (Bogoya),Kg,Retail,1500,750,,1100,900,1000,1600,2500 820,,600,2000,600,1000,2000 2000,,2000,3000,1400,500,900
"",,Wholesale,1300,650,1000,800,800,800,1500,1700 750,,500,1500,450,800,1800 1700,,,2500,1350,300,800
"Chicken, Exotic",bird,Retail,7500,,7000,7000,7500,6000,7000,6000 7000,,,7000,10000,,8500 5000,,8000,8000,8000,9000,13000
"",,Wholesale,7000,,6000,5000,6500,5000,5500,5000 6000,,,6000,8000,,7000 4500,,7000,7000,7500,7000,10000
"Chicken, Local",bird,Retail,11000,13000,8500,12000,15000,,15000,12000 14000,,10000,6500,11000,12500,13500 12000,,14000,10000,18000,9000,15000
"",,Wholesale,9000,12000,8000,10000,13500,11000,13000,9000 12000,,8000,5000,8000,10000,12500 10000,,10000,9000,17500,7000,14000
Coffee (Unprocessed),Kg,Retail,,2400,1000,1000,,,,2100 1100,,,3500,,,,,,,3300,,
"",,Wholesale,,1800,1000,800,,,,1950 1000,,,3300,,,,,,,3200,,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,,,,,,,,,,800,,
"",,Wholesale,,,,,,,,,,,,,,,,,,750,,
Cow Peas,Kg,Retail,2000,1100,2000,2500,2500,2400,2700,1800 1800,,1800,1300,1800,2500,1800,,,,2100,2200,1300
"",,Wholesale,1800,1000,1800,2300,2000,2000,2500,1600 1700,,1700,1200,1400,,1700,,,,2000,2000,1100
"Dried Beans, Agwede",Kg,Retail,,,,1400,,1200,1100,1350 1000,,,,,,1400,,,,,,
"",,Wholesale,,,,1200,,1000,1000,1200 900,,,,,,1300,,,,,,
"Dried Beans, Nambale",Kg,Retail,1600,,1200,1600,2000,1400,1100,1350 1400,,1200,1250,1600,1300,1500 1400,,1600,1000,1400,1200,1500
"",,Wholesale,1400,,1000,1400,1800,1200,1000,1220 1200,,1000,1200,1350,1100,1400 1300,,1400,900,1350,1000,1400
"Dried Beans, Yellow",Kg,Retail,1600,700,1200,1000,2200,1500,1500,1400 1500,,,1700,1600,1300,1600 1600,,1500,900,1600,1400,1650
"",,Wholesale,1400,600,1000,800,2000,1400,1400,1280 1420,,,1500,1300,1100,1500 1400,,1400,800,1500,1250,1500
"Eggs, Exotic",tray,Retail,5000,6500,4800,5600,5500,6000,5000,5500 5400,,6000,5500,5800,7500,6000 6000,,5500,6000,5800,6500,7300
"",,Wholesale,4500,6000,4500,4400,5000,5300,4500,5000 5000,,5500,5300,5700,5800,5800 5500,,5000,5000,5500,5500,6700
"Eggs, Local",tray,Retail,8500,9000,6000,9000,12000,9000,13000,8200 6500,,,9000,9000,7500,6500,,,7500,8800,12000,8200
"",,Wholesale,7500,7500,5500,7500,10000,7000,10000,6400 6000,,,7500,8500,,6000,,,6000,8500,9000,6800
"Fish, Nile Perch",Kg,Retail,6000,,7000,4500,,7000,7000,5000 10000,,,5000,5000,,4000 8000,,5000,6000,,5500,7200
"",,Wholesale,5000,,7000,3500,,6000,6000,4000 8000,,,4500,4500,,3500 7000,,,5000,,4500,6700
"Fish, Tilapia",whole,Retail,3500,6500,4000,3500,6500,4500,5500,4800 7000,,1200,4300,7000,7000,5000 8000,,8000,6000,4000,4500,7300
"",,Wholesale,3000,4500,3800,2500,5500,4000,4500,4800 6000,,1000,3700,5500,,4500 7000,,,5000,3800,4000,7000
Goat Meat,Kg,Retail,6000,6000,5000,5500,6000,6000,6000,5000 6000,,5000,,5000,5500,6000 5000,,5000,5000,6000,5000,
"",,Wholesale,5000,5000,5000,4500,5500,4800,4500,4500 5000,,4500,,4800,5500,5800 5000,,,4800,5800,3800,
"Groundnuts, Unpounded",Kg,Retail,3000,2700,3000,1850,3500,2800,2600,2600 2600,,2300,2400,2500,2400,2100 2600,,2600,2400,2600,2600,2800
"",,Wholesale,2800,2500,2800,1650,2800,2400,2250,2300 2500,,2200,2200,2200,2000,1900 2500,,2400,2200,2500,2300,2500
"Honey, Processed",ltr,Retail,,7000,3500,5500,8000,8000,,8600 6000,,,,6400,3500,,,,9000,,10000,5500
"",,Wholesale,,6000,3000,4000,7500,7000,,7000 5000,,,,6100,3000,,,,7500,,8000,5200
"Honey, Unprocessed",ltr,Retail,,3500,3000,,5000,6000,,5200 4000,,,,3300,2000,,,,7000,,8000,7700
"",,Wholesale,,3100,2500,,4500,5000,,4000 3000,,,,3000,,,,,6000,,7000,5300
Irish Potatoes,Kg,Retail,540,416,800,1200,1100,500,600,800 700,,300,500,800,1000,1200 1200,,700,400,900,1000,1500
"",,Wholesale,460,375,800,1000,900,400,550,680 600,,280,400,700,,1000 1000,,600,350,850,800,1400
"",,,,,,Central,,,,,,Eastern,,,Northern,,,,Western,,
Maize Flour,Kg,Retail,1500,1100,1500,1400,1500,1200,1000,1000 1000,,1200,900,1400,1500 1500 1800,,1000,1200,1400,1600,1100
"",,Wholesale,1400,1000,1200,1100,1400,1000,800,840 900,,1000,800,1000,1280 1300 1000,,700,1100,1300,1300,1000
Maize Grain,Kg,Retail,1100,450,400,600,800,600,370,300 420,,600,420,550,800 550 800,,300,800,600,290,950
"",,Wholesale,1000,400,300,400,700,500,340,230 380,,500,400,450,600 450 700,,280,750,500,270,900
Matooke,Kg,Retail,370,375,350,375,800,500,300,400 240,,400,1500,600,350 1200 1000,,500,,850,750,1100
"",,Wholesale,300,350,300,325,500,400,280,350 200,,300,1000,500,300 1000 800,,,,800,600,900
Matooke (Bunch),Bunch,Retail,10000,15000,9500,15000,14000,10000,12000,15000 12000,,8000,10000,24000,13000 17000 15000,,8000,18000,18000,13000,9500
"",,Wholesale,8000,14000,8000,13000,12000,8500,9000,12500 10000,,6000,8000,20000,11500 15000 4500,,,12000,17500,9000,9000
Milk,Ltrs,Retail,1000,1000,800,1000,900,1000,800,1000 800,,550,800,800,1000 1200 1000,,800,500,800,800,650
"",,Wholesale,800,900,750,500,700,900,700,900 700,,400,700,700,1000 1000 800,,700,400,750,600,600
Millet Flour,Kg,Retail,1200,1000,1600,1500,2000,2000,1800,1200 1600,,1300,1800,,2000 2200 2000,,2000,2000,1500,1700,1850
"",,Wholesale,900,900,1500,1300,1900,1600,1500,1050 1500,,1700,1600,,1500 1800 1700,,,1800,1400,1500,1600
Millet Grain,Kg,Retail,1200,1000,1200,1500,1900,1200,950,1000 1150,,1200,1200,,1000 1100 1000,,1200,1500,1100,1300,1300
"",,Wholesale,900,900,1000,1300,1700,1000,850,900 1000,,1200,1100,,850 900 800,,1000,1400,1000,1200,1000
Pineapple,whole,Retail,1000,800,1800,1000,2500,1000,1200,1500 1800,,,800,2500,2300 2000,,,700,1800,2500,800
"",,Wholesale,800,500,1500,500,2000,700,800,1000 1500,,,500,1800,1800 1700,,,500,1700,1400,600
Pork,Kg,Retail,5000,5000,4000,4500,,5000,,6000,,4000,4000,4000,5000,,,6000,,,
"",,Wholesale,4500,4500,4000,3500,,3500,,5500,,3600,3700,3700,3500,,,5000,,,6000
Rice (Kayiso),Kg,Retail,2000,2800,2200,2200,,1900,1800,1500 1600,,2200,1500,2000,2300 2000 2000,,,,,2500,2500
"",,Wholesale,1800,2500,2000,1800,,1700,1650,1400 1500,,2100,1450,1700,1800 1800 1700,,,,,2350,2500
Rice (Super),Kg,Retail,2400,2300,2300,2100,2500,2600,2300,1950 2000,,2400,2500,2200,2300 2700 2200,,2000,2000,2200,2700,2450
"",,Wholesale,2100,2200,2200,1800,2300,2200,2100,1850 1830,,2300,2300,1900,1660 2500 1800,,,1800,2100,2400,2400
Rice (Upland),Kg,Retail,1700,2200,2300,2200,2500,1900,1900,2500 1700,,2000,,,2000 1900 2000,,,,,2300,2500
"",,Wholesale,1500,2000,2200,1700,2300,1700,1700,2200 1600,,1800,,,1600 1700 1700,,,,,2100,2300
Simsim,Kg,Retail,3000,,3000,2900,4000,2800,2500,2500 2800,,2500,2500,2500,2400 2200 2500,,,,2000,3000,4000
"",,Wholesale,2800,,2600,2700,3500,2400,2200,220 2700,,2400,2400,2000,2200 2000 2300,,,,1800,2500,3800
Sorghum Flour,Kg,Retail,1000,900,1600,,1800,1000,900,950,,1000,800,1000,1200 1700 1800,,,1300,1400,,1200
"",,Wholesale,700,800,1500,,1700,700,700,720,,900,700,700,1000 1500 1500,,,800,1300,,900
Sorghum Grain,Kg,Retail,700,800,1300,,1700,800,450,650,,,,400,800 500 500,,,900,1100,800,850
"",,Wholesale,500,700,1200,,1500,500,400,520,,,,380,600 300 350,,,700,1000,700,750
Soya Beans,Kg,Retail,2000,1400,1800,1900,2000,1500,1100,1500 1500,,1800,1800,1450,1500 1200,,1000,2700,1700,1600,3000
"",,Wholesale,1800,1200,1500,1800,1700,1300,980,1250 1450,,1700,1500,950,1000,,800,2500,1600,1300,2000
Sunflower,Kg,Retail,,,,,,,450,,,,,450,,,,,,,
"",,Wholesale,,,,,,,370,,,,,400,,,,,,,
Sweet Potatoes,Kg,Retail,310,208,1000,1500,350,350,500,1200 270,,400,140,500,200 700 500,,250,1000,1000,700,800
"",,Wholesale,250,166,800,1000,300,250,480,1050 240,,300,130,400,160 500 400,,200,800,800,500,700
Turkey,bird,Retail,,,35000,,35000,42000,44000,32000 43000,,,20000,35000,,,,,,30000,
"",,Wholesale,,,30000,,30000,35000,35000,28000 40000,,,15000,33000,,,,,,26000,35000
Vanilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,,,,,,,3500,
"",,Wholesale,,,,,,,2300,,,,,,,,,,,3000,
