"",CommodityWeightPricetypeKalerwe KibogaLuweroMasakaNakasero NakawaOwinoIgangaJinjaKapchorwa MbaleSorotiAruaLiraHoimaKabaleKaseseKisoroMbarara,,,,,,,,,,,,,,,,,,,,,
"",Apple Bananas,Kg,Retail,1000,400,800,800,500,700,800,1600,180,500,1000,500,800,,1000,1100,600,400,100
"",,,Wholesale,900,300,750,500,450,400,700,1100,160,400,800,450,700,,,800,550,300,80
"",Beef,Kg,Retail,5000,5000,4500,5000,5000,5000,5000,4500,5000,5000,4500,5000,5000,4500,4000,4000,4200,4000,400
"",,,Wholesale,4500,4500,4500,4500,4700,3800,4500,4000,4500,4800,4300,4800,5000,4000,,3500,4000,3500,380
"","Cassava, Dry Fermented",Kg,Retail,,,,,,,720,570,250,,,700,1000,800,,,800,1100,
"",,,Wholesale,,,,,,,700,470,230,,,650,950,750,,,750,700,
"","Cassava, Flour",Kg,Retail,800,1000,1200,550,1100,1100,1000,1200,1000,900,800,1000,1000,1500,1000,900,1000,1200,130
"",,,Wholesale,700,800,1000,450,1000,850,950,1000,900,700,700,800,950,1200,,750,950,700,110
"","Cassava, Fresh",Kg,Retail,560,400,700,700,650,400,600,1000,260,500,140,450,600,900,600,600,1200,600,100
"",,,Wholesale,430,300,500,500,350,330,550,750,240,400,130,400,500,800,450,450,1100,430,70
"","Cassava, Sun dried",Kg,Retail,,,650,,,1100,720,550,270,,700,700,1000,800,750,,900,550,70
"",,,Wholesale,,,450,,,850,700,450,250,,650,650,950,700,700,,870,350,50
"",Cavendish (Bogoya),Kg,Retail,1200,400,1100,1100,650,800,1400,,580,600,2500,550,800,1200,1000,1300,1000,,
"",,,Wholesale,1000,300,1000,800,500,600,1300,,550,500,2000,500,700,1000,,1000,950,,
"","Chicken, Exotic",bird,Retail,7500,,5000,7500,9500,8500,8000,6500,7500,,7000,9000,,5000,7000,8500,6500,9000,800
"",,,Wholesale,7000,,4500,6000,9000,8000,6000,5000,6500,,6000,8500,,4500,6000,8000,6000,6000,700
"","Chicken, Local",bird,Retail,12000,15000,11000,16000,14500,12000,15000,13000,15000,8000,7500,10000,11000,8000,13000,12000,12500,10000,1000
"",,,Wholesale,10000,13000,10000,13000,13500,9000,13000,9000,13000,5500,6500,9500,9000,7000,10000,9000,12000,9000,800
"",Coffee (Unprocessed),Kg,Retail,,2000,1400,1000,,,,1900,1200,,2400,,,,,,2600,1000,
"",,,Wholesale,,1600,1200,800,,,,1700,1100,,2300,,,,,1000,2500,900,
"",Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,
"",,,Wholesale,,,,,,,,,700,,,,,,,,,,
"",Cow Peas,Kg,Retail,2000,1600,2300,2500,3000,1800,2500,1750,2500,1800,1400,1550,2500,2500,3000,1800,2200,2200,140
"",,,Wholesale,1800,1500,2000,2300,2500,1400,2000,1550,2400,1700,1200,1400,,2300,,1550,2100,2000,120
"","Dried Beans, Agwede",Kg,Retail,,,1700,1400,,1200,800,1500,1100,,,1300,1400,1500,,,,,
"",,,Wholesale,,,1500,1200,,1000,700,1300,1000,,,1200,1300,1400,,,,,
"","Dried Beans, Nambale",Kg,Retail,1600,,2000,1200,2200,1500,1200,1400,1500,1100,1000,1450,1500,1200,1400,1200,1300,1000,100
"",,,Wholesale,1400,,1800,1000,2000,1200,1100,1300,1300,1000,950,1400,1350,1000,1200,900,1200,900,90
"","Dried Beans, Others",Kg,Retail,,900,1400,1200,2200,1600,1100,1400,1400,,900,,,1500,1400,,1100,1300,100
"",,,Wholesale,,800,1300,1000,2000,1300,1000,1200,1200,,800,,,1300,1200,,1000,1100,80
"","Dried Beans, Yellow",Kg,Retail,1800,700,2200,1200,2500,1800,1500,1600,1500,,1100,1400,1600,1500,1600,1100,1500,1400,80
"",,,Wholesale,1600,600,2000,1000,2300,1400,1400,1350,1400,,1000,1350,1500,1300,1400,900,1400,1100,75
"","Eggs, Exotic",tray,Retail,5000,6500,5000,6500,6500,6000,4800,6500,5000,6000,5500,5800,7500,6500,6000,6000,7200,6000,650
"",,,Wholesale,4500,6000,4800,4700,6000,5000,4500,5200,4800,5500,5300,5700,6000,6000,5000,5500,7000,5500,600
"","Eggs, Local",tray,Retail,10000,9000,5500,9000,15000,7500,11000,8500,7000,,9000,7100,7500,6500,9000,9000,9000,8500,650
"",,,Wholesale,9000,7500,5200,7500,14000,5500,9000,6600,6500,,7500,6900,,6000,7000,7500,8500,7000,550
"","Fish, Nile Perch",Kg,Retail,6000,,4500,5000,,7000,7000,6000,6000,,4800,4500,5000,4000,,,,5500,
"",,,Wholesale,5500,,4000,4500,,6000,6000,4500,5000,,4500,4000,5000,3500,,,,4500,
"","Fish, Tilapia",whole,Retail,3500,6500,4500,3500,6000,4000,5000,7000,8500,2200,5000,5000,4700,4000,5000,,4600,4500,
"",,,Wholesale,3000,5000,4000,3000,5000,3500,4000,5500,7500,2100,4500,4600,,3500,,,4200,4000,
"",Goat Meat,Kg,Retail,7000,6000,5000,5500,6000,6000,6000,5500,6000,5000,4800,5000,5500,5500,5000,5000,6000,4500,500
"",,,Wholesale,6000,5000,4800,4500,5500,5000,4700,4500,5000,4500,4500,4800,5500,5000,,4500,5800,3600,450
"","Groundnuts, Unpounded",Kg,Retail,2800,2500,2700,2100,3000,2600,2400,2500,2500,2800,2000,2000,3000,3000,3000,2400,3000,2600,250
"",,,Wholesale,2700,2300,2300,2000,2500,2300,2150,2250,2300,2700,1800,1900,,2800,2300,2200,2800,2300,240
"","Honey, Processed",ltr,Retail,7500,7000,3500,8800,8000,8000,,8000,4000,,,6400,3600,,8000,7000,,10000,1000
"",,,Wholesale,7000,6000,3500,6800,7500,7000,,6800,3000,,,6200,3250,,,6500,,8000,800
"","Honey, Unprocessed",ltr,Retail,,3500,2500,,5000,6500,,4200,2500,,,3000,,,,4500,,7500,900
"",,,Wholesale,,3100,2200,,4500,6000,,3800,2000,,,2900,,,,3000,,6500,700
"",Irish Potatoes,Kg,Retail,690,580,1200,1000,850,700,550,900,900,250,280,900,1500,,500,420,,800,
"",CommodityWeightPricetypeKalerwe KibogaLuweroMasakaNakasero NakawaOwinoIgangaJinjaKapchorwa MbaleSorotiAruaLiraHoimaKabaleKaseseKisoroMbarara,,,,,,,,,,,,,,,,,,,,,
"",Maize Flour,Kg,Retail,1500,1400,1700,1300,1700,1500,1400,1500,1500,1400,1200,1450,1600,1400,1500,1300,,1600,100
"",,,Wholesale,1400,1200,1500,1100,1500,1300,1300,1350,1300,1300,1000,1300,1500,1200,1400,1150,,1300,80
"",Maize Grain,Kg,Retail,1100,750,700,1000,1300,1100,650,850,600,800,800,750,900,1400,700,900,1000,800,120
"",,,Wholesale,1000,650,620,700,1100,1000,640,700,580,700,700,700,750,1200,650,620,900,650,110
"",Matooke,Kg,Retail,300,150,800,175,400,370,280,400,180,400,,450,400,1200,500,400,700,500,80
"",,,Wholesale,220,100,600,150,350,340,250,350,150,300,,400,400,1000,,370,650,400,70
"",Matooke (Bunch),Bunch,Retail,6000,6000,13000,10000,8000,8000,8000,13500,9000,8000,12000,10000,11000,10000,7500,10000,,8800,450
"",,,Wholesale,5000,4000,10000,8000,7000,7000,6500,11000,7500,6000,10000,9500,10000,8000,,8500,,4800,400
"",Milk,Ltrs,Retail,800,800,600,800,800,800,800,1000,800,400,800,800,1000,1200,700,600,750,800,60
"",,,Wholesale,700,700,400,700,700,700,700,800,700,350,700,700,1000,1000,600,500,700,600,45
"",Millet Flour,Kg,Retail,1200,1500,1600,1500,2000,2000,2000,1600,1600,1800,1700,1400,1800,1400,3000,1600,1200,1600,180
"",,,Wholesale,900,1400,1500,1300,1800,1600,1700,1300,1400,1700,1500,1350,1700,1200,,1200,1100,1400,150
"",Millet Grain,Kg,Retail,1200,1400,1000,1400,1500,1100,1150,1150,1200,1300,1100,750,1400,1000,1200,1300,,1200,120
"",,,Wholesale,900,1300,800,1200,1400,1000,1050,1050,1100,1200,1000,700,1300,800,1000,1050,,800,90
"",Pineapple,whole,Retail,1000,800,1300,800,1500,1300,1200,2000,1800,,1000,1550,1600,2500,,,1600,2100,120
"",,,Wholesale,800,500,1000,700,1000,1000,800,1200,1600,,800,1400,1300,2000,,,1500,1200,100
"",Pork,Kg,Retail,4500,5000,5000,4000,,4500,4500,,6000,4000,4500,4000,5000,4500,5000,4500,,4000,550
"",,,Wholesale,4000,4500,4500,3500,,3500,4200,,5000,3600,4000,3800,5000,4000,,3800,,3000,400
