Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
"",,Wholesale,2300,2300,2300,2000,,2200,2200,1900,2200,2200,2000,2300,2000,1800,,2200,,2500,230
Rice (Super),Kg,Retail,2600,2700,2500,2000,2600,2800,2600,2500,2700,2600,2400,2500,2550,2500,2800,2600,2200,2300,260
"",,Wholesale,2500,2500,2250,1800,2500,2600,2400,2200,2500,2300,2200,2400,2400,2300,,2300,2100,2100,240
Rice (Upland),Kg,Retail,2300,2300,2200,2000,2500,2400,2300,2200,2400,,,2400,2300,2000,2800,2500,1540,2200,180
"",,,,,,,,,,,,,,,,,,,,,
Simsim,Kg,Retail,3000,3000,2700,3000,5000,2500,2500,2400,2300,2600,2500,2500,2700,2500,,3800,2100,,400
"",,Wholesale,2800,2500,2500,2700,4500,2200,1900,2200,2100,2400,2400,1800,2500,1800,,2800,2000,,380
Sorghum Flour,Kg,Retail,1000,,1400,,,1200,1000,1000,1000,1000,1000,1500,1100,800,1500,1800,1400,1000,100
"",,Wholesale,700,,1300,,,900,800,800,900,900,900,1400,1000,600,,1550,1300,900,80
Sorghum Grain,Kg,Retail,700,700,1300,,1800,1000,650,700,800,900,650,1000,1000,,1000,1400,1300,900,150
"",,Wholesale,500,500,1000,,1700,700,620,600,700,600,550,800,900,,700,1100,1200,800,140
Soya Beans,Kg,Retail,2000,1500,1800,1400,1500,1500,1400,1350,2500,2000,1400,2000,,1200,900,1800,1200,1000,145
"",,Wholesale,1800,1200,1500,1300,1400,1300,1100,1200,2200,1300,1300,1500,,1000,800,1450,1000,800,140
Sunflower,Kg,Retail,,,,,3000,,,,,,400,,,,,,,,
"",,Wholesale,,,,,2500,,,,,,350,,,,,,,,
Sweet Potatoes,Kg,Retail,500,650,1200,800,350,350,550,1000,350,1000,450,600,900,1200,600,250,1200,150,
"",,Wholesale,400,450,800,500,300,300,520,800,320,,400,550,800,1000,450,150,1000,100,
Tea (Unprocessed),Kg,Retail,,,,,5000,,,,,,,,,,,,,,
"",,Wholesale,,,,,4500,,,,,,,,,,,,,,
Turkey,bird,Retail,,27000,30000,,30000,35000,,30000,40000,25000,31000,,,,,,,,3800
"",,Wholesale,,24000,25000,,25000,30000,,27000,38000,20000,29000,,,,,,,,3500
Vanilla (Unprocessed),Kg,Retail,,3000,,,6000,,2700,,,,,,,,,,,,350
