commodity,,Kalerwe,Kiboga,Luwero,Masaka,NakaseroNakawa,Owino,Busia,Iganga,Jinja,Mbale,Soroti,Gulu,Lira,,Arua,Kabale,Kisoro,Mbarara prices
Beef,retail,6000,5500,6500,6500,7000 7000,7000,6600,6500,8000,6000,,6500,7000,,6000,6000,7000,6000 2000
"",wholesale,5500,4000,6200,5000,6000 5800,6000,6500,5800,7000,6000,,6000,6000,,6000,5900,6000,6000
Goat Meat,retail,8000,7000,8000,7500,8000 8000,8000,6000,7000,9000,7000,,7000,7500,,7000,7000,8000,8000
"",wholesale,7000,4800,6500,6500,7000 6500,7000,6000,6000,8000,7000,,6000,6000,,7000,6800,7000,8000
Milk,retail,1000,800,1000,1000,1000 1000,1000,1200,1200,1000,1200,1500,1200,1000,,1000,600,800,800
"",wholesale,800,650,550,500,600 900,900,800,1000,900,1000,1400,1000,950,,,500,700,800
Pork,retail,6000,,6800,6500,7000,,4600,,5000,6000,5000,6000,,,6000,7000,5000,9000
"",wholesale,5500,,5800,5000,5000,,4400,,4000,5000,4900,5500,,,,6500,4500,9000
Processed Honey,retail,,10000,,15000,8000,,10000,7900,6000,,7000,15000,,,4500,10000,8000,16000
"",wholesale,,8000,,8800,6000,,9000,7000,5000,,7000,10000,,,3200,8500,7000,15000
Unprocessed Honey,retail,,8000,,,,,,5200,5000,,6000,11000,,,3000,7000,3500,
"",wholesale,,7000,,,,,,4400,4000,,5500,8000,,,,6500,3100,4000
Kayiso Rice,retail,2500,2800,3000,2400,2800 2600,2000,2200,2600,2800,2600,2800,3300,,,,,3000,3000
"",wholesale,2200,2600,2800,2300,2400 2300,2400,2100,2200,2700,2430,2600,3000,,,,,2700,2800
Maize Flour,retail,2200,2400,1800,1850,2200 2000,2200,2100,1700,2000,2000,2000,2300,2000,,2000,2000,1600,2000
"",wholesale,1700,1800,1650,950,2000 1600,2000,2000,1300,1800,1950,1800,1700,1700,,1950,1800,1500,1800
Maize Grain,retail,1600,900,1520,500,1000,1500,1300,1100,1050,1500,1800,1000,1800,,1200,,900,1200
