Commodity,,,Kalerwe Kiboga,Luwero Masaka NakaseroNakawaOwino,Iganga Jinja,Kapchorwa Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
"Fish, Nile Perch",Kg,Retail,6000,4500 5000 7000 7000,6000 6000,4900,4500,5000,3500,4500,4000,,,5500,
"",,Wholesale,5500,4000 4500 6000 6000,4500 5000,4800,4000,5000,3200,4000,,,,4500,
"Fish, Tilapia",whole,Retail,3500 6500,4500 3500 5000 4000 5500,7000 9000,2100 5000,5500,5000,4000,5000,6000,,3500,4500,
"",,Wholesale,3000 5000,4000 3000 4500 3500 4500,5500 8000,2000 4800,5000,,3500,4500,,,3000,4000,
Goat Meat,Kg,Retail,6500 6000,5000 5500 6000 6000 6000,5500 6000,5000 5000,5000,5500,6000,5000,5000,5000,6000,4500,5000
"",,Wholesale,6000 5000,4800 4500 5500 4800 4500,4500 5000,4500 4800,4800,5500,5700,4500,,4500,5800,3600,4500
"Groundnuts, Unpounded",Kg,Retail,2800 2500,2700 2100 3000 2600 2500,2300 2500,2800 2000,2000,3000,2400,3000,3000,2400,2400,2600,2500
"",,Wholesale,2700 2300,2300 2000 2500 2300 2150,2100 2400,2700 1800,1850,2700,2200,2800,2000,2200,2300,2300,2400
"Honey, Processed",ltr,Retail,7500 7000,3500 9300 8000 8000,8000 4000,,6400,1000,,,8000,7000,,10000,10000
"",,Wholesale,7000 6000,3500 7300 7500 7000,6800 3000,,6200,900,,,,6500,,8000,8000
"Honey, Unprocessed",ltr,Retail,3500,2500 5000 6500,4200 2500,,3000,,3500,,,4500,,,
"",,Wholesale,3100,2200 4500 6000,3800 2000,,2800,,2800,,,3000,,,
Irish Potatoes,Kg,Retail,750 458,1000 850 650 550,850 1000,375 300,900,1000,1400,,500,380,600,800,
"",,Wholesale,608 416,700 800 560 500,750 900,300 250,700,900,1250,,400,365,500,650,
Commodity,,,Kalerwe Kiboga,Luwero Masaka NakaseroNakawaOwino,Iganga Jinja,Kapchorwa Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Maize Flour,Kg,Retail,1500 1400,1700 1300 1700 1500 1300,1200 1500,1400 1000,1450,1600,1400,1600,1500,1300,1400,1600,
"",,Wholesale,1400 1200,1500 1100 1500 1300 1200,1000 1300,1300 800,1350,1440,1200,1300,1300,1150,1300,1300,
Maize Grain,Kg,Retail,1100 800,700 1000 1300 1100 640,700 580,800 800,800,1000,800,1000,600,900,1000,600,
"",,Wholesale,1000 750,620 700 1100 1000 620,600 570,700 700,750,900,780,800,550,620,900,550,
Matooke,Kg,Retail,330 150,800 150 450 365 300,400 160,400,500,450,,,500,280,450,500,800
"",,Wholesale,250 100,600 125 400 320 270,350 140,300,450,400,,,,225,400,400,700
