"",Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara
Maize Flour,Kg,Retail,1500,1300,1500,1800,1700,1500,1300,1300,1300,1200,1000,1400,1600,1400,1800,1400,2000,1250,1500,1500
"",,Wholesale,1400,1100,1200,1000,1500,1300,1100,1150,1250,1000,850,1000,1400,1150,1000,1300,1800,1200,1250,1400
Maize Grain,Kg,Retail,1100,800,1000,1000,1100,1000,635,620,240,600,560,600,650,630,650,600,1500,700,600,1100
"",,Wholesale,1000,700,800,700,1000,900,625,570,200,500,520,500,550,580,600,550,1400,650,550,1000
Matooke,Kg,Retail,470,250,1200,450,450,690,405,420,240,400,1000,500,350,,1000,400,,900,800,1000
"",,Wholesale,400,200,1000,375,400,510,380,400,200,300,900,450,300,,800,,,850,600,800
Matooke (Bunch),Bunch,Retail,13000,10000,12000,18000,15000,15000,19000,15000,12000,8000,10000,10000,9000,15500,,10000,25000,18000,12000,10000
"",,Wholesale,10000,8000,10000,15000,13000,13800,16000,13600,10000,6000,7000,9000,8500,14000,,,18000,17500,8000,7000
Milk,Ltrs,Retail,1000,1000,800,1000,1200,1000,,1000,800,550,900,800,1000,1000,1000,800,500,800,800,600
"",,Wholesale,800,900,750,800,900,900,,900,700,400,800,700,1000,800,800,700,450,750,600,500
Millet Flour,Kg,Retail,1200,1600,1200,1500,1850,1600,2000,1600,1600,1800,1800,1500,2000,1700,,3000,2000,1500,1600,2200
"",,Wholesale,900,1500,1000,1300,1700,1300,1800,1300,1500,1700,1700,1300,1800,1500,,,1800,1400,1200,2000
Millet Grain,Kg,Retail,1200,1500,1000,1600,1950,1600,1200,1200,1100,1300,1300,1100,1600,1400,,1200,1500,1100,1600,2000
"",,Wholesale,900,1400,1000,1400,1700,1300,1150,1100,1000,1200,1200,1000,1500,1200,,1000,1400,1000,1200,1800
Pineapple,whole,Retail,1000,800,2000,1000,1800,1000,1500,2000,2000,,2500,1800,2700,3000,,,1000,1500,2500,700
"",,Wholesale,800,500,1800,800,1400,700,1200,1500,1800,,2000,1400,,2000,,,700,1400,950,500
Pork,Kg,Retail,5000,5000,4500,,,5000,5000,,6000,4000,4400,1800,5000,5000,5000,5000,6000,,4000,
"",,Wholesale,4500,4500,4500,,,3500,4500,,5000,3600,3700,1400,5000,4500,4500,,5000,,3300,
Rice (Kayiso),Kg,Retail,1800,2800,2500,2400,,1900,2200,1750,1700,2200,1700,2000,2200,1900,1800,,,,2500,2600
"",,Wholesale,1600,2500,2400,2000,,1700,2000,1650,1600,2100,1500,1900,,1700,1700,,,,2300,2550
Rice (Super),Kg,Retail,2400,2300,2500,2400,2500,2600,2400,2100,2200,2500,2400,2400,2500,2700,2400,2300,2500,2400,2500,2500
"",,Wholesale,2200,2200,2400,1900,2200,2200,2200,1950,2000,2400,2200,2000,1800,2500,2300,,2350,2300,2350,2000
Rice (Upland),Kg,Retail,1700,2200,2000,2300,,1900,2100,1800,1800,2000,,,2000,1500,2000,2000,2400,,2300,
"",,Wholesale,1500,2000,2000,1800,,1700,1800,1700,1700,1800,,,1800,1400,1700,1550,2200,,2100,
Simsim,Kg,Retail,3000,,3000,3300,4500,3500,3000,2600,3000,2500,3000,2400,2200,2850,2800,,,2000,3000,3800
"",,Wholesale,2800,,2600,2900,4000,3000,2600,2400,2800,2400,2800,2000,,2700,2600,,,1800,2500,3500
Sorghum Flour,Kg,Retail,1000,900,1200,,1800,1000,1000,950,1000,1000,900,1000,1500,1400,,,1000,2000,,1000
"",,Wholesale,700,800,1000,,1500,800,850,750,950,900,850,700,1300,1200,,,800,1800,,900
Sorghum Grain,Kg,Retail,700,800,1000,,1600,800,700,650,1000,,600,500,850,1000,,,,1100,1000,900
"",,Wholesale,500,700,900,,1400,500,650,550,950,,550,450,750,850,,,,100,750,750
Soya Beans,Kg,Retail,2000,1400,1800,1900,1600,1600,1000,1500,1800,1800,1700,1200,,,1000,2000,2700,,1600,
"",,Wholesale,1800,1200,1500,1800,1500,1400,800,1300,1700,1700,1500,1000,,,900,1200,2500,,1300,
Sunflower,Kg,Retail,,,,,,,,,,,,500,,,,,,,,
"",,Wholesale,,,,,,,,,,,,450,,,,,,,,
Sweet Potatoes,Kg,Retail,530,333,1000,1500,900,400,600,1000,350,500,220,550,350,800,500,250,1500,1000,650,1400
"",,Wholesale,470,300,1000,1000,800,350,550,800,330,400,210,450,300,600,400,200,1000,800,450,1200
Turkey,bird,Retail,,,35000,,42000,50000,45000,33000,58000,,,36000,,,,,,,30000,
"",,Wholesale,,,30000,,35000,40000,40000,30000,55000,,,33000,,,,,,,26000,30000
Vanilla (Unprocessed),Kg,Retail,,,,,,,,,,,,,,,,,,,3500,
