"",,,,CENTRAL,,,,EASTERN,,,NORTHERN,,,WESTERN,,,Organic
Commodity Name,Unit,,KAL,KIB MSK,NKS,BUS,IGA,JJA KAP,MBA,SOR,ARU LRA,FTP,KAS,KLE KSR,MBR,Avg,Prices
"",,Wholesale,700,800 500,1000,650,1000,1500,1000,2300,1000 500,700,1400,400 900,600,934.38,2500
"",,,,CENTRAL,,,,EASTERN,,,NORTHERN,,,WESTERN,,,Organic
Commodity Name,Unit,,KAL,KIB MSK,NKS,BUS,IGA,JJA KAP,MBA,SOR,ARU LRA,FTP,KAS,KLE KSR,MBR,Avg,Prices
Animal Products,,,,,,,,,,,,,,,,,
Soya Beans,Kg,Retail,2000,1300 1900,2000,1000,1470,1400 1800,1200,1400,1500 700,1500,,2500 1600,2300,1598.1,
"",,Wholesale,1800,1100 1800,1700,879,1220,1300 1700,1000,1000,700,1000,,2300 1300,2000,1386.6,
Sunflower,Kg,Retail,,,3000,,,,,600,,,,,3200,2266.7,
"",,Wholesale,,,2700,,,,,450,,,,,3000,2050,
Poultry Products,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7000,10000,9000,7000,5500,6000,7000,8000,5000,11000,8000,8000 9000,11500,8000,
"",,Wholesale,6500,8500,8500,6500,4500,5000,6000,6000,4000,9000,7800,6000 7000,11000,6878.6,
"Chicken, Local",bird,Retail,9000,14000 15500,15000,9000,11500,14000 7000,7000,11000,12000 8000,15000,16500,9000 11000,14000,11676,
"",,Wholesale,8000,12000 10000,13000,8500,8500,12000 6000,6000,8000,11000 5000,12000,16000,8000 9000,13000,9764.7,15000
"Eggs, Exotic",tray,Retail,5000,6000 4700,5500,7500,5300,5200 6000,5500,5800,7500 6000,7000,5500,5500 6500,7300,5988.2,
"",,Wholesale,4500,5500 3600,5000,5400,4900,5000 5500,5300,5600,5800 5500,5000,5200,5000 5500,6700,5235.3,
"Eggs, Local",tray,Retail,,9000 9000,14000,9000,8000,12000 7000,,9000,7500 6200,9000,8500,9000 12000,7500,9113.3,
"",,Wholesale,,7500 7500,12000,7500,6000,10000 6500,,8500,5800,7000,8200,8500 9000,6800,7914.3,
Turkey,bird,Retail,,,32000,7000,32500,43000,,25000,,,,30000,,28250,
"",,Wholesale,,,27000,6500,29500,40000,,23000,,,,26000,,25333,
Pulses,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3200,1700 2800,2500,,1750,2000 1800,1000,1200,2500 2500,2200,2000,2200,1000,2023.3,
"",,Wholesale,3000,1600 2400,2000,,1630,1800 1700,800,1100,1600 1800,2000,1800,2000,900,1742,
"Dried Beans, Agwede",Kg,Retail,,1400,,,1150,1000,,,1800,,,,,1337.5,
"",,Wholesale,,1200,,,970,900,,,1400,,,,,1117.5,
"Dried Beans, Nambale",Kg,Retail,1500,1200,2300,1300,1200,1400 1000,1200,1500,1300 1200,1600,1350,1100 1250,1600,1375,
"",,Wholesale,1300,1100,2100,1125,1100,1200 800,1100,1200,1200 1200,1400,1300,1000 980,1400,1219.1,
"Dried Beans, Yellow",Kg,Retail,1600,700 1000,3000,1500,1350,1500,1500,1550,1500 1300,2200,1500,1000 1250,1450,1493.8,
"",,Wholesale,1400,600 800,2500,1155,1200,1400,1300,1300,1400 1300,1800,1400,900 1100,1350,1306.6,
Root Crops,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,380,150,,350,350 500,,450,,1000,454.29,
"",,Wholesale,,,,,290,130,,230,300 200,,400,,800,335.71,
"Cassava, Flour",Kg,Retail,600,1200 1100,,500,650,700 1000,500,600,550 350,1000,400,1000 1000,800,746.88,
"",,Wholesale,500,1000 600,,400,520,600 900,400,450,400 250,800,350,800 700,750,588.75,
"Cassava, Fresh",Kg,Retail,,550 1000,350,700,700,130 500,,250,300 900,1000,800,1000 400,1000,638.67,
"",,Wholesale,,450 600,300,550,500,110 450,,200,250 700,500,750,900 300,800,490.67,
"Cassava, Sun dried",Kg,Retail,,,,300,380,190,110,350,350 300,,430,500,1000,391,
"",,Wholesale,,,,260,290,160,100,240,300 200,,410,400,800,316,
Irish Potatoes,Kg,Retail,620,458 1200,900,500,800,600 200,,600,900 1200,1000,700,450 800,1800,795.5,
"",,Wholesale,520,416 700,700,450,680,500 150,,550,800 1000,500,600,400 600,1500,629.13,1500
Sweet Potatoes,Kg,Retail,240,160 1000,350,800,800,140 400,120,300,500 1000,1000,500,1000 500,1150,585.88,
"",,Wholesale,200,140 600,300,650,600,120 300,100,250,350 800,500,400,900 400,1050,450.59,1500
Traditional Cash Crops,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500 1000,,,,1000 4100,4400,,,,3500,1150,,2521.4,
"",,Wholesale,,1900 800,,,,900 4000,4200,,,,3400,1000,,2314.3,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,,5000,
"",,Wholesale,4500,,,,,,,,,,,,,4500,
Vanilla (Unprocessed),Kg,Retail,,,,,,,,,,,,4300,3000,3650,
"",,Wholesale,,,,,,,,,,,,3500,3000,3250,
