Commodity,Units,Values,Average Arua,Busia,Gulu,Iganga,Jinja,Kabale,Kalerwe Kasese,Kisoro,Lira,Masaka Mbale,Mbarara NakaseroNakawa Soroti
Agwedde Beans,Kg,R.P,1507 1400,933,1267,1500,1567,,,,1700,,2000 1600 1600
"",,W.P,1319,767,1067,1300,1467,,,,1550,,2000 1200 1200
Apple Bananas,Kg,R.P,1897 1250,1783,2750,1650,813,1950,1625 1617,850,3050,1175 1500,1900 1625 5667 1150
"",,W.P,1484 950,1350,2033,1300,590,1700,1175 1400,650,2650,900 1000,1500 1100 4467 983
Beef,Kg,R.P,5933 6000,6200,6000,6000,6667,4933,6000 6583,5500,6500,5500 6500,5625 6250 5667 5000
"",,W.P,5254 5500,5800,5517,5217,5717,4367,4975 5800,4900,6167,4875 5750,5375 5400 4667 4033
Cassava Flour,Kg,R.P,907 833,819,1257,838,686,1050,860 788,700,850,1000 850,1063 1060 975 875
"",,W.P,622 533,588,886,544,486,713,580 563,400,650,620 700,900 640 525 619
Cavendish (Bogoya),Kg,R.P,2293 1250,2133,2750,2700,1650,2583,3500 3250,925,3800,1325 2750,3625 2075 1167 1200
"",,W.P,1844 1050,1767,2050,2100,1417,2183,2325 2683,775,3250,900 2250,3125 1575 967 1083
Coffee (Arabica),Kg,R.P,6222,,,,,,8000,,,6167,4500
"",,W.P,5500,,,,,,7500,,,5000,4000
Coffee (Robusta),Kg,R.P,4500,,,,,,4500,,,,
"",,W.P,4000,,,,,,4000,,,,
Cow Peas,Kg,R.P,2607 2300,2333,2040,2250,2617,2467,2900 3440,2200,3750,2325 3000,3150 2675 2133 2133
"",,W.P,2287 1650,2100,1800,2050,2433,2100,2525 3060,2000,3450,1975 2600,2900 2275 1800 1867
Dry Fermented Cassava,Kg,R.P,729 900,,1533,380,160,,250,1200,,,680
"",,W.P,596 650,,1133,360,150,,230,1000,,,650
Exotic Chicken,bird,R.P,8305 9500,8167,10000,7750,8500,8833,6625 8500,6500,9500,7875 8500,7250 7625 7833 9917
"",,W.P,7072 6000,7417,7167,6750,7667,7583,5750 7583,5500,9000,5750 7750,6875 6275 6833 9250
Exotic Eggs,tray,R.P,7174 7500,7250,8417,7350,7667,7000,7750 5900,7500,6750,6400 6750,6750 7125 7500 7167
"",,W.P,6085 6250,5983,6550,6117,6683,6000,6475 4933,6300,6000,5150 6250,6375 6125 6033 6133
Fresh Cassava,Kg,R.P,654 675,633,1108,673,311,1217,475 708,450,425,700 425,1125 663 433 447
"",,W.P,479 525,529,758,473,220,883,300 542,350,305,450 300,900 425 333 374
Goat Meat,Kg,R.P,7112 7250,6500,7083,7083,7167,7167,7500 7750,7000,8000,6875 7000,7500 7250 6667 6000
"",,W.P,6268 6650,5967,6333,5967,6167,6500,6325 6883,5900,7000,6000 6750,7000 6075 5833 4933
Groundnuts,Kg,R.P,3098 3500,3100,2858,3000,3067,3400,3000 3000,3000,3000,2725 3000,3600 3375 3067 2883
