"",,,,,Central,,,,,,Eastern,,,Northern,,Western,
CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Gulu Lira,Kabale,Kasese Kisoro,Mbarara
"",,Wholesale,290,350,1800,250,500,460,280,380,220,200,1000,500,1100 800,,800 600,900
Matooke (Bunch),Bunch,Retail,10000,15000,15000,12000,13000,12000,12000,16000,13000,6000,12000,24000,17500 5000,15000,22000 13000,8000
"",,Wholesale,8000,14000,13000,10000,10000,10000,10000,13000,11000,4000,10000,20000,14800 3500,10000,20000 8500,7000
Milk,Ltrs,Retail,1000,1000,800,1000,800,1000,800,1000,800,550,800,800,1200 1000,500,800 800,650
"",,Wholesale,800,900,750,500,700,900,700,900,700,400,700,700,1000 800,400,750 600,600
Millet Flour,Kg,Retail,1200,1200,1600,1500,2200,2000,1800,1400,1500,1300,1800,1600,2200 2000,2000,1500 1700,1550
"",,Wholesale,900,1100,1500,1300,1900,1600,1600,1200,1400,1200,1600,1450,2000 1600,1800,1400 1500,1400
Millet Grain,Kg,Retail,1200,1100,1200,1600,1900,1000,1000,1050,1100,1200,1200,1100,1300 1000,1500,1100 1300,1850
"",,Wholesale,900,1000,1000,1400,1700,800,900,950,1000,1200,1100,1000,1100 900,1400,1000 1200,1600
Pineapple,whole,Retail,1200,800,1800,1000,2500,1000,1200,1300,1700,1200,800,2500,1800,700,2000 2500,800
"",,Wholesale,1000,500,1500,500,1500,700,800,800,1600,1000,500,1800,1500,500,1800 1400,600
Pork,Kg,Retail,5000,5000,4000,4500,,5000,,,6000,4000,4000,4000,5000 5000,6000,,
"",,Wholesale,4500,4500,4000,3500,,3500,,,5500,3600,3700,3800,4500 3500,5000,,6000
Rice (Kayiso),Kg,Retail,2000,2800,2200,2200,,2000,1800,1600,1600,2200,1500,1900,1520 1800,,2500,2500
"",,Wholesale,1800,2500,2000,1800,,1800,1650,1500,1400,2100,1450,1700,1450 1600,,2300,2500
Rice (Super),Kg,Retail,2400,2300,2300,2100,2500,2600,2300,2000,2000,2300,2500,2200,2750 2200,2000,2400 2700,2450
"",,Wholesale,2100,2200,2200,1800,2300,2200,2100,1900,1700,2200,2300,1950,2600 1800,1800,2300 2400,2400
Rice (Upland),Kg,Retail,1600,2200,2300,2200,2500,2000,1900,1750,1700,2000,,,1650 1800,,2300,2500
"",,Wholesale,1500,2000,2200,1700,2300,1800,1700,1550,1600,1800,,,1400 1600,,2100,2300
Simsim,Kg,Retail,3000,,3000,2900,4000,2800,2500,2500,2800,2800,2500,2200,2500 2500,,2000 3000,4000
"",,Wholesale,2800,,2600,2700,3500,2400,2100,2200,2700,2400,2400,1800,2400 2300,,1800 2500,3800
Sorghum Flour,Kg,Retail,1000,900,1600,,1800,1000,900,900,1000,1000,800,1000,1700 1800,1300,1600,1200
"",,Wholesale,700,800,1500,,1700,700,700,700,900,900,700,700,1650 1500,800,1500,900
Sorghum Grain,Kg,Retail,700,800,1300,,1700,800,450,600,900,,,400,700 500,900,1100 800,850
"",,Wholesale,500,700,1200,,1500,500,400,500,800,,,380,650 400,700,1000 700,750
Soya Beans,Kg,Retail,2000,1400,1800,1900,2000,1500,1000,1500,1500,1800,,1200,1200,2700,1700 1600,3000
"",,Wholesale,1800,1200,1500,1800,1700,1300,900,1250,1400,1700,,900,1000,2500,1600 1300,2000
Sunflower,Kg,Retail,,,,,3000,,450,,,,,450,,,,3200
"",,Wholesale,,,,,2700,,370,,,,,400,,,,3000
Sweet Potatoes,Kg,Retail,350,208,1000,1500,350,400,450,1200,270,500,140,500,900 500,1000,1200 700,800
"",,Wholesale,325,166,800,1000,300,300,420,1050,250,400,130,400,700 400,800,1000 500,700
Turkey,bird,Retail,,,35000,,33000,42000,44000,32000,45000,,,37000,,,30000,
"",,Wholesale,,,30000,,30000,35000,37000,28000,43000,,,35000,,,26000,35000
Vanilla (Unprocessed),Kg,Retail,,,3500,,3500,,2700,,,,,,,,3500,
"",,Wholesale,,,3500,,3000,,2400,,,,,,,,3000,
