"",,,,,CENTRAL,,,,,,EASTERN,,,NORTH,,WESTERN,,,,
Commodity,,,Masaka,Kalerwe,Kiboga,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapch',Mbale,Soroti,Arua,Hoima,Kasese,Kisoro,Min,Avg,Max
"",,Wholesale,"1,400","2,300","1,000","2,000","1,400",950,950,"1,500",,"1,500",,"1,000",,"2,100","1,600",950,"1,475","2,300"
Sunflower,1Kg,Retail,,,,,,550,600,,,,400,,,,,400,517,600
"",,Wholesale,,,,,,450,500,,,,350,,,,,350,433,500
Sweet Potatoes,1Kg,Retail,"1,000",500,500,900,300,400,600,450,200,500,250,400,500,250,150,150,460,"1,000"
"",,Wholesale,800,250,400,700,250,360,520,400,150,300,200,350,300,200,100,100,352,800
Tea (Unprocessed),1Kg,Retail,,,,,,400,,,,,500,,,,,400,450,500
"",,Wholesale,,,,,,350,,,,,400,,,,,350,375,400
Turkey (Bird),bird,Retail,,,"23,000","30,000","28,000","40,000","23,000","25,000",,"30,000","22,000",,,,,"22,000","27,625","40,000"
"",,Wholesale,,,"20,000","25,000","22,000","30,000","21,000","20,000",,"20,000","21,000",,,,,"20,000","22,375","30,000"
Upland Rice,1Kg,Retail,"2,000","1,600",,,,,"1,400","1,600",,,"1,750",,,"1,800","1,800","1,400","1,707","2,000"
"",,Wholesale,"1,800","1,500",,,,,"1,250","1,400",,,"1,700",,,"1,800","1,700","1,250","1,593","1,800"
Vanilla (Unprocessed),1Kg,Retail,,,"1,800",,,"2,500",,,,,"2,700",,,,,"1,800","2,333","2,700"
"",,Wholesale,,,"1,500",,,"1,800",,,,,"2,500",,,,,"1,500","1,933","2,500"
